Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,1.8,1.7,1.4,1.2,1.2,1.2,1.5,1.3,1.2,1.5,2.4
30000 - 39999,1.8,1.8,1.4,1.1,1.1,1.1,1.2,1.1,1.3,1.4,2.1
40000 - 49999,3.2,2.5,2.0,1.4,1.4,1.3,1.4,1.4,1.5,1.9,2.5
50000 - 59999,4.7,4.0,2.8,2.1,1.8,1.8,1.9,1.7,1.8,2.2,2.5
60000 - 69999,6.0,5.2,4.4,3.2,2.7,2.2,2.3,2.2,2.3,2.5,2.8
70000 - 79999,7.4,6.6,5.1,4.4,3.6,3.2,3.2,2.8,2.8,3.1,3.5
80000 - 89999,8.3,8.2,6.9,5.5,5.0,4.3,4.3,3.8,3.7,3.8,4.0
90000 - 99999,7.5,7.7,6.7,6.3,5.9,5.1,5.0,4.2,4.0,4.0,4.1
100000 - 119999,11.7,11.6,11.5,12.0,12.1,12.0,11.7,10.7,9.8,9.3,8.6
120000 - 139999,11.5,11.5,10.9,12.0,12.7,12.9,12.4,12.8,12.5,10.9,10.3
140000 - 159999,8.3,8.9,9.8,10.8,10.7,11.1,10.7,10.8,10.6,9.6,9.0
160000 - 179999,6.2,6.4,7.8,8.7,9.5,9.5,9.3,9.5,9.2,8.6,8.1
180000 - 199999,4.3,4.6,5.5,6.1,6.1,6.3,6.2,6.4,6.8,6.4,6.1
200000 - 249999,6.8,7.3,8.6,9.7,9.8,10.1,10.3,10.7,10.7,10.9,10.7
250000 - 299999,3.7,4.2,5.3,5.6,5.8,6.2,6.2,6.8,6.9,7.2,7.2
300000 - 399999,3.3,3.9,4.9,5.1,5.5,5.8,6.1,6.7,7.2,8.1,7.8
400000 - 499999,1.3,1.6,2.0,1.9,2.0,2.3,2.4,2.7,3.1,3.3,3.3
500000 and more,2.2,2.5,3.1,3.0,3.2,3.4,4.0,4.3,4.6,5.4,5.1
