Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,2.5,3.8,4.7,3.4,3.6,3.5,2.5,1.7,1.6,1.5,1.4
30000 - 39999,2.4,3.9,4.6,3.5,3.1,2.8,2.7,1.9,1.3,1.9,1.4
40000 - 49999,5.7,8.3,8.2,7.1,4.3,4.4,3.7,2.5,1.8,2.2,1.6
50000 - 59999,12.2,13.6,12.9,9.5,8.6,6.6,5.0,4.4,3.7,3.1,2.5
60000 - 69999,21.9,17.0,16.0,14.8,11.8,10.5,9.3,6.3,5.7,4.5,4.6
70000 - 79999,18.9,19.2,16.1,18.0,15.2,12.7,11.4,8.4,7.2,5.8,5.4
80000 - 89999,10.8,10.0,11.0,11.6,15.4,14.0,11.2,9.8,9.2,8.3,7.8
90000 - 99999,9.0,7.3,6.7,6.8,7.6,10.0,11.3,11.4,11.1,7.9,8.7
100000 - 119999,6.9,7.5,8.2,8.7,10.8,13.3,12.1,15.6,16.5,18.3,18.8
120000 - 139999,5.2,4.6,5.0,6.7,8.2,8.3,11.4,13.3,14.4,13.7,15.2
140000 - 159999,2.4,2.8,3.1,4.2,5.3,6.0,8.2,9.6,10.8,12.3,11.2
160000 - 179999,0.9,1.0,1.7,2.0,2.4,3.4,4.4,5.8,6.0,7.6,8.1
180000 - 199999,0.5,0.3,0.7,1.4,1.4,1.5,2.9,3.3,3.7,5.0,5.2
200000 - 249999,0.5,0.4,0.8,1.5,1.8,2.0,2.5,3.7,3.9,4.5,5.2
250000 - 299999,0.0,0.2,0.2,0.6,0.5,0.7,0.7,1.3,1.8,1.9,1.8
300000 - 399999,0.1,0.0,0.0,0.1,0.0,0.4,0.5,0.8,1.3,1.0,0.8
400000 - 499999,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3
500000 and more,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
