Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,4.8,4.1,3.6,3.2,4.0,2.6,2.4,3.0,2.6,2.8,2.6
30000 - 39999,4.8,6.5,4.4,3.6,3.4,2.8,2.2,2.0,2.7,2.5,2.2
40000 - 49999,10.2,9.2,7.5,6.8,5.7,4.1,3.3,3.4,3.1,3.4,2.7
50000 - 59999,11.0,9.6,8.9,9.6,8.0,6.1,5.8,5.7,5.0,4.4,4.5
60000 - 69999,12.4,11.6,12.0,11.3,9.2,8.2,8.0,7.1,7.3,7.0,5.5
70000 - 79999,12.9,11.3,11.2,10.9,11.2,10.6,10.2,8.4,8.7,8.8,8.0
80000 - 89999,10.5,11.2,11.1,11.7,10.5,10.6,11.0,10.9,11.4,8.2,8.5
90000 - 99999,5.7,6.4,6.6,8.1,8.4,9.5,10.5,10.7,8.6,10.0,8.6
100000 - 119999,8.1,7.4,9.1,8.4,8.2,11.4,12.7,13.4,13.8,14.1,14.3
120000 - 139999,6.3,7.1,7.4,7.8,8.3,8.1,8.2,8.2,8.7,9.4,10.3
140000 - 159999,3.7,4.3,4.7,5.2,5.5,6.8,6.2,6.9,7.0,6.9,7.6
160000 - 179999,2.1,2.7,3.3,3.3,4.6,4.1,3.9,4.8,5.2,5.5,5.8
180000 - 199999,2.0,2.1,2.7,2.5,3.1,3.8,2.7,3.2,3.0,3.6,4.3
200000 - 249999,2.7,2.6,3.3,3.6,4.3,4.5,5.8,5.5,5.0,5.1,5.5
250000 - 299999,1.0,1.8,2.5,2.1,2.4,3.0,3.0,2.8,3.0,3.4,3.9
300000 - 399999,1.0,1.4,1.2,1.2,2.2,2.7,2.9,2.7,3.1,3.1,3.5
400000 - 499999,0.3,0.3,0.2,0.4,0.6,0.7,0.6,0.8,0.9,0.8,1.0
500000 and more,0.3,0.3,0.4,0.4,0.3,0.3,0.6,0.6,0.9,1.1,1.2
