Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,3.1,2.8,2.6,2.3,2.4,2.3,2.2,1.9,1.5,1.6,2.1
30000 - 39999,3.1,2.8,2.4,2.1,2.0,2.0,1.9,1.7,1.5,1.5,1.9
40000 - 49999,4.9,4.2,3.5,2.9,2.6,2.4,2.3,2.0,1.8,1.9,2.2
50000 - 59999,7.1,6.1,5.0,4.0,3.6,3.2,3.0,2.6,2.3,2.3,2.5
60000 - 69999,9.0,8.2,6.7,5.5,4.8,4.3,4.0,3.4,3.0,3.1,3.3
70000 - 79999,9.2,8.9,7.7,6.8,5.7,5.3,5.1,4.2,3.9,3.8,3.9
80000 - 89999,9.1,8.9,8.3,8.0,7.3,6.6,6.3,5.5,4.9,4.7,4.6
90000 - 99999,7.2,7.5,7.0,7.0,7.0,6.8,6.7,5.8,5.2,4.7,4.6
100000 - 119999,10.8,11.1,11.1,11.7,11.9,12.4,12.5,12.1,11.4,10.5,9.9
120000 - 139999,9.3,9.6,10.1,11.3,11.8,12.3,12.4,12.9,13.0,12.3,11.7
140000 - 159999,6.5,6.8,7.6,8.6,9.1,9.4,9.4,10.1,10.5,10.2,9.8
160000 - 179999,4.8,5.0,5.9,6.6,7.1,7.3,7.3,8.0,8.5,8.3,8.0
180000 - 199999,3.3,3.5,4.2,4.6,4.8,5.0,5.0,5.5,5.9,6.0,6.0
200000 - 249999,4.9,5.5,6.4,7.0,7.4,7.7,7.8,8.5,9.1,9.7,9.8
250000 - 299999,2.8,3.2,3.9,4.2,4.5,4.8,4.9,5.3,5.7,6.2,6.3
300000 - 399999,2.5,2.9,3.7,3.8,4.2,4.4,4.7,5.2,5.9,6.5,6.6
400000 - 499999,1.0,1.2,1.5,1.5,1.6,1.7,1.8,2.1,2.5,2.8,2.8
500000 and more,1.3,1.6,2.2,2.1,2.3,2.3,2.7,3.1,3.5,4.1,4.1
