Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,3.6,3.3,4.1,3.5,-,3.0,3.6,3.4,3.3,2.4,3.1
30000 - 39999,3.2,5.2,3.3,2.9,-,3.6,2.6,3.1,2.5,2.1,2.0
40000 - 49999,7.7,8.2,6.5,4.8,-,4.1,3.0,3.0,2.9,3.0,3.4
50000 - 59999,9.4,8.5,8.1,7.0,-,5.9,6.0,3.5,3.0,2.6,3.5
60000 - 69999,12.5,10.5,9.0,10.8,-,8.0,6.7,4.9,5.0,4.9,4.1
70000 - 79999,12.8,13.7,9.5,10.3,-,10.0,9.9,7.6,5.5,4.8,5.5
80000 - 89999,10.4,10.3,11.5,12.3,-,9.9,9.7,8.0,7.9,8.4,7.0
90000 - 99999,7.8,6.4,8.8,6.3,-,9.2,9.1,11.5,8.9,7.0,6.5
100000 - 119999,8.2,9.4,9.0,9.6,-,12.3,13.2,12.8,14.4,16.1,13.5
120000 - 139999,8.5,6.8,9.5,9.5,-,10.5,10.5,12.1,10.7,12.4,14.3
140000 - 159999,4.7,5.5,4.5,6.8,-,7.9,6.9,7.4,9.8,8.6,9.9
160000 - 179999,3.6,2.7,5.2,4.2,-,3.2,4.1,5.0,6.5,6.6,6.0
180000 - 199999,2.0,2.2,2.1,2.3,-,3.1,3.4,3.5,3.7,5.4,5.5
200000 - 249999,2.9,4.1,3.9,5.4,-,5.1,5.3,7.5,7.1,7.1,6.5
250000 - 299999,2.0,1.7,2.2,2.2,-,2.4,2.6,3.2,4.5,3.9,3.6
300000 - 399999,0.4,1.2,2.4,1.5,-,1.1,2.3,2.7,3.0,3.6,3.4
400000 - 499999,0.1,0.0,0.3,0.5,-,0.5,0.6,0.7,0.7,0.7,1.5
500000 and more,0.0,0.4,0.2,0.4,-,0.2,0.4,0.1,0.5,0.6,0.6
