"county","cbsa","cntyname","cbsaname","pop2k","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2000 census","county to cbsa alloc factor"
"06001","41860","Alameda CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",1443741,1 
"06003"," ","Alpine CA"," ",1208,1 
"06005"," ","Amador CA"," ",35100,1 
"06007","17020","Butte CA","Chico, CA Metropolitan Statistical Area",203171,1 
"06009"," ","Calaveras CA"," ",40554,1 
"06011"," ","Colusa CA"," ",18804,1 
"06013","41860","Contra Costa CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",948816,1 
"06015","18860","Del Norte CA","Crescent City, CA Micropolitan Statistical Area",27507,1 
"06017","40900","El Dorado CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",156299,1 
"06019","23420","Fresno CA","Fresno, CA Metropolitan Statistical Area",799407,1 
"06021"," ","Glenn CA"," ",26453,1 
"06023","21700","Humboldt CA","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",126518,1 
"06025","20940","Imperial CA","El Centro, CA Metropolitan Statistical Area",142361,1 
"06027","13860","Inyo CA","Bishop, CA Micropolitan Statistical Area",17945,1 
"06029","12540","Kern CA","Bakersfield, CA Metropolitan Statistical Area",661645,1 
"06031","25260","Kings CA","Hanford-Corcoran, CA Metropolitan Statistical Area",129461,1 
"06033","17340","Lake CA","Clearlake, CA Micropolitan Statistical Area",58309,1 
"06035","45000","Lassen CA","Susanville, CA Micropolitan Statistical Area",33828,1 
"06037","31100","Los Angeles CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",9519338,1 
"06039","31460","Madera CA","Madera, CA Metropolitan Statistical Area",123109,1 
"06041","41860","Marin CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",247289,1 
"06043"," ","Mariposa CA"," ",17130,1 
"06045","46380","Mendocino CA","Ukiah, CA Micropolitan Statistical Area",86265,1 
"06047","32900","Merced CA","Merced, CA Metropolitan Statistical Area",210554,1 
"06049"," ","Modoc CA"," ",9449,1 
"06051"," ","Mono CA"," ",12853,1 
"06053","41500","Monterey CA","Salinas, CA Metropolitan Statistical Area",401762,1 
"06055","34900","Napa CA","Napa, CA Metropolitan Statistical Area",124279,1 
"06057","46020","Nevada CA","Truckee-Grass Valley, CA Micropolitan Statistical Area",92033,1 
"06059","31100","Orange CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2846289,1 
"06061","40900","Placer CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",248399,1 
"06063"," ","Plumas CA"," ",20824,1 
"06065","40140","Riverside CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",1545387,1 
"06067","40900","Sacramento CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",1223499,1 
"06069","41940","San Benito CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",53234,1 
"06071","40140","San Bernardino CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",1709434,1 
"06073","41740","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",2813833,1 
"06075","41860","San Francisco CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",776733,1 
"06077","44700","San Joaquin CA","Stockton, CA Metropolitan Statistical Area",563598,1 
"06079","42020","San Luis Obispo CA","San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",246681,1 
"06081","41860","San Mateo CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",707161,1 
"06083","42060","Santa Barbara CA","Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area",399347,1 
"06085","41940","Santa Clara CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",1682585,1 
"06087","42100","Santa Cruz CA","Santa Cruz-Watsonville, CA Metropolitan Statistical Area",255602,1 
"06089","39820","Shasta CA","Redding, CA Metropolitan Statistical Area",163256,1 
"06091"," ","Sierra CA"," ",3555,1 
"06093"," ","Siskiyou CA"," ",44301,1 
"06095","46700","Solano CA","Vallejo-Fairfield, CA Metropolitan Statistical Area",394542,1 
"06097","42220","Sonoma CA","Santa Rosa-Petaluma, CA Metropolitan Statistical Area",458614,1 
"06099","33700","Stanislaus CA","Modesto, CA Metropolitan Statistical Area",446997,1 
"06101","49700","Sutter CA","Yuba City, CA Metropolitan Statistical Area",78930,1 
"06103","39780","Tehama CA","Red Bluff, CA Micropolitan Statistical Area",56039,1 
"06105"," ","Trinity CA"," ",13022,1 
"06107","47300","Tulare CA","Visalia-Porterville, CA Metropolitan Statistical Area",368021,1 
"06109","38020","Tuolumne CA","Phoenix Lake-Cedar Ridge, CA Micropolitan Statistical Area",54501,1 
"06111","37100","Ventura CA","Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",753197,1 
"06113","40900","Yolo CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",168660,1 
"06115","49700","Yuba CA","Yuba City, CA Metropolitan Statistical Area",60219,1 
"08001","19740","Adams CO","Denver-Aurora, CO Metropolitan Statistical Area",363857,1 
"08003"," ","Alamosa CO"," ",14966,1 
"08005","19740","Arapahoe CO","Denver-Aurora, CO Metropolitan Statistical Area",487967,1 
"08007"," ","Archuleta CO"," ",9898,1 
"08009"," ","Baca CO"," ",4517,1 
"08011"," ","Bent CO"," ",5998,1 
"08013","14500","Boulder CO","Boulder, CO Metropolitan Statistical Area",269814,0.926 
"08013","19740","Boulder CO","Denver-Aurora, CO Metropolitan Statistical Area",21474,0.074 
"08015"," ","Chaffee CO"," ",16242,1 
"08017"," ","Cheyenne CO"," ",2231,1 
"08019","19740","Clear Creek CO","Denver-Aurora, CO Metropolitan Statistical Area",9322,1 
"08021"," ","Conejos CO"," ",8400,1 
"08023"," ","Costilla CO"," ",3663,1 
"08025"," ","Crowley CO"," ",5518,1 
"08027"," ","Custer CO"," ",3503,1 
"08029"," ","Delta CO"," ",27834,1 
"08031","19740","Denver CO","Denver-Aurora, CO Metropolitan Statistical Area",554636,1 
"08033"," ","Dolores CO"," ",1844,1 
"08035","19740","Douglas CO","Denver-Aurora, CO Metropolitan Statistical Area",175766,1 
"08037","20780","Eagle CO","Edwards, CO Micropolitan Statistical Area",41659,1 
"08039","19740","Elbert CO","Denver-Aurora, CO Metropolitan Statistical Area",19872,1 
"08041","17820","El Paso CO","Colorado Springs, CO Metropolitan Statistical Area",516929,1 
"08043","15860","Fremont CO","Canon City, CO Micropolitan Statistical Area",46145,1 
"08045"," ","Garfield CO"," ",43791,1 
"08047","19740","Gilpin CO","Denver-Aurora, CO Metropolitan Statistical Area",4757,1 
"08049"," ","Grand CO"," ",12442,1 
"08051"," ","Gunnison CO"," ",13956,1 
"08053"," ","Hinsdale CO"," ",790,1 
"08055"," ","Huerfano CO"," ",7862,1 
"08057"," ","Jackson CO"," ",1577,1 
"08059","19740","Jefferson CO","Denver-Aurora, CO Metropolitan Statistical Area",527056,1 
"08061"," ","Kiowa CO"," ",1622,1 
"08063"," ","Kit Carson CO"," ",8011,1 
"08065","20780","Lake CO","Edwards, CO Micropolitan Statistical Area",7812,1 
"08067","20420","La Plata CO","Durango, CO Micropolitan Statistical Area",43941,1 
"08069","22660","Larimer CO","Fort Collins-Loveland, CO Metropolitan Statistical Area",251494,1 
"08071"," ","Las Animas CO"," ",15207,1 
"08073"," ","Lincoln CO"," ",6087,1 
"08075","44540","Logan CO","Sterling, CO Micropolitan Statistical Area",20504,1 
"08077","24300","Mesa CO","Grand Junction, CO Metropolitan Statistical Area",116255,1 
"08079"," ","Mineral CO"," ",831,1 
"08081"," ","Moffat CO"," ",13184,1 
"08083"," ","Montezuma CO"," ",23830,1 
"08085","33940","Montrose CO","Montrose, CO Micropolitan Statistical Area",33432,1 
"08087","22820","Morgan CO","Fort Morgan, CO Micropolitan Statistical Area",27171,1 
"08089"," ","Otero CO"," ",20311,1 
"08091"," ","Ouray CO"," ",3742,1 
"08093","19740","Park CO","Denver-Aurora, CO Metropolitan Statistical Area",14523,1 
"08095"," ","Phillips CO"," ",4480,1 
"08097"," ","Pitkin CO"," ",14872,1 
"08099"," ","Prowers CO"," ",14483,1 
"08101","39380","Pueblo CO","Pueblo, CO Metropolitan Statistical Area",141472,1 
"08103"," ","Rio Blanco CO"," ",5986,1 
"08105"," ","Rio Grande CO"," ",12413,1 
"08107"," ","Routt CO"," ",19690,1 
"08109"," ","Saguache CO"," ",5917,1 
"08111"," ","San Juan CO"," ",558,1 
"08113"," ","San Miguel CO"," ",6594,1 
"08115"," ","Sedgwick CO"," ",2747,1 
"08117","43540","Summit CO","Silverthorne, CO Micropolitan Statistical Area",23548,1 
"08119","17820","Teller CO","Colorado Springs, CO Metropolitan Statistical Area",20555,1 
"08121"," ","Washington CO"," ",4926,1 
"08123","19740","Weld CO","Denver-Aurora, CO Metropolitan Statistical Area",10,0 
"08123","24540","Weld CO","Greeley, CO Metropolitan Statistical Area",180926,1 
"08125"," ","Yuma CO"," ",9841,1 
"09001","14860","Fairfield CT","Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",882567,1 
"09003","25540","Hartford CT","Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",857183,1 
"09005","45860","Litchfield CT","Torrington, CT Micropolitan Statistical Area",182193,1 
"09007","25540","Middlesex CT","Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",155071,1 
"09009","35300","New Haven CT","New Haven-Milford, CT Metropolitan Statistical Area",824008,1 
"09011","35980","New London CT","Norwich-New London, CT Metropolitan Statistical Area",259088,1 
"09013","25540","Tolland CT","Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",136364,1 
"09015","48740","Windham CT","Willimantic, CT Micropolitan Statistical Area",109091,1 
"10001","20100","Kent DE","Dover, DE Metropolitan Statistical Area",126697,1 
"10003","37980","New Castle DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",500265,1 
"10005","42580","Sussex DE","Seaford, DE Micropolitan Statistical Area",156638,1 
"11001","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",572059,1 
"12001","23540","Alachua FL","Gainesville, FL Metropolitan Statistical Area",217955,1 
"12003","27260","Baker FL","Jacksonville, FL Metropolitan Statistical Area",22259,1 
"12005","37460","Bay FL","Panama City-Lynn Haven, FL Metropolitan Statistical Area",148217,1 
"12007"," ","Bradford FL"," ",26088,1 
"12009","37340","Brevard FL","Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",476230,1 
"12011","33100","Broward FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",1623018,1 
"12013"," ","Calhoun FL"," ",13017,1 
"12015","39460","Charlotte FL","Punta Gorda, FL Metropolitan Statistical Area",141627,1 
"12017","26140","Citrus FL","Homosassa Springs, FL Micropolitan Statistical Area",118085,1 
"12019","27260","Clay FL","Jacksonville, FL Metropolitan Statistical Area",140814,1 
"12021","34940","Collier FL","Naples-Marco Island, FL Metropolitan Statistical Area",251377,1 
"12023","29380","Columbia FL","Lake City, FL Micropolitan Statistical Area",56513,1 
"12027","11580","DeSoto FL","Arcadia, FL Micropolitan Statistical Area",32209,1 
"12029"," ","Dixie FL"," ",13827,1 
"12031","27260","Duval FL","Jacksonville, FL Metropolitan Statistical Area",778879,1 
"12033","37860","Escambia FL","Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",294410,1 
"12035","37380","Flagler FL","Palm Coast, FL Metropolitan Statistical Area",49832,1 
"12037"," ","Franklin FL"," ",11057,1 
"12039","45220","Gadsden FL","Tallahassee, FL Metropolitan Statistical Area",45087,1 
"12041","23540","Gilchrist FL","Gainesville, FL Metropolitan Statistical Area",14437,1 
"12043"," ","Glades FL"," ",10576,1 
"12045"," ","Gulf FL"," ",13332,1 
"12047"," ","Hamilton FL"," ",13327,1 
"12049","48100","Hardee FL","Wauchula, FL Micropolitan Statistical Area",26938,1 
"12051","17500","Hendry FL","Clewiston, FL Micropolitan Statistical Area",36210,1 
"12053","45300","Hernando FL","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",130802,1 
"12055","42700","Highlands FL","Sebring, FL Micropolitan Statistical Area",87366,1 
"12057","45300","Hillsborough FL","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",998948,1 
"12059"," ","Holmes FL"," ",18564,1 
"12061","42680","Indian River FL","Sebastian-Vero Beach, FL Metropolitan Statistical Area",112947,1 
"12063"," ","Jackson FL"," ",46755,1 
"12065","45220","Jefferson FL","Tallahassee, FL Metropolitan Statistical Area",12902,1 
"12067"," ","Lafayette FL"," ",7022,1 
"12069","36740","Lake FL","Orlando-Kissimmee, FL Metropolitan Statistical Area",210528,1 
"12071","15980","Lee FL","Cape Coral-Fort Myers, FL Metropolitan Statistical Area",440888,1 
"12073","45220","Leon FL","Tallahassee, FL Metropolitan Statistical Area",239452,1 
"12075"," ","Levy FL"," ",34450,1 
"12077"," ","Liberty FL"," ",7021,1 
"12079"," ","Madison FL"," ",18733,1 
"12081","14600","Manatee FL","Bradenton-Sarasota-Venice, FL Metropolitan Statistical Area",264002,1 
"12083","36100","Marion FL","Ocala, FL Metropolitan Statistical Area",258916,1 
"12085","38940","Martin FL","Port St. Lucie, FL Metropolitan Statistical Area",126731,1 
"12086","33100","Miami-Dade FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",2253362,1 
"12087","28580","Monroe FL","Key West, FL Micropolitan Statistical Area",79589,1 
"12089","27260","Nassau FL","Jacksonville, FL Metropolitan Statistical Area",57663,1 
"12091","23020","Okaloosa FL","Fort Walton Beach-Crestview-Destin, FL Metropolitan Statistical Area",170498,1 
"12093","36380","Okeechobee FL","Okeechobee, FL Micropolitan Statistical Area",35910,1 
"12095","36740","Orange FL","Orlando-Kissimmee, FL Metropolitan Statistical Area",896344,1 
"12097","36740","Osceola FL","Orlando-Kissimmee, FL Metropolitan Statistical Area",172493,1 
"12099","33100","Palm Beach FL","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area",1131184,1 
"12101","45300","Pasco FL","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",344765,1 
"12103","45300","Pinellas FL","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",921482,1 
"12105","29460","Polk FL","Lakeland-Winter Haven, FL Metropolitan Statistical Area",483924,1 
