"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"29700","Laredo, TX (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),3643,3862,4167,4470,5027,5450
"29700","Laredo, TX (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),2871,3008,3244,3469,3930,4282
"29700","Laredo, TX (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),6,7,3,5,4,4
"29700","Laredo, TX (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),178,168,264,314,440,508
"29700","Laredo, TX (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),89,82,152,194,"(D)",267
"29700","Laredo, TX (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),6,7,4,5,"(D)",7
"29700","Laredo, TX (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),83,80,108,115,144,234
"29700","Laredo, TX (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),30,36,53,62,55,51
"29700","Laredo, TX (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),124,143,150,164,189,200
"29700","Laredo, TX (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),70,61,52,66,72,70
"29700","Laredo, TX (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),37,36,32,41,43,46
"29700","Laredo, TX (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)",0
"29700","Laredo, TX (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),11,11,10,12,13,14
"29700","Laredo, TX (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(L)","(L)"
"29700","Laredo, TX (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),4,4,4,4,4,4
"29700","Laredo, TX (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",22,"       Other transportation equipment manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(L)","(D)","(L)","(L)"
"29700","Laredo, TX (MSA)",23,"       Furniture and related product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),1,1,1,1,1,1
"29700","Laredo, TX (MSA)",24,"       Miscellaneous manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)",16,13
"29700","Laredo, TX (MSA)",25,"     Nondurable goods",200,GDP by Metropolitan Area (millions of current dollars),33,26,20,25,28,24
"29700","Laredo, TX (MSA)",26,"       Food product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),6,"(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",27,"       Textile and textile product mills",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(L)","(L)","(L)"
"29700","Laredo, TX (MSA)",28,"       Apparel manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)",7,2,2,"(D)",2
"29700","Laredo, TX (MSA)",29,"       Paper manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(L)","(L)"
"29700","Laredo, TX (MSA)",30,"       Printing and related support activities",200,GDP by Metropolitan Area (millions of current dollars),2,2,2,2,2,2
"29700","Laredo, TX (MSA)",31,"       Petroleum and coal products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",0,"(D)","(D)"
"29700","Laredo, TX (MSA)",32,"       Chemical manufacturing",200,GDP by Metropolitan Area (millions of current dollars),5,7,7,11,15,12
"29700","Laredo, TX (MSA)",33,"       Plastics and rubber products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",34,"   Wholesale trade",200,GDP by Metropolitan Area (millions of current dollars),183,205,209,228,241,263
"29700","Laredo, TX (MSA)",35,"   Retail trade",200,GDP by Metropolitan Area (millions of current dollars),392,436,461,468,499,537
"29700","Laredo, TX (MSA)",36,"   Transportation and warehousing, excluding Postal Service",200,GDP by Metropolitan Area (millions of current dollars),513,533,572,632,706,760
"29700","Laredo, TX (MSA)",37,"     Air transportation",200,GDP by Metropolitan Area (millions of current dollars),1,1,2,2,2,2
"29700","Laredo, TX (MSA)",38,"     Rail transportation",200,GDP by Metropolitan Area (millions of current dollars),39,"(D)",45,44,46,51
"29700","Laredo, TX (MSA)",39,"     Water transportation",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(L)","(L)","(L)","(L)","(L)"
"29700","Laredo, TX (MSA)",40,"     Truck transportation",200,GDP by Metropolitan Area (millions of current dollars),150,180,203,249,283,309
"29700","Laredo, TX (MSA)",41,"     Transit and ground passenger transportation",200,GDP by Metropolitan Area (millions of current dollars),24,21,19,18,18,18
"29700","Laredo, TX (MSA)",42,"     Pipeline transportation",200,GDP by Metropolitan Area (millions of current dollars),25,"(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",43,"     Other transportation and support activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",44,"     Warehousing and storage",200,GDP by Metropolitan Area (millions of current dollars),46,33,37,37,50,53
"29700","Laredo, TX (MSA)",45,"   Information",200,GDP by Metropolitan Area (millions of current dollars),54,53,58,64,68,77
"29700","Laredo, TX (MSA)",46,"     Publishing including software",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)",7,8,8,9
"29700","Laredo, TX (MSA)",47,"     Motion picture and sound recording industries",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",48,"     Broadcasting and telecommunications",200,GDP by Metropolitan Area (millions of current dollars),48,45,49,54,57,65
"29700","Laredo, TX (MSA)",49,"     Information and data processing services",200,GDP by Metropolitan Area (millions of current dollars),"(D)",1,"(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",50,"   Finance and insurance",200,GDP by Metropolitan Area (millions of current dollars),224,270,275,263,303,369
"29700","Laredo, TX (MSA)",51,"     Federal Reserve banks, credit intermediation and related services",200,GDP by Metropolitan Area (millions of current dollars),200,241,244,229,270,333
"29700","Laredo, TX (MSA)",52,"     Securities, commodity contracts, investments",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)",10
"29700","Laredo, TX (MSA)",53,"     Insurance carriers and related activities",200,GDP by Metropolitan Area (millions of current dollars),17,23,24,27,25,26
"29700","Laredo, TX (MSA)",54,"     Funds, trusts, and other financial vehicles",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(L)"
"29700","Laredo, TX (MSA)",55,"   Real estate and rental and leasing",200,GDP by Metropolitan Area (millions of current dollars),323,263,291,277,302,404
"29700","Laredo, TX (MSA)",56,"     Real estate",200,GDP by Metropolitan Area (millions of current dollars),262,172,196,197,181,305
"29700","Laredo, TX (MSA)",57,"     Rental and leasing services and lessors of intangible assets",200,GDP by Metropolitan Area (millions of current dollars),60,91,95,80,120,99
"29700","Laredo, TX (MSA)",58,"   Professional and technical services",200,GDP by Metropolitan Area (millions of current dollars),124,121,121,139,139,150
"29700","Laredo, TX (MSA)",62,"   Management of companies and enterprises",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29700","Laredo, TX (MSA)",63,"   Administrative and waste services",200,GDP by Metropolitan Area (millions of current dollars),102,112,106,116,115,129
"29700","Laredo, TX (MSA)",64,"     Administrative and support services",200,GDP by Metropolitan Area (millions of current dollars),66,71,78,87,85,97
"29700","Laredo, TX (MSA)",65,"     Waste management and remediation services",200,GDP by Metropolitan Area (millions of current dollars),36,42,29,29,30,32
"29700","Laredo, TX (MSA)",66,"   Educational services",200,GDP by Metropolitan Area (millions of current dollars),20,20,20,21,21,22
"29700","Laredo, TX (MSA)",67,"   Health care and social assistance",200,GDP by Metropolitan Area (millions of current dollars),279,309,318,338,368,390
"29700","Laredo, TX (MSA)",68,"     Ambulatory health care services",200,GDP by Metropolitan Area (millions of current dollars),146,159,163,175,208,231
"29700","Laredo, TX (MSA)",69,"     Hospitals and nursing and residential care facilities",200,GDP by Metropolitan Area (millions of current dollars),98,110,116,122,114,116
"29700","Laredo, TX (MSA)",70,"     Social assistance",200,GDP by Metropolitan Area (millions of current dollars),35,40,39,41,46,43
"29700","Laredo, TX (MSA)",71,"   Arts, entertainment, and recreation",200,GDP by Metropolitan Area (millions of current dollars),10,14,17,26,26,25
"29700","Laredo, TX (MSA)",72,"     Performing arts, museums, and related activities",200,GDP by Metropolitan Area (millions of current dollars),2,3,3,"(D)",8,8
"29700","Laredo, TX (MSA)",73,"     Amusement, gambling, and recreation",200,GDP by Metropolitan Area (millions of current dollars),8,11,14,"(D)",18,18
"29700","Laredo, TX (MSA)",74,"   Accommodation and food services",200,GDP by Metropolitan Area (millions of current dollars),123,136,144,156,162,173
"29700","Laredo, TX (MSA)",75,"     Accommodation",200,GDP by Metropolitan Area (millions of current dollars),35,28,27,29,27,28
"29700","Laredo, TX (MSA)",76,"     Food services and drinking places",200,GDP by Metropolitan Area (millions of current dollars),88,108,118,127,136,146
"29700","Laredo, TX (MSA)",77,"   Other services, except government",200,GDP by Metropolitan Area (millions of current dollars),108,112,119,121,132,143
