state, city, university
AL,Auburn,Auburn University    
AL,Jacksonville,Jacksonville State University    
AL,Livingston,University of West Alabama    
AL,Montevallo,University of Montevallo    
AL,Troy,Troy University    
AL,Tuscaloosa,University of Alabama
AL,Tuskegee,Tuskegee University
AK,Fairbanks,University of Alaska Fairbanks    
AZ,Flagstaff,Arizona State University
AR,Arkadelphia,Henderson State University    
AR,Conway,University of Central Arkansas    
AR,Fayetteville,University of Arkansas
AR,Jonesboro,Arkansas State University
AR,Magnolia,Southern Arkansas University    
AR,Monticello,University of Arkansas at Monticello    
AR,Russellville,Arkansas Tech University    
AR,Searcy,Harding University
CA,Angwin,Pacific Union College    
CA,Arcata,Humboldt State University
CA,Berkeley,University of California Berkeley
CA,Chico,California State University Chico    
CA,Claremont,Claremont Colleges
CA,Davis,University of California Davis    
CA,Isla Vista,University of California Santa Barbara    
CA,Palo Alto,Stanford University
CA,Pomona,Cal Poly Pomona
CA,Redlands,University of Redlands
CA,Santa Cruz,University of California Santa Cruz    
CO,Alamosa,Adams State College    
CO,Boulder,University of Colorado at Boulder
CO,Durango,Fort Lewis College    
CO,Fort Collins,Colorado State University
CO,Gunnison,Western State College    
CT,New Haven,Yale University
CT,Storrs,University of Connecticut    
CT,Willimantic,Eastern Connecticut State University    
DE,Newark,University of Delaware    
FL,De Land,Stetson University
FL,Gainesville,University of Florida
FL,Tallahassee,Florida State University
GA,Athens,University of Georgia
GA,Carrollton,University of West Georgia    
GA,Dahlonega,North Georgia College & State University    
GA,Demorest,Piedmont College    
GA,Fort Valley,Fort Valley State University    
GA,Milledgeville,Georgia College & State University    
GA,Mount Vernon,Brewton-Parker College    
GA,Statesboro,Georgia Southern University
GA,Valdosta,Valdosta State University    
GA,Waleska,Reinhardt College    
ID,Moscow,University of Idaho    
ID,Pocatello,Idaho State University    
IL,Carbondale,Southern Illinois University Carbondale
IL,Champaign-Urbana,University of Illinois at Urbana-Champaign
IL,Charleston,Eastern Illinois University    
IL,DeKalb,Northern Illinois University    
IL,Edwardsville,Southern Illinois University Edwardsville    
IL,Evanston,Northwestern University
IL,Lebanon,McKendree University    
IL,Macomb,Western Illinois University    
IL,Normal,Illinois State University    
IN,Bloomington,Indiana University Bloomington
IN,Greencastle,DePauw University
IN,Hanover,Hanover College    
IN,Marion,Indiana Wesleyan University    
IN,Muncie,Ball State University    
IN,Notre Dame,University of Notre Dame    
IN,Oakland City,Oakland City University    
IN,Terre Haute,Indiana State University    
IN,Upland,Taylor University    
IN,West Lafayette,Purdue University    
IA,Ames,Iowa State University    
IA,Cedar Falls,University of Northern Iowa    
IA,Decorah,Luther College
IA,Fayette,Upper Iowa University    
IA,Grinnell,Grinnell College
IA,Iowa City,University of Iowa
IA,Lamoni,Graceland University    
IA,Orange City,Northwestern College    
IA,Sioux Center,Dordt College    
IA,Storm Lake,Buena Vista University    
IA,Waverly,Wartburg College    
KS,Baldwin City,Baker University
KS,Emporia,Emporia State University    
KS,Hays,Fort Hays State University    
KS,Lawrence,University of Kansas
KS,Manhattan,Kansas State University
KS,Pittsburg,Pittsburg State University    
KY,Bowling Green,Western Kentucky University    
