"city","state","county","latitude","longitude","fips_place","fips_county","fips_cbsa","fips_csa","fips_st","msa_name"
"Muscle Shoals","AL","Colbert",34.747117,-87.642039,53016,33,22520,NA,1,"Florence-Muscle Shoals, AL"
"Fort Payne","AL","DeKalb",34.453792,-85.69444,27616,49,22840,NA,1,"Fort Payne, AL"
"Gadsden","AL","Etowah",34.01,-86.014405,28696,55,23460,NA,1,"Gadsden, AL"
"Huntsville","AL","Madison",34.707048,-86.627723,37000,89,26620,290,1,"Huntsville, AL"
"Huntsville","AL","Limestone",34.707048,-86.627723,37000,83,26620,290,1,"Huntsville, AL"
"Huntsville","AL","Madison",34.707048,-86.627723,37000,89,26620,290,1,"Huntsville, AL"
"Huntsville","AL","Limestone",34.707048,-86.627723,37000,83,26620,290,1,"Huntsville, AL"
"Mobile","AL","Mobile",30.67745,-88.088959,50000,97,33660,380,1,"Mobile, AL"
"Montgomery","AL","Autauga",32.3544,-86.284287,51000,1,33860,388,1,"Montgomery, AL"
"Montgomery","AL","Lowndes",32.3544,-86.284287,51000,85,33860,388,1,"Montgomery, AL"
"Montgomery","AL","Montgomery",32.3544,-86.284287,51000,101,33860,388,1,"Montgomery, AL"
"Montgomery","AL","Elmore",32.3544,-86.284287,51000,51,33860,388,1,"Montgomery, AL"
"Scottsboro","AL","Jackson",34.649346,-86.047376,68736,71,42460,NA,1,"Scottsboro, AL"
"Selma","AL","Dallas",32.416084,-87.032952,69120,47,42820,NA,1,"Selma, AL"
"Sylacauga","AL","Talladega",33.175958,-86.261318,74352,121,45180,NA,1,"Talladega-Sylacauga, AL"
"Talladega","AL","Talladega",33.432048,-86.098001,74592,121,45180,NA,1,"Talladega-Sylacauga, AL"
"Troy","AL","Pike",31.804118,-85.968163,76920,109,45980,NA,1,"Troy, AL"
"Tuscaloosa","AL","Tuscaloosa",33.2377,-87.540979,77256,125,46220,NA,1,"Tuscaloosa, AL"
"Tuscaloosa","AL","Greene",33.2377,-87.540979,77256,63,46220,NA,1,"Tuscaloosa, AL"
"Tuscaloosa","AL","Hale",33.2377,-87.540979,77256,65,46220,NA,1,"Tuscaloosa, AL"
"Tuskegee","AL","Macon",32.437748,-85.711143,77304,87,46260,194,1,"Tuskegee, AL"
"Valley","AL","Chambers",32.809037,-85.173016,78204,17,46740,122,1,"Valley, AL"
"Adamsville","AL",NA,33.595542,-86.957993,460,NA,NA,NA,1,NA
"Addison","AL",NA,34.19994,-87.177921,484,NA,NA,NA,1,NA
"Akron","AL",NA,32.876118,-87.738779,676,NA,NA,NA,1,NA
"Alabaster","AL",NA,33.226547,-86.82462,820,NA,NA,NA,1,NA
"Aliceville","AL",NA,33.125078,-88.157999,1228,NA,NA,NA,1,NA
"Allgood","AL",NA,33.90643,-86.518044,1396,NA,NA,NA,1,NA
"Altoona","AL",NA,34.031381,-86.313552,1660,NA,NA,NA,1,NA
"Andalusia","AL",NA,31.307638,-86.48144,1708,NA,NA,NA,1,NA
"Anderson","AL",NA,34.91351,-87.270552,1756,NA,NA,NA,1,NA
"Arab","AL",NA,34.329635,-86.500127,2116,NA,NA,NA,1,NA
"Ardmore","AL",NA,34.98336,-86.836627,2260,NA,NA,NA,1,NA
"Argo","AL",NA,33.686661,-86.51003,2320,NA,NA,NA,1,NA
"Ariton","AL",NA,31.598373,-85.715372,2428,NA,NA,NA,1,NA
"Arley","AL",NA,34.084983,-87.210631,2500,NA,NA,NA,1,NA
"Ashford","AL",NA,31.185801,-85.234603,2836,NA,NA,NA,1,NA
"Ashland","AL",NA,33.270967,-85.8307,2860,NA,NA,NA,1,NA
"Ashville","AL",NA,33.834691,-86.264011,2908,NA,NA,NA,1,NA
"Athens","AL",NA,34.786009,-86.959899,2956,NA,NA,NA,1,NA
"Atmore","AL",NA,31.021694,-87.495438,3004,NA,NA,NA,1,NA
"Attalla","AL",NA,34.009983,-86.101863,3028,NA,NA,NA,1,NA
"Autaugaville","AL",NA,32.430993,-86.655798,3220,NA,NA,NA,1,NA
"Avon","AL",NA,31.180293,-85.276624,3364,NA,NA,NA,1,NA
"Babbie","AL",NA,31.300292,-86.31934,3556,NA,NA,NA,1,NA
"Baileyton","AL",NA,34.262079,-86.613498,3676,NA,NA,NA,1,NA
"Banks","AL",NA,31.814278,-85.838337,3940,NA,NA,NA,1,NA
"Bay Minette","AL",NA,30.880776,-87.776975,4660,NA,NA,NA,1,NA
"Bayou La Batre","AL",NA,30.403663,-88.250086,4684,NA,NA,NA,1,NA
"Bear Creek","AL",NA,34.260539,-87.715574,4852,NA,NA,NA,1,NA
"Beatrice","AL",NA,31.733754,-87.209042,4900,NA,NA,NA,1,NA
"Beaverton","AL",NA,33.93433,-88.021408,4948,NA,NA,NA,1,NA
"Belk","AL",NA,33.648083,-87.927732,5164,NA,NA,NA,1,NA
"Benton","AL",NA,32.307439,-86.817579,5692,NA,NA,NA,1,NA
"Berry","AL",NA,33.663185,-87.607693,5932,NA,NA,NA,1,NA
"Bessemer","AL",NA,33.375236,-86.960601,5980,NA,NA,NA,1,NA
"Billingsley","AL",NA,32.660336,-86.708534,6460,NA,NA,NA,1,NA
"Black","AL",NA,31.009386,-85.74321,7120,NA,NA,NA,1,NA
"Blountsville","AL",NA,34.080871,-86.588414,7456,NA,NA,NA,1,NA
"Blue Mountain","AL",NA,33.688517,-85.837612,7552,NA,NA,NA,1,NA
"Blue Ridge","AL",NA,32.492484,-86.190617,7588,NA,NA,NA,1,NA
"Blue Springs","AL",NA,31.660501,-85.503092,7672,NA,NA,NA,1,NA
"Boaz","AL",NA,34.202618,-86.155491,7912,NA,NA,NA,1,NA
"Boligee","AL",NA,32.753,-88.024254,8104,NA,NA,NA,1,NA
"Bon Air","AL",NA,33.261319,-86.338052,8248,NA,NA,NA,1,NA
"Branchville","AL",NA,33.66112,-86.427038,8920,NA,NA,NA,1,NA
"Brantley","AL",NA,31.581672,-86.256677,9016,NA,NA,NA,1,NA
"Brent","AL",NA,32.942269,-87.176219,9136,NA,NA,NA,1,NA
"Brewton","AL",NA,31.114611,-87.072837,9208,NA,NA,NA,1,NA
"Bridgeport","AL",NA,34.944425,-85.719003,9328,NA,NA,NA,1,NA
"Brighton","AL",NA,33.43885,-86.945474,9400,NA,NA,NA,1,NA
"Brilliant","AL",NA,34.016723,-87.77581,9424,NA,NA,NA,1,NA
"Brookside","AL",NA,33.631931,-86.914741,9736,NA,NA,NA,1,NA
"Brookwood","AL",NA,33.247178,-87.323908,9808,NA,NA,NA,1,NA
"Brundidge","AL",NA,31.718862,-85.815274,10240,NA,NA,NA,1,NA
"Butler","AL",NA,32.093844,-88.216721,11032,NA,NA,NA,1,NA
"Bynum","AL",NA,33.605546,-85.957464,11128,NA,NA,NA,1,NA
"Cahaba Heights","AL",NA,33.4596,-86.728199,11248,NA,NA,NA,1,NA
"Calera","AL",NA,33.101269,-86.753675,11416,NA,NA,NA,1,NA
"Camden","AL",NA,32.002958,-87.298274,11512,NA,NA,NA,1,NA
"Camp Hill","AL",NA,32.800119,-85.653335,11680,NA,NA,NA,1,NA
"Carbon Hill","AL",NA,33.895817,-87.525037,12016,NA,NA,NA,1,NA
"Cardiff","AL",NA,33.646128,-86.92896,12040,NA,NA,NA,1,NA
"Carolina","AL",NA,31.231348,-86.52065,12160,NA,NA,NA,1,NA
"Carrollton","AL",NA,33.261794,-88.095124,12304,NA,NA,NA,1,NA
"Castleberry","AL",NA,31.29978,-87.028508,12496,NA,NA,NA,1,NA
"Cedar Bluff","AL",NA,34.220512,-85.596037,12760,NA,NA,NA,1,NA
"Center Point","AL",NA,33.643133,-86.678764,13264,NA,NA,NA,1,NA
"Centre","AL",NA,34.153021,-85.671733,13648,NA,NA,NA,1,NA
"Centreville","AL",NA,32.95889,-87.132713,13672,NA,NA,NA,1,NA
"Chatom","AL",NA,31.469889,-88.25378,14008,NA,NA,NA,1,NA
"Chelsea","AL",NA,33.326283,-86.637432,14104,NA,NA,NA,1,NA
"Cherokee","AL",NA,34.756365,-87.966692,14152,NA,NA,NA,1,NA
"Chickasaw","AL",NA,30.77255,-88.084086,14392,NA,NA,NA,1,NA
"Childersburg","AL",NA,33.279405,-86.353329,14464,NA,NA,NA,1,NA
"Citronelle","AL",NA,31.096088,-88.249861,15064,NA,NA,NA,1,NA
"Clanton","AL",NA,32.840013,-86.624704,15136,NA,NA,NA,1,NA
"Clayhatchee","AL",NA,31.23757,-85.712745,15304,NA,NA,NA,1,NA
"Clayton","AL",NA,31.880663,-85.451167,15376,NA,NA,NA,1,NA
"Cleveland","AL",NA,33.994936,-86.570521,15472,NA,NA,NA,1,NA
"Clio","AL",NA,31.709276,-85.610549,15640,NA,NA,NA,1,NA
"Coffee Springs","AL",NA,31.166567,-85.909898,16240,NA,NA,NA,1,NA
"Coffeeville","AL",NA,31.764206,-88.088292,16264,NA,NA,NA,1,NA
"Collinsville","AL",NA,34.266551,-85.863044,16600,NA,NA,NA,1,NA
"Colony","AL",NA,33.941382,-86.901185,16684,NA,NA,NA,1,NA
"Columbia","AL",NA,31.297227,-85.109066,16744,NA,NA,NA,1,NA
"Columbiana","AL",NA,33.177005,-86.600822,16768,NA,NA,NA,1,NA
"Coosada","AL",NA,32.495833,-86.330192,17176,NA,NA,NA,1,NA
"Cordova","AL",NA,33.76065,-87.192757,17368,NA,NA,NA,1,NA
"Cottonwood","AL",NA,31.055584,-85.301372,17824,NA,NA,NA,1,NA
"County Line","AL",NA,33.820967,-86.722833,17968,NA,NA,NA,1,NA
"County Line","AL",NA,31.284426,-86.200746,17992,NA,NA,NA,1,NA
"Courtland","AL",NA,34.668861,-87.316645,18040,NA,NA,NA,1,NA
"Cowarts","AL",NA,31.199398,-85.30634,18088,NA,NA,NA,1,NA
"Creola","AL",NA,30.8969,-88.009802,18304,NA,NA,NA,1,NA
"Crossville","AL",NA,34.286278,-85.993551,18856,NA,NA,NA,1,NA
"Cuba","AL",NA,32.440602,-88.374257,18952,NA,NA,NA,1,NA
"Dadeville","AL",NA,32.831922,-85.765204,19336,NA,NA,NA,1,NA
"Daleville","AL",NA,31.300833,-85.716212,19360,NA,NA,NA,1,NA
"Dauphin Island","AL",NA,30.249243,-88.172996,19744,NA,NA,NA,1,NA
"Daviston","AL",NA,33.05513,-85.639208,19816,NA,NA,NA,1,NA
"Dayton","AL",NA,32.351726,-87.642865,19912,NA,NA,NA,1,NA
"Demopolis","AL",NA,32.500546,-87.83417,20296,NA,NA,NA,1,NA
"Detroit","AL",NA,34.026203,-88.168793,20392,NA,NA,NA,1,NA
"Dora","AL",NA,33.731426,-87.083205,21136,NA,NA,NA,1,NA
"Double Springs","AL",NA,34.148362,-87.403137,21280,NA,NA,NA,1,NA
"Douglas","AL",NA,34.171471,-86.321247,21328,NA,NA,NA,1,NA
"Dozier","AL",NA,31.503627,-86.37166,21448,NA,NA,NA,1,NA
"Dutton","AL",NA,34.607554,-85.915588,21952,NA,NA,NA,1,NA
"East Brewton","AL",NA,31.09058,-87.05531,22216,NA,NA,NA,1,NA
"Eclectic","AL",NA,32.636763,-86.03474,22816,NA,NA,NA,1,NA
"Edwardsville","AL",NA,33.706678,-85.509838,23176,NA,NA,NA,1,NA
"Elba","AL",NA,31.417151,-86.075176,23296,NA,NA,NA,1,NA
"Elberta","AL",NA,30.413442,-87.60079,23320,NA,NA,NA,1,NA
"Eldridge","AL",NA,33.921959,-87.619773,23344,NA,NA,NA,1,NA
"Elkmont","AL",NA,34.928429,-86.975875,23488,NA,NA,NA,1,NA
"Emelle","AL",NA,32.728537,-88.315248,23872,NA,NA,NA,1,NA
"Epes","AL",NA,32.691719,-88.125964,24256,NA,NA,NA,1,NA
"Ethelsville","AL",NA,33.414193,-88.216261,24472,NA,NA,NA,1,NA
"Eunola","AL",NA,31.038587,-85.845481,24616,NA,NA,NA,1,NA
"Eutaw","AL",NA,32.840605,-87.89148,24664,NA,NA,NA,1,NA
"Eva","AL",NA,34.330415,-86.755855,24688,NA,NA,NA,1,NA
"Evergreen","AL",NA,31.437392,-86.955023,24808,NA,NA,NA,1,NA
"Excel","AL",NA,31.426167,-87.342419,24880,NA,NA,NA,1,NA
"Fairfield","AL",NA,33.473,-86.917717,25120,NA,NA,NA,1,NA
"Fairview","AL",NA,34.24679,-86.687441,25384,NA,NA,NA,1,NA
"Falkville","AL",NA,34.376935,-86.90972,25648,NA,NA,NA,1,NA
"Faunsdale","AL",NA,32.459085,-87.593247,25816,NA,NA,NA,1,NA
"Fayette","AL",NA,33.694009,-87.831361,25840,NA,NA,NA,1,NA
"Five Points","AL",NA,33.017066,-85.351261,26200,NA,NA,NA,1,NA
"Flint City","AL",NA,34.5155,-86.972787,26800,NA,NA,NA,1,NA
"Flomaton","AL",NA,31.016388,-87.254564,26824,NA,NA,NA,1,NA
"Florala","AL",NA,31.021113,-86.308454,26848,NA,NA,NA,1,NA
"Forestdale","AL",NA,33.57925,-86.902874,27088,NA,NA,NA,1,NA
"Forkland","AL",NA,32.647569,-87.867223,27376,NA,NA,NA,1,NA
"Fort Deposit","AL",NA,31.985854,-86.576236,27520,NA,NA,NA,1,NA
"Fort McClellan","AL",NA,33.718825,-85.79072,27544,NA,NA,NA,1,NA
"Fort Rucker","AL",NA,31.343401,-85.715143,27640,NA,NA,NA,1,NA
"Franklin","AL",NA,32.45525,-85.80279,28024,NA,NA,NA,1,NA
"Frisco City","AL",NA,31.434326,-87.403563,28312,NA,NA,NA,1,NA
"Fruithurst","AL",NA,33.730255,-85.43186,28432,NA,NA,NA,1,NA
"Fulton","AL",NA,31.793557,-87.741064,28504,NA,NA,NA,1,NA
"Fultondale","AL",NA,33.617286,-86.80009,28552,NA,NA,NA,1,NA
"Fyffe","AL",NA,34.45098,-85.906355,28672,NA,NA,NA,1,NA
"Gainesville","AL",NA,32.815274,-88.159585,28768,NA,NA,NA,1,NA
"Gantt","AL",NA,31.408724,-86.484638,28936,NA,NA,NA,1,NA
"Gantts Quarry","AL",NA,33.148196,-86.299365,28984,NA,NA,NA,1,NA
"Garden City","AL",NA,34.014782,-86.750077,29032,NA,NA,NA,1,NA
"Gardendale","AL",NA,33.665221,-86.800561,29056,NA,NA,NA,1,NA
"Gaylesville","AL",NA,34.267902,-85.558283,29296,NA,NA,NA,1,NA
"Geiger","AL",NA,32.873693,-88.313368,29392,NA,NA,NA,1,NA
"Geneva","AL",NA,31.036639,-85.876779,29464,NA,NA,NA,1,NA
"Georgiana","AL",NA,31.636437,-86.74243,29560,NA,NA,NA,1,NA
"Geraldine","AL",NA,34.360848,-86.002983,29608,NA,NA,NA,1,NA
"Gilbertown","AL",NA,31.875678,-88.31878,29704,NA,NA,NA,1,NA
"Glen Allen","AL",NA,33.884827,-87.744118,29944,NA,NA,NA,1,NA
"Glencoe","AL",NA,33.946233,-85.931225,29992,NA,NA,NA,1,NA
"Glenwood","AL",NA,31.666077,-86.172433,30160,NA,NA,NA,1,NA
