COMBINED STATISTICAL AREAS AND COMPONENT CORE BASED STATISTICAL AREAS, November 2007, WITH CODES

(Combined statistical areas defined by the Office of Management and Budget, November 2007)
206  11980     Athens, TX Micropolitan Statistical Area
206  14300     Bonham, TX Micropolitan Statistical Area
206  19100     Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area
206  23620     Gainesville, TX Micropolitan Statistical Area
206  24180     Granbury, TX Micropolitan Statistical Area
206  33420     Mineral Wells, TX Micropolitan Statistical Area
206  43300     Sherman-Denison, TX Metropolitan Statistical Area

212         Dayton-Springfield-Greenville, OH Combined Statistical Area
212  19380     Dayton, OH Metropolitan Statistical Area
212  24820     Greenville, OH Micropolitan Statistical Area
212  44220     Springfield, OH Metropolitan Statistical Area
212  46500     Urbana, OH Micropolitan Statistical Area

216         Denver-Aurora-Boulder, CO Combined Statistical Area
216  14500     Boulder, CO Metropolitan Statistical Area
216  19740     Denver-Aurora, CO Metropolitan Statistical Area
216  24540     Greeley, CO Metropolitan Statistical Area

218         Des Moines-Newton-Pella, IA Combined Statistical Area
218  19780     Des Moines-West Des Moines, IA Metropolitan Statistical Area
218  35500     Newton, IA Micropolitan Statistical Area
218  37800     Pella, IA Micropolitan Statistical Area

220         Detroit-Warren-Flint, MI Combined Statistical Area
220  11460     Ann Arbor, MI Metropolitan Statistical Area
220  19820     Detroit-Warren-Livonia, MI Metropolitan Statistical Area
220  22420     Flint, MI Metropolitan Statistical Area
220  33780     Monroe, MI Metropolitan Statistical Area

222         Dothan-Enterprise-Ozark, AL Combined Statistical Area
222  20020     Dothan, AL Metropolitan Statistical Area
222  21460     Enterprise-Ozark, AL Micropolitan Statistical Area

232         Eau Claire-Menomonie, WI Combined Statistical Area
232  20740     Eau Claire, WI Metropolitan Statistical Area
232  32860     Menomonie, WI Micropolitan Statistical Area

242         Fairmont-Clarksburg, WV Combined Statistical Area
242  17220     Clarksburg, WV Micropolitan Statistical Area
242  21900     Fairmont, WV Micropolitan Statistical Area

244         Fargo-Wahpeton, ND-MN Combined Statistical Area
244  22020     Fargo, ND-MN Metropolitan Statistical Area
244  47420     Wahpeton, ND-MN Micropolitan Statistical Area

248         Findlay-Tiffin, OH Combined Statistical Area
248  22300     Findlay, OH Micropolitan Statistical Area
248  45660     Tiffin, OH Micropolitan Statistical Area

252         Fond du Lac-Beaver Dam, WI Combined Statistical Area
252  13180     Beaver Dam, WI Micropolitan Statistical Area
252  22540     Fond du Lac, WI Metropolitan Statistical Area

256         Fort Polk South-De Ridder, LA Combined Statistical Area
256  19760     De Ridder, LA Micropolitan Statistical Area
256  22860     Fort Polk South, LA Micropolitan Statistical Area

258         Fort Wayne-Huntington-Auburn, IN Combined Statistical Area
258  12140     Auburn, IN Micropolitan Statistical Area
258  19540     Decatur, IN Micropolitan Statistical Area
258  23060     Fort Wayne, IN Metropolitan Statistical Area
258  26540     Huntington, IN Micropolitan Statistical Area
258  28340     Kendallville, IN Micropolitan Statistical Area

260         Fresno-Madera, CA Combined Statistical Area
260  23420     Fresno, CA Metropolitan Statistical Area
260  31460     Madera, CA Metropolitan Statistical Area

266         Grand Rapids-Muskegon-Holland, MI Combined Statistical Area
266  10880     Allegan, MI Micropolitan Statistical Area
266  24340     Grand Rapids-Wyoming, MI Metropolitan Statistical Area
266  26100     Holland-Grand Haven, MI Metropolitan Statistical Area
266  34740     Muskegon-Norton Shores, MI Metropolitan Statistical Area

268         Greensboro--Winston-Salem--High Point, NC Combined Statistical Area
268  15500     Burlington, NC Metropolitan Statistical Area
268  24660     Greensboro-High Point, NC Metropolitan Statistical Area
268  34340     Mount Airy, NC Micropolitan Statistical Area
268  45640     Thomasville-Lexington, NC Micropolitan Statistical Area
268  49180     Winston-Salem, NC Metropolitan Statistical Area

273         Greenville-Spartanburg-Anderson, SC Combined Statistical Area         
273  11340     Anderson, SC Metropolitan Statistical Area
