CONTROL,SMSA,PERSON,PASS,TRAN,TIMEJ,DISTJ,WHHRW,WHHRB,AMPM,HJOB,VEHCL,WHDY,WHOME,WINUS,WTIME,JTRAN,JVEHCL,JPASS,JTIMEJ,JDISTJ,JWTIME,JWHHRW,JWHHRB,JWHDY
'000000000025','8280',1,-6,1,60,35,-6,0,'1','1','1','-6','2','-9','0530','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000025','8280',3,-6,1,5,2,-6,0,'2','1','1','-6','2','-9','0500','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000025','8840',1,-6,1,60,60,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000026','3360',1,-6,1,40,27,-6,0,'1','1','1','-6','2','-9','0715','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000026','3360',2,-6,2,30,20,-6,0,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000026','5120',1,-6,1,20,20,-6,2,'2','1','1','-6','2','-9','1100','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000026','5120',2,-6,1,20,20,-6,2,'1','1','1','-6','2','-9','0700','-9','-9','-9','-9','1','-9','-9','-9','-9'
'000000000027','0720',2,-6,1,10,4,-6,0,'1','1','1','-6','2','-9','0500','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000000027','1120',1,-6,12,996,996,40,40,'-6','1','-6','5','1','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
'000000000027','1120',2,-6,12,996,996,-6,20,'-6','2','-6','-6','2','-9','-6','-9','-9','-9','1','1','-9','-9','-9','-9'
