CONTROL,SMSA,XINUS,XPER,XCOND,XCOOP,XCOST,XHEAD,XREL,XTEN,XUNIT,RMOV,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000001212','5120','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001213','1120','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001214','5000','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001214','5000','-9',2,'2','-6','1','2','1','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001215','5120','-9',5,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001216','1120','-9',-7,'2','-6','1','1','-6','1','2',1,'1','-9','-9','-9','1','-9'
'000000001218','8280','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000001219','5000','-9',3,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001220','1120','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000001225','5000','-9',2,'2','-6','1','1','-6','3','2',1,'1','-9','-9','-9','-9','-9'
'000000001225','5120','-9',-7,'-9','-6','-9','-9','-6','3','-9',-9,'1','1','1','-9','1','-9'
'000000001228','5120','-9',-7,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','1','-9'
'000000001228','8840','-9',4,'3','-6','3','2','1','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001229','8840','-9',3,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001230','5120','-9',3,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001232','8840','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001232','8840','1',-6,'-6','-6','-6','-6','-6','-6','-6',2,'2','-9','-9','-9','1','-9'
'000000001237','5000','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000001237','8840','-9',3,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001238','5120','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001238','5120','-9',3,'3','-6','-7','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001239','5000','-9',-7,'3','-6','1','-9','-6','2','2',1,'1','-9','-9','-9','1','-9'
'000000001239','5120','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001239','5120','-9',3,'3','-6','1','2','1','1','1',2,'2','-9','-9','-9','-9','-9'
'000000001239','5120','-9',-6,'-6','-6','-6','-6','-6','-6','4',3,'3','-9','-9','-9','1','-9'
'000000001239','8280','-9',-7,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','1','-9'
'000000001239','8280','-9',3,'3','-6','1','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001239','8840','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001240','1120','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001243','5120','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001243','8280','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001244','8840','-9',5,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001246','5000','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001250','5000','-9',4,'-7','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001253','8840','-9',4,'4','-6','2','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001254','3360','-9',-7,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'000000001255','5120','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001257','0720','-9',2,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001260','3360','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001260','5120','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001261','3360','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001261','5120','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000001268','5000','-9',3,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001269','5120','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001269','8840','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001270','5000','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001270','5120','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000001270','5120','-9',-6,'-6','-6','-6','-6','-6','-6','4',2,'2','-9','-9','-9','1','-9'
'000000001272','5000','-9',2,'2','-6','2','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001279','3360','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001279','5120','-9',3,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001279','8840','-9',6,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001280','0720','-9',3,'4','-6','2','2','2','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001281','3360','-9',4,'3','-6','2','2','1','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001283','8280','-9',-7,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'000000001283','8840','-9',4,'3','-6','3','2','1','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001285','5120','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001287','1120','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001288','8840','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000001291','8840','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000001298','1120','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001300','5000','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000001303','3360','-9',3,'2','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001305','5000','-9',4,'3','-6','1','1','-6','1','3',1,'1','-9','-9','-9','-9','-9'
'000000001307','8840','-9',2,'3','-6','3','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001307','8840','-9',3,'3','-6','3','2','2','2','1',2,'2','-9','-9','-9','-9','-9'
'000000001307','8840','1',-6,'-6','-6','-6','-6','-6','-6','-6',3,'3','-9','-9','-9','1','-9'
'000000001308','8280','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001309','5120','-9',3,'3','-6','3','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001310','3360','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001310','8280','-9',4,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001314','8840','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001315','0720','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001317','8280','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001319','5120','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001321','1120','-9',4,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001322','1120','-9',3,'3','-6','2','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001322','5000','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001326','5000','-9',4,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001327','3360','-9',1,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'000000001327','5000','-9',6,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001329','8280','-9',5,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001330','5120','-9',2,'3','-6','2','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001332','0720','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001332','0720','-9',1,'3','-6','1','1','-6','1','1',2,'2','-9','-9','-9','-9','1'
'000000001338','1120','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001339','8280','-9',-7,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'000000001344','3360','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001345','8840','-9',6,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001352','1120','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001353','8280','-9',2,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001355','1120','-9',-7,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','1','-9'
'000000001355','8280','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001356','3360','-9',4,'2','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001356','8840','-9',1,'3','-6','4','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'000000001357','5000','-9',5,'2','-6','4','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001360','8840','-9',2,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001363','3360','-9',2,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001368','5000','-9',5,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001368','8280','-9',7,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001370','3360','-9',2,'2','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001373','1120','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001374','5000','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000001378','0720','-9',-7,'4','-6','3','1','-6','2','2',1,'1','-9','-9','-9','1','-9'
'000000001378','5000','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001380','5000','-9',3,'2','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001380','8280','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001380','8840','-9',-7,'-7','-6','3','-7','-6','1','1',1,'1','-9','1','1','-9','-9'
'000000001383','8280','-9',-7,'3','-6','-7','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001384','8280','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001386','8280','-9',5,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001387','0720','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001395','8280','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001402','3360','-9',5,'3','-6','2','1','-6','3','1',1,'1','-9','-9','-9','-9','-9'
'000000001402','8280','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001405','0720','-9',3,'3','-6','2','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001408','0720','-9',1,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'000000001409','0720','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001418','8840','-9',4,'3','-6','2','2','2','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001418','8840','-9',3,'3','-6','2','2','2','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001418','8840','-9',2,'3','-6','2','2','2','2','2',3,'3','-9','-9','-9','-9','-9'
'000000001419','3360','-9',4,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001419','5000','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001421','8280','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001421','8840','-9',4,'2','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001422','1120','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001426','5000','-9',2,'2','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001426','5000','-9',1,'3','-6','1','1','-6','2','2',2,'2','-9','-9','-9','-9','1'
'000000001426','5120','-9',2,'4','-6','2','2','2','1','2',1,'1','-9','-9','-9','-9','-9'
'000000001428','5120','-9',1,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','1'
'000000001428','8280','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001430','8280','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001431','0720','-9',7,'3','-6','4','2','1','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001431','0720','-9',2,'3','-6','4','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001432','0720','-9',4,'3','-6','2','2','2','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001432','0720','-9',-7,'-7','-6','4','-7','-6','2','-7',2,'2','-9','1','-9','-9','-9'
'000000001434','1120','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000001436','5000','-9',-7,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'000000001437','5120','-9',-7,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'000000001438','5120','-9',4,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001439','1120','-9',3,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001442','8840','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001442','8840','-9',2,'3','-6','3','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001444','8280','-9',3,'3','-6','2','2','-7','2','1',1,'1','-9','1','-9','-9','-9'
'000000001449','8840','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001449','8840','-9',1,'2','-6','2','1','-6','2','2',2,'2','-9','-9','-9','-9','1'
'000000001450','5120','-9',4,'3','-6','4','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001452','1120','-9',4,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001452','1120','-9',5,'3','-6','2','2','1','1','1',2,'2','-9','-9','-9','-9','-9'
'000000001452','5120','-9',-7,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'000000001453','1120','-9',3,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001457','5120','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'000000001457','5120','-9',3,'4','-6','3','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001457','5120','-9',2,'3','-6','3','2','1','2','1',3,'3','-9','-9','-9','-9','-9'
'000000001458','5000','-9',1,'3','-6','4','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001458','5120','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001459','5120','-9',2,'2','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001460','5120','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'000000001460','5120','-9',4,'3','-6','1','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001463','0720','-9',-7,'-9','-6','-9','-9','-6','1','1',-9,'1','1','1','1','1','-9'
'000000001464','8280','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001468','5120','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'000000001471','5120','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001472','5120','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001474','3360','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001478','5000','-9',3,'3','-6','1','2','1','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001479','5120','-9',5,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001479','5120','-9',-7,'3','-6','-7','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001479','8280','-9',4,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'000000001480','5120','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001480','5120','-9',2,'3','-6','1','1','-6','2','2',2,'2','-9','-9','-9','-9','-9'
'000000001481','0720','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'000000001481','8280','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'000000001481','8280','-9',-7,'-7','-6','-7','-7','-6','1','1',2,'2','-9','1','1','-9','-9'
'000000001483','8280','-9',-7,'-9','-6','-9','-9','-6','3','-9',-9,'1','1','1','-9','1','-9'
'000000001485','3360','-9',-7,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
