Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
1991-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
1992-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,255,24235664,95000,81100,-,-
1993-Jan,148,13588769,91800,77700,-,-
Feb,171,16102309,94200,80800,-,-
Mar,221,21830950,98800,81300,-,-
Apr,251,25150047,100200,81400,-,-
May,277,28155798,101600,84400,-,-
Jun,263,27025780,102800,85700,-,-
Jul,286,27328759,95600,82000,-,-
Aug,306,29935512,97800,84300,-,-
Sep,273,25263767,92500,81200,-,-
Oct,215,20286058,94400,80700,-,-
Nov,223,21234274,95200,84800,-,-
Dec,265,26954952,101700,85000,-,-
1994-Jan,172,16036246,93200,79200,-,-
Feb,195,20589892,105600,85900,-,-
Mar,267,25732587,96400,81700,-,-
Apr,276,26800723,97100,85500,-,-
May,331,33819975,102200,89500,-,-
Jun,307,34872185,113600,90500,-,-
Jul,292,29036839,99400,83400,-,-
Aug,280,30732528,109800,91000,-,-
Sep,264,24954389,94500,81700,-,-
Oct,235,22092557,94000,78500,-,-
Nov,193,19675771,101900,83200,2163,8.4
Dec,204,22239672,109000,93100,2043,8.1
1995-Jan,145,14136846,97500,83000,2140,8.6
Feb,155,14579725,94100,78700,2193,8.9
Mar,266,27424866,103100,90000,2317,9.4
Apr,191,17896318,93700,85200,2400,10.1
May,299,29162728,97500,83600,-,-
