Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,45,2723666,60500,52100,772,10.9
Feb,82,3562722,43400,36500,904,12.4
Mar,84,3621088,43100,34500,917,12.5
Apr,55,2540287,46200,40600,914,12.7
May,101,5830084,57700,48500,887,12.0
Jun,102,5286454,51800,47400,899,11.9
Jul,67,3397793,50700,37500,893,12.0
Aug,71,4131844,58200,50800,892,11.9
Sep,62,3515643,56700,50000,849,11.5
Oct,73,3967769,54400,43600,809,11.1
Nov,45,2723666,60500,52100,772,10.9
Dec,53,2864125,54000,45600,714,10.2
1991-Jan,33,1714515,52000,50700,723,10.5
Feb,38,2244807,59100,44000,732,11.2
Mar,76,4393354,57800,46200,712,11.0
Apr,64,3897643,60900,51400,632,9.7
May,79,4826902,61100,52500,617,9.7
Jun,75,4377360,58400,57900,598,9.8
Jul,63,3687918,58500,52100,628,10.3
Aug,63,3681300,58400,53100,613,10.2
Sep,66,3971823,60200,56000,575,9.5
Oct,55,3547714,64500,55000,535,9.0
Nov,62,3946570,63700,56000,546,9.0
Dec,52,3365539,64700,51700,-,-
1992-Jan,45,2239969,49800,45800,563,9.2
Feb,39,2076956,53300,45800,562,9.1
Mar,75,4238688,56500,49300,556,9.0
Apr,69,3800879,55100,49500,560,9.0
May,60,3425707,57100,48600,571,9.5
Jun,67,3584250,53500,42100,587,9.8
Jul,74,3998719,54000,45000,629,10.4
Aug,58,3353457,57800,56200,601,10.0
Sep,55,2985756,54300,49300,581,9.8
Oct,74,4295448,58000,50000,560,9.2
Nov,52,2555340,49100,46000,525,8.8
Dec,70,4293414,61300,54300,498,8.1
1993-Jan,39,2031965,52100,46200,478,7.8
Feb,58,2298600,39600,35000,493,7.9
Mar,57,3446125,60500,45000,510,8.3
Apr,63,3323385,52800,47500,498,8.2
May,76,4349395,57200,47100,470,7.6
Jun,72,4395930,61100,57000,589,9.4
Jul,63,3682704,58500,60600,486,7.9
Aug,72,4044560,56200,55000,630,10.1
Sep,81,4940691,61000,54500,614,9.5
Oct,56,3646825,65100,53800,507,8.0
Nov,45,3108265,69100,57000,504,8.0
Dec,77,5350435,69500,55000,546,8.6
1994-Jan,41,2828234,69000,58300,458,7.2
Feb,55,3892806,70800,57500,480,7.6
Mar,79,5302374,67100,51100,468,7.2
Apr,66,4945635,74900,56700,470,7.2
May,60,4777418,79600,61000,496,7.8
Jun,83,5805404,69900,55000,491,7.6
Jul,58,3755850,64800,56700,497,7.7
Aug,67,4011012,59900,51500,497,7.8
Sep,70,3993181,57000,48300,480,7.6
Oct,78,4260577,54600,46400,486,7.5
Nov,50,2388277,47800,41700,510,7.8
Dec,73,3680945,50400,42100,491,7.6
1995-Jan,37,1791071,48400,45800,448,6.9
Feb,50,2400000,48000,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
1996-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
1997-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
1998-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
1999-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2000-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2001-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2002-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2003-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2004-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2005-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2006-Jan,88,6685000,76000,62900,-,-
Feb,135,11565000,85700,71600,-,-
Mar,123,11535000,93800,78500,-,-
Apr,102,11005000,107900,81000,-,-
May,113,11255000,99600,81400,-,-
Jun,144,17065000,118500,91200,-,-
Jul,142,14770000,104000,86200,164,-
Aug,168,19830000,118000,101400,-,-
Sep,156,17830000,114300,91800,-,-
Oct,137,15260000,111400,89000,-,-
Nov,132,15855000,120100,101300,-,-
Dec,103,14845000,144100,116700,-,-
2007-Jan,84,9950000,118500,105700,-,-
Feb,116,14590000,125800,105500,-,-
Mar,110,13465000,122400,98300,-,-
Apr,112,14140000,126200,109200,-,-
May,125,15920000,127400,110000,-,-
Jun,142,22000000,154900,123000,-,-
Jul,122,16940000,138900,126000,-,-
Aug,144,19300000,134000,122100,-,-
Sep,106,15035000,141800,121300,-,-
Oct,112,14995000,133900,103300,-,-
Nov,98,12415000,126700,112500,-,-
Dec,79,11220000,142000,121100,-,-
2008-Jan,83,11230000,135300,112900,-,-
Feb,108,12865000,119100,104600,-,-
Mar,126,17035000,135200,120000,-,-
Apr,142,20020000,141000,118800,-,-
May,109,16205000,148700,119500,-,-
Jun,116,19820000,170900,143300,-,-
Jul,131,19280000,147200,127500,-,-
Aug,150,23100000,154000,136700,91,0.8
Sep,117,15375000,131400,121600,-,-
Oct,121,18275000,151000,126400,-,-
Nov,78,11135000,142800,116700,-,-
Dec,64,9550000,149200,110000,-,-
2009-Jan,37,5985000,161800,135700,366,3.4
Feb,53,7670000,144700,130000,389,3.8
Mar,110,16460000,149600,130600,619,6.0
Apr,87,11235000,129100,120700,617,6.3
