Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,108,7731394,71600,61800,1332,11.2
Feb,112,7172411,64000,55000,1495,12.8
Mar,120,9639869,80300,61500,1575,12.6
Apr,154,9919418,64400,58200,1642,12.3
May,179,11382211,63600,60200,1684,12.1
Jun,136,9059361,66600,56200,1689,12.5
Jul,199,13119674,65900,56700,1711,12.3
Aug,172,12157282,70700,60300,1708,12.4
Sep,120,8371874,69800,64600,1618,11.7
Oct,149,10080929,67700,61000,1399,10.0
Nov,108,7731394,71600,61800,1332,9.6
Dec,121,8407265,69500,61200,1310,9.4
1991-Jan,138,9362867,67800,56700,1209,8.5
Feb,133,8891833,66900,58900,1247,8.7
Mar,110,7513444,68300,62900,1265,8.8
Apr,135,10066266,74600,65200,386,2.7
May,140,9511023,67900,64100,1355,9.8
Jun,184,13038973,70900,64300,1340,9.4
Jul,168,12450522,74100,64000,1375,9.8
Aug,171,12002861,70200,59100,1345,9.6
Sep,159,12125905,76300,65200,1333,9.3
Oct,162,11570402,71400,60900,1254,8.7
Nov,111,7778162,70100,66800,1171,8.1
Dec,127,9845406,77500,59200,1129,7.8
1992-Jan,97,7560864,77900,56800,1072,7.6
Feb,107,7301138,68200,61100,1038,7.5
Mar,190,14283971,75200,65900,992,6.8
Apr,149,11653591,78200,60700,1019,6.9
May,138,11019017,79800,66400,1056,7.2
Jun,196,16542144,84400,70400,1086,7.3
Jul,238,17635475,74100,65200,1073,7.0
Aug,237,18150384,76600,66600,1029,6.5
Sep,165,13143556,79700,66400,966,6.0
Oct,190,14687693,77300,66600,953,5.9
Nov,126,8805053,69900,62700,895,5.5
Dec,160,11712736,73200,63800,880,5.3
1993-Jan,134,10173244,75900,66500,880,5.2
Feb,160,11796597,73700,63800,828,4.8
Mar,144,11387112,79100,66100,809,4.8
Apr,176,13672050,77700,66200,804,4.7
May,173,14088141,81400,66900,802,4.6
Jun,217,18825092,86800,68100,862,4.9
Jul,269,20191639,75100,65300,876,4.9
Aug,214,15829678,74000,66700,883,5.0
Sep,185,14679771,79400,65900,355,2.0
Oct,201,15908148,79100,66400,856,4.8
Nov,149,12375277,83100,73600,820,4.5
Dec,178,14502461,81500,67800,713,3.9
1994-Jan,157,12066775,76900,65200,694,3.7
Feb,109,8503685,78000,65800,707,3.9
Mar,212,19074619,90000,69300,766,4.1
Apr,166,12580094,75800,65600,749,4.0
May,227,18029119,79400,66800,798,4.2
Jun,200,16363083,81800,63000,840,4.4
Jul,213,16414909,77100,67000,877,4.8
Aug,250,19754055,79000,65600,870,4.6
Sep,173,15068484,87100,68500,838,4.5
Oct,119,9060767,76100,62300,849,4.7
Nov,141,11408902,80900,65400,872,4.9
Dec,189,14789737,78300,58300,886,4.9
1995-Jan,112,8321456,74300,64300,791,4.5
Feb,114,9412335,82600,68200,859,4.9
Mar,191,13935296,73000,62400,809,4.6
Apr,133,12172243,91500,73700,866,5.0
May,181,15194859,83900,71800,865,5.1
Jun,238,20741885,87200,72100,898,5.2
Jul,178,13453356,75600,65000,933,5.5
Aug,254,21714007,85500,72300,917,5.4
Sep,176,15945600,90600,71400,919,5.4
Oct,188,14481456,77000,63700,879,5.0
Nov,174,10815156,62200,68200,898,5.1
Dec,164,12860794,78400,67100,904,5.2
1996-Jan,128,11033717,86200,67600,855,4.8
Feb,146,11599541,79400,71200,836,4.7
Mar,143,11368745,79500,69100,853,4.9
Apr,199,16449702,82700,66400,968,5.4
May,213,19976165,93800,73900,935,5.1
Jun,195,18330585,94000,74400,916,5.1
Jul,187,16261483,87000,73300,892,4.9
Aug,252,21316269,84600,70900,969,5.4
Sep,168,14682139,87400,71600,952,5.3
Oct,179,13939451,77900,67100,912,5.1
Nov,149,12146301,81500,71800,899,5.1
Dec,152,14240414,93700,71700,917,5.2
1997-Jan,136,12775000,93900,73200,825,4.7
Feb,95,8245000,86800,72300,905,5.3
Mar,155,11185000,72200,64000,897,5.2
Apr,142,13030000,91800,75500,944,5.6
May,203,16285000,80200,71300,1009,6.0
Jun,262,24180000,92300,74800,1017,5.9
Jul,240,22415000,93400,73000,975,5.5
Aug,193,18000000,93300,76300,948,5.5
Sep,233,20490000,87900,73200,960,5.4
Oct,173,15390000,89000,75800,876,4.9
Nov,141,13430000,95200,76900,959,5.4
Dec,176,16875000,95900,81400,870,4.9
1998-Jan,108,9275000,85900,68900,838,4.7
Feb,148,12755000,86200,71800,804,4.4
Mar,217,18190000,83800,73700,820,4.4
Apr,230,22255000,96800,71500,828,4.3
May,201,18115000,90100,75400,807,4.2
Jun,273,24525000,89800,78800,867,4.5
Jul,207,19490000,94200,76200,926,4.8
Aug,236,21670000,91800,73500,916,4.7
Sep,208,18870000,90700,75900,1045,5.4
Oct,159,15020000,94500,83400,1043,5.4
Nov,154,14870000,96600,77800,1009,5.2
Dec,158,13895000,87900,72100,948,4.9
1999-Jan,110,12155000,110500,83600,984,5.1
Feb,146,13145000,90000,76000,885,4.6
Mar,224,20185000,90100,74500,911,4.7
Apr,217,19410000,89400,71500,891,4.7
May,247,23265000,94200,73900,920,4.7
Jun,287,29035000,101200,82100,985,5.0
Jul,251,21540000,85800,72900,966,4.8
Aug,247,24795000,100400,81500,946,4.7
Sep,191,18590000,97300,81900,939,4.7
Oct,128,12105000,94600,80000,821,4.2
Nov,159,14805000,93100,80800,825,4.2
Dec,190,18650000,98200,81700,797,4.0
2000-Jan,110,11615000,105600,86000,723,3.6
Feb,182,19475000,107000,82900,767,3.8
Mar,213,20790000,97600,78200,764,3.8
Apr,213,21060000,98900,81800,761,3.8
May,240,22550000,94000,82100,778,3.9
Jun,256,27920000,109100,84200,754,3.8
Jul,223,23900000,107200,83400,798,4.1
Aug,243,24590000,101200,82300,774,4.0
