Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
Nov,168,21010000,125100,107500,1390,8.2
Dec,147,16665000,113400,97700,1278,7.4
2002-Jan,114,12140000,106500,85000,1386,8.0
Feb,180,21460000,119200,100900,1432,8.1
Mar,163,21090000,129400,97300,1494,8.5
Apr,166,19315000,116400,92000,1556,8.9
May,226,28945000,128100,105800,1611,9.1
Jun,207,28095000,135700,114100,1662,9.3
Jul,182,21670000,119100,103500,1666,9.4
Aug,232,28795000,124100,100000,1622,9.1
Sep,163,20845000,127900,103700,1597,8.9
Oct,161,17920000,111300,91500,1578,9.0
Nov,136,17780000,130700,112600,1516,8.8
Dec,146,20205000,138400,111000,1370,7.9
2003-Jan,117,14960000,127900,107900,1511,8.7
Feb,133,17045000,128200,108100,1616,9.5
Mar,167,22140000,132600,114600,1717,10.1
Apr,187,24190000,129400,111700,1737,10.1
May,198,26595000,134300,109700,1778,10.5
Jun,187,25760000,137800,117100,1779,10.6
Jul,214,29440000,137600,115400,1379,8.1
Aug,224,31420000,140300,121400,1329,7.8
Sep,185,24660000,133300,112900,1311,7.7
Oct,183,21760000,118900,107200,1319,7.6
Nov,142,21075000,148400,117000,1314,7.6
Dec,214,26855000,125500,105000,-,-
2004-Jan,119,15825000,133000,120500,1357,7.6
Feb,187,23050000,123300,102100,1887,10.3
Mar,230,32740000,142300,116100,2047,10.8
Apr,245,35100000,143300,117700,2037,10.5
May,293,42360000,144600,122800,2054,10.2
Jun,322,49580000,154000,125900,2096,9.8
Jul,275,37870000,137700,114400,2089,9.6
Aug,291,37885000,130200,116000,2026,9.1
Sep,282,40265000,142800,124300,2073,8.9
Oct,252,34515000,137000,115800,2040,8.6
Nov,212,32350000,152600,128700,2034,8.4
Dec,252,34690000,137700,124600,1944,7.9
2005-Jan,179,23210000,129700,112600,1982,7.9
Feb,201,28115000,139900,114800,2066,8.2
Mar,270,41760000,154700,121800,2132,8.3
Apr,280,41230000,147200,127700,2113,8.2
May,308,50545000,164100,130300,2164,8.3
Jun,313,52620000,168100,134600,2148,8.3
Jul,352,55265000,157000,128500,2157,8.1
Aug,384,55670000,145000,122000,2138,7.8
