Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,2587,228313659,88300,47300,23817,9.3
Feb,2003,182314615,91000,67500,24689,9.6
Mar,2643,234158254,88600,68300,25744,10.0
Apr,2519,234787170,93200,68200,26206,10.1
May,3103,274674699,88500,67200,26886,10.2
Jun,3315,313691112,94600,71600,26519,9.9
Jul,3230,302314553,93600,70800,26649,9.8
Aug,3752,357123243,95200,70500,25777,9.4
Sep,2678,231788408,86600,66100,24883,9.1
Oct,2902,252502440,87000,66600,24573,8.8
Nov,2587,228313659,88300,47300,23817,8.5
Dec,2298,206631235,89900,66800,23331,8.3
1991-Jan,1656,148683429,89800,67900,22565,8.3
Feb,2009,160113604,79700,65500,23543,8.6
Mar,2268,216367964,95400,73400,24260,9.0
Apr,2732,249169462,91200,68800,25205,9.3
May,3345,321692198,96200,78100,25854,9.5
Jun,3294,320638203,97300,75400,26811,9.8
Jul,3229,321592804,99600,77600,26068,9.6
Aug,3401,326937004,96100,68100,25750,9.5
Sep,2747,248639729,90500,80100,25596,9.5
Oct,2568,243506648,94800,72100,24983,9.3
Nov,2789,200412654,71900,66300,24032,8.9
Dec,2453,238511083,97200,73400,21470,7.9
1992-Jan,1599,144276401,90200,75700,24110,8.9
Feb,1737,192976831,111100,74800,25027,9.3
Mar,2505,260784136,104100,78300,26162,9.7
Apr,2524,258441643,102400,77900,27306,10.2
May,2916,287352801,98500,82300,27941,10.6
Jun,3040,307412482,101100,71600,28173,10.7
Jul,3054,299673889,98100,78000,28655,11.0
Aug,3056,303819753,99400,76300,27765,10.8
Sep,2647,261352122,98700,82000,27352,10.6
Oct,2188,217329905,99300,79100,26500,10.4
Nov,2363,210689806,89200,82400,25500,10.2
Dec,2451,233917102,95400,80600,23500,9.4
1993-Jan,1560,157904093,101200,74500,26476,10.6
Feb,1930,195151617,101100,78000,27000,10.7
Mar,2198,231694103,105400,79700,27460,11.0
Apr,2385,245101769,102800,78200,28500,11.5
May,2623,284670595,108500,81400,28000,11.4
Jun,3198,352308676,110200,81500,27611,11.2
Jul,3122,342438390,109700,82000,27552,11.1
Aug,3178,339978865,107000,80900,27224,10.9
Sep,2652,279014268,105200,79200,26378,10.6
Oct,2623,277806514,105900,80000,26151,10.4
Nov,2478,260023061,104900,80400,25346,10.0
Dec,2836,312932222,110300,79100,23368,9.1
1994-Jan,1766,187882974,106400,75200,24752,9.6
Feb,2017,214107268,106200,77900,25283,9.8
Mar,2858,301822757,105600,78000,26172,9.9
Apr,2900,304896000,105100,79100,26580,9.9
May,3197,335209251,104900,79800,27331,10.0
Jun,3431,380094335,110800,81100,27354,9.9
Jul,2997,316780251,105700,80300,27505,10.0
Aug,3234,360579986,111500,80300,27159,9.9
Sep,2685,279042902,103900,76800,26819,9.7
Oct,2403,240383006,100000,75200,25892,9.5
Nov,2358,234743538,99600,74200,24476,9.0
Dec,2525,272442300,107900,76500,22873,8.5
1995-Jan,1620,172272335,106300,75800,23985,8.9
Feb,1919,199993735,104200,75200,24898,9.3
Mar,2582,270426006,104700,76200,25624,9.7
Apr,2336,242169794,103700,76600,25870,9.9
May,3260,335196113,102800,74900,25941,9.9
Jun,3443,375195806,109000,79800,25827,9.9
Jul,3381,353218641,104500,79600,25752,9.7
Aug,3756,413018552,110000,82800,25030,9.3
Sep,2931,303535565,103600,78300,24540,9.1
Oct,2836,298833892,105400,76700,24106,8.8
Nov,2616,268455233,102600,79300,23356,8.4
Dec,2706,296769389,109700,79900,21918,7.9
1996-Jan,1904,192594969,101200,76800,22880,8.2
Feb,2393,261337334,109200,80600,23601,8.3
Mar,3126,339837845,108700,81400,24241,8.4
Apr,3205,355887925,111000,82500,24890,8.4
May,3701,422235946,114100,83300,25260,8.4
Jun,3406,395167721,116000,84000,25366,8.5
Jul,3782,432421843,114300,85600,25473,8.4
Aug,3777,430264473,113900,84400,24658,8.1
Sep,2936,329899904,112400,82800,24129,8.0
Oct,2967,334261540,112700,81900,23672,7.8
Nov,2649,292308962,110300,81500,22838,7.5
Dec,3048,368850208,121000,88300,21163,6.9
1997-Jan,2033,238621308,117400,84400,21566,7.0
Feb,2405,272055560,113100,85300,21966,7.1
Mar,2988,344771505,115400,86200,22663,7.4
Apr,3230,373860302,115700,84900,23000,7.5
May,3806,453889632,119300,88700,23244,7.5
Jun,4018,498293967,124000,92300,22896,7.3
Jul,4247,531548260,125200,91800,22631,7.1
Aug,4053,510021777,125800,91300,21950,6.9
Sep,3624,441461513,121800,89900,21058,6.5
Oct,3657,435221824,119000,88500,20137,6.1
Nov,2899,343133700,118400,86700,20000,6.0
Dec,3713,467078598,125800,93300,19000,5.6
1998-Jan,2319,269622053,116300,86900,18500,5.4
Feb,3077,372344221,121000,91100,18340,5.3
Mar,4126,514098734,124600,92400,18427,5.2
Apr,4105,505938666,123200,91900,18144,5.0
May,4535,598641051,132000,95200,17989,4.9
Jun,5237,705022689,134600,99400,17922,4.7
Jul,5226,704034125,134700,98200,17877,4.6
Aug,4752,608315566,128000,97800,17501,4.4
Sep,3996,504957756,126400,92800,16907,4.3
Oct,3714,475777792,128100,94000,16648,4.2
Nov,3514,441488731,125600,93200,15812,3.9
Dec,4166,542988742,130300,96600,15004,3.7
1999-Jan,2534,303520495,119800,90200,15254,3.7
Feb,3237,415739519,128400,95900,15349,3.7
Mar,4457,587779785,131900,98400,15443,3.7
Apr,4429,594289941,134200,99400,15510,3.7
May,4718,658847026,139600,104800,15838,3.8
Jun,5628,824119183,146400,107600,16376,3.9
Jul,5257,743300995,141400,106200,16942,4.0
Aug,5115,719185662,140600,101700,17131,4.0
Sep,4211,580669442,137900,101700,17207,4.1
Oct,4004,527031946,131600,98400,17354,4.1
Nov,3703,509977382,137700,101300,16885,3.9
Dec,4140,593405946,143300,102900,16147,3.8
2000-Jan,2653,381805283,143900,102500,16768,3.9
Feb,3687,536456803,145500,110300,16933,3.9
Mar,4733,709112659,149800,109500,17058,3.9
Apr,4364,649712779,148900,110800,17716,4.1
May,5215,809459231,155200,112700,18461,4.2
Jun,5655,887396592,156900,117900,18959,4.3
Jul,5009,770284031,153800,118300,19391,4.4
Aug,5134,800032008,155800,114600,19534,4.5
Sep,4262,671716256,157600,115900,19558,4.5
Oct,4068,621419904,152800,112400,19752,4.5
Nov,3729,571270375,153200,115200,19190,4.4
Dec,3950,632500396,160100,119300,18296,4.2
2001-Jan,2789,412051003,147700,111900,19097,4.4
Feb,3495,538463336,154100,114400,19628,4.5
Mar,4689,739260418,157700,116300,20487,4.7
Apr,4697,749626772,159600,122300,21307,4.9
May,5435,856531025,157600,122500,21713,4.9
Jun,5501,909778437,165400,127500,21895,5.0
Jul,5424,903061633,166500,127500,21791,4.9
Aug,5544,883998928,159500,124200,21871,4.9
Sep,4048,628710385,155300,119700,-,-
Oct,4085,618193358,151300,117100,21988,4.9
Nov,3859,592342276,153500,120400,21196,4.8
Dec,4290,709005372,165300,128300,20029,4.5
2002-Jan,3431,510956444,148900,119300,20898,4.6
Feb,3873,611515214,157900,124900,21140,4.6
Mar,4629,774677516,167400,127600,21594,4.7
Apr,5048,847671964,167900,128100,22543,4.9
May,5649,955681791,169200,130200,23439,5.1
Jun,5464,958205193,175400,133300,24637,5.3
Jul,5616,966135006,172000,132000,25643,5.5
