Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,1172,132121830,112700,89700,18067,13.3
Feb,1035,116163060,112200,86200,18705,13.8
Mar,1732,189971370,109700,86000,19266,13.9
Apr,1551,173731240,112000,84700,19729,14.0
May,1598,194108800,121500,85800,19691,13.8
Jun,1619,189209290,116900,95800,22862,16.2
Jul,1823,208286000,114300,87400,19593,13.6
Aug,1731,201499390,116400,86700,18585,12.7
Sep,1356,151858440,112000,87500,22057,15.3
Oct,1303,132086050,101400,80700,21454,14.9
Nov,1303,132086050,101400,80700,21454,14.7
Dec,1305,132074440,101200,79800,19291,13.2
1991-Jan,1103,117769010,106800,80500,20356,14.0
Feb,1070,105758160,98800,89700,21033,14.4
Mar,1201,137022090,114100,83200,21887,15.5
Apr,1428,175272720,122700,84500,21567,15.4
May,1779,221041000,124300,87800,21756,15.3
Jun,1871,212358500,113500,86900,22210,15.4
Jul,1582,194190500,122800,90000,22132,15.6
Aug,1757,194904010,110900,87200,17493,12.3
Sep,1444,168731400,116800,84500,17212,12.0
Oct,1292,140453320,108700,80500,18124,12.7
Nov,1184,136586240,115400,84200,16296,11.5
Dec,1147,135300120,118000,91200,15674,11.2
1992-Jan,965,113059400,117200,87500,16641,11.9
Feb,1231,138290540,112300,87000,17033,12.1
Mar,1812,204991560,113100,89500,17629,12.1
Apr,1833,226100550,123400,91200,18070,12.1
May,1821,229628100,126100,88700,18114,12.1
Jun,1950,227487000,116700,88200,18023,12.0
Jul,1878,217209480,115700,90000,17942,11.8
Aug,1757,204444520,116400,92500,17612,11.5
Sep,1632,183273600,112300,86800,17209,11.2
Oct,1699,196064600,115400,86600,16573,10.5
Nov,1540,168429800,109400,88300,15744,9.8
Dec,1624,187328400,115400,88400,13937,8.5
1993-Jan,1132,124735080,110200,86200,14627,8.8
Feb,1218,138084660,113400,85100,15635,9.4
Mar,1698,190006200,111900,88500,16288,9.9
Apr,1736,217069440,125000,90800,16915,10.3
May,1944,229003200,117800,92800,17098,10.4
Jun,2269,293835500,129500,95500,16993,10.1
Jul,2156,281228640,130400,95600,16692,9.8
Aug,2128,252827680,118800,92200,16057,9.3
Sep,1883,227861830,121000,91300,15457,8.8
Oct,1754,217460920,124000,93500,15031,8.6
Nov,1726,208362720,120700,92600,14331,8.1
Dec,1762,206347820,117100,92400,13058,7.3
1994-Jan,1206,144161210,119500,88700,14077,7.9
Feb,1371,156996760,114500,93200,14784,8.2
Mar,2229,279272170,125300,94000,15241,8.3
Apr,2246,286221790,127400,94200,15724,8.3
May,2343,286085280,122100,95000,15740,8.2
Jun,2315,276034580,119200,93100,15724,8.2
Jul,2263,278876580,123200,93700,15694,8.1
Aug,2306,286437520,124200,94700,15378,7.9
Sep,1907,215250000,112900,89900,14914,7.6
Oct,1738,204401070,117600,90300,14633,7.5
Nov,1580,186251760,117900,88300,14062,7.3
Dec,1495,182133000,121800,93900,12880,6.7
1995-Jan,1070,132669000,124000,86500,13921,7.3
Feb,1271,154054000,121200,90900,14493,7.6
Mar,1691,211271849,124900,88800,15092,8.1
Apr,1324,159879000,120800,92100,15747,8.9
May,2535,314981707,124300,92000,16172,9.0
Jun,2824,349839675,123900,98700,15695,8.6
Jul,2660,340956633,128200,101000,15464,8.3
Aug,2971,370681254,124800,97700,15247,7.9
Sep,2289,282251712,123300,95200,14783,7.6
Oct,2248,275173583,122400,93500,14685,7.4
Nov,2035,253731196,124700,95800,14596,7.2
Dec,2050,254516978,124200,95400,12970,6.2
1996-Jan,1581,201777288,127600,96200,14504,6.8
Feb,2009,246001837,122400,97100,15006,6.9
Mar,2519,318118194,126300,100900,15557,6.9
Apr,2812,360023181,128000,99900,15878,6.7
May,3088,418880800,135600,104100,15347,6.3
Jun,2908,396271048,136300,105200,16235,6.7
Jul,3108,428965679,138000,104100,15713,6.4
Aug,2989,401275111,134300,101200,15293,6.2
Sep,2419,314182427,129900,100300,15155,6.1
Oct,2310,303836030,131500,102200,14935,6.0
Nov,2181,281587732,129100,101700,14791,5.9
Dec,2204,284864817,129200,101000,12950,5.2
1997-Jan,1689,217018295,128500,95900,13893,5.5
Feb,2130,274369933,128800,99200,13551,5.4
Mar,2643,359987238,136200,104200,14297,5.6
Apr,2783,389254579,139900,105300,14678,5.8
May,3239,458474482,141500,108100,14923,5.9
Jun,3282,463200685,141100,108800,15094,5.8
Jul,3591,501922413,139800,110600,14876,5.7
Aug,3298,468218334,142000,109000,14430,5.5
Sep,2961,405949601,137100,109100,13997,5.2
Oct,3013,421352841,139800,108600,13296,4.8
Nov,2433,333893261,137200,106900,12643,4.6
Dec,2822,407340189,144300,113900,11795,4.2
1998-Jan,2103,285738151,135900,108300,12102,4.2
Feb,2567,364929507,142200,110700,12148,4.2
Mar,3427,490598025,143200,112900,12385,4.2
Apr,3549,509483646,143600,113300,12542,4.1
May,3847,603945730,157000,121300,12824,4.2
Jun,4297,664017606,154500,120800,12949,4.1
Jul,4234,650247978,153600,119800,12928,4.0
Aug,3794,570753130,150400,117300,13208,4.1
Sep,3060,443009644,144800,115100,13135,4.0
Oct,3193,473497512,148300,113600,12968,4.0
Nov,2856,408922013,143200,114400,12166,3.7
Dec,3124,465261363,148900,117800,-,-
1999-Jan,2149,332821625,154900,115900,-,-
Feb,2805,424465117,151300,119400,-,-
Mar,3801,588270690,154800,120800,13207,3.9
Apr,3782,579470580,153200,119500,13845,4.1
May,4096,647645509,158100,123700,14305,4.2
Jun,4644,785381044,169100,127900,14768,4.3
Jul,4307,669626772,155500,122200,14843,4.3
Aug,4128,627559419,152000,121800,14557,4.2
Sep,3671,551423779,150200,116800,14374,4.1
Oct,3236,506979487,156700,119000,14156,4.0
Nov,3227,518710697,160700,120800,13321,3.7
Dec,3353,536894379,160100,123900,12724,3.5
2000-Jan,2286,375389865,164200,124400,13316,3.7
Feb,3247,555124812,171000,127700,13495,3.7
Mar,4244,702148377,165400,128500,13752,3.7
Apr,3977,667331427,167800,132000,13752,3.7
May,4545,783197806,172300,137100,14018,3.7
Jun,4738,846254912,178600,138800,14392,3.8
Jul,4276,763793916,178600,139600,14705,3.9
Aug,4373,770735708,176200,134500,14607,3.9
Sep,3654,643046932,176000,136000,15109,4.0
Oct,3601,626302634,173900,134600,15212,4.0
Nov,3407,589401171,173000,133200,14565,3.8
Dec,3098,554774879,179100,138700,13762,3.6
2001-Jan,2542,426059934,167600,130300,14931,3.9
Feb,3257,578096015,177500,139300,15389,4.0
Mar,4306,766269442,178000,142400,16063,4.2
Apr,3976,700310163,176100,140800,17059,4.5
May,4633,832516238,179700,141700,17814,4.7
Jun,5065,941310414,185800,146300,18372,4.8
Jul,4745,866755946,182700,144300,18741,4.8
Aug,4603,839224430,182300,141400,18584,4.8
Sep,3551,630982262,177700,144500,18998,4.9
Oct,3449,564356982,163600,136000,19403,5.0
Nov,3373,582425484,172700,142300,18495,4.8
Dec,3492,624519434,178800,142600,17290,4.4
2002-Jan,2862,502970859,175700,140700,18240,4.6
Feb,3461,616881882,178200,143700,18927,4.8
Mar,4021,731728110,182000,145200,19367,4.9
Apr,4185,766278911,183100,144900,20139,5.1
May,4769,913391794,191500,145600,21153,5.3
Jun,4423,817899695,184900,148400,22043,5.6
Jul,4559,857727953,188100,145100,23165,5.9
Aug,4386,811329118,185000,145500,23056,5.9
Sep,3716,653244332,175800,142800,23551,6.1
Oct,3672,657676258,179100,143700,23458,6.0
Nov,3415,611752816,179100,143400,22758,5.8
Dec,3730,698773428,187300,148100,21559,5.5
2003-Jan,2795,495512434,177300,141900,23586,6.0
Feb,2994,549263980,183500,145600,24381,6.3
Mar,4245,775700960,182700,146100,25382,6.5
Apr,4077,752063142,184500,146800,26210,6.7
May,4655,883859330,189900,150600,26824,6.9
Jun,4847,920352540,189900,154000,27169,6.9
Jul,5085,988546517,194400,153400,27286,6.9
Aug,5003,957387591,191400,153300,26604,6.6
Sep,4267,819435447,192000,148300,26372,6.5
Oct,4136,772657281,186800,143600,25757,6.3
Nov,3225,614476976,190500,144500,25093,6.1
Dec,3949,757974150,191900,147200,24013,5.8
2004-Jan,2904,523105156,180100,138900,25365,6.2
Feb,3409,643892110,188900,146700,25849,6.2
Mar,4835,924268970,191200,146600,26821,6.4
Apr,5006,985509075,196900,148900,27938,6.5
May,5116,997391985,195000,149600,28496,6.6
Jun,5511,1134082858,205800,159300,28725,6.6
Jul,5398,1073634588,198900,154500,28842,6.6
Aug,5222,1038300840,198800,152400,28612,6.5
Sep,4444,834310868,187700,146300,28055,6.3
Oct,4184,802557736,191800,148900,27386,6.2
Nov,3996,754389601,188800,148900,26079,5.8
Dec,4489,870957702,194000,148100,24190,5.3
2005-Jan,2981,547637034,183700,140200,25873,5.7
Feb,3762,728884739,193700,147600,26794,5.9
Mar,5349,1074448492,200900,151700,27751,6.0
Apr,5261,1046087320,198800,152000,28745,6.2
May,5681,1140244812,200700,154400,28790,6.1
Jun,6416,1352136392,210700,158900,28875,6.1
Jul,5808,1191501494,205100,159800,29103,6.1
Aug,6006,1231779356,205100,158000,-,-
