Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,66,4088366,61900,-,-,-
Feb,61,3847652,63100,-,-,-
Mar,89,5696907,64000,-,-,-
Apr,56,2756136,49200,-,-,-
May,71,4193994,59100,-,-,-
Jun,82,4825030,58800,-,-,-
Jul,88,5140385,58400,-,-,-
Aug,123,8213859,66800,-,-,-
Sep,99,6766163,68300,-,-,-
Oct,86,4549076,52900,-,-,-
Nov,66,4088366,61900,-,-,-
Dec,60,3853645,64200,-,-,-
1991-Jan,49,2746279,56000,-,-,-
Feb,18,1014248,56300,-,-,-
Mar,71,4399291,62000,-,-,-
Apr,80,5430030,67900,-,-,-
May,88,5895175,67000,-,-,-
Jun,60,3807092,63500,-,-,-
Jul,172,11021399,64100,-,-,-
Aug,102,7079091,69400,-,-,-
Sep,80,5120000,64000,-,-,-
Oct,70,4410000,63000,-,-,-
Nov,70,4200000,60000,-,-,-
Dec,60,3600000,60000,-,-,-
1992-Jan,60,3050889,50800,-,-,-
Feb,63,3601170,57200,-,-,-
Mar,130,8461191,65100,-,-,-
Apr,108,7460293,69100,-,-,-
May,89,5199076,58400,-,-,-
Jun,208,13947916,67100,-,-,-
Jul,115,8765852,76200,-,-,-
Aug,67,3847878,57400,-,-,-
Sep,140,8263310,59000,-,-,-
Oct,106,6293915,59400,-,-,-
Nov,151,9703426,64300,-,-,-
Dec,80,4984019,62300,-,-,-
1993-Jan,91,6338463,69700,-,-,-
Feb,74,4215440,57000,-,-,-
Mar,100,6850472,68500,-,-,-
Apr,87,5792498,66600,-,-,-
May,146,10387033,71100,-,-,-
Jun,140,9550501,68200,-,-,-
Jul,132,9361912,70900,-,-,-
Aug,125,9952644,79600,-,-,-
Sep,105,6359642,60600,-,-,-
Oct,124,8474266,68300,-,-,-
Nov,149,9636465,64700,-,-,-
Dec,111,7246400,65300,-,-,-
1994-Jan,86,6513687,75700,-,-,-
Feb,64,4476157,69900,-,-,-
Mar,91,6512550,71600,-,-,-
Apr,100,7000000,70000,-,-,-
May,89,5465998,61400,-,-,-
Jun,134,10132040,75600,-,-,-
Jul,116,9501747,81900,-,-,-
Aug,131,9342215,71300,-,-,-
Sep,104,6731329,64700,-,-,-
Oct,160,11492452,71800,-,-,-
Nov,97,6532195,67300,-,-,-
Dec,98,5848808,59700,-,-,-
1995-Jan,100,7155595,71600,-,-,-
Feb,78,5505950,70600,-,-,-
Mar,86,6141300,71400,-,-,-
Apr,123,9150750,74400,-,-,-
May,148,10265950,69400,-,-,-
Jun,146,12581453,86200,-,-,-
Jul,119,9659413,81200,-,-,-
Aug,132,10178979,77100,-,-,-
Sep,106,8559146,80700,-,-,-
Oct,173,13688676,79100,-,-,-
Nov,82,6561875,80000,-,-,-
Dec,100,6815806,68200,-,-,-
1996-Jan,78,5546200,71100,-,-,-
Feb,77,5069000,65800,-,-,-
Mar,102,7477800,73300,-,-,-
Apr,162,11721265,72400,-,-,-
May,102,8934075,87600,-,-,-
Jun,145,12968350,89400,-,-,-
Jul,136,11840075,87100,-,-,-
Aug,129,11970901,92800,-,-,-
Sep,125,9843642,78700,-,-,-
Oct,109,7967493,73100,-,-,-
Nov,90,7254212,80600,-,-,-
Dec,89,6451539,72500,-,-,-
1997-Jan,107,8739227,81700,-,-,-
Feb,62,4568400,73700,-,-,-
Mar,154,12830889,83300,-,-,-
Apr,129,9907012,76800,-,-,-
May,115,9619043,83600,-,-,-
Jun,136,11557413,85000,-,-,-
Jul,137,12776966,93300,-,-,-
Aug,137,13146161,96000,-,-,-
Sep,-,-,-,-,-,-
Oct,102,8601732,84300,-,-,-
Nov,90,8272135,91900,-,-,-
Dec,135,12028807,89100,-,-,-
1998-Jan,105,8496991,80900,-,-,-
Feb,83,6855850,82600,-,-,-
Mar,174,15922401,91500,-,360,2.9
Apr,150,12825670,85500,-,-,-
May,127,10559575,83100,-,-,-
Jun,146,14284241,97800,-,-,-
Jul,152,15723140,103400,-,-,-
Aug,210,18901104,90000,-,-,-
Sep,210,18952505,90300,-,-,-
Oct,164,12460740,76000,-,-,-
Nov,111,10262965,92500,-,-,-
Dec,131,11739737,89600,-,-,-
1999-Jan,104,9146675,87900,-,-,-
Feb,104,9146675,87900,-,-,-
Mar,173,16608840,96000,-,-,-
Apr,118,10368276,87900,-,-,-
May,143,13987597,97800,-,-,-
Jun,176,17534522,99600,-,-,-
Jul,172,16930350,98400,-,-,-
Aug,231,25776535,111600,-,-,-
Sep,139,13013983,93600,-,-,-
Oct,133,13238724,99500,-,-,-
Nov,96,8539317,89000,-,-,-
Dec,144,13828921,96000,-,-,-
2000-Jan,69,6652550,96400,-,-,-
Feb,89,8351101,93800,-,-,-
Mar,77,7205528,93600,-,-,-
Apr,74,6218310,84000,-,-,-
May,55,5212270,94800,-,-,-
Jun,66,5212270,79000,-,-,-
Jul,138,14387400,104300,-,-,-
Aug,134,12766794,95300,-,-,-
Sep,79,7603000,96200,-,-,-
Oct,78,7897390,101200,-,-,-
Nov,52,5028663,96700,-,-,-
Dec,80,5937212,74200,-,-,-
2001-Jan,81,7817200,96500,-,-,-
Feb,87,9122261,104900,-,-,-
Mar,-,-,-,-,-,-
Apr,81,8772838,108300,-,-,-
May,136,10805000,79400,69500,840,9.1
Jun,84,8508700,101300,-,-,-
Jul,127,13571576,106900,-,-,-
Aug,137,14319700,104500,-,-,-
Sep,76,7415503,97600,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2002-Jan,-,-,-,-,-,-
Feb,-,-,-,-,-,-
Mar,-,-,-,-,-,-
Apr,-,-,-,-,-,-
May,-,-,-,-,-,-
Jun,-,-,-,-,-,-
Jul,-,-,-,-,-,-
Aug,-,-,-,-,-,-
Sep,-,-,-,-,-,-
Oct,-,-,-,-,-,-
Nov,-,-,-,-,-,-
Dec,-,-,-,-,-,-
2003-Jan,-,-,-,-,-,-
Feb,138,13715000,99400,88000,900,-
Mar,175,20155000,115200,94700,-,-
Apr,-,-,-,97500,-,-
May,193,21585000,111800,102200,900,-
Jun,207,26340000,127200,105900,885,-
Jul,228,29070000,127500,115900,890,-
Aug,210,24030000,114400,95000,896,-
Sep,157,17260000,109900,103300,896,-
Oct,-,-,-,-,900,-
Nov,125,11785000,94300,87900,906,5.1
Dec,145,14890000,102700,93000,899,5.1
2004-Jan,119,12230000,102800,91200,901,5.3
Feb,143,15255000,106700,88500,929,5.5
Mar,148,15240000,103000,88800,921,5.5
Apr,187,21595000,115500,101300,960,5.7
May,186,21305000,114500,102600,-,-
Jun,233,29430000,126300,107400,-,-
Jul,228,26125000,114600,100700,-,-
Aug,210,23895000,113800,101900,-,-
Sep,162,20080000,124000,113000,-,-
Oct,154,16530000,107300,93800,1137,6.7
Nov,162,20405000,126000,105300,-,-
Dec,174,19400000,111500,104400,-,-
2005-Jan,135,16065000,119000,97100,-,-
Feb,149,16720000,112200,97500,1078,6.1
Mar,217,23675000,109100,99700,-,-
Apr,206,26275000,127500,113300,1000,5.4
May,239,26660000,111500,100900,1050,5.6
Jun,251,34860000,138900,122000,1100,5.8
Jul,239,31160000,130400,119100,1150,6.0
Aug,227,29255000,128900,114800,1195,6.2
Sep,192,23245000,121100,110900,1163,6.0
Oct,210,25930000,123500,110000,1150,5.7
Nov,150,16760000,111700,107600,1125,5.7
Dec,154,18740000,121700,106000,1115,5.6
2006-Jan,118,14275000,121000,108800,-,-
Feb,172,18855000,109600,96100,1208,6.1
Mar,217,27255000,125600,114500,1305,6.6
Apr,197,24200000,122800,110500,-,-
May,250,30120000,120500,104400,1437,7.3
Jun,280,38235000,136600,113300,1522,7.6
Jul,246,31820000,129300,113600,1533,7.6
Aug,254,29830000,117400,111200,1586,7.8
Sep,208,27005000,129800,115700,1526,7.5
Oct,202,25230000,124900,107400,1529,7.5
Nov,187,22675000,121300,104700,-,-
Dec,195,23140000,118700,108300,-,-
2007-Jan,132,15155000,114800,103500,-,-
Feb,175,22115000,126400,115400,-,-
Mar,227,28080000,123700,104100,-,-
Apr,193,24615000,127500,113200,1599,7.5
May,239,33495000,140100,119600,1634,7.7
Jun,237,32955000,139100,122400,-,-
Jul,244,33640000,137900,124600,1783,8.6
Aug,240,32070000,133600,122200,1837,8.9
Sep,152,20485000,134800,117600,1818,9.0
