Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,17,1212924,71300,-,967,14.6
Feb,41,2256511,55000,-,1164,17.9
Mar,56,3326338,59400,-,1318,20.9
Apr,50,2900000,58000,-,1250,20.2
May,41,2257225,55100,-,1205,20.5
Jun,38,2454003,64600,-,1205,21.8
Jul,42,2779949,66200,-,1074,19.5
Aug,74,4670242,63100,-,1001,18.6
Sep,37,2469594,66700,-,1005,20.0
Oct,20,1352765,67600,-,1005,20.3
Nov,17,1212924,71300,-,967,22.2
Dec,15,903300,60200,-,927,24.8
1991-Jan,30,1860000,62000,-,-,-
Feb,23,1431523,62200,-,768,20.8
Mar,36,2056065,57100,-,800,22.7
Apr,42,2447249,58300,-,797,23.0
May,69,4381428,63500,-,802,21.7
Jun,61,3776910,61900,-,802,20.7
Jul,81,5484853,67700,-,850,20.2
Aug,78,5115134,65600,-,878,20.7
Sep,62,4008192,64600,-,878,19.7
Oct,81,4834271,59700,-,919,18.5
Nov,42,2704146,64400,-,919,17.8
Dec,35,2165223,61900,-,866,16.2
1992-Jan,67,4164852,62200,-,946,16.8
Feb,69,4539272,65800,-,946,15.7
Mar,69,4170201,60400,-,946,15.0
Apr,97,5864279,60500,-,1059,15.7
May,95,5816707,61200,-,1047,15.0
Jun,92,6131979,66700,-,998,13.8
Jul,156,10670738,68400,-,940,12.0
Aug,173,11377236,65800,-,921,10.6
Sep,166,11355217,68400,-,960,10.1
Oct,122,8688639,71200,-,960,9.7
Nov,154,10520969,68300,61200,967,9.0
Dec,160,9134400,57100,62300,922,7.8
1993-Jan,124,8145803,65700,62000,964,7.8
Feb,139,10348811,74500,64800,964,7.5
Mar,174,10996905,63200,60600,931,6.8
Apr,181,11655679,64400,61400,849,5.9
May,165,12362001,74900,64000,849,5.6
Jun,186,13153808,70700,67300,827,5.2
Jul,255,19177771,75200,67300,631,3.8
Aug,250,14699851,58800,66500,609,3.5
Sep,325,22964407,70700,67600,591,3.2
Oct,214,14332116,67000,64500,591,3.0
Nov,171,11056506,64700,61700,591,3.0
Dec,246,14645700,59500,65200,632,3.1
1994-Jan,151,10387907,68800,68300,705,3.4
Feb,158,10864082,68800,67100,705,3.4
Mar,194,13542165,69800,66400,787,3.8
Apr,162,10994628,67900,70000,888,4.3
May,185,12626733,68300,66400,920,4.4
Jun,233,16608397,71300,68300,907,4.3
Jul,213,16322505,76600,71400,917,4.4
Aug,230,17132155,74500,70000,891,4.3
Sep,173,12505598,72300,67900,891,4.6
Oct,132,9458398,71700,68400,906,4.8
Nov,143,9714760,67900,67100,886,4.8
Dec,131,8786847,67100,64900,886,5.1
1995-Jan,107,7110643,66500,64700,874,5.1
Feb,93,6272740,67400,64600,909,5.5
Mar,111,7919939,71400,69000,976,6.1
Apr,165,11360348,68900,66300,920,5.8
May,197,14719987,74700,68100,920,5.7
Jun,181,13533158,74800,72400,881,5.6
Jul,213,16297581,76500,71700,837,5.4
Aug,176,13860000,78800,74100,815,5.4
Sep,158,11515715,72900,68600,811,5.4
Oct,152,11299836,74300,70600,876,5.8
Nov,136,10160327,74700,67100,862,5.7
Dec,127,9885680,77800,71700,834,5.5
1996-Jan,117,8471222,72400,68900,862,5.7
Feb,138,9676390,70100,67600,932,6.0
Mar,106,7717183,72800,69800,1021,6.6
Apr,145,10956221,75600,72300,1112,7.2
May,138,10987276,79600,73900,1186,8.0
Jun,146,11811102,80900,75500,1127,7.7
Jul,167,12908726,77300,73800,1100,7.7
Aug,176,13522326,76800,75500,1067,7.5
Sep,131,9611239,73400,71200,1094,7.8
Oct,112,8888916,79400,73500,1020,7.5
Nov,105,7404183,70500,67500,1022,7.6
Dec,90,7035519,78200,74200,1045,8.0
1997-Jan,93,6840000,73500,70300,1141,8.9
Feb,104,7705000,74100,71000,1198,9.5
Mar,98,7675000,78300,71600,1318,10.5
Apr,113,7680000,68000,66000,1318,10.7
May,123,9005000,73200,69900,1311,10.8
Jun,145,12115000,83600,75000,1286,10.6
Jul,172,14735000,85700,78500,1182,9.7
Aug,149,11280000,75700,71200,1182,9.9
Sep,127,9535000,75100,72800,1187,10.0
Oct,121,9405000,77700,74800,1164,9.7
Nov,87,7090000,81500,77200,1086,9.2
Dec,128,9650000,75400,71800,1086,8.9
1998-Jan,96,7825000,81500,76200,1123,9.2
Feb,100,7590000,75900,71000,1260,10.4
Mar,100,7610641,76100,-,1173,9.6
Apr,125,10483763,83900,-,1063,8.7
May,152,12470000,82000,75200,-,-
Jun,141,12070000,85600,79800,-,-
Jul,148,11665000,78800,70000,-,-
Aug,120,10215000,85100,77500,-,-
Sep,94,7345000,78100,73200,-,-
Oct,134,10395000,77600,70800,-,-
Nov,123,8525000,69300,69100,-,-
Dec,130,9270000,71300,67700,854,7.0
1999-Jan,83,6095000,73400,72800,988,8.2
Feb,130,9550000,73500,72100,905,7.3
Mar,137,9645000,70400,69800,936,7.4
Apr,140,10680000,76300,71200,1207,9.5
May,190,14950000,78700,72500,1135,8.7
Jun,197,15690000,79600,73200,1104,8.1
Jul,198,16320000,82400,71000,1070,7.7
Aug,173,13775000,79600,71900,1126,7.8
Sep,149,11495000,77100,73900,1199,8.1
Oct,143,10485000,73300,70600,1198,8.0
Nov,141,11060000,78400,72200,1175,7.8
Dec,155,11020000,71100,68500,1176,7.7
2000-Jan,101,7595000,75200,68000,1327,8.6
Feb,124,8945000,72100,66700,1311,8.5
Mar,175,12325000,70400,65900,1360,8.7
Apr,169,12710000,75200,69300,1414,8.9
May,162,12760000,78800,70000,1522,9.7
Jun,207,17875000,86400,79600,1447,9.2
Jul,189,15785000,83500,75600,1412,9.0
Aug,197,15450000,78400,73800,1449,9.1
Sep,174,13570000,78000,72800,1447,9.0
Oct,142,11190000,78800,73800,1502,9.3
Nov,154,12075000,78400,73200,1485,9.1
Dec,112,8810000,78700,72600,1485,9.3
2001-Jan,141,11935000,84600,73700,-,-
Feb,149,11765000,79000,74100,-,-
Mar,178,15320000,86100,76400,1165,7.1
Apr,164,13365000,81500,74600,1111,6.8
May,214,17980000,84000,75300,1063,6.3
Jun,222,20215000,91100,79400,1033,6.1
Jul,207,18915000,91400,80300,1035,6.0
Aug,207,18575000,89700,78000,1009,5.9
Sep,140,11300000,80700,75500,1027,6.1
Oct,140,11840000,84600,75700,1068,6.3
Nov,169,14735000,87200,77100,1026,6.0
Dec,169,14735000,87200,77400,1012,5.8
2002-Jan,164,13465000,82100,76200,1014,5.7
Feb,139,11705000,84200,75200,1077,6.1
Mar,177,15630000,88300,80600,1165,6.6
Apr,182,15945000,87600,77600,1169,6.6
May,164,15475000,94400,83500,1280,7.4
Jun,197,18095000,91900,82700,1301,7.6
Jul,235,22475000,95600,87400,1247,7.2
Aug,216,19675000,91100,82800,1240,7.1
Sep,163,15965000,97900,86400,1291,7.3
Oct,166,14520000,87500,77400,1387,7.8
Nov,174,15985000,91900,86600,1416,7.9
Dec,152,14285000,94000,87400,1452,8.2
2003-Jan,167,15625000,93600,88000,1584,8.9
Feb,151,13670000,90500,81700,1444,8.1
Mar,164,15330000,93500,87000,1309,7.4
Apr,195,18690000,95800,89300,1065,6.0
May,206,18500000,89800,84600,1021,5.6
Jun,237,25330000,106900,95800,940,5.1
Jul,246,24100000,98000,88700,828,4.4
Aug,207,19745000,95400,87400,778,4.2
Sep,181,17410000,96200,84900,784,4.2
Oct,173,15965000,92300,84500,646,3.4
Nov,136,12420000,91300,78800,563,3.1
Dec,165,16005000,97000,88700,448,2.4
2004-Jan,113,11050000,97800,89100,558,3.1
Feb,145,15185000,104700,92800,587,3.2
