"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",1406,1406,0,0,0
"Albany","GA MSA",3913,3913,0,0,0
"Albany-Schenectady-Troy","NY MSA",24591,23822,0,0,769
"Albuquerque","NM MSA",30509,29610,0,899,0
"Alexandria","LA MSA",2741,2741,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",19589,15231,0,636,3722
"Altoona","PA MSA",775,775,0,0,0
"Amarillo","TX MSA",4358,4358,0,0,0
"Anchorage","AK MSA",7857,7121,736,0,0
"Anniston","AL MSA",1398,1123,0,0,275
"Appleton-Oshkosh-Neenah","WI MSA",18688,12788,410,0,5490
"Asheville","NC MSA",14096,12532,503,1061,0
"Athens","GA MSA",8063,6413,156,0,1494
"Atlanta","GA MSA",455165,388676,1408,577,64504
"Auburn-Opelika","AL MSA",4873,4048,0,0,825
"Augusta-Aiken","GA-SC MSA",22039,22039,0,0,0
"Austin-San Marcos","TX MSA",108974,86485,2425,954,19110
"Bakersfield","CA MSA",27468,27468,0,0,0
"Bangor","ME MSA",1224,1224,0,0,0
"Barnstable-Yarmouth","MA MSA",18485,18485,0,0,0
"Baton Rouge","LA MSA",6898,6898,0,0,0
"Beaumont-Port Arthur","TX MSA",3377,3117,0,0,260
"Bellingham","WA MSA",10767,8338,211,322,1896
"Benton Harbor","MI MSA",1422,542,0,880,0
"Billings","MT MSA",4375,3850,0,0,525
"Biloxi-Gulfport-Pascagoula","MS MSA",36153,15118,0,0,21035
"Binghamton","NY MSA",165,165,0,0,0
"Birmingham","AL MSA",37411,37411,0,0,0
"Bismarck","ND MSA",1670,1345,0,325,0
"Bloomington","IN MSA",5733,5733,0,0,0
"Bloomington-Normal","IL MSA",4631,4303,28,0,300
"Boise City","ID MSA",60786,59231,561,0,994
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","238425",173447,4918,1576,58484,NA
"Brownsville-Harlingen-San Benito","TX MSA",10475,10133,178,164,0
"Bryan-College Station","TX MSA",4833,4833,0,0,0
"Buffalo-Niagara Falls","NY MSA",16952,15728,0,0,1224
"Burlington","VT MSA",8915,8035,0,0,880
"Canton-Massillon","OH MSA",11380,10973,407,0,0
"Casper","WY MSA",330,330,0,0,0
