"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",1981,1981,0,0,0
"Albany","GA MSA",6134,5923,211,0,0
"Albany-Schenectady-Troy","NY MSA",35530,34708,0,0,822
"Albuquerque","NM MSA",59747,59747,0,0,0
"Alexandria","LA MSA",3949,3880,69,0,0
"Allentown-Bethlehem-Easton","PA MSA",25556,23729,0,1027,800
"Altoona","PA MSA",1036,1036,0,0,0
"Amarillo","TX MSA",6227,6227,0,0,0
"Anchorage","AK MSA",35603,14917,18204,2482,0
"Anniston","AL MSA",3925,3696,0,0,229
"Appleton-Oshkosh-Neenah","WI MSA",29284,14754,1723,221,12586
"Asheville","NC MSA",25178,19633,1622,3923,0
"Athens","GA MSA",18248,17498,750,0,0
"Atlanta","GA MSA",545962,437399,831,3051,104681
"Auburn-Opelika","AL MSA",11315,5530,354,166,5265
"Augusta-Aiken","GA-SC MSA",24864,23420,156,0,1288
"Austin-San Marcos","TX MSA",121801,103464,280,1055,17002
"Bakersfield","CA MSA",41375,41375,0,0,0
"Bangor","ME MSA",4906,4906,0,0,0
"Barnstable-Yarmouth","MA MSA",15344,13101,0,1719,524
"Baton Rouge","LA MSA",8427,8352,0,75,0
"Beaumont-Port Arthur","TX MSA",7218,7218,0,0,0
"Bellingham","WA MSA",16956,14572,731,242,1411
"Benton Harbor","MI MSA",2945,2945,0,0,0
"Billings","MT MSA",6784,6784,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",17530,17380,150,0,0
"Binghamton","NY MSA",2166,2166,0,0,0
"Birmingham","AL MSA",47114,46653,0,0,461
"Bismarck","ND MSA",12659,8378,0,930,3351
"Bloomington","IN MSA",20481,10002,9364,1115,0
"Bloomington-Normal","IL MSA",7232,7232,0,0,0
"Boise City","ID MSA",69472,67642,1105,341,384
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",260286,188843,5213,3241,62989
"Brownsville-Harlingen-San Benito","TX MSA",15836,15075,447,314,0
"Bryan-College Station","TX MSA",9157,9051,86,0,20
"Buffalo-Niagara Falls","NY MSA",27645,26017,511,0,1117
"Burlington","VT MSA",10102,7581,416,80,2025
"Canton-Massillon","OH MSA",15945,15001,689,255,0
"Casper","WY MSA",2007,2007,0,0,0
"Cedar Rapids","IA MSA",9957,6305,418,243,2991
"Champaign-Urbana","IL MSA",14996,5291,305,0,9400
"Charleston-North Charleston","SC MSA",90362,86802,282,412,2866
"Charleston","WV MSA",3033,3033,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",185987,170261,340,1412,13974
"Charlottesville","VA MSA",22856,19301,160,1295,2100
"Chattanooga","TN-GA MSA",23268,22414,490,67,297
"Cheyenne","WY MSA",5708,5708,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",604631,513092,5724,17473,68342
"Chico-Paradise","CA MSA",12091,12036,55,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",119911,107928,616,1747,9620
"Clarksville-Hopkinsville","TN-KY MSA",9162,9162,0,0,0
"Cleveland-Akron","OH CMSA",146146,135990,2143,3361,4652
"Colorado Springs","CO MSA",64091,62358,110,969,654
"Columbia","MO MSA",15324,14926,398,0,0
"Columbia","SC MSA",39925,39158,229,0,538
"Columbus","GA-AL MSA",29454,12397,197,3497,13363
"Columbus","OH MSA",179664,157066,3344,3928,15326
"Corpus Christi","TX MSA",8980,7955,259,766,0
"Corvallis","Corvallis OR MSA",8664,6317,369,209,1769
"Cumberland","MD-WV MSA",1709,1709,0,0,0
