"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",2056,1971,85,0,0
"Albany","GA MSA",4756,4756,0,0,0
"Albany-Schenectady-Troy","NY MSA",38589,34139,0,1160,3289
"Albuquerque","NM MSA",56912,56832,0,80,0
"Alexandria","LA MSA",5944,5944,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",28610,28378,0,232,0
"Altoona","PA MSA",1091,1091,0,0,0
"Amarillo","TX MSA",7405,7245,160,0,0
"Anchorage","AK MSA",22064,15652,4063,0,2348
"Anniston","AL MSA",3160,3160,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",32166,27729,3635,0,800
"Asheville","NC MSA",22280,20716,1563,0,0
"Athens","GA MSA",15926,15753,0,0,172
"Atlanta","GA MSA",627046,532960,1754,233,92096
"Auburn-Opelika","AL MSA",9282,5910,659,793,1919
"Augusta-Aiken","GA-SC MSA",28520,28460,60,0,0
"Austin-San Marcos","TX MSA",110177,83177,1938,154,24906
"Bakersfield","CA MSA",45041,45041,0,0,0
"Bangor","ME MSA",3764,3489,185,89,0
"Barnstable-Yarmouth","MA MSA",14872,14872,0,0,0
"Baton Rouge","LA MSA",11350,11350,0,0,0
"Beaumont-Port Arthur","TX MSA",9215,8857,0,0,357
"Bellingham","WA MSA",18953,16987,417,241,1306
"Benton Harbor","MI MSA",3510,3510,0,0,0
"Billings","MT MSA",11191,8986,0,252,1951
"Biloxi-Gulfport-Pascagoula","MS MSA",19459,19296,163,0,0
"Binghamton","NY MSA",2268,2268,0,0,0
"Birmingham","AL MSA",64534,63364,0,0,1170
"Bismarck","ND MSA",11202,9988,0,300,913
"Bloomington","IN MSA",16656,11458,3241,0,1957
"Bloomington-Normal","IL MSA",13414,11832,0,0,1582
"Boise City","ID MSA",67244,62691,1187,484,2879
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",209561,192497,4352,1275,11426
"Brownsville-Harlingen-San Benito","TX MSA",19776,19654,122,0,0
"Bryan-College Station","TX MSA",17767,14963,2804,0,0
"Buffalo-Niagara Falls","NY MSA",25408,23965,0,575,866
"Burlington","VT MSA",9194,9194,0,0,0
"Canton-Massillon","OH MSA",17602,16552,794,255,0
"Casper","WY MSA",2993,2993,0,0,0
"Cedar Rapids","IA MSA",11751,10372,814,563,0
"Champaign-Urbana","IL MSA",10491,10153,0,337,0
