"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Greenville-Spartanburg-Anderson","SC MSA",69877,64645,308,162,4762
"Harrisburg-Lebanon-Carlisle","PA MSA",24970,23425,445,0,1100
"Hartford","CT MSA",42416,36426,1216,0,4774
"Hattiesburg","MS MSA",839,839,0,0,0
"Hickory-Morganton","NC MSA",19142,19022,120,0,0
"Honolulu","HI MSA",20091,20091,0,0,0
"Houma","LA MSA",16138,7138,0,0,9000
"Houston-Galveston-Brazoria","Houston-Galveston-Brazoria TX CMSA",465856,378994,956,278,85628
"Huntington-Ashland","WV-KY-OH MSA",62,62,0,0,0
"Huntsville","AL MSA",29978,6540,239,1009,22190
"Indianapolis","IN MSA",203169,196551,4993,222,1403
"Iowa City","IA MSA",7476,7076,0,400,0
"Jackson","MI MSA",1447,1447,0,0,0
"Jackson","MS MSA",33878,32869,0,0,1009
"Jackson","TN MSA",3896,3896,0,0,0
"Jacksonville","FL MSA",180601,165849,118,0,14634
"Jacksonville","NC MSA",8556,8556,0,0,0
"Jamestown","NY MSA",88,88,0,0,0
"Janesville-Beloit","WI MSA",4939,4229,200,300,210
"Johnson City-Kingsport-Bristol","TN-VA MSA",14241,12310,0,1303,628
"Johnstown","PA MSA",682,682,0,0,0
"Jonesboro","AR MSA",7835,5259,208,0,2368
"Joplin","MO MSA",1222,1222,0,0,0
"Kalamazoo-Battle Creek","MI MSA",19576,17786,241,480,1069
"Kansas City","MO-KS MSA",179543,154898,3167,3048,18430
"Killeen-Temple","TX MSA",19558,17638,1007,913,0
"Knoxville","TN MSA",39450,38224,445,496,285
"Kokomo","IN MSA",6262,5058,905,0,299
"La Crosse","WI-MN MSA",6591,5278,1313,0,0
"Lafayette","IN MSA",22799,12232,0,0,10567
"Lafayette","LA MSA",16600,14825,0,150,1625
"Lake Charles","LA MSA",10271,10141,130,0,0
"Lakeland-Winter Haven","FL MSA",56437,54189,252,0,1996
"Lancaster","PA MSA",17182,15770,0,0,1412
"Lansing-East Lansing","MI MSA",20611,20146,0,0,465
"Laredo","TX MSA",12333,10935,84,233,1081
"Las Cruces","NM MSA",21164,21164,0,0,0
"Las Vegas","NV-AZ MSA",372527,333577,1923,15739,21288
"Lawrence","KS MSA",7240,6230,1010,0,0
"Lawton","OK MSA",1437,1437,0,0,0
"Lewiston-Auburn","ME MSA",6067,6067,0,0,0
"Lexington","KY MSA",51861,49946,1465,0,450
"Lima","OH MSA",495,495,0,0,0
"Lincoln","NE MSA",22719,20784,556,0,1379
"Little Rock-North Little Rock","AR MSA",41020,39986,220,814,0
"Longview-Marshall","TX MSA",2949,2949,0,0,0
"Los Angeles-Riverside-Orange County","County CA CMSA",900041,774502,9047,15998,100494
"Louisville","KY-IN MSA",95143,84027,101,608,10407
"Lubbock","TX MSA",36977,12580,11112,0,13285
"Lynchburg","VA MSA",19347,18592,0,0,755
"Macon","GA MSA",37264,16669,560,0,20035
"Madison","WI MSA",58372,39355,2032,3759,13226
"Mansfield","OH MSA",5367,4648,579,140,0
