"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",2228,2228,0,0,0
"Albany","GA MSA",7032,6844,188,0,0
"Albany-Schenectady-Troy","NY MSA",46901,33942,0,0,12959
"Albuquerque","NM MSA",68988,68039,0,949,0
"Alexandria","LA MSA",5028,4433,0,0,595
"Allentown-Bethlehem-Easton","PA MSA",28568,28265,72,231,0
"Altoona","PA MSA",372,372,0,0,0
"Amarillo","TX MSA",7822,7822,0,0,0
"Anchorage","AK MSA",29256,16117,8753,0,4386
"Anniston","AL MSA",1512,1512,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",27648,25787,1024,173,664
"Asheville","NC MSA",28606,28321,0,285,0
"Athens","GA MSA",16186,16186,0,0,0
"Atlanta","GA MSA",619462,546864,4180,587,67831
"Auburn-Opelika","AL MSA",8488,8061,0,0,427
"Augusta-Aiken","GA-SC MSA",35428,35428,0,0,0
"Austin-San Marcos","TX MSA",91279,81326,703,0,9250
"Bakersfield","CA MSA",62849,62661,0,188,0
"Bangor","ME MSA",3616,3411,205,0,0
"Barnstable-Yarmouth","MA MSA",16360,16360,0,0,0
"Baton Rouge","LA MSA",17332,14255,0,0,3077
"Beaumont-Port Arthur","TX MSA",7187,7187,0,0,0
"Bellingham","WA MSA",30456,25052,342,0,5062
"Benton Harbor","MI MSA",1728,1728,0,0,0
"Billings","MT MSA",8369,8369,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",23402,22804,0,0,598
"Binghamton","NY MSA",2610,2610,0,0,0
"Birmingham","AL MSA",80306,73313,0,0,6993
"Bismarck","ND MSA",13672,13147,0,0,525
"Bloomington","IN MSA",12570,9660,1799,0,1111
"Bloomington-Normal","IL MSA",12964,11873,120,480,491
"Boise City","ID MSA",99788,96619,1607,1562,0
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","269015",219977,7896,4602,36540,NA
"Brownsville-Harlingen-San Benito","TX MSA",16818,16760,58,0,0
