"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Hattiesburg","MS MSA",1460,1460,0,0,0
"Hickory-Morganton","NC MSA",18673,18673,0,0,0
"Honolulu","HI MSA",30435,26841,1105,0,2489
"Houma","LA MSA",6931,6931,0,0,0
"Houston-Galveston-Brazoria TX CMSA","387847",320459,0,835,66553,NA
"Huntington-Ashland","WV-KY-OH MSA",387,291,96,0,0
"Huntsville","AL MSA",6691,5144,0,0,1547
"Indianapolis","IN MSA",160576,142816,5601,620,11539
"Iowa City","IA MSA",11243,8454,0,263,2526
"Jackson","MI MSA",1263,1263,0,0,0
"Jackson","MS MSA",31059,29612,0,0,1447
"Jackson","TN MSA",4668,4327,64,0,277
"Jacksonville","FL MSA",150387,137907,0,0,12480
"Jacksonville","NC MSA",6725,6725,0,0,0
"Jamestown","NY MSA",88,88,0,0,0
"Janesville-Beloit","WI MSA",4360,3580,200,300,280
"Johnson City-Kingsport-Bristol","TN-VA MSA",8849,8155,0,0,694
"Johnstown","PA MSA",507,507,0,0,0
"Jonesboro","AR MSA",4071,3831,0,240,0
"Joplin","MO MSA",743,743,0,0,0
"Kalamazoo-Battle Creek","MI MSA",17109,15067,0,544,1498
"Kansas City","MO-KS MSA",151751,136810,2674,4642,7625
"Killeen-Temple","TX MSA",16102,15492,610,0,0
"Knoxville","TN MSA",38654,37457,760,200,237
"Kokomo","IN MSA",3981,3981,0,0,0
"La Crosse","WI-MN MSA",8248,5828,695,325,1400
"Lafayette","IN MSA",14545,13638,907,0,0
"Lafayette","LA MSA",12045,10944,0,0,1101
"Lake Charles","LA MSA",5473,5368,105,0,0
"Lakeland-Winter Haven","FL MSA",59570,59388,182,0,0
"Lancaster","PA MSA",12485,12485,0,0,0
"Lansing-East Lansing","MI MSA",16241,15730,0,0,511
"Laredo","TX MSA",9291,8487,0,155,649
"Las Cruces","NM MSA",18481,18481,0,0,0
"Las Vegas","NV-AZ MSA",264307,238185,728,2929,22465
"Lawrence","KS MSA",28368,7147,15300,1556,4365
"Lawton","OK MSA",1062,1062,0,0,0
"Lewiston-Auburn","ME MSA",3417,3417,0,0,0
"Lexington","KY MSA",29426,28184,1242,0,0
"Lima","OH MSA",795,795,0,0,0
"Lincoln","NE MSA",17452,15862,556,0,1034
"Little Rock-North Little Rock","AR MSA",33957,33732,0,0,225
"Longview-Marshall","TX MSA",1861,1861,0,0,0
"Los Angeles-Riverside-Orange County CA CMSA","775003",615252,5623,5397,148731,NA
"Louisville","KY-IN MSA",62489,59097,281,0,3111
"Lubbock","TX MSA",13052,12070,716,266,0
"Lynchburg","VA MSA",17465,17465,0,0,0
"Macon","GA MSA",16372,16132,0,240,0
"Madison","WI MSA",63149,40834,1890,1534,18891
"Mansfield","OH MSA",5197,4250,947,0,0
"McAllen-Edinburg-Mission","TX MSA",27188,24961,218,1384,625
"Medford-Ashland","OR MSA",21377,18133,170,0,3074
"Melbourne-Titusville-Palm Bay","FL MSA",84376,74583,0,464,9329
"Memphis","TN-AR-MS MSA",71354,69217,0,0,2137
"Merced","CA MSA",34092,33744,0,348,0
"Miami-Fort Lauderdale FL CMSA","149268",114451,1848,406,32563,NA
"Milwaukee-Racine WI CMSA","92018",77210,2455,950,11403,NA
"Minneapolis-St. Paul","MN-WI MSA",347557,289367,3825,8490,45875
"Missoula","MT MSA",2264,2170,94,0,0
"Mobile","AL MSA",65247,36699,0,95,28453
"Modesto","CA MSA",42322,41530,792,0,0
"Monroe","LA MSA",3265,3265,0,0,0
"Montgomery","AL MSA",12642,12642,0,0,0
"Muncie","IN MSA",29305,3917,0,188,25200
"Myrtle Beach","SC MSA",46623,30272,122,728,15501
"Naples","FL MSA",73755,56799,727,2244,13985
"Nashville","TN MSA",119890,116219,1579,194,1898
"New London-Norwich","CT-RI MSA",14172,14172,0,0,0
"New Orleans","LA MSA",55396,49938,292,516,4650
"New York-Northern New Jersey-Long Island NY-NJ-CT-","555871",378194,73207,30388,74082,NA
"Norfolk-Virginia Beach-Newport News","VA-NC MSA",91762,82416,1089,0,8257
"Ocala","FL MSA",55369,55369,0,0,0
"Odessa-Midland","TX MSA",3721,3721,0,0,0
"Oklahoma City","OK MSA",66542,65093,1022,209,218
"Omaha","NE-IA MSA",51257,41447,0,0,9810
"Orlando","FL MSA",303702,257774,1924,2945,41059
"Owensboro","KY MSA",2656,2656,0,0,0
"Panama City","FL MSA",18241,18241,0,0,0
"Parkersburg-Marietta","WV-OH MSA",1328,1203,0,125,0
"Pensacola","FL MSA",40379,39795,584,0,0
"Peoria-Pekin","IL MSA",9654,8033,1411,210,0
"Philadelphia-Wilmington-Atlantic City PA-NJ-DE-MD","250982",190892,6229,942,52919,NA
"Phoenix-Mesa","AZ MSA",500117,458969,2716,2281,36151
"Pine Bluff","AR MSA",472,472,0,0,0
"Pittsburgh","PA MSA",66306,58938,1048,3479,2841
"Pittsfield","MA MSA",0,0,0,0,0
"Pocatello","ID MSA",1551,1551,0,0,0
"Portland","ME MSA",16303,15175,0,279,849
"Portland-Salem OR-WA CMSA","118460",113847,1113,264,3236,NA
"Providence-Fall River-Warwick","RI-MA MSA",34887,32702,721,603,861
"Provo-Orem","UT MSA",27242,25841,347,606,448
"Pueblo","CO MSA",8521,8521,0,0,0
"Punta Gorda","FL MSA",26274,24557,299,600,818
"Raleigh-Durham-Chapel Hill","NC MSA",160812,155890,2138,0,2784
"Rapid City","SD MSA",8129,7802,0,327,0
"Reading","PA MSA",13176,9176,0,0,4000
"Redding","CA MSA",14024,13898,126,0,0
"Reno","NV MSA",64630,61859,0,0,2771
"Richland-Kennewick-Pasco","WA MSA",16933,16370,0,259,304
"Richmond-Petersburg","VA MSA",75972,64993,492,4452,6035
"Roanoke","VA MSA",6002,6002,0,0,0
"Rochester","MN MSA",20275,15994,0,0,4281
"Rochester","NY MSA",25858,24623,162,338,735
"Rockford","IL MSA",12406,11212,278,916,0
"Rocky Mount","NC MSA",5138,4126,480,228,304
"Sacramento-Yolo CA CMSA","287084",264305,1336,231,21212,NA
"Saginaw-Bay City-Midland","MI MSA",4330,4330,0,0,0
"Salinas","CA MSA",28444,28444,0,0,0
"Salt Lake City-Ogden","UT MSA",102085,89236,2177,1316,9356
"San Angelo","TX MSA",2253,2253,0,0,0
"San Antonio","TX MSA",116763,92841,364,1600,21958
"San Diego","CA MSA",190884,156193,3459,4626,26606
"San Francisco-Oakland-San Jose CA CMSA","350729",266994,3443,5399,74893,NA
"San Luis Obispo-Atascadero-Paso Robles","CA MSA",24704,24704,0,0,0
"Santa Barbara-Santa Maria-Lompoc","CA MSA",15914,13301,236,274,2103
"Santa Fe","NM MSA",7143,7143,0,0,0
"Sarasota-Bradenton","FL MSA",136084,82840,540,5748,46956
"Savannah","GA MSA",17076,16934,0,0,142
"Scranton--Wilkes-Barre--Hazleton","PA MSA",5118,4598,0,520,0
"Seattle-Tacoma-Bremerton WA CMSA","229549",209970,4116,4807,10656,NA
"Sharon","PA MSA",1095,1035,0,60,0
"Sheboygan","WI MSA",580,580,0,0,0
"Sherman-Denison","TX MSA",572,572,0,0,0
"Shreveport-Bossier City","LA MSA",21394,14555,0,0,6839
"Sioux City","IA-NE MSA",1425,1248,177,0,0
"Sioux Falls","SD MSA",14072,13649,0,423,0
"South Bend","IN MSA",10771,10771,0,0,0
"Spokane","WA MSA",21337,19495,933,0,909
"Springfield","IL MSA",6897,5394,999,225,279
"Springfield","MA MSA",10229,9675,554,0,0
"Springfield","MO MSA",35592,28980,1344,0,5268
"St. Cloud","MN MSA",9661,7596,0,0,2065
"St. Joseph","MO MSA",1806,1432,374,0,0
"St. Louis","MO-IL MSA",136308,131310,1842,407,2749
"State College","PA MSA",4030,4030,0,0,0
"Steubenville-Weirton","OH-WV MSA",445,445,0,0,0
"Stockton-Lodi","CA MSA",92752,92752,0,0,0
"Sumter","SC MSA",4041,3674,367,0,0
"Syracuse","NY MSA",7290,6745,420,0,125
"Tallahassee","FL MSA",13219,12669,0,0,550
"Tampa-St. Petersburg-Clearwater","FL MSA",211737,190423,5262,1631,14421
"Terre Haute","IN MSA",2023,2023,0,0,0
"Texarkana TX-Texarkana","AR MSA",1617,1617,0,0,0
"Toledo","OH MSA",32537,23605,928,1704,6300
"Topeka","KS MSA",15624,11554,0,3960,110
"Tucson","AZ MSA",100671,96323,802,173,3373
"Tulsa","OK MSA",42699,35821,0,0,6878
"Tuscaloosa","AL MSA",8332,8332,0,0,0
