"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",2187,2187,0,0,0
"Albany","GA MSA",6666,4881,0,0,1785
"Albany-Schenectady-Troy","NY MSA",38410,37541,0,0,869
"Albuquerque","NM MSA",64147,60011,0,399,3737
"Alexandria","LA MSA",5279,5279,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",28988,25284,50,231,3423
"Altoona","PA MSA",1004,1004,0,0,0
"Amarillo","TX MSA",12009,12009,0,0,0
"Anchorage","AK MSA",25633,15590,7112,2342,589
"Anniston","AL MSA",1553,1553,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",29537,28648,428,173,288
"Asheville","NC MSA",67913,24740,186,0,42987
"Athens","GA MSA",24415,24415,0,0,0
"Atlanta","GA MSA",655662,568825,4381,1859,80597
"Auburn-Opelika","AL MSA",7025,5864,0,0,1161
"Augusta-Aiken","GA-SC MSA",30861,30861,0,0,0
"Austin-San Marcos","TX MSA",107837,89550,1553,0,16734
"Bakersfield","CA MSA",75217,75217,0,0,0
"Bangor","ME MSA",4686,4686,0,0,0
"Barnstable-Yarmouth","MA MSA",13868,13868,0,0,0
"Baton Rouge","LA MSA",19247,15783,0,1299,2165
"Beaumont-Port Arthur","TX MSA",7322,7322,0,0,0
"Bellingham","WA MSA",28971,24601,755,3415,200
"Benton Harbor","MI MSA",3933,3933,0,0,0
"Billings","MT MSA",7210,7210,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",41387,41387,0,0,0
"Binghamton","NY MSA",1809,1809,0,0,0
"Birmingham","AL MSA",70274,69259,60,0,955
"Bismarck","ND MSA",17572,15354,0,2218,0
"Bloomington","IN MSA",12339,9110,2159,236,834
"Bloomington-Normal","IL MSA",14879,14879,0,0,0
"Boise City","ID MSA",84378,78414,521,3154,2289
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",303071,194101,7203,6404,95363
"Brownsville-Harlingen-San Benito","TX MSA",17709,17158,394,157,0
"Bryan-College Station","TX MSA",7581,6981,0,600,0
"Buffalo-Niagara Falls","NY MSA",24128,23934,194,0,0
"Burlington","VT MSA",9498,7509,446,221,1322
"Canton-Massillon","OH MSA",21196,21196,0,0,0
"Casper","WY MSA",1714,1714,0,0,0
"Cedar Rapids","IA MSA",12980,11279,423,691,587
"Champaign-Urbana","IL MSA",7969,7969,0,0,0
"Charleston","WV MSA",3853,3707,146,0,0
"Charleston-North Charleston","SC MSA",63223,60657,131,301,2134
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",234806,219641,908,1737,12520
"Charlottesville","VA MSA",27279,21659,379,212,5029
"Chattanooga","TN-GA MSA",32020,31109,267,67,577
"Cheyenne","WY MSA",8281,8281,0,0,0
"Chicago-Gary-Kenosha","Chicago-Gary-Kenosha IL-IN-WI CMSA",770089,604366,14252,29898,121573
"Chico-Paradise","CA MSA",16048,13898,0,0,2150
"Cincinnati-Hamilton","Cincinnati-Hamilton OH-KY-IN CMSA",154197,145112,2445,1874,4766
"Clarksville-Hopkinsville","TN-KY MSA",10667,10430,0,0,237
"Cleveland-Akron","Cleveland-Akron OH CMSA",177355,170434,2850,2528,1543
"Colorado Springs","CO MSA",63938,63938,0,0,0
"Columbia","MO MSA",25933,16119,5334,0,4480
"Columbia","SC MSA",47489,46830,0,146,513
"Columbus","GA-AL MSA",16624,16368,256,0,0
"Columbus","OH MSA",197307,177138,1075,3576,15518
"Corpus Christi","TX MSA",13313,13313,0,0,0
"Corvallis","OR MSA",6665,4371,0,0,2294
"Cumberland","MD-WV MSA",2749,2749,0,0,0
"Dallas-Fort Worth","Worth TX CMSA",646222,595832,849,409,49132
"Danville","VA MSA",3007,3007,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",8571,7721,0,0,850
"Dayton-Springfield","OH MSA",36132,34664,407,1061,0
"Daytona Beach","FL MSA",133376,99137,1912,0,32327
"Decatur","Al MSA",2469,2469,0,0,0
"Decatur","IL MSA",5523,5523,0,0,0
"Denver-Boulder-Greeley","Denver-Boulder-Greeley CO CMSA",294072,258213,842,4162,30855
"Des Moines","IA MSA",63561,58513,376,2969,1703
"Detroit-Ann Arbor-Flint","Arbor-Flint MI CMSA",329373,309999,5086,2859,11429
"Dothan","AL MSA",2399,2399,0,0,0
"Dover","DE MSA",22465,22465,0,0,0
"Dubuque","IA MSA",3039,2920,119,0,0
"Duluth-Superior","MN-WI MSA",14262,13825,437,0,0
"Eau Claire","WI MSA",15995,15155,840,0,0
"El Paso","TX MSA",19370,18459,144,341,426
"Elkhart-Goshen","IN MSA",12943,12643,0,150,150
"Elmira","NY MSA",392,392,0,0,0
"Enid","OK MSA",6131,1131,0,0,5000
"Erie","PA MSA",3260,3260,0,0,0
"Eugene-Springfield","OR MSA",22876,19849,1895,1132,0
"Evansville-Henderson","IN-KY MSA",24435,22125,310,0,2000
"Fargo-Moorhead","ND-MN MSA",34726,30331,0,1905,2490
"Fayetteville","NC MSA",15820,15820,0,0,0
"Fayetteville-Springdale-Rogers","AR MSA",41343,39314,1233,249,547
"Flagstaff","AZ MSA",8303,8303,0,0,0
"Florence","AL MSA",1512,1512,0,0,0
"Florence","SC MSA",6660,6492,168,0,0
"Fort Collins-Loveland","CO MSA",38032,35353,642,729,1308
"Fort Myers-Cape Coral","FL MSA",192022,132919,6525,7429,45149
"Fort Pierce-Port St. Lucie","FL MSA",107513,103405,391,3717,0
"Fort Smith","AR-OK MSA",5183,4663,520,0,0
"Fort Walton Beach","FL MSA",29511,25306,0,0,4205
"Fort Wayne","IN MSA",40741,36150,192,0,4399
"Fresno","CA MSA",80677,74425,712,1787,3753
"Gadsden","AL MSA",1188,1188,0,0,0
"Gainesville","FL MSA",11006,10799,207,0,0
"Glens Falls","NY MSA",10414,10047,0,164,203
"Goldsboro","NC MSA",5324,5324,0,0,0
"Grand Forks","ND-MN MSA",9793,4891,0,0,4902
"Grand Junction","CO MSA",17363,17072,0,291,0
"Grand Rapids-Muskegon-Holland","MI MSA",100566,90853,962,989,7762
