"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Grand Forks","ND-MN",1781,1781,0,0,0
"Grand Junction","CO",18237,18014,223,0,0
"Grand Rapids-Wyoming","MI",60515,55529,0,0,4986
"Great Falls","MT",2932,2932,0,0,0
"Greeley","CO",62938,53642,278,6314,2704
"Green Bay","WI",22865,18779,1625,1325,1136
"Greensboro-High Point","NC",74754,74354,0,0,400
"Greenville","NC",11951,9969,382,0,1600
"Greenville","SC",44354,43978,219,0,157
"Gulfport-Biloxi","MS",14452,11892,43,502,2015
"Hagerstown-Martinsburg","MD-WV",36463,34393,759,135,1176
"Hanford-Corcoran","CA",5546,4961,0,164,421
"Harrisburg-Carlisle","PA",18869,18444,0,425,0
"Harrisonburg","VA",8382,7492,890,0,0
"Hartford-West Hartford-East Hartford","CT",50667,49339,279,0,1049
"Hattiesburg","MS",1251,1251,0,0,0
"Hickory-Lenoir-Morganton","NC",22986,22986,0,0,0
"Hinesville-Fort Stewart","GA",2887,2887,0,0,0
"Holland-Grand Haven","MI",30091,24105,1196,2099,2691
"Honolulu","HI",59638,35704,0,2898,21036
"Hot Springs","AR",1312,1312,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",9005,9005,0,0,0
"Houston-Baytown-Sugar Land","TX",518254,471105,1064,0,46085
"Huntington-Ashland","WV-KY-OH",822,822,0,0,0
"Huntsville","AL",11469,6899,0,0,4570
"Idaho Falls","ID",8068,7904,164,0,0
"Indianapolis","IN",189592,182753,1959,1757,3123
"Iowa City","IA",16998,9802,0,0,7196
"Ithaca","NY",3117,2700,100,0,317
"Jackson","MI",4235,3395,0,0,840
"Jackson","MS",52420,51095,0,330,995
"Jackson","TN",7570,7570,0,0,0
"Jacksonville","FL",239800,165676,427,3200,70497
"Jacksonville","NC",21537,9867,0,0,11670
"Janesville","WI",7269,6659,210,225,175
"Jefferson City","MO",3824,3824,0,0,0
"Johnson City","TN",16562,16562,0,0,0
"Johnstown","PA",298,298,0,0,0
"Jonesboro","AR",4668,4587,81,0,0
"Joplin","MO",1720,1720,0,0,0
"Kalamazoo-Portage","MI",24383,17100,1841,3376,2066
"Kankakee-Bradley","IL",9430,8927,183,320,0
"Kansas City","MO-KS",185401,171779,2388,6663,4571
"Kennewick-Richland-Pasco","WA",32565,30933,196,0,1436
"Killeen-Temple-Fort Hood","TX",28957,24159,1652,2766,380
"Kingsport-Bristol-Bristol","TN-VA",9334,8984,0,0,350
"Kingston","NY",12703,9666,0,237,2800
"Knoxville","TN",57072,44981,0,0,12091
"Kokomo","IN",4927,4627,300,0,0
"La Crosse","WI-MN",12390,10692,0,0,1698
"Lafayette","IN",14470,13715,755,0,0
"Lafayette","LA",22175,22175,0,0,0
"Lake Charles","LA",9763,8557,81,154,971
"Lakeland","FL",66013,65014,999,0,0
"Lancaster","PA",20293,17890,688,0,1715
"Lansing-East Lansing","MI",21525,19547,384,0,1594
"Laredo","TX",13058,12711,0,122,225
"Las Cruces","NM",20096,20096,0,0,0
"Las Vegas-Paradise","NV",363915,358409,0,0,5506
"Lawrence","KS",7344,6612,732,0,0
"Lawton","OK",1457,1457,0,0,0
"Lebanon","PA",5929,5929,0,0,0
"Lewiston","ID-WA",724,724,0,0,0
"Lewiston-Auburn","ME",6101,6101,0,0,0
"Lexington-Fayette","KY",44570,41620,0,1650,1300
"Lima","OH",1744,1744,0,0,0
"Lincoln","NE",27966,26318,308,0,1340
"Little Rock-North Little Rock","AR",60304,51607,55,0,8642
"Logan","UT-ID",10245,9061,736,448,0
"Longview","TX",1823,1823,0,0,0
"Longview","WA",5142,4624,158,360,0
"Los Angeles-Long Beach-Santa Ana","CA",384559,288432,6040,4374,85713
"Louisville","KY-IN",108571,103565,502,965,3539
"Lubbock","TX",39665,14989,5160,0,19516
"Lynchburg","VA",18114,17214,0,0,900
"Macon","GA",11376,8665,155,984,1572
"Madera","CA",18730,18617,113,0,0
"Madison","WI",67313,55734,2248,2265,7066
"Manchester-Nashua","NH",26446,22028,501,690,3227
"Mansfield","OH",4544,3637,0,907,0
"McAllen-Edinburg-Pharr","TX",42838,39135,702,884,2117
"Medford","OR",29441,24838,628,3570,405
"Memphis","TN-MS-AR",171155,146496,0,0,24659
"Merced","CA",42969,42969,0,0,0
"Miami-Fort Lauderdale-Miami Beach","FL",463309,286402,3971,4629,168307
"Michigan City-La Porte","IN",4051,4051,0,0,0
"Midland","TX",3136,3136,0,0,0
"Milwaukee-Waukesha-West Allis","WI",93146,76131,4263,330,12422
"Minneapolis-St. Paul-Bloomington","MN-WI",453449,368331,4087,8472,72559
"Missoula","MT",5685,3980,529,264,912
"Mobile","AL",13793,13793,0,0,0
"Modesto","CA",69556,67179,200,0,2177
"Monroe","LA",2294,2294,0,0,0
"Monroe","MI",17574,15794,0,0,1780
"Montgomery","AL",13508,13508,0,0,0
"Morgantown","WV",376,280,96,0,0
"Morristown","TN",6063,5903,160,0,0
"Mount Vernon-Anacortes","WA",14034,13023,1011,0,0
"Muncie","IN",10525,4238,0,201,6086
"Muskegon-Norton Shores","MI",9712,9058,440,0,214
"Myrtle Beach-Conway-North Myrtle Beach","SC",79478,43531,413,299,35235
"Napa","CA",16254,16254,0,0,0
"Naples-Marco Island","FL",145770,102802,1655,5725,35588
"Nashville-Davidson--Murfreesboro","TN",182914,170070,867,559,11418
"New Haven-Milford","CT",31182,28567,642,1973,0
"New Orleans-Metairie-Kenner","LA",66581,66581,0,0,0
"New York-Northern New Jersey-Long Island","NY-NJ-PA",621532,391845,81905,35268,112514
"Niles-Benton Harbor","MI",3727,3727,0,0,0
"Norwich-New London","CT",18071,16042,65,1593,371
"Ocala","FL",56698,55099,752,447,400
"Ocean City","NJ",27350,14480,7489,1294,4087
"Odessa","TX",3968,3968,0,0,0
"Ogden-Clearfield","UT",57680,55639,138,1343,560
"Oklahoma City","OK",94992,92649,960,1383,0
"Olympia","WA",26760,26501,259,0,0
"Omaha-Council Bluffs","NE-IA",89689,76964,350,1121,11254
"Orlando","FL",350772,328306,887,479,21100
"Oshkosh-Neenah","WI",11171,9832,163,220,956
"Owensboro","KY",2998,2998,0,0,0
"Oxnard-Thousand Oaks-Ventura","CA",69720,63136,225,0,6359
"Palm Bay-Melbourne-Titusville","FL",104088,98629,0,0,5459
"Panama City-Lynn Haven","FL",21973,21524,0,449,0
"Parkersburg-Marietta","WV-OH",1345,1345,0,0,0
"Pascagoula","MS",9625,6914,65,0,2646
"Pensacola-Ferry Pass-Brent","FL",53156,45837,398,0,6921
"Peoria","IL",21058,17846,2386,323,503
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",216271,195721,2038,1765,16747
"Phoenix-Mesa-Scottsdale","AZ",853422,829739,3915,10213,9555
"Pine Bluff","AR",1137,961,45,60,71
"Pittsburgh","PA",74472,71402,566,1368,1136
"Pittsfield","MA",3392,3222,170,0,0
"Pocatello","ID",3579,3579,0,0,0
"Port St. Lucie-Fort Pierce","FL",92469,88224,0,1751,2494
"Portland-South Portland-Biddeford","ME",46462,41522,1232,2626,1082
"Portland-Vancouver-Beaverton","OR-WA",224530,206998,2836,3629,11067
"Poughkeepsie-Newburgh-Middletown","NY",48963,44962,155,0,3846
"Prescott","AZ",35348,34298,1050,0,0
