"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Boston-Cambridge-Quincy","MA-NH",171397,105807,6464,3314,55812
"Boulder","CO",16922,16632,290,0,0
"Bowling Green","KY",12704,8928,0,0,3776
"Bremerton-Silverdale","WA",13371,13371,0,0,0
"Bridgeport-Stamford-Norwalk","CT",38317,37256,0,0,1061
"Brownsville-Harlingen","TX",16612,16177,435,0,0
"Brunswick","GA",15162,15162,0,0,0
"Buffalo-Niagara Falls","NY",16157,15410,0,0,747
"Burlington","NC",14199,14199,0,0,0
"Burlington-South Burlington","VT",5326,3869,334,364,759
"Canton-Massillon","OH",10475,10237,0,238,0
"Cape Coral-Fort Myers","FL",326083,288409,976,1272,35426
"Carson City","NV",2173,647,0,0,1526
"Casper","WY",2347,2347,0,0,0
"Cedar Rapids","IA",5105,3189,20,581,1315
"Champaign-Urbana","IL",8548,8548,0,0,0
"Charleston","WV",3000,3000,0,0,0
"Charleston-North Charleston","SC",82143,68031,0,265,13847
"Charlotte-Gastonia-Concord","NC-SC",198313,191557,580,0,6176
"Charlottesville","VA",26013,22852,266,0,2895
"Chattanooga","TN-GA",29715,29282,89,0,344
"Cheyenne","WY",4601,3914,0,415,272
"Chicago-Naperville-Joliet","IL-IN-WI",435048,371587,4980,18366,40115
"Chico","CA",10914,10467,447,0,0
"Cincinnati-Middletown","OH-KY-IN",110563,106296,216,2017,2034
"Clarksville","TN-KY",15376,15376,0,0,0
"Cleveland","TN",6492,6152,340,0,0
"Cleveland-Elyria-Mentor","OH",71615,69590,608,280,1137
"Coeur d""Alene","ID",20475,20075,158,0,242
"College Station-Bryan","TX",24687,9629,371,3875,10812
"Colorado Springs","CO",72285,68669,430,873,2313
"Columbia","MO",13841,13073,0,0,768
"Columbia","SC",62506,58359,0,126,4021
"Columbus","GA-AL",24173,23887,93,193,0
"Columbus","IN",1573,1573,0,0,0
"Columbus","OH",101669,94603,0,0,7066
"Corpus Christi","TX",15372,14057,113,181,1021
"Corvallis","OR",1351,1351,0,0,0
"Cumberland","MD-WV",1759,1484,0,0,275
"Dallas-Fort Worth-Arlington","TX",579053,503871,1892,286,73004
"Dalton","GA",7244,6191,0,164,889
"Danville","IL",100,100,0,0,0
"Danville","VA",2407,2302,0,105,0
"Davenport-Moline-Rock Island","IA-IL",6716,6716,0,0,0
"Dayton","OH",24081,23045,396,640,0
"Decatur","AL",4759,4759,0,0,0
"Decatur","IL",0,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",79454,70831,236,0,8387
"Denver-Aurora","CO",267839,236657,205,3761,27216
"Des Moines","IA",37603,35690,0,0,1913
"Detroit-Warren-Livonia","MI",163077,145042,1330,6222,10483
"Dothan","AL",2152,2152,0,0,0
"Dover","DE",18178,18178,0,0,0
