"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",2666,2666,0,0,0
"Albany","GA MSA",4933,4764,169,0,0
"Albany-Schenectady-Troy","NY MSA",30373,29401,0,94,878
"Albuquerque","NM MSA",66177,65095,0,1082,0
"Alexandria","LA MSA",4280,4280,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",23953,21421,380,232,1920
"Altoona","PA MSA",296,296,0,0,0
"Amarillo","TX MSA",10052,10052,0,0,0
"Anchorage","AK MSA",30469,16425,9004,3565,1475
"Anniston","AL MSA",3648,3638,10,0,0
"Appleton-Oshkosh-Neenah","WI MSA",28016,20691,1512,312,5501
"Asheville","NC MSA",22367,21918,0,160,289
"Athens","GA MSA",16300,16300,0,0,0
"Atlanta","GA MSA",509061,494223,277,921,13640
"Auburn-Opelika","AL MSA",7161,7161,0,0,0
"Augusta-Aiken","GA-SC MSA",26291,26291,0,0,0
"Austin-San Marcos","TX MSA",91041,74663,831,155,15392
"Bakersfield","CA MSA",47843,47843,0,0,0
"Bangor","ME MSA",2292,2292,0,0,0
"Barnstable-Yarmouth","MA MSA",16846,16322,0,0,524
"Baton Rouge","LA MSA",15080,10726,0,0,4354
"Beaumont-Port Arthur","TX MSA",3816,3816,0,0,0
"Bellingham","WA MSA",15794,13985,626,242,941
"Benton Harbor","MI MSA",3518,3518,0,0,0
"Billings","MT MSA",6853,6253,0,0,600
"Biloxi-Gulfport-Pascagoula","MS MSA",20034,20034,0,0,0
"Binghamton","NY MSA",1365,1265,100,0,0
"Birmingham","AL MSA",56628,56269,0,0,359
"Bismarck","ND MSA",9915,9249,306,360,0
"Bloomington","IN MSA",7577,7577,0,0,0
"Bloomington-Normal","IL MSA",8378,7634,494,0,250
"Boise City","ID MSA",66395,63945,475,1591,384
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","238319",209444,5541,4273,19061,NA
"Brownsville-Harlingen-San Benito","TX MSA",17259,15372,128,1596,163
"Bryan-College Station","TX MSA",8242,7507,115,0,620
"Buffalo-Niagara Falls","NY MSA",34015,30046,500,1200,2269
"Burlington","VT MSA",7154,6464,235,330,125
"Canton-Massillon","OH MSA",15108,14419,689,0,0
"Casper","WY MSA",1839,1839,0,0,0
"Cedar Rapids","IA MSA",12291,7255,366,243,4427
"Champaign-Urbana","IL MSA",9063,9063,0,0,0
"Charleston-North Charleston","SC MSA",60344,55063,311,572,4398
"Charleston","WV MSA",3899,3072,827,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",218151,198829,605,1013,17704
"Charlottesville","VA MSA",17555,15782,147,0,1626
"Chattanooga","TN-GA MSA",27704,27150,257,50,247
"Cheyenne","WY MSA",4806,4806,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",572813,527914,8119,10872,25908
"Chico-Paradise","CA MSA",12748,11518,0,1230,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",119309,107608,745,2936,8020
"Clarksville-Hopkinsville","TN-KY MSA",12559,12459,0,100,0
"Cleveland-Akron","OH CMSA",152109,138383,1160,4460,8106
"Colorado Springs","CO MSA",52741,50105,150,2486,0
"Columbia","MO MSA",25459,10685,150,2828,11796
"Columbia","SC MSA",32586,32459,0,0,127
"Columbus","GA-AL MSA",14360,13392,94,874,0
"Columbus","OH MSA",185526,160538,2128,6000,16860
"Corpus Christi","TX MSA",8708,8273,129,306,0
"Corvallis OR MSA","7412",5673,369,0,1370,NA
"Cumberland","MD-WV MSA",982,982,0,0,0
"Dallas-Fort Worth","TX CMSA",614529,564551,403,439,49136
"Danville","VA MSA",3208,3208,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",4630,4630,0,0,0
"Dayton-Springfield","OH MSA",33030,29015,0,0,4015
"Daytona Beach","FL MSA",64262,61231,173,0,2858
"Decatur","Al MSA",1755,1755,0,0,0
"Decatur","IL MSA",5445,746,0,0,4699
"Denver-Boulder-Greeley","CO CMSA",319186,271479,1570,2992,43145
"Des Moines","IA MSA",41498,39016,814,475,1193
"Detroit-Ann Arbor-Flint","MI CMSA",315193,270019,9953,5671,29550
"Dothan","AL MSA",2403,2403,0,0,0
"Dover","DE MSA",18912,18912,0,0,0
"Dubuque","IA MSA",1970,1761,209,0,0
"Duluth-Superior","MN-WI MSA",8761,8761,0,0,0
"Eau Claire","WI MSA",17515,12878,1925,2212,500
"El Paso","TX MSA",17067,16459,0,130,478
"Elkhart-Goshen","IN MSA",12549,11009,1104,240,196
"Elmira","NY MSA",807,807,0,0,0
"Enid","OK MSA",860,860,0,0,0
"Erie","PA MSA",2869,1933,0,188,748
"Eugene-Springfield","OR MSA",21934,20209,1091,0,634
"Evansville-Henderson","IN-KY MSA",21926,13946,85,225,7670
"Fargo-Moorhead","ND-MN MSA",21951,11791,0,0,10160
"Fayetteville","NC MSA",21836,21836,0,0,0
"Fayetteville-Springdale- Rogers","AR MSA",21221,17165,1339,300,2417
"Flagstaff","AZ-UT MSA",10352,10352,0,0,0
"Florence","AL MSA",843,843,0,0,0
"Florence","SC MSA",639,639,0,0,0
"Fort Collins-Loveland","CO MSA",34549,30720,328,519,2982
"Fort Myers-Cape Coral","FL MSA",124961,87072,3982,20310,13597
"Fort Pierce-Port St. Lucie","FL MSA",65473,56069,768,0,8636
"Fort Smith","AR-OK MSA",6524,5790,734,0,0
"Fort Walton Beach","FL MSA",16806,15730,0,0,1076
"Fort Wayne","IN MSA",41538,31111,340,479,9608
"Fresno","CA MSA",63993,63993,0,0,0
"Gadsden","AL MSA",1431,1431,0,0,0
"Gainesville","FL MSA",15777,10771,0,0,5006
"Glens Falls","NY MSA",7585,7252,333,0,0
"Goldsboro","NC MSA",3010,3010,0,0,0
"Grand Forks","ND-MN MSA",3049,2209,0,0,840
"Grand Junction","CO MSA",16241,15515,279,447,0
"Grand Rapids-Muskegon- Holland","MI MSA",74209,70992,843,1286,1088
"Great Falls","MT MSA",1661,1661,0,0,0
"Green Bay","WI MSA",15587,13851,673,0,1063
"Greensboro--Winston-Salem-- High Point","NC MSA",90552,78740,0,344,11468
"Greenville","NC MSA",12508,9596,695,0,2217
"Greenville-Spartanburg- Anderson","SC MSA",70140,60833,66,784,8457
"Harrisburg-Lebanon- Carlisle","PA MSA",18591,18591,0,0,0
"Hartford","CT MSA",46783,44380,536,381,1486
"Hattiesburg","MS MSA",1169,788,0,0,381
"Hickory-Morganton-Lenoir","NC MSA",19992,19336,125,0,531
"Honolulu","HI MSA",31472,30184,0,355,933
"Houma","LA MSA",6814,6738,76,0,0
"Houston-Galveston-Brazoria TX CMSA","469692",384288,749,1495,83160,NA
"Huntington-Ashland","WV-KY- OH MSA",993,589,0,404,0
"Huntsville","AL MSA",7136,6541,100,495,0
"Indianapolis","IN MSA",197815,188362,2959,2611,3883
"Iowa City","IA MSA",7266,5116,0,0,2150
"Jackson","MI MSA",2366,1905,0,461,0
"Jackson","MS MSA",24776,24576,0,200,0
"Jackson","TN MSA",6633,6148,390,95,0
