"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Hattiesburg","MS MSA",1170,1040,0,0,130
"Hickory-Morganton-Lenoir","NC MSA",27547,27120,307,120,0
"Honolulu","HI MSA",38750,37282,0,0,1468
"Houma","LA MSA",6514,6514,0,0,0
"Houston-Galveston-Brazoria TX CMSA","341909",319628,245,159,21877,NA
"Huntington-Ashland","WV-KY- OH MSA",590,238,0,0,352
"Huntsville","AL MSA",5452,5452,0,0,0
"Indianapolis","IN MSA",206507,176482,2341,3314,24370
"Iowa City","IA MSA",10513,10338,175,0,0
"Jackson","MI MSA",1122,1122,0,0,0
"Jackson","MS MSA",23460,21353,0,0,2107
"Jackson","TN MSA",6254,6254,0,0,0
"Jacksonville","FL MSA",140755,95508,260,309,44678
"Jacksonville","NC MSA",7631,7150,0,481,0
"Jamestown","NY MSA",88,88,0,0,0
"Janesville-Beloit","WI MSA",4186,3536,0,225,425
"Johnson City-Kingsport- Bristol","TN-VA MSA",11086,10743,0,0,343
"Johnstown","PA MSA",1026,1026,0,0,0
"Jonesboro","AR MSA",3791,3791,0,0,0
"Joplin","MO MSA",1113,1113,0,0,0
"Kalamazoo-Battle Creek","MI MSA",15701,14621,168,660,252
"Kansas City","MO-KS MSA",160828,144917,3665,3293,8953
"Killeen-Temple","TX MSA",14468,12815,831,822,0
"Knoxville","TN MSA",29962,27166,834,535,1427
"Kokomo","IN MSA",5445,4745,400,0,300
"La Crosse","WI-MN MSA",4674,3239,754,356,325
"Lafayette","LA MSA",12746,12746,0,0,0
"Lafayette","IN MSA",11630,8678,90,1370,1492
"Lake Charles","LA MSA",8700,8375,325,0,0
"Lakeland-Winter Haven","FL MSA",55560,29859,310,103,25288
"Lancaster","PA MSA",16415,16195,0,220,0
"Lansing-East Lansing","MI MSA",21607,15006,190,0,6411
"Laredo","TX MSA",8618,7974,0,0,644
"Las Cruces","NM MSA",9282,7764,0,146,1372
"Las Vegas","NV-AZ MSA",256797,234710,1143,5652,15292
"Lawrence","KS MSA",7036,5872,284,0,880
"Lawton","OK MSA",1423,1423,0,0,0
"Lewiston-Auburn","ME MSA",1720,1720,0,0,0
"Lexington","KY MSA",35095,34531,564,0,0
"Lima","OH MSA",1934,1934,0,0,0
"Lincoln","NE MSA",15579,14154,230,0,1195
"Little Rock-North Little Rock","AR MSA",30693,29818,50,825,0
"Longview-Marshall","TX MSA",1129,1129,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",769111,684609,1867,2302,80333
"Louisville","KY-IN MSA",61296,58714,263,98,2221
"Lubbock","TX MSA",12743,10635,358,1300,450
"Lynchburg","VA MSA",9952,9792,160,0,0
"Macon","GA MSA",19641,18091,0,80,1470
"Madison","WI MSA",32888,25491,2122,1624,3651
"Mansfield","OH MSA",6180,4264,1321,375,220
"McAllen-Edinburg-Mission","TX MSA",26795,25301,431,759,304
"Medford-Ashland","OR MSA",16174,14956,419,305,494
"Melbourne-Titusville-Palm Bay","FL MSA",44864,40415,0,0,4449
"Memphis","TN-AR-MS MSA",93504,77911,153,3233,12207
"Merced","CA MSA",17704,17704,0,0,0
"Miami-Fort Lauderdale","FL CMSA",205763,153049,1007,4177,47530
"Milwaukee-Racine","WI CMSA",87699,71975,3871,2332,9521
"Minneapolis-St. Paul","MN-WI MSA",261084,238128,2964,1276,18716
"Missoula","MT MSA",3539,2446,855,0,238
"Mobile","AL MSA",66856,36455,0,0,30401
"Modesto","CA MSA",31109,29487,446,724,452
"Monroe","LA MSA",4105,4105,0,0,0
"Montgomery","AL MSA",10271,10100,0,0,171
"Muncie","IN MSA",3407,3345,62,0,0
"Myrtle Beach","SC MSA",28601,21616,122,434,6429
"Naples","FL MSA",75283,61805,1019,5474,6985
"Nashville","TN MSA",116071,113887,707,177,1300
"New London-Norwich","CT-RI MSA",12282,12113,0,169,0
"New Orleans","LA MSA",43711,42833,168,200,510
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",538638,442355,22826,19779,53678
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",77118,75319,122,524,1153
"Ocala","FL MSA",21346,21346,0,0,0
"Odessa-Midland","TX MSA",2220,2220,0,0,0
"Oklahoma City","OK MSA",47716,46981,735,0,0
"Omaha","NE-IA MSA",44094,37810,0,208,6076
"Orlando","FL MSA",189343,171087,490,960,16806
"Owensboro","KY MSA",4249,3913,336,0,0
"Panama City","FL MSA",7950,7078,490,382,0
"Parkersburg-Marietta","WV-OH MSA",1757,1757,0,0,0
"Pensacola","FL MSA",25045,24604,0,441,0
"Peoria-Pekin","IL MSA",12593,10270,647,299,1377
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",223515,192194,1718,3051,26552
"Phoenix-Mesa","AZ MSA",503119,477833,2170,3929,19187
"Pine Bluff","AR MSA",363,363,0,0,0
"Pittsburgh","PA MSA",71913,67349,512,1907,2145
"Pittsfield","MA MSA",0,0,0,0,0
"Pocatello","ID MSA",1115,1115,0,0,0
"Portland","ME MSA",17972,17672,300,0,0
"Portland-Salem","OR-WA CMSA",170207,156604,2796,2605,8202
"Providence-Fall River- Warwick","RI-MA MSA",27912,26897,524,291,200
"Provo-Orem","UT MSA",41732,37957,1458,682,1635
"Pueblo","CO MSA",11005,11005,0,0,0
"Punta Gorda","FL MSA",15411,12751,0,427,2233
"Raleigh-Durham-Chapel Hill NC MSA","203627",163358,0,437,39832,NA
"Rapid City","SD MSA",4647,4338,0,0,309
"Reading","PA MSA",10981,10981,0,0,0
"Redding","CA MSA",10739,10739,0,0,0
"Reno","NV MSA",26395,26015,91,0,289
"Richland-Kennewick-Pasco","WA MSA",13301,13301,0,0,0
"Richmond-Petersburg","VA MSA",63661,63661,0,0,0
"Roanoke","VA MSA",7361,6974,121,90,176
"Rochester","MN MSA",17968,14872,1334,1095,667
"Rochester","NY MSA",32282,30406,0,0,1876
"Rockford","IL MSA",13921,13137,166,618,0
"Rocky Mount","NC MSA",4348,3831,213,0,304
"Sacramento-Yolo","CA CMSA",246043,246043,0,0,0
"Saginaw-Bay City-Midland","MI MSA",6028,5360,340,0,328
"St. Cloud","MN MSA",7322,6994,0,0,328
"St. Joseph","MO MSA",2092,1729,134,0,229
"St. Louis","MO-IL MSA",133703,128002,906,179,4616
"Salinas","CA MSA",36880,36569,0,0,311
"Salt Lake City-Ogden","UT MSA",94376,84406,2300,6008,1662
"San Angelo","TX MSA",2825,2825,0,0,0
"San Antonio","TX MSA",114203,96808,612,254,16529
"San Diego","CA MSA",208984,194271,1161,245,13307
"San Francisco-Oakland-San Jose","CA CMSA",361744,321335,2171,2316,35922
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",27930,27776,154,0,0
"Santa Barbara-Santa Maria- Lompoc","CA MSA",16790,16011,0,208,571
"Santa Fe","NM MSA",5884,4692,0,209,983
"Sarasota-Bradenton","FL MSA",74799,69857,320,790,3832
"Savannah","GA MSA",15604,15420,0,0,184
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",10213,4963,0,250,5000
"Seattle-Tacoma-Bremerton WA CMSA","270984",196419,7104,11552,55909,NA
"Sharon","PA MSA",1317,1317,0,0,0
"Sheboygan","WI MSA",1250,1250,0,0,0
"Sherman-Denison","TX MSA",148,148,0,0,0
"Shreveport-Bossier City","LA MSA",13351,13351,0,0,0
"Sioux City","IA-NE MSA",945,945,0,0,0
"Sioux Falls","SD MSA",16985,14297,0,1118,1570
"South Bend","IN MSA",15360,13590,210,1560,0
"Spokane","WA MSA",19124,17658,364,0,1102
"Springfield","IL MSA",10423,9981,442,0,0
"Springfield","MO MSA",21849,21432,120,130,167
"Springfield","MA MSA",9262,8689,94,479,0
"State College","PA MSA",3547,3397,150,0,0
"Steubenville-Weirton","OH-WV MSA",515,515,0,0,0
"Stockton-Lodi","CA MSA",60488,60488,0,0,0
"Sumter","SC MSA",1973,1973,0,0,0
"Syracuse","NY MSA",8237,7997,240,0,0
"Tallahassee","FL MSA",14333,14088,245,0,0
"Tampa-St. Petersburg- Clearwater","FL MSA",148650,113512,2584,2907,29647
"Terre Haute","IN MSA",2481,2481,0,0,0
"Texarkana","TX-TexarkanaAR MSA",5016,1051,0,3965,0
"Toledo","OH MSA",24737,16637,200,0,7900
"Topeka","KS MSA",11198,10162,0,320,716
"Tucson","AZ MSA",87233,78763,362,978,7130
"Tulsa","OK MSA",41511,41389,122,0,0
"Tuscaloosa","AL MSA",4774,4774,0,0,0
"Tyler","TX MSA",5535,5108,0,150,277
"Utica-Rome","NY MSA",1324,1324,0,0,0
"Victoria","TX MSA",2205,2205,0,0,0
"Visalia-Tulare-Porterville","CA MSA",20894,20566,328,0,0
"Waco","TX MSA",9217,7551,1065,151,450
"Washington-Baltimore","DC-MD- VA-WV CMSA",444145,427519,1762,820,14044
"Waterloo-Cedar Falls","IA MSA",3905,2945,0,0,960
"Wausau","WI MSA",4937,4937,0,0,0
"West Palm Beach-Boca Raton FL MSA","114695",85708,100,1100,27787,NA
"Wheeling","WV-OH MSA",375,375,0,0,0
"Wichita","KS MSA",16845,16845,0,0,0
"Wichita Falls","TX MSA",1948,1948,0,0,0
"Wilmington","NC MSA",25091,23570,0,740,781
"Yakima","WA MSA",4840,3827,418,442,153
"York","PA MSA",16583,16298,0,0,285
"Youngstown-Warren","OH MSA",15597,14503,430,264,400
"Yuba City","CA MSA",2382,2382,0,0,0
"Yuma","AZ MSA",14172,9027,0,0,5145
