"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Grand Forks","ND-MN",594,594,0,0,0
"Grand Junction","CO",14843,14522,321,0,0
"Grand Rapids-Wyoming","MI",14163,14163,0,0,0
"Great Falls","MT",2149,2016,133,0,0
"Greeley","CO",18593,18593,0,0,0
"Green Bay","WI",6394,6192,0,0,202
"Greensboro-High Point","NC",44671,36797,0,67,7807
"Greenville","NC",13127,10683,1766,0,678
"Greenville","SC",35404,28145,1531,0,5728
"Gulfport-Biloxi","MS",55756,22208,20433,948,12167
"Hagerstown-Martinsburg","MD-WV",25268,24153,455,0,660
"Hanford-Corcoran","CA",3180,2914,0,0,266
"Harrisburg-Carlisle","PA",14050,14050,0,0,0
"Harrisonburg","VA",6862,6652,210,0,0
"Hartford-West Hartford-East Hartford","CT",25714,21504,272,0,3938
"Hattiesburg","MS",1769,869,0,0,900
"Hickory-Lenoir-Morganton","NC",13952,13787,165,0,0
"Hinesville-Fort Stewart","GA",678,678,0,0,0
"Holland-Grand Haven","MI",5339,5339,0,0,0
"Honolulu","HI",19515,15225,0,0,4290
"Hot Springs","AR",690,690,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",11400,11400,0,0,0
"Houston-Sugar Land-Baytown","TX",738014,529989,715,9477,197833
"Huntington-Ashland","WV-KY-OH",443,443,0,0,0
"Huntsville","AL",22259,22259,0,0,0
"Idaho Falls","ID",5169,5169,0,0,0
"Indianapolis-Carmel","IN",84803,81312,449,2251,791
"Iowa City","IA",7374,7374,0,0,0
"Ithaca","NY",18021,324,100,0,17597
"Jackson","MI",497,497,0,0,0
"Jackson","MS",26778,26059,250,0,469
"Jackson","TN",4248,4023,0,225,0
"Jacksonville","FL",122697,89491,362,0,32844
"Jacksonville","NC",15467,15467,0,0,0
"Janesville","WI",4900,4083,638,0,179
"Jefferson City","MO",1705,1444,0,0,261
"Johnson City","TN",27646,6988,0,140,20518
"Johnstown","PA",0,0,0,0,0
"Jonesboro","AR",4346,4346,0,0,0
"Joplin","MO",1179,693,0,0,486
"Kalamazoo-Portage","MI",5968,5968,0,0,0
"Kankakee-Bradley","IL",458,458,0,0,0
"Kansas City","MO-KS",82228,71156,1102,1382,8588
"Kennewick-Pasco-Richland","WA",12328,12328,0,0,0
"Killeen-Temple-Fort Hood","TX",26321,24522,1799,0,0
"Kingsport-Bristol-Bristol","TN-VA",5173,4399,0,0,774
"Kingston","NY",1200,1200,0,0,0
"Knoxville","TN",26495,25010,0,0,1485
"Kokomo","IN",778,778,0,0,0
"La Crosse","WI-MN",3205,2850,233,122,0
"Lafayette","IN",7849,7849,0,0,0
"Lafayette","LA",10987,9741,171,0,1075
"Lake Charles","LA",3318,3048,0,0,270
"Lake Havasu City-Kingman","AZ",7321,6119,233,600,369
"Lakeland-Winter Haven","FL",27674,27674,0,0,0
"Lancaster","PA",16651,13920,0,2731,0
"Lansing-East Lansing","MI",4285,4087,0,0,198
"Laredo","TX",9471,8404,0,298,769
"Las Cruces","NM",13471,12329,156,291,695
"Las Vegas-Paradise","NV",88671,75222,0,0,13449
"Lawrence","KS",3263,2584,87,392,200
"Lawton","OK",3683,3683,0,0,0
"Lebanon","PA",5156,5156,0,0,0
"Lewiston","ID-WA",1015,1015,0,0,0
"Lewiston-Auburn","ME",1519,1195,0,0,324
"Lexington-Fayette","KY",18865,18865,0,0,0
"Lima","OH",162,162,0,0,0
"Lincoln","NE",12493,12311,182,0,0
"Little Rock-North Little Rock","AR",26391,25719,116,0,556
"Logan","UT-ID",2880,2880,0,0,0
"Longview","TX",2961,2317,0,0,644
"Longview","WA",2986,2986,0,0,0
"Los Angeles-Long Beach-Santa Ana","CA",154430,112871,5055,1300,35204
"Louisville-Jefferson County","KY-IN",51480,50970,0,0,510
"Lubbock","TX",12323,12323,0,0,0
"Lynchburg","VA",12321,12321,0,0,0
"Macon","GA",2969,2969,0,0,0
"Madera","CA",3504,3504,0,0,0
"Madison","WI",24786,12008,1364,0,11414
"Manchester-Nashua","NH",6945,6275,177,0,493
"Mansfield","OH",669,669,0,0,0
"McAllen-Edinburg-Mission","TX",47876,43342,1892,2642,0
"Medford","OR",6839,6839,0,0,0
"Memphis","TN-MS-AR",54069,51385,0,618,2066
"Merced","CA",3922,3922,0,0,0
"Miami-Fort Lauderdale-Miami Beach","FL",150795,69287,1364,1104,79040
"Michigan City-La Porte","IN",1554,1554,0,0,0
"Midland","TX",7064,7064,0,0,0
"Milwaukee-Waukesha-West Allis","WI",32170,28480,700,1189,1801
"Minneapolis-St. Paul-Bloomington","MN-WI",97870,74646,555,1000,21669
"Missoula","MT",5775,5657,118,0,0
"Mobile","AL",25721,25721,0,0,0
"Modesto","CA",4809,4809,0,0,0
"Monroe","LA",3591,3055,0,0,536
"Monroe","MI",1296,1296,0,0,0
"Montgomery","AL",10161,9399,0,0,762
"Morgantown","WV",260,260,0,0,0
"Morristown","TN",1386,1386,0,0,0
"Mount Vernon-Anacortes","WA",7853,7251,0,602,0
"Muncie","IN",483,483,0,0,0
"Muskegon-Norton Shores","MI",1220,1220,0,0,0
"Myrtle Beach-North Myrtle Beach-Conway","SC",47390,32186,0,0,15204
"Napa","CA",3325,3325,0,0,0
"Naples-Marco Island","FL",18940,18213,0,727,0
"Nashville-Davidson--Murfreesboro","TN",108777,95304,1369,0,12104
"New Haven-Milford","CT",11265,10466,0,0,799
"New Orleans-Metairie-Kenner","LA",56913,48377,2615,0,5921
"New York-Northern New Jersey-Long Island","NY-NJ-PA",390061,181690,26268,16414,165689
"Niles-Benton Harbor","MI",600,600,0,0,0
"Norwich-New London","CT",6074,5884,190,0,0
"Ocala","FL",18466,18278,188,0,0
"Ocean City","NJ",9309,8837,472,0,0
"Odessa","TX",5044,5044,0,0,0
"Ogden-Clearfield","UT",22758,19535,0,1154,2069
"Oklahoma City","OK",62531,59754,0,240,2537
"Olympia","WA",23171,22028,1143,0,0
"Omaha-Council Bluffs","NE-IA",29911,29424,0,0,487
"Orlando-Kissimmee","FL",147564,126499,0,94,20971
"Oshkosh-Neenah","WI",5525,5315,210,0,0
"Owensboro","KY",3335,1566,227,0,1542
"Oxnard-Thousand Oaks-Ventura","CA",16811,11659,549,457,4146
"Palm Bay-Melbourne-Titusville","FL",22147,19848,0,817,1482
"Palm Coast","FL",4145,4145,0,0,0
"Panama City-Lynn Haven","FL",4255,4255,0,0,0
"Parkersburg-Marietta-Vienna","WV-OH",924,924,0,0,0
"Pascagoula","MS",10263,8582,0,75,1606
"Pensacola-Ferry Pass-Brent","FL",20232,18782,1450,0,0
"Peoria","IL",11234,11234,0,0,0
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",132382,93059,571,1001,37751
"Phoenix-Mesa-Scottsdale","AZ",243719,217893,0,2206,23620
