"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",2433,2433,0,0,0
"Albany","GA MSA",15047,6547,0,0,8500
"Albany-Schenectady-Troy","NY MSA",33643,33063,0,0,580
"Albuquerque","NM MSA",69742,65288,0,676,3778
"Alexandria","LA MSA",5333,5035,0,0,298
"Allentown-Bethlehem-Easton","PA MSA",32498,32189,0,309,0
"Altoona","PA MSA",527,527,0,0,0
"Amarillo","TX MSA",22592,11312,0,11280,0
"Anchorage","AK MSA",41834,10867,5865,0,25102
"Anniston","AL MSA",1814,1814,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",30522,24900,1308,0,4314
"Asheville","NC MSA",17285,17213,72,0,0
"Athens","GA MSA",14430,14430,0,0,0
"Atlanta","GA MSA",551219,512652,5132,917,32518
"Auburn-Opelika","AL MSA",10666,7028,556,276,2806
"Augusta-Aiken","GA-SC MSA",29438,29438,0,0,0
"Austin-San Marcos","TX MSA",103619,96931,2559,750,3379
"Bakersfield","CA MSA",67034,67034,0,0,0
"Bangor","ME MSA",3230,3230,0,0,0
"Barnstable-Yarmouth","MA MSA",7023,7023,0,0,0
"Baton Rouge","LA MSA",15939,15039,0,0,900
"Beaumont-Port Arthur","TX MSA",7425,7187,0,238,0
"Bellingham","WA MSA",32786,27535,651,0,4600
"Benton Harbor","MI MSA",2201,1993,208,0,0
"Billings","MT MSA",10685,10685,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",18497,18497,0,0,0
"Binghamton","NY MSA",1467,1467,0,0,0
"Birmingham","AL MSA",70706,70216,0,0,490
"Bismarck","ND MSA",9814,8479,0,787,548
"Bloomington","IN MSA",11969,9127,1619,0,1223
"Bloomington-Normal","IL MSA",12966,12720,0,246,0
"Boise City","ID MSA",79850,71889,309,3846,3806
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",256283,202620,11534,5746,36383
"Brownsville-Harlingen-San Benito","TX MSA",22321,20676,296,733,616
"Bryan-College Station","TX MSA",16086,13217,2869,0,0
"Buffalo-Niagara Falls","NY MSA",31827,26341,686,0,4800
"Burlington","VT MSA",12122,11591,531,0,0
"Canton-Massillon","OH MSA",22380,22380,0,0,0
"Casper","WY MSA",2903,2903,0,0,0
"Cedar Rapids","IA MSA",11905,10214,516,442,733
"Champaign-Urbana","IL MSA",25596,7665,0,0,17931
"Charleston","WV MSA",4593,4073,520,0,0
"Charleston-North Charleston","SC MSA",73362,69679,131,425,3127
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",271771,236246,779,1325,33421
"Charlottesville","VA MSA",28973,23261,160,283,5269
"Chattanooga","TN-GA MSA",33447,32388,267,118,674
"Cheyenne","WY MSA",5316,5316,0,0,0
"Chicago-Gary-Kenosha","Chicago-Gary-Kenosha IL-IN-WI CMSA",806033,637184,10173,17652,141024
"Chico-Paradise","CA MSA",15432,15432,0,0,0
"Cincinnati-Hamilton","Cincinnati-Hamilton OH-KY-IN CMSA",145572,136267,384,220,8701
"Clarksville-Hopkinsville","TN-KY MSA",13099,12539,0,0,560
"Cleveland-Akron","Cleveland-Akron OH CMSA",174377,169241,1468,2875,793
"Colorado Springs","CO MSA",55169,55169,0,0,0
"Columbia","MO MSA",33882,14366,1420,0,18096
"Columbia","SC MSA",44406,44179,227,0,0
