"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Grand Junction","CO",18700,17566,294,0,840
"Grand Rapids-Wyoming","MI",43379,41240,0,255,1884
"Great Falls","MT",2642,2531,111,0,0
"Greeley","CO",76923,73412,0,976,2535
"Green Bay","WI",30063,22398,2562,935,4168
"Greensboro-High Point","NC",77258,72236,109,161,4752
"Greenville","NC",16909,14213,262,0,2434
"Greenville","SC",50577,48221,477,0,1879
"Gulfport-Biloxi","MS",23444,20999,262,203,1980
"Hagerstown-Martinsburg","MD-WV",56527,56402,125,0,0
"Hanford-Corcoran","CA",7310,7310,0,0,0
"Harrisburg-Carlisle","PA",28123,27903,220,0,0
"Harrisonburg","VA",16232,16232,0,0,0
"Hartford-West Hartford-East Hartford","CT",38204,35948,248,0,2008
"Hattiesburg","MS",572,572,0,0,0
"Hickory-Lenoir-Morganton","NC",25799,22391,0,0,3408
"Hinesville-Fort Stewart","GA",636,636,0,0,0
"Holland-Grand Haven","MI",17481,15730,362,780,609
"Honolulu","HI",66888,33950,250,1152,31536
"Hot Springs","AR",1421,1421,0,0,0
"Houma-Bayou Cane-Thibodaux","LA",7468,7468,0,0,0
"Houston-Baytown-Sugar Land","TX",757059,719462,942,931,35724
"Huntington-Ashland","WV-KY-OH",506,506,0,0,0
"Huntsville","AL",38147,37364,0,0,783
"Idaho Falls","ID",15035,14334,425,276,0
"Indianapolis","IN",223060,212212,4895,3594,2359
"Iowa City","IA",18099,17117,0,0,982
"Ithaca","NY",1834,1834,0,0,0
"Jackson","MI",5340,5340,0,0,0
"Jackson","MS",58221,55784,480,370,1587
"Jackson","TN",7763,7763,0,0,0
"Jacksonville","FL",374599,287482,637,0,86480
"Jacksonville","NC",11520,11520,0,0,0
"Janesville","WI",7730,7225,505,0,0
"Jefferson City","MO",4998,4481,0,196,321
"Johnson City","TN",12851,12491,0,360,0
"Johnstown","PA",220,220,0,0,0
"Jonesboro","AR",4362,4362,0,0,0
"Joplin","MO",3646,3646,0,0,0
"Kalamazoo-Portage","MI",13797,13797,0,0,0
"Kankakee-Bradley","IL",4057,4057,0,0,0
"Kansas City","MO-KS",260144,230281,3573,4880,21410
"Kennewick-Richland-Pasco","WA",36186,28683,192,1799,5512
"Killeen-Temple-Fort Hood","TX",29845,27776,693,358,1018
"Kingsport-Bristol-Bristol","TN-VA",8862,8660,202,0,0
"Kingston","NY",6773,5826,0,947,0
"Knoxville","TN",51338,50736,0,602,0
"Kokomo","IN",4353,3841,287,0,225
"La Crosse","WI-MN",8506,8236,270,0,0
"Lafayette","IN",14143,13563,0,0,580
"Lafayette","LA",16152,16152,0,0,0
"Lake Charles","LA",12867,12707,160,0,0
"Lakeland","FL",112545,112545,0,0,0
"Lancaster","PA",24846,23862,176,375,433
"Lansing-East Lansing","MI",22898,17872,523,0,4503
"Laredo","TX",16346,14264,84,0,1998
"Las Cruces","NM",25279,23894,0,0,1385
"Las Vegas-Paradise","NV",363300,306412,0,5399,51489
"Lawrence","KS",6030,5013,1017,0,0
"Lawton","OK",1630,1630,0,0,0
"Lebanon","PA",7402,7402,0,0,0
"Lewiston","ID-WA",816,816,0,0,0
"Lewiston-Auburn","ME",6324,5738,586,0,0
"Lexington-Fayette","KY",60732,55803,0,380,4549
"Lima","OH",652,652,0,0,0
"Lincoln","NE",18585,18000,585,0,0
"Little Rock-North Little Rock","AR",57063,55813,150,0,1100
"Logan","UT-ID",14003,13586,0,0,417
"Longview","TX",5682,5682,0,0,0
"Longview","WA",8589,8589,0,0,0
"Los Angeles-Long Beach-Santa Ana","CA",504710,367499,5680,9268,122263
"Louisville","KY-IN",118690,111814,0,0,6876
"Lubbock","TX",14571,13995,576,0,0
"Lynchburg","VA",21284,21199,85,0,0
"Macon","GA",8571,8571,0,0,0
"Madera","CA",18058,16844,1069,145,0
"Madison","WI",67719,57473,4501,3608,2137
"Manchester-Nashua","NH",25616,22436,2136,0,1044
"Mansfield","OH",7513,6813,370,330,0
"McAllen-Edinburg-Pharr","TX",87177,73253,2007,8024,3893
"Medford","OR",28655,27136,366,860,293
"Memphis","TN-MS-AR",123673,123673,0,0,0
"Merced","CA",42089,42089,0,0,0
"Miami-Fort Lauderdale-Miami Beach","FL",603916,411008,4372,2366,186170
"Michigan City-La Porte","IN",3639,3639,0,0,0
"Midland","TX",4799,4799,0,0,0
"Milwaukee-Waukesha-West Allis","WI",100624,79983,6038,2025,12578
"Minneapolis-St. Paul-Bloomington","MN-WI",428833,323049,3628,7648,94508
"Missoula","MT",3043,3043,0,0,0
"Mobile","AL",20930,20930,0,0,0
"Modesto","CA",58450,53124,940,0,4386
"Monroe","LA",3989,3938,51,0,0
"Monroe","MI",5874,5874,0,0,0
"Montgomery","AL",17640,16046,533,0,1061
"Morgantown","WV",93,93,0,0,0
"Morristown","TN",6926,6446,0,480,0
"Mount Vernon-Anacortes","WA",8359,7359,0,0,1000
"Muncie","IN",2954,2954,0,0,0
"Muskegon-Norton Shores","MI",5006,4334,672,0,0
"Myrtle Beach-Conway-North Myrtle Beach","SC",99328,74972,3157,0,21199
"Napa","CA",8094,8094,0,0,0
"Naples-Marco Island","FL",116200,100209,1695,8594,5702
"Nashville-Davidson--Murfreesboro","TN",206494,187225,676,131,18462
"New Haven-Milford","CT",24569,22221,216,259,1873
"New Orleans-Metairie-Kenner","LA",68976,66816,969,212,979
"New York-Northern New Jersey-Long Island","NY-NJ-PA",663506,335496,67748,39806,220456
"Niles-Benton Harbor","MI",2210,2210,0,0,0
"Norwich-New London","CT",17918,13712,206,252,3748
"Ocala","FL",63331,60163,0,0,3168
"Ocean City","NJ",28661,19095,4682,1829,3055
"Odessa","TX",9065,4065,0,0,5000
"Ogden-Clearfield","UT",60883,57469,223,2648,543
"Oklahoma City","OK",128813,118810,291,298,9414
"Olympia","WA",43068,43068,0,0,0
"Omaha-Council Bluffs","NE-IA",77567,71107,119,133,6208
"Orlando","FL",614480,448284,1024,828,164344
"Oshkosh-Neenah","WI",8136,7376,760,0,0
"Owensboro","KY",4458,4458,0,0,0
"Oxnard-Thousand Oaks-Ventura","CA",140060,116156,1740,1037,21127
"Palm Bay-Melbourne-Titusville","FL",111877,101997,190,0,9690
"Panama City-Lynn Haven","FL",24027,19879,143,600,3405
"Parkersburg-Marietta","WV-OH",2286,2286,0,0,0
"Pascagoula","MS",7699,7699,0,0,0
"Pensacola-Ferry Pass-Brent","FL",47804,43278,314,0,4212
"Peoria","IL",12855,11532,1323,0,0
"Philadelphia-Camden-Wilmington","PA-NJ-DE-MD",220605,197969,394,4062,18180
"Phoenix-Mesa-Scottsdale","AZ",781864,684610,1460,3453,92341
"Pine Bluff","AR",645,645,0,0,0
"Pittsburgh","PA",90050,78969,846,741,9494
"Pittsfield","MA",2167,2167,0,0,0
"Pocatello","ID",4629,4375,0,254,0
"Port St. Lucie-Fort Pierce","FL",131679,120519,0,1871,9289
"Portland-South Portland-Biddeford","ME",55539,46819,906,261,7553
"Portland-Vancouver-Beaverton","OR-WA",236772,193459,2310,1987,39016
"Poughkeepsie-Newburgh-Middletown","NY",26121,21257,0,0,4864
"Prescott","AZ",52766,52405,361,0,0
"Providence-New Bedford-Fall River","RI-MA",57023,53495,1532,246,1750
"Provo-Orem","UT",90773,88723,839,325,886
"Pueblo","CO",16500,15574,926,0,0
"Punta Gorda","FL",42643,36512,1120,1667,3344
"Racine","WI",10296,9940,356,0,0
"Raleigh-Cary","NC",232617,216744,785,0,15088
"Rapid City","SD",17523,16354,365,804,0
"Reading","PA",9270,8694,180,396,0
"Redding","CA",21185,18599,0,1346,1240
"Reno-Sparks","NV",102261,63949,133,0,38179
"Richmond","VA",126767,124773,157,1837,0
"Riverside-San Bernardino-Ontario","CA",801458,767123,559,23669,10107
"Roanoke","VA",21999,18306,0,300,3393
"Rochester","MN",21929,21552,0,0,377
"Rochester","NY",28550,27011,0,0,1539
"Rockford","IL",24100,22840,900,360,0
"Rocky Mount","NC",5780,5465,315,0,0
"Rome","GA",5932,5222,303,0,407
"Sacramento--Arden-Arcade--Roseville","CA",385280,374989,849,1458,7984
"Saginaw-Saginaw Township North","MI",4216,3985,231,0,0
"Salem","OR",23541,21431,582,208,1320
"Salinas","CA",16186,14151,0,0,2035
"Salisbury","MD",7765,7765,0,0,0
"Salt Lake City","UT",119200,115068,406,1184,2542
"San Angelo","TX",3062,3062,0,0,0
"San Antonio","TX",191831,167270,942,318,23301
"San Diego-Carlsbad-San Marcos","CA",244448,227036,13455,1391,2566
"San Francisco-Oakland-Fremont","CA",283617,219210,687,4889,58831
"San Jose-Sunnyvale-Santa Clara","CA",110121,60168,279,1927,47747
"San Luis Obispo-Paso Robles","CA",25826,24920,228,0,678
"Sandusky","OH",0,0,0,0,0
"Santa Barbara-Santa Maria-Goleta","CA",22861,21861,223,209,568
"Santa Cruz-Watsonville","CA",4272,4272,0,0,0
"Santa Fe","NM",7026,7026,0,0,0
"Santa Rosa-Petaluma","CA",30823,30572,251,0,0
"Sarasota-Bradenton-Venice","FL",207820,174611,829,0,32380
"Savannah","GA",34832,34158,0,0,674
"Scranton--Wilkes-Barre","PA",4546,4546,0,0,0
"Seattle-Tacoma-Bellevue","WA",364231,317965,5449,10371,30446
"Sheboygan","WI",5529,4179,0,0,1350
"Sherman-Denison","TX",603,603,0,0,0
"Shreveport-Bossier City","LA",24945,24945,0,0,0
"Sioux City","IA-NE-SD",3801,3801,0,0,0
"Sioux Falls","SD",24075,19092,0,232,4751
"South Bend-Mishawaka","IN-MI",12760,11824,0,0,936
"Spartanburg","SC",14416,14416,0,0,0
"Spokane","WA",24606,24072,534,0,0
"Springfield","IL",8030,6595,1435,0,0
"Springfield","MA",12624,11662,522,220,220
"Springfield","MO",57650,40536,1440,625,15049
"Springfield","OH",3669,3669,0,0,0
"St. Cloud","MN",19032,18468,249,0,315
"St. George","UT",40787,38411,576,0,1800
"St. Joseph","MO-KS",2498,1705,273,0,520
"St. Louis","MO-IL",225410,213395,3601,1371,7043
"State College","PA",8456,8066,190,200,0
"Stockton","CA",135858,135169,689,0,0
"Sumter","SC",5705,5235,131,339,0
"Syracuse","NY",16839,16262,377,200,0
"Tallahassee","FL",43875,34370,764,261,8480
"Tampa-St. Petersburg-Clearwater","FL",439639,367656,6275,1849,63859
"Terre Haute","IN",2994,1987,0,214,793
"Texarkana","TX-Texarkana",1965,1965,0,0,0
"Toledo","OH",32747,31102,951,694,0
"Topeka","KS",13943,13943,0,0,0
"Trenton-Ewing","NJ",8982,8657,325,0,0
"Tucson","AZ",169094,162814,932,149,5199
"Tulsa","OK",63161,62724,0,437,0
"Tuscaloosa","AL",17592,17592,0,0,0
"Tyler","TX",7584,7018,0,150,416
"Utica-Rome","NY",502,502,0,0,0
"Valdosta","GA",12085,10188,0,0,1897
"Vallejo-Fairfield","CA",34645,34645,0,0,0
"Vero Beach","FL",67199,64313,585,280,2021
"Victoria","TX",2288,1471,0,238,579
"Vineland-Millville-Bridgeton","NJ",3394,3394,0,0,0
"Virginia Beach-Norfolk-Newport News","VA-NC",122125,116506,785,375,4459
"Visalia-Porterville","CA",41595,41120,0,475,0
"Waco","TX",5723,5723,0,0,0
"Warner Robins","GA",16365,16365,0,0,0
"Washington-Arlington-Alexandria","DC-VA-MD-WV",480419,425628,400,4121,50270
"Waterloo-Cedar Falls","IA",10354,10354,0,0,0
"Wausau","WI",13292,11672,220,0,1400
"Weirton-Steubenville","WV-OH",957,957,0,0,0
"Wenatchee","WA",7426,7426,0,0,0
"Wheeling","WV-OH",0,0,0,0,0
"Wichita Falls","TX",3891,3641,250,0,0
"Wichita","KS",38570,34603,3967,0,0
"Williamsport","PA",1121,681,440,0,0
"Wilmington","NC",133773,108299,1396,0,24078
"Winchester","VA-WV",23429,23429,0,0,0
"Winston-Salem","NC",42229,42043,0,186,0
"Worcester","MA",34834,31668,1162,2004,0
"Yakima","WA",9135,9135,0,0,0
"York-Hanover","PA",23773,20919,84,880,1890
"Youngstown-Warren-Boardman","OH-PA",15886,15566,260,60,0
"Yuba City-Marysville","CA",46423,45785,0,0,638
"Yuma","AZ",27965,27062,0,0,903
