"","City","State","Total","1_Units","2_Units","3-4_Units"
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","121463",98262,1003,509,21689
"45","Charlottesville* VA MSA","13339",13036,303,0,0
"46","Chattanooga* TN-GA MSA","12771",12473,0,0,298
"47","Cheyenne* WY MSA","1778",1778,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","258390",212932,3450,6537,35471
"49","Chico-Paradise* CA MSA","6598",6598,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","83872",75334,392,3797,4349
"51","Clarksville-Hopkinsville*  TN-KY MSA","5262",4982,0,0,280
"52","Cleveland-Akron  OH CMSA","86798",84189,678,847,1084
"53","Colorado Springs* CO MSA","49364",49027,0,337,0
"54","Columbia* MO MSA","4243",4083,160,0,0
"55","Columbia* SC MSA","22770",22770,0,0,0
"56","Columbus* GA-AL MSA","4979",4979,0,0,0
"57","Columbus  OH MSA","78831",65080,500,1525,11726
"58","Corpus Christi* TX MSA","5195",4320,132,192,551
"59","Corvallis OR MSA*","2578",1825,0,0,753
"60","Cumberland* MD-WV MSA","531",531,0,0,0
"61","Dallas-Fort Worth  TX CMSA","460909",408046,165,75,52623
"62","Danville* VA MSA","1896",1896,0,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","3337",1730,0,0,1607
"64","Dayton-Springfield* OH MSA","17155",16748,132,275,0
"65","Daytona Beach* FL MSA","59755",46423,0,1579,11753
"66","Decatur* Al MSA","2220",2115,0,0,105
"67","Decatur* IL MSA","473",473,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","324144",231077,2863,1266,88938
"69","Des Moines* IA MSA","14929",14227,702,0,0
"70","Detroit-Ann Arbor-Flint  MI  CMSA","167096",135815,4684,6753,19844
"71","Dothan* AL MSA","624",624,0,0,0
"72","Dover* DE MSA","7150",7150,0,0,0
"73","Dubuque* IA MSA","234",234,0,0,0
"74","Duluth-Superior* MN-WI MSA","4153",3556,0,0,597
"75","Eau Claire* WI MSA","739",739,0,0,0
"76","El Paso* TX MSA","8146",8146,0,0,0
"77","Elkhart-Goshen* IN MSA","7342",6892,0,300,150
"78","Elmira* NY MSA","882",365,0,94,423
"79","Enid* OK MSA","184",184,0,0,0
"80","Erie* PA MSA","1742",1588,0,154,0
"81","Eugene-Springfield* OR MSA","10991",10423,568,0,0
"82","Evansville-Henderson* IN-KY  MSA","7243",6243,0,0,1000
"83","Fargo-Moorhead* ND-MN MSA","1740",440,0,0,1300
"84","Fayetteville* NC MSA","6347",6347,0,0,0
"85","Fayetteville-Springdale-  Rogers* AR MSA","13558",11999,0,0,1559
"86","Flagstaff* AZ-UT MSA","6638",6401,237,0,0
"87","Florence* AL MSA","2707",426,0,0,2281
"88","Florence* SC MSA","3257",2953,0,0,304
"89","Fort Collins-Loveland* CO MSA","29409",24317,600,264,4228
"90","Fort Myers-Cape Coral* FL MSA","61148",38645,1167,3507,17829
"91","Fort Pierce-Port St. Lucie*  FL MSA","30220",30220,0,0,0
"92","Fort Smith* AR-OK MSA","2140",1870,270,0,0
"93","Fort Walton Beach* FL MSA","8544",7900,0,0,644
"94","Fort Wayne* IN MSA","16962",16778,184,0,0
"95","Fresno  CA MSA","47031",41375,0,2453,3203
"96","Gadsden* AL MSA","546",546,0,0,0
"97","Gainesville* FL MSA","13972",7026,0,0,6946
"98","Glens Falls* NY MSA","3088",2934,154,0,0
"99","Goldsboro* NC MSA","2575",2575,0,0,0
"100","Grand Forks* ND-MN MSA","0",0,0,0,0
"101","Grand Junction* CO MSA","9535",6226,0,242,3067
"102","Grand Rapids-Muskegon-  Holland  MI MSA","36602",35041,468,0,1093
"103","Great Falls* MT MSA","1389",631,0,0,758
"104","Green Bay* WI MSA","4920",4246,459,0,215
"105","Greensboro--Winston-Salem--  High Point  NC MSA","65134",64365,278,491,0
"106","Greenville* NC MSA","20311",5506,152,0,14653
"107","Greenville-Spartanburg-  Anderson* SC MSA","34055",33294,0,0,761
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","9574",9574,0,0,0
"109","Hartford* CT MSA","22194",22039,0,0,155
"110","Hattiesburg* MS MSA","4820",655,0,0,4165
"111","Hickory-Morganton-Lenoir*  NC MSA","17971",16521,0,0,1450
"112","Honolulu  HI MSA","27203",27203,0,0,0
"113","Houma* LA MSA","4248",4248,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","291022",273885,234,140,16763
"115","Huntington-Ashland* WV-KY-  OH MSA","525",525,0,0,0
"116","Huntsville* AL MSA","4194",4194,0,0,0
"117","Indianapolis  IN MSA","118762",117037,1101,624,0
"118","Iowa City* IA MSA","4106",3511,0,0,595
"119","Jackson* MI MSA","344",344,0,0,0
"120","Jackson* MS MSA","17146",13963,0,0,3183
"121","Jackson* TN MSA","2167",2167,0,0,0
"122","Jacksonville  FL MSA","74130",71464,110,254,2302
"123","Jacksonville* NC MSA","4055",4055,0,0,0
"124","Jamestown* NY MSA","0",0,0,0,0
"125","Janesville-Beloit* WI MSA","1229",1054,0,0,175
