"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",2048,2048,0,0,0
"Albany","GA MSA",5765,5164,601,0,0
"Albany-Schenectady-Troy","NY MSA",44506,43302,125,0,1079
"Albuquerque","NM MSA",63816,63284,0,532,0
"Alexandria","LA MSA",4878,4878,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",26757,26682,75,0,0
"Altoona","PA MSA",730,730,0,0,0
"Amarillo","TX MSA",6692,6692,0,0,0
"Anchorage","AK MSA",35327,20538,6509,1941,6339
"Anniston","AL MSA",4309,3165,0,0,1144
"Appleton-Oshkosh-Neenah","WI MSA",30073,22280,1304,0,6489
"Asheville","NC MSA",24066,22808,660,598,0
"Athens","GA MSA",16031,15019,1012,0,0
"Atlanta","GA MSA",676759,547657,31970,977,96155
"Auburn-Opelika","AL MSA",8471,5327,1496,1048,600
"Augusta-Aiken","GA-SC MSA",27215,26841,0,246,128
"Austin-San Marcos","TX MSA",86936,79925,692,4370,1949
"Bakersfield","CA MSA",46699,46699,0,0,0
"Bangor","ME MSA",5186,5186,0,0,0
"Barnstable-Yarmouth","MA MSA",21914,21914,0,0,0
"Baton Rouge","LA MSA",11392,10737,72,0,583
"Beaumont-Port Arthur","TX MSA",6154,6154,0,0,0
"Bellingham","WA MSA",22105,20434,417,0,1254
"Benton Harbor","MI MSA",2721,2721,0,0,0
"Billings","MT MSA",7958,7958,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",22695,22580,115,0,0
"Binghamton","NY MSA",1986,1986,0,0,0
"Birmingham","AL MSA",51490,51131,0,0,359
"Bismarck","ND MSA",8673,8098,0,0,575
"Bloomington","IN MSA",9298,7205,508,0,1585
"Bloomington-Normal","IL MSA",8633,7464,797,0,372
"Boise City","ID MSA",76405,75101,827,477,0
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","292632",228413,5612,8278,50329,NA
"Brownsville-Harlingen-San Benito","TX MSA",18353,18296,57,0,0
"Bryan-College Station","TX MSA",12041,9260,2594,187,0
"Buffalo-Niagara Falls","NY MSA",35966,34593,0,0,1373
"Burlington","VT MSA",8325,7730,163,432,0
"Canton-Massillon","OH MSA",17082,16033,794,255,0
"Casper","WY MSA",2317,2317,0,0,0
"Cedar Rapids","IA MSA",11298,10373,590,335,0
"Champaign-Urbana","IL MSA",11825,6564,0,0,5261
"Charleston-North Charleston","SC MSA",62580,59482,218,871,2009
"Charleston","WV MSA",4404,4074,0,330,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",213478,201598,1414,741,9725
"Charlottesville","VA MSA",25993,16818,0,0,9175
"Chattanooga","TN-GA MSA",24909,23485,959,169,296
"Cheyenne","WY MSA",6241,6241,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",631252,543366,6043,15786,66057
"Chico-Paradise","CA MSA",14540,14336,0,204,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",146531,129972,578,1863,14118
"Clarksville-Hopkinsville","TN-KY MSA",15003,9850,832,136,4185
"Cleveland-Akron","OH CMSA",171000,166205,785,1067,2943
"Colorado Springs","CO MSA",64149,62358,160,631,1000
"Columbia","MO MSA",17700,12221,565,0,4914
"Columbia","SC MSA",37566,36495,0,456,615
"Columbus","GA-AL MSA",14359,14284,75,0,0
"Columbus","OH MSA",199326,169060,2016,4969,23281
