"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",2020,2020,0,0,0
"Albany","GA MSA",4557,4557,0,0,0
"Albany-Schenectady-Troy","NY MSA",24888,23278,50,0,1560
"Albuquerque","NM MSA",39642,39642,0,0,0
"Alexandria","LA MSA",4251,4251,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",17392,16111,147,494,640
"Altoona","PA MSA",218,218,0,0,0
"Amarillo","TX MSA",6151,6151,0,0,0
"Anchorage","AK MSA",18270,15523,1776,971,0
"Anniston","AL MSA",1482,1253,0,0,229
"Appleton-Oshkosh-Neenah","WI MSA",18202,14843,1720,0,1639
"Asheville","NC MSA",15054,13760,180,0,1114
"Athens","GA MSA",7029,5460,156,0,1413
"Atlanta","GA MSA",479189,401100,609,2108,75372
"Auburn-Opelika","AL MSA",2738,2738,0,0,0
"Augusta-Aiken","GA-SC MSA",23655,22405,0,0,1250
"Austin-San Marcos","TX MSA",130465,85085,495,2290,42595
"Bakersfield","CA MSA",30411,30411,0,0,0
"Bangor","ME MSA",1824,1824,0,0,0
"Barnstable-Yarmouth","MA MSA",17978,17304,255,419,0
"Baton Rouge","LA MSA",8125,7997,128,0,0
"Beaumont-Port Arthur","TX MSA",4662,4662,0,0,0
"Bellingham","WA MSA",12371,9527,685,0,2159
"Benton Harbor","MI MSA",305,305,0,0,0
"Billings","MT MSA",5193,4096,0,272,825
"Biloxi-Gulfport-Pascagoula","MS MSA",14868,14868,0,0,0
"Binghamton","NY MSA",1710,1710,0,0,0
"Birmingham","AL MSA",43559,43049,0,0,510
"Bismarck","ND MSA",7801,6051,607,484,659
"Bloomington","IN MSA",4768,4768,0,0,0
"Bloomington-Normal","IL MSA",4840,4185,0,0,655
"Boise City","ID MSA",56736,53972,114,400,2250
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",237939,187185,2535,2532,45687
"Brownsville-Harlingen-San Benito","TX MSA",9961,9091,178,377,315
"Bryan-College Station","TX MSA",16858,5056,0,0,11802
"Buffalo-Niagara Falls","NY MSA",26475,25289,0,0,1186
"Burlington","VT MSA",9087,9087,0,0,0
"Canton-Massillon","OH MSA",16413,16177,236,0,0
"Casper","WY MSA",965,965,0,0,0
"Cedar Rapids","IA MSA",12066,7499,803,589,3175
"Champaign-Urbana","IL MSA",7146,2876,0,0,4270
"Charleston-North Charleston","SC MSA",47735,43401,74,0,4260
"Charleston","WV MSA",3598,3598,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",130502,112179,620,1781,15922
"Charlottesville","VA MSA",13668,13668,0,0,0
"Chattanooga","TN-GA MSA",21913,20608,0,0,1305
"Cheyenne","WY MSA",2611,2450,0,0,161
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",497049,417336,3205,12994,63514
"Chico-Paradise","CA MSA",7030,7030,0,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",112168,86688,823,3499,21158
"Clarksville-Hopkinsville","TN-KY MSA",7031,6611,0,420,0
"Cleveland-Akron","OH CMSA",142540,134996,842,3732,2970
"Colorado Springs","CO MSA",53840,41852,125,136,11727
"Columbia","MO MSA",8581,7543,388,650,0
"Columbia","SC MSA",27169,27105,64,0,0
"Columbus","GA-AL MSA",14283,8657,0,0,5626
"Columbus","OH MSA",144614,121106,2495,3169,17844
"Corpus Christi","TX MSA",6809,6465,0,344,0
"Corvallis","Corvallis OR MSA",3775,2766,162,0,847
"Cumberland","MD-WV MSA",1761,1761,0,0,0
"Dallas-Fort Worth","TX CMSA",449884,438903,375,158,10448
"Danville","VA MSA",2114,2114,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",6858,6701,157,0,0
"Dayton-Springfield","OH MSA",25639,24994,645,0,0
"Daytona Beach","FL MSA",42146,41985,161,0,0
"Decatur","Al MSA",3294,3189,0,0,105
"Decatur","IL MSA",1518,1318,200,0,0
"Denver-Boulder-Greeley","CO CMSA",311016,223321,2759,5009,79927
"Des Moines","IA MSA",29205,24941,1132,528,2604
"Detroit-Ann Arbor-Flint","MI CMSA",300482,273094,2029,7355,18004
"Dothan","AL MSA",1147,1147,0,0,0
"Dover","DE MSA",8231,8231,0,0,0
"Dubuque","IA MSA",2335,1818,517,0,0
"Duluth-Superior","MN-WI MSA",3725,2682,221,26,796
"Eau Claire","WI MSA",11525,9429,330,880,886
"El Paso","TX MSA",13966,12535,387,130,914
"Elkhart-Goshen","IN MSA",8509,8309,0,200,0
"Elmira","NY MSA",1116,440,0,0,676
