"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX MSA",2394,2394,0,0,0
"Albany","GA MSA",4090,4090,0,0,0
"Albany-Schenectady-Troy","NY MSA",28253,26812,270,0,1171
"Albuquerque","NM MSA",9530,9314,0,216,0
"Alexandria","LA MSA",2482,2482,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",15672,14072,0,0,1600
"Altoona","PA MSA",1002,1002,0,0,0
"Amarillo","TX MSA",14049,6498,1706,0,5845
"Anchorage","AK MSA",12036,10650,302,1084,0
"Anniston","AL MSA",2780,2780,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",12920,11310,694,0,916
"Asheville","NC MSA",13236,12857,169,0,210
"Athens","GA MSA",9859,8074,0,0,1785
"Atlanta","GA MSA",416039,344788,1311,3846,66094
"Auburn-Opelika","AL MSA",4134,2245,106,483,1300
"Augusta-Aiken","GA-SC MSA",24596,24596,0,0,0
"Austin-San Marcos","TX MSA",60868,37720,126,1286,21736
"Bakersfield","CA MSA",30133,24515,58,222,5338
"Bangor","ME MSA",2033,2033,0,0,0
"Barnstable-Yarmouth","MA MSA",13922,13398,524,0,0
"Baton Rouge","LA MSA",10664,8539,0,190,1935
"Beaumont-Port Arthur","TX MSA",4643,4643,0,0,0
"Bellingham","WA MSA",10768,9070,208,241,1249
"Benton Harbor","MI MSA",1203,1203,0,0,0
"Billings","MT MSA",2879,2879,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",10787,10601,54,132,0
"Binghamton","NY MSA",1027,1027,0,0,0
"Birmingham","AL MSA",36975,36000,0,0,975
"Bismarck","ND MSA",4736,2742,0,0,1994
"Bloomington","IN MSA",3803,2846,82,0,875
"Bloomington-Normal","IL MSA",6449,6393,56,0,0
"Boise City","ID MSA",46558,40734,423,0,5401
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","170380",156131,4626,4571,5052,NA
"Brownsville-Harlingen-San Benito","TX MSA",11762,11705,57,0,0
"Bryan-College Station","TX MSA",9072,8001,100,0,971
"Buffalo-Niagara Falls","NY MSA",17795,17267,229,0,299
"Burlington","VT MSA",4340,3831,50,459,0
"Canton-Massillon","OH MSA",9515,9328,0,0,187
"Casper","WY MSA",1986,546,0,0,1440
