"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX",3476,3476,0,0,0
"Akron","OH",24606,23667,450,0,489
"Albany","GA",6648,5369,138,0,1141
"Albany-Schenectady-Troy","NY",15809,15229,0,0,580
"Albuquerque","NM",75761,75024,0,87,650
"Alexandria","LA",3879,3879,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",38426,37094,0,0,1332
"Altoona","PA",75,75,0,0,0
"Amarillo","TX",10638,10638,0,0,0
"Ames","IA",17420,3404,0,0,14016
"Anchorage","AK",11887,7222,4227,438,0
"Anderson","IN",2652,2652,0,0,0
"Anderson","SC",14623,14493,130,0,0
"Ann Arbor","MI",14243,12895,0,0,1348
"Anniston-Oxford","AL",935,935,0,0,0
"Appleton","WI",15541,15116,425,0,0
"Asheville","NC",46288,40122,574,225,5367
"Athens-Clarke County","GA",18653,16394,0,0,2259
"Atlanta-Sandy Springs-Marietta","GA",637314,555944,780,1452,79138
"Atlantic City","NJ",16703,16703,0,0,0
"Auburn-Opelika","AL",20895,16249,0,0,4646
"Augusta-Richmond County","GA-SC",28613,28613,0,0,0
"Austin-Round Rock","TX",175251,169897,3417,139,1798
"Bakersfield","CA",77458,65826,791,262,10579
"Baltimore-Towson","MD",96958,78571,2100,1122,15165
"Bangor","ME",7014,7014,0,0,0
"Barnstable Town","MA",17046,16618,0,428,0
"Baton Rouge","LA",34095,33964,131,0,0
"Battle Creek","MI",5106,1644,0,0,3462
"Bay City","MI",1155,1155,0,0,0
"Beaumont-Port Arthur","TX",3300,3300,0,0,0
"Bellingham","WA",19104,18298,0,806,0
"Bend","OR",61207,56217,2840,2150,0
"Billings","MT",5850,5850,0,0,0
"Binghamton","NY",0,0,0,0,0
"Birmingham-Hoover","AL",87168,87168,0,0,0
"Bismarck","ND",3679,3679,0,0,0
"Bloomington","IN",7222,5577,900,0,745
"Bloomington-Normal","IL",6391,4954,0,0,1437
"Boise City-Nampa","ID",125586,116877,1279,7430,0
"Boston-Cambridge-Quincy","MA-NH",122528,84202,4022,1270,33034
"Boulder","CO",15692,15364,0,0,328
"Bowling Green","KY",8337,8337,0,0,0
"Bremerton-Silverdale","WA",14689,14501,188,0,0
"Bridgeport-Stamford-Norwalk","CT",27599,26713,436,0,450
"Brownsville-Harlingen","TX",20870,19339,696,131,704
"Brunswick","GA",11604,11604,0,0,0
"Buffalo-Niagara Falls","NY",15491,12497,194,0,2800
"Burlington","NC",10408,10408,0,0,0
"Burlington-South Burlington","VT",4414,3935,479,0,0
"Canton-Massillon","OH",12493,12255,0,238,0
"Cape Coral-Fort Myers","FL",376227,288904,1029,4672,81622
"Carson City","NV",2153,2153,0,0,0
"Casper","WY",2455,2455,0,0,0
"Cedar Rapids","IA",6822,4399,122,1338,963
"Champaign-Urbana","IL",10952,7456,0,0,3496
"Charleston","WV",2767,2767,0,0,0
"Charleston-North Charleston","SC",98255,88832,711,3414,5298
"Charlotte-Gastonia-Concord","NC-SC",211790,208604,434,482,2270
"Charlottesville","VA",20254,18087,266,236,1665
"Chattanooga","TN-GA",31239,30759,179,0,301
"Cheyenne","WY",4967,4280,0,415,272
"Chicago-Naperville-Joliet","IL-IN-WI",510427,438416,4194,17010,50807
"Chico","CA",8695,8695,0,0,0
"Cincinnati-Middletown","OH-KY-IN",118859,111000,500,1268,6091
"Clarksville","TN-KY",12987,12787,0,200,0
"Cleveland","TN",5096,5096,0,0,0
"Cleveland-Elyria-Mentor","OH",80903,76903,440,3030,530
"Coeur d""Alene","ID",31650,23050,171,189,8240
"College Station-Bryan","TX",10164,8574,432,0,1158
"Colorado Springs","CO",90575,81476,0,0,9099
"Columbia","MO",13533,11358,1025,0,1150
"Columbia","SC",67567,63888,0,55,3624
"Columbus","GA-AL",20032,20032,0,0,0
"Columbus","IN",2636,2636,0,0,0
"Columbus","OH",105620,101399,600,1019,2602
"Corpus Christi","TX",14736,13706,113,0,917
"Corvallis","OR",9034,3518,0,0,5516
"Cumberland","MD-WV",1609,1609,0,0,0
"Dallas-Fort Worth-Arlington","TX",640882,559937,1678,1330,77937
"Dalton","GA",7193,6184,0,219,790
"Danville","IL",0,0,0,0,0
"Danville","VA",2646,2351,0,0,295
"Davenport-Moline-Rock Island","IA-IL",6177,6177,0,0,0
"Dayton","OH",35734,34037,260,1437,0
"Decatur","AL",4196,4196,0,0,0
"Decatur","IL",485,485,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",72769,66267,397,0,6105
"Denver-Aurora","CO",256330,246287,700,0,9343
"Des Moines","IA",43818,43620,198,0,0
"Detroit-Warren-Livonia","MI",223189,209291,735,1123,12040
"Dothan","AL",3561,3561,0,0,0
"Dover","DE",18265,17856,0,409,0
"Dubuque","IA",2144,1931,213,0,0
"Duluth","MN-WI",3213,3213,0,0,0
"Durham","NC",57770,54251,414,312,2793
"Eau Claire","WI",4054,3824,0,0,230
"El Centro","CA",6407,5865,0,311,231
"El Paso","TX",45275,37075,0,65,8135
