"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Hattiesburg","MS MSA",505,150,225,0,130
"Hickory-Morganton-Lenoir","NC MSA",14392,14392,0,0,0
"Honolulu","HI MSA",50789,42289,300,0,8200
"Houma","LA MSA",6566,6490,76,0,0
"Houston-Galveston-Brazoria TX CMSA","456200",421166,527,874,33633,NA
"Huntington-Ashland","WV-KY- OH MSA",437,437,0,0,0
"Huntsville","AL MSA",5075,5075,0,0,0
"Indianapolis","IN MSA",226018,214099,4159,1809,5951
"Iowa City","IA MSA",9581,8009,0,0,1572
"Jackson","MI MSA",3468,1984,0,0,1484
"Jackson","MS MSA",24964,24415,0,0,549
"Jackson","TN MSA",4820,4820,0,0,0
"Jacksonville","FL MSA",147037,145839,0,372,826
"Jacksonville","NC MSA",7930,7930,0,0,0
"Jamestown","NY MSA",88,88,0,0,0
"Janesville-Beloit","WI MSA",5137,2945,242,300,1650
"Johnson City-Kingsport- Bristol","TN-VA MSA",11331,10881,150,0,300
"Johnstown","PA MSA",696,696,0,0,0
"Jonesboro","AR MSA",2478,2478,0,0,0
"Joplin","MO MSA",2049,2049,0,0,0
"Kalamazoo-Battle Creek","MI MSA",18507,16886,0,1244,377
"Kansas City","MO-KS MSA",170000,156436,4097,5798,3669
"Killeen-Temple","TX MSA",19038,14343,944,3751,0
"Knoxville","TN MSA",35644,31363,155,843,3283
"Kokomo","IN MSA",5100,4483,265,352,0
"La Crosse","WI-MN MSA",6343,6133,210,0,0
"Lafayette","LA MSA",10119,10119,0,0,0
"Lafayette","IN MSA",9413,8453,540,0,420
"Lake Charles","LA MSA",1661,1603,58,0,0
"Lakeland-Winter Haven","FL MSA",33571,33571,0,0,0
"Lancaster","PA MSA",27715,13254,0,380,14081
"Lansing-East Lansing","MI MSA",20359,17349,228,0,2782
"Laredo","TX MSA",10928,9948,0,112,868
"Las Cruces","NM MSA",13291,13211,80,0,0
"Las Vegas","NV-AZ MSA",289886,288215,507,0,1164
"Lawrence","KS MSA",7506,7056,450,0,0
"Lawton","OK MSA",1531,1531,0,0,0
"Lewiston-Auburn","ME MSA",2279,2279,0,0,0
"Lexington","KY MSA",36137,33110,458,1166,1403
"Lima","OH MSA",1065,1065,0,0,0
"Lincoln","NE MSA",21142,19184,427,0,1531
"Little Rock-North Little Rock","AR MSA",37718,37393,325,0,0
"Longview-Marshall","TX MSA",1867,1867,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",1164998,955255,8400,15033,186310
"Louisville","KY-IN MSA",66457,65137,101,98,1121
"Lubbock","TX MSA",17337,17057,280,0,0
"Lynchburg","VA MSA",14059,14059,0,0,0
"Macon","GA MSA",15812,15812,0,0,0
"Madison","WI MSA",58530,40879,2423,1826,13402
"Mansfield","OH MSA",4702,4257,315,130,0
"McAllen-Edinburg-Mission","TX MSA",31352,29720,318,389,925
"Medford-Ashland","OR MSA",21664,19588,229,1086,761
"Melbourne-Titusville-Palm Bay","FL MSA",85093,79128,705,0,5260
"Memphis","TN-AR-MS MSA",96711,83148,0,0,13563
"Merced","CA MSA",24921,24921,0,0,0
"Miami-Fort Lauderdale","FL CMSA",318132,130786,3586,276,183484
"Milwaukee-Racine","WI CMSA",102265,70099,3641,920,27605
"Minneapolis-St. Paul","MN-WI MSA",388513,277215,3773,14055,93470
"Missoula","MT MSA",10641,3146,1903,0,5592
"Mobile","AL MSA",37539,35870,0,0,1669
"Modesto","CA MSA",39004,35502,379,0,3123
