"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf"
"Abilene","TX",3045,2745,300,0,0
"Akron","OH",30102,28746,136,724,496
"Albany","GA",7016,6429,255,178,154
"Albany-Schenectady-Troy","NY",38589,30168,0,0,8421
"Albuquerque","NM",84828,83600,0,223,1005
"Alexandria","LA",7230,7230,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",54934,53947,0,308,679
"Altoona","PA",0,0,0,0,0
"Amarillo","TX",12639,12639,0,0,0
"Ames","IA",7067,5219,0,0,1848
"Anchorage","AK",30227,17960,8061,3577,629
"Anderson","IN",6789,6789,0,0,0
"Anderson","SC",14160,14000,160,0,0
"Ann Arbor","MI",23214,21346,0,0,1868
"Anniston-Oxford","AL",1772,1772,0,0,0
"Appleton","WI",17771,17217,554,0,0
"Asheville","NC",65498,61550,108,923,2917
"Athens-Clarke County","GA",22996,21717,0,0,1279
"Atlanta-Sandy Springs-Marietta","GA",1096681,932956,1553,0,162172
"Atlantic City","NJ",21611,21258,353,0,0
"Auburn-Opelika","AL",14002,13499,503,0,0
"Augusta-Richmond County","GA-SC",39315,39315,0,0,0
"Austin-Round Rock","TX",241345,229554,2735,644,8412
"Bakersfield","CA",84749,81658,694,1821,576
"Baltimore-Towson","MD",116951,104803,0,1009,11139
"Bangor","ME",7669,7543,126,0,0
"Barnstable Town","MA",25151,23239,0,0,1912
"Baton Rouge","LA",39775,39775,0,0,0
"Battle Creek","MI",2118,2118,0,0,0
"Bay City","MI",380,380,0,0,0
"Beaumont-Port Arthur","TX",4973,4973,0,0,0
"Bellingham","WA",22662,19585,329,1127,1621
"Bend","OR",68537,66899,1638,0,0
"Billings","MT",9409,9409,0,0,0
"Binghamton","NY",547,547,0,0,0
"Birmingham-Hoover","AL",87692,83966,0,220,3506
"Bismarck","ND",16226,11920,223,1823,2260
"Bloomington","IN",10626,7686,1619,237,1084
"Bloomington-Normal","IL",7738,7566,0,0,172
"Boise City-Nampa","ID",169989,162246,2609,5134,0
"Boston-Cambridge-Quincy","MA-NH",246957,161393,10360,8968,66236
"Boulder","CO",12669,12156,0,0,513
"Bowling Green","KY",16136,12429,1256,0,2451
"Bremerton-Silverdale","WA",14597,14420,177,0,0
"Bridgeport-Stamford-Norwalk","CT",74386,67474,1327,1085,4500
"Brownsville-Harlingen","TX",25325,21541,299,2805,680
"Brunswick","GA",17261,14951,0,181,2129
"Buffalo-Niagara Falls","NY",28734,27994,740,0,0
"Burlington","NC",16196,16196,0,0,0
"Burlington-South Burlington","VT",10384,9171,341,519,353
"Canton-Massillon","OH",15774,15356,179,0,239
"Cape Coral-Fort Myers","FL",362634,307838,0,1277,53519
"Carson City","NV",2639,1869,0,0,770
"Casper","WY",4401,4401,0,0,0
"Cedar Rapids","IA",15910,11576,951,3383,0
"Champaign-Urbana","IL",30297,18619,130,1381,10167
"Charleston","WV",5661,5661,0,0,0
"Charleston-North Charleston","SC",131884,126418,0,143,5323
"Charlotte-Gastonia-Concord","NC-SC",265765,227674,314,613,37164
"Charlottesville","VA",25741,22722,257,0,2762
"Chattanooga","TN-GA",39701,39171,179,0,351
"Cheyenne","WY",10238,9684,0,261,293
"Chicago-Naperville-Joliet","IL-IN-WI",825529,703931,8553,23180,89865
"Chico","CA",12979,12896,83,0,0
"Cincinnati-Middletown","OH-KY-IN",199522,188833,598,3132,6959
"Clarksville","TN-KY",19994,17138,0,1445,1411
"Cleveland","TN",9083,9083,0,0,0
"Cleveland-Elyria-Mentor","OH",118013,111509,2127,2970,1407
"Coeur d""Alene","ID",37704,35912,1003,561,228
"College Station-Bryan","TX",15325,14851,0,474,0
"Colorado Springs","CO",85988,84764,1224,0,0
"Columbia","MO",25178,25178,0,0,0
"Columbia","SC",87329,70973,108,0,16248
"Columbus","GA-AL",26962,24842,0,0,2120
"Columbus","IN",3988,3988,0,0,0
"Columbus","OH",173573,145131,3608,9107,15727
"Corpus Christi","TX",18533,16363,0,718,1452
"Corvallis","OR",4245,3946,299,0,0
"Cumberland","MD-WV",3057,3057,0,0,0
"Dallas-Fort Worth-Arlington","TX",734341,673813,2415,1439,56674
"Dalton","GA",8537,8133,88,0,316
"Danville","IL",0,0,0,0,0
"Danville","VA",2859,2859,0,0,0
"Davenport-Moline-Rock Island","IA-IL",12800,12600,200,0,0
"Dayton","OH",43426,43426,0,0,0
"Decatur","AL",4041,4041,0,0,0
"Decatur","IL",6298,1753,0,0,4545
"Deltona-Daytona Beach-Ormond Beach","FL",88194,80531,75,0,7588
"Denver-Aurora","CO",327025,320747,160,322,5796
"Des Moines","IA",93634,75046,344,0,18244
"Detroit-Warren-Livonia","MI",246601,222929,2757,3457,17458
"Dothan","AL",3045,3045,0,0,0
"Dover","DE",22790,22471,0,319,0
"Dubuque","IA",5464,5065,399,0,0
"Duluth","MN-WI",17142,14924,218,239,1761
"Durham","NC",70055,65137,3718,0,1200
