"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Fort Walton Beach-Crestview-Destin","FL",34552,27065,0,389,7098,1
"Fort Wayne","IN",17891,17891,0,0,0,1
"Fresno","CA",48867,43737,534,916,3680,1
"Gadsden","AL",2126,2126,0,0,0,1
"Gainesville","FL",15977,14915,0,0,1062,1
"Gainesville","GA",5032,5032,0,0,0,1
"Glens Falls","NY",3803,3803,0,0,0,1
"Goldsboro","NC",4411,4411,0,0,0,1
"Grand Forks","ND-MN",104,104,0,0,0,1
"Grand Junction","CO",20472,20472,0,0,0,1
"Grand Rapids-Wyoming","MI",35205,31685,1470,692,1358,1
"Great Falls","MT",2016,2016,0,0,0,1
"Greeley","CO",53423,50670,0,0,2753,1
"Green Bay","WI",12601,9343,1570,0,1688,1
"Greensboro-High Point","NC",65286,60273,80,0,4933,1
"Greenville","NC",21230,16485,1834,0,2911,1
"Greenville","SC",51376,48404,0,0,2972,1
"Gulfport-Biloxi","MS",24586,21308,433,270,2575,1
"Hagerstown-Martinsburg","MD-WV",64986,59540,726,800,3920,1
"Hanford-Corcoran","CA",4764,4764,0,0,0,1
"Harrisburg-Carlisle","PA",18833,18611,222,0,0,1
"Harrisonburg","VA",19908,19908,0,0,0,1
"Hartford-West Hartford-East Hartford","CT",28352,27396,0,0,956,1
"Hattiesburg","MS",1068,1068,0,0,0,1
"Hickory-Lenoir-Morganton","NC",26491,26491,0,0,0,1
"Hinesville-Fort Stewart","GA",189,189,0,0,0,1
"Holland-Grand Haven","MI",9525,8386,241,520,378,1
"Honolulu","HI",30357,27357,0,0,3000,1
"Hot Springs","AR",1312,1312,0,0,0,1
"Houma-Bayou Cane-Thibodaux","LA",10997,10997,0,0,0,1
"Houston-Baytown-Sugar Land","TX",778389,595049,1413,1516,180411,1
"Huntington-Ashland","WV-KY-OH",506,506,0,0,0,1
"Huntsville","AL",51006,50276,0,0,730,1
"Idaho Falls","ID",11624,11624,0,0,0,1
"Indianapolis-Carmel","IN",166325,149342,2179,1752,13052,1
"Iowa City","IA",17822,8247,0,0,9575,1
"Ithaca","NY",924,924,0,0,0,1
"Jackson","MI",1575,1575,0,0,0,1
"Jackson","MS",43734,41861,150,0,1723,1
"Jackson","TN",8446,8256,190,0,0,1
"Jacksonville","FL",270269,248463,0,1378,20428,1
"Jacksonville","NC",11657,11639,18,0,0,1
"Janesville","WI",3932,3416,126,0,390,1
"Jefferson City","MO",2509,2313,0,196,0,1
"Johnson City","TN",11439,11339,100,0,0,1
"Johnstown","PA",112,112,0,0,0,1
"Jonesboro","AR",2656,2656,0,0,0,1
"Joplin","MO",1336,691,345,0,300,1
"Kalamazoo-Portage","MI",9638,9638,0,0,0,1
"Kankakee-Bradley","IL",958,958,0,0,0,1
"Kansas City","MO-KS",151284,135124,3397,3554,9209,1
"Kennewick-Richland-Pasco","WA",24928,19199,0,1799,3930,1
"Killeen-Temple-Fort Hood","TX",36067,22154,5105,7688,1120,1
"Kingsport-Bristol-Bristol","TN-VA",6882,6680,202,0,0,1
"Kingston","NY",2628,2628,0,0,0,1
"Knoxville","TN",42955,38932,312,1050,2661,1
"Kokomo","IN",1851,1851,0,0,0,1
"La Crosse","WI-MN",2578,2328,250,0,0,1
"Lafayette","IN",10908,8708,0,0,2200,1
"Lafayette","LA",17814,17232,0,0,582,1
"Lake Charles","LA",3343,3069,82,0,192,1
"Lakeland","FL",195874,168679,314,251,26630,1
"Lancaster","PA",16229,15611,0,286,332,1
"Lansing-East Lansing","MI",11746,10648,198,0,900,1
"Laredo","TX",15114,12690,84,205,2135,1
"Las Cruces","NM",42822,37190,0,1012,4620,1
"Las Vegas-Paradise","NV",360986,302288,0,4246,54452,1
"Lawrence","KS",2918,2918,0,0,0,1
"Lawton","OK",3015,3015,0,0,0,1
"Lebanon","PA",3665,3665,0,0,0,1
"Lewiston","ID-WA",536,536,0,0,0,1
"Lewiston-Auburn","ME",2688,2688,0,0,0,1
"Lexington-Fayette","KY",49249,45413,131,1176,2529,1
"Lima","OH",347,115,232,0,0,1
"Lincoln","NE",16471,13942,331,0,2198,1
"Little Rock-North Little Rock","AR",56764,52954,60,340,3410,1
"Logan","UT-ID",5431,4764,0,250,417,1
"Longview","TX",2765,2765,0,0,0,1
