"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX",3247,3247,0,0,0,1
"Akron","OH",21863,20774,0,0,1089,1
"Albany","GA",6559,5332,138,0,1089,1
"Albany-Schenectady-Troy","NY",14772,14192,0,0,580,1
"Albuquerque","NM",60173,56802,1128,394,1849,1
"Alexandria","LA",3659,3659,0,0,0,1
"Allentown-Bethlehem-Easton","PA-NJ",34478,33618,100,292,468,1
"Altoona","PA",298,298,0,0,0,1
"Amarillo","TX",13002,13002,0,0,0,1
"Ames","IA",1888,1262,0,0,626,1
"Anchorage","AK",10127,7219,1638,1270,0,1
"Anderson","IN",4317,4317,0,0,0,1
"Anderson","SC",12516,12276,240,0,0,1
"Ann Arbor","MI",18284,17982,0,0,302,1
"Anniston-Oxford","AL",4108,4108,0,0,0,1
"Appleton","WI",8533,7856,677,0,0,1
"Asheville","NC",50018,45503,90,0,4425,1
"Athens-Clarke County","GA",17268,17268,0,0,0,1
"Atlanta-Sandy Springs-Marietta","GA",646225,616891,1538,1062,26734,1
"Atlantic City","NJ",12761,12749,0,0,12,1
"Auburn-Opelika","AL",15163,15042,121,0,0,1
"Augusta-Richmond County","GA-SC",32745,31602,0,0,1143,1
"Austin-Round Rock","TX",125997,121478,2335,139,2045,1
"Bakersfield","CA",66241,65700,373,168,0,1
"Baltimore-Towson","MD",74811,71863,0,748,2200,1
"Bangor","ME",2108,1813,0,295,0,1
"Barnstable Town","MA",14952,14289,0,663,0,1
"Baton Rouge","LA",39884,36794,0,0,3090,1
"Battle Creek","MI",989,989,0,0,0,1
"Bay City","MI",126,126,0,0,0,1
"Beaumont-Port Arthur","TX",6196,6196,0,0,0,1
"Bellingham","WA",18839,14925,240,385,3289,1
"Bend","OR",47373,45782,1299,292,0,1
"Billings","MT",2187,1376,811,0,0,1
"Binghamton","NY",1117,1117,0,0,0,1
"Birmingham-Hoover","AL",91696,83746,0,0,7950,1
"Bismarck","ND",1567,1216,0,351,0,1
"Blacksburg-Christiansburg-Radford","VA",264,264,0,0,0,1
"Bloomington","IN",5656,4371,540,0,745,1
"Bloomington-Normal","IL",3342,3342,0,0,0,1
"Boise City-Nampa","ID",109470,105776,2919,775,0,1
"Boston-Cambridge-Quincy","MA-NH",171397,105807,6464,3314,55812,1
"Boulder","CO",16922,16632,290,0,0,1
"Bowling Green","KY",12704,8928,0,0,3776,1
"Bremerton-Silverdale","WA",13371,13371,0,0,0,1
"Bridgeport-Stamford-Norwalk","CT",38317,37256,0,0,1061,1
"Brownsville-Harlingen","TX",16612,16177,435,0,0,1
"Brunswick","GA",15162,15162,0,0,0,1
"Buffalo-Niagara Falls","NY",16157,15410,0,0,747,1
"Burlington","NC",14199,14199,0,0,0,1
"Burlington-South Burlington","VT",5326,3869,334,364,759,1
"Canton-Massillon","OH",10475,10237,0,238,0,1
"Cape Coral-Fort Myers","FL",326083,288409,976,1272,35426,1
"Carson City","NV",2173,647,0,0,1526,1
"Casper","WY",2347,2347,0,0,0,1
"Cedar Rapids","IA",5105,3189,20,581,1315,1
"Champaign-Urbana","IL",8548,8548,0,0,0,1
"Charleston","WV",3000,3000,0,0,0,1
"Charleston-North Charleston","SC",82143,68031,0,265,13847,1
"Charlotte-Gastonia-Concord","NC-SC",198313,191557,580,0,6176,1
"Charlottesville","VA",26013,22852,266,0,2895,1
"Chattanooga","TN-GA",29715,29282,89,0,344,1
"Cheyenne","WY",4601,3914,0,415,272,1
"Chicago-Naperville-Joliet","IL-IN-WI",435048,371587,4980,18366,40115,1
"Chico","CA",10914,10467,447,0,0,1
"Cincinnati-Middletown","OH-KY-IN",110563,106296,216,2017,2034,1
"Clarksville","TN-KY",15376,15376,0,0,0,1
"Cleveland","TN",6492,6152,340,0,0,1
"Cleveland-Elyria-Mentor","OH",71615,69590,608,280,1137,1
"Coeur d""Alene","ID",20475,20075,158,0,242,1
"College Station-Bryan","TX",24687,9629,371,3875,10812,1
"Colorado Springs","CO",72285,68669,430,873,2313,1
"Columbia","MO",13841,13073,0,0,768,1
"Columbia","SC",62506,58359,0,126,4021,1
"Columbus","GA-AL",24173,23887,93,193,0,1
"Columbus","IN",1573,1573,0,0,0,1
"Columbus","OH",101669,94603,0,0,7066,1
"Corpus Christi","TX",15372,14057,113,181,1021,1
"Corvallis","OR",1351,1351,0,0,0,1
"Cumberland","MD-WV",1759,1484,0,0,275,1
"Dallas-Fort Worth-Arlington","TX",579053,503871,1892,286,73004,1
"Dalton","GA",7244,6191,0,164,889,1
"Danville","IL",100,100,0,0,0,1
"Danville","VA",2407,2302,0,105,0,1
"Davenport-Moline-Rock Island","IA-IL",6716,6716,0,0,0,1
"Dayton","OH",24081,23045,396,640,0,1
