"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX MSA",1739,1739,0,0,0,1
"Albany","GA MSA",8255,5097,0,0,3158,1
"Albany-Schenectady-Troy","NY MSA",11549,10968,0,0,581,1
"Albuquerque","NM MSA",31204,30008,0,216,980,1
"Alexandria","LA MSA",3587,3587,0,0,0,1
"Allentown-Bethlehem-Easton","PA MSA",10424,8780,0,244,1400,1
"Altoona","PA MSA",467,467,0,0,0,1
"Amarillo","TX MSA",5002,5002,0,0,0,1
"Anchorage","AK MSA",5774,5421,353,0,0,1
"Anniston","AL MSA",1698,1423,0,0,275,1
"Appleton-Oshkosh-Neenah","WI MSA",11037,9791,624,0,622,1
"Asheville","NC MSA",12011,10828,331,0,852,1
"Athens","GA MSA",8722,7440,1282,0,0,1
"Atlanta","GA MSA",465636,382484,2011,0,81141,1
"Augusta-Aiken","GA-SC MSA",20378,20301,0,0,77,1
"Austin-San Marcos","TX MSA",106292,73295,116,804,32077,1
"Bakersfield","CA MSA",21636,19889,0,477,1270,1
"Bangor","ME MSA",539,539,0,0,0,1
"Barnstable-Yarmouth","MA MSA",16457,15737,0,0,720,1
"Baton Rouge","LA MSA",9722,8378,0,0,1344,1
"Beaumont-Port Arthur","TX MSA",4451,4451,0,0,0,1
"Bellingham","WA MSA",9054,8460,401,0,193,1
"Benton Harbor","MI MSA",255,255,0,0,0,1
"Billings","MT MSA",2280,2280,0,0,0,1
"Biloxi-Gulfport-Pascagoula","MS MSA",14236,14236,0,0,0,1
"Binghamton","NY MSA",837,837,0,0,0,1
"Birmingham","AL MSA",44589,44589,0,0,0,1
"Bismarck","ND MSA",117,117,0,0,0,1
"Bloomington","IN MSA",5190,4554,83,553,0,1
"Bloomington-Normal","IL MSA",4809,4269,0,0,540,1
"Boise City","ID MSA",51018,50392,0,626,0,1
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",151999,124379,2745,3192,21683,1
"Brownsville-Harlingen-San Benito","TX MSA",9490,8711,171,292,316,1
"Bryan-College Station","TX MSA",5513,4326,1187,0,0,1
"Buffalo-Niagara Falls","NY MSA",14003,12520,275,0,1208,1
"Burlington","VT MSA",5128,4610,200,0,318,1
"Canton-Massillon","OH MSA",9216,9035,181,0,0,1
"Casper","WY MSA",800,800,0,0,0,1
"Cedar Rapids","IA MSA",3553,1701,953,307,592,1
"Champaign-Urbana","IL MSA",2762,1764,0,0,998,1
"Charleston-North Charleston","SC MSA",51201,47621,470,0,3110,1
"Charleston","WV MSA",2507,2507,0,0,0,1
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",168074,138097,2379,310,27288,1
"Charlottesville","VA MSA",11062,10972,90,0,0,1
