"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX",2776,2776,0,0,0,1
"Akron","OH",2835,2588,0,0,247,1
"Albany","GA",1336,1033,150,153,0,1
"Albany-Schenectady-Troy","NY",6293,6293,0,0,0,1
"Albuquerque","NM",19416,17154,0,422,1840,1
"Alexandria","LA",1907,1907,0,0,0,1
"Allentown-Bethlehem-Easton","PA-NJ",13216,10910,0,0,2306,1
"Altoona","PA",61,61,0,0,0,1
"Amarillo","TX",8773,8773,0,0,0,1
"Ames","IA",441,441,0,0,0,1
"Anchorage","AK",1771,1771,0,0,0,1
"Anderson","IN",196,196,0,0,0,1
"Anderson","SC",1213,1213,0,0,0,1
"Ann Arbor","MI",1949,1949,0,0,0,1
"Anniston-Oxford","AL",701,621,80,0,0,1
"Appleton","WI",2569,2384,185,0,0,1
"Asheville","NC",16788,16488,0,0,300,1
"Athens-Clarke County","GA",2451,2451,0,0,0,1
"Atlanta-Sandy Springs-Marietta","GA",56517,55405,0,0,1112,1
"Atlantic City-Hammonton","NJ",4861,4258,0,603,0,1
"Auburn-Opelika","AL",9049,9049,0,0,0,1
"Augusta-Richmond County","GA-SC",14834,14834,0,0,0,1
"Austin-Round Rock","TX",94229,79394,1025,0,13810,1
"Bakersfield","CA",8793,8015,159,314,305,1
"Baltimore-Towson","MD",34973,25685,175,450,8663,1
"Bangor","ME",772,772,0,0,0,1
"Barnstable Town","MA",7603,7603,0,0,0,1
"Baton Rouge","LA",14681,14600,81,0,0,1
"Battle Creek","MI",0,0,0,0,0,1
"Bay City","MI",110,110,0,0,0,1
"Beaumont-Port Arthur","TX",3895,3895,0,0,0,1
"Bellingham","WA",4195,4040,0,155,0,1
"Bend","OR",6238,6238,0,0,0,1
"Billings","MT",946,946,0,0,0,1
"Binghamton","NY",455,455,0,0,0,1
"Birmingham-Hoover","AL",16308,15308,0,0,1000,1
"Bismarck","ND",196,196,0,0,0,1
"Bloomington","IN",1611,1611,0,0,0,1
"Bloomington-Normal","IL",1412,1236,0,0,176,1
"Boise City-Nampa","ID",15549,12061,0,3488,0,1
"Boston-Cambridge-Quincy","MA-NH",48481,39355,1635,1807,5684,1
"Boulder","CO",6472,2907,0,348,3217,1
"Bowling Green","KY",1848,1848,0,0,0,1
"Bradenton-Sarasota-Venice","FL",17268,16238,0,0,1030,1
"Bremerton-Silverdale","WA",3508,3508,0,0,0,1
"Bridgeport-Stamford-Norwalk","CT",9167,9167,0,0,0,1
"Brownsville-Harlingen","TX",7366,3600,1401,2365,0,1
"Brunswick","GA",4767,4767,0,0,0,1
"Buffalo-Niagara Falls","NY",16181,8181,0,0,8000,1
"Burlington","NC",2816,2816,0,0,0,1
"Burlington-South Burlington","VT",1111,1111,0,0,0,1
"Canton-Massillon","OH",1754,1516,0,0,238,1
"Cape Coral-Fort Myers","FL",19205,12475,0,1168,5562,1
"Cape Girardeau-Jackson","MO-IL",735,250,485,0,0,1
"Carson City","NV",296,296,0,0,0,1
"Casper","WY",1780,1780,0,0,0,1
"Cedar Rapids","IA",1746,838,0,268,640,1
"Champaign-Urbana","IL",7086,4496,0,996,1594,1
"Charleston","WV",1004,835,169,0,0,1
"Charleston-North Charleston-Summerville","SC",29971,27980,0,143,1848,1
"Charlotte-Gastonia-Concord","NC-SC",93174,47380,271,381,45142,1
"Charlottesville","VA",12855,11698,500,0,657,1
"Chattanooga","TN-GA",9686,8954,91,0,641,1
"Cheyenne","WY",1517,1517,0,0,0,1
"Chicago-Naperville-Joliet","IL-IN-WI",56070,51856,1030,659,2525,1
"Chico","CA",3880,3880,0,0,0,1
"Cincinnati-Middletown","OH-KY-IN",27672,22502,517,278,4375,1
"Clarksville","TN-KY",5909,5323,86,500,0,1
"Cleveland","TN",2219,1644,0,575,0,1
"Cleveland-Elyria-Mentor","OH",14373,13948,205,0,220,1
"Coeur dAlene","ID",3164,3164,0,0,0,1
"College Station-Bryan","TX",4531,4531,0,0,0,1
"Colorado Springs","CO",24640,24270,370,0,0,1
"Columbia","MO",4499,3289,0,0,1210,1
"Columbia","SC",50306,18570,0,0,31736,1
"Columbus","GA-AL",6636,4777,0,0,1859,1
"Columbus","IN",1359,1359,0,0,0,1
"Columbus","OH",24191,24191,0,0,0,1
"Corpus Christi","TX",5853,5765,88,0,0,1
"Corvallis","OR",1119,1119,0,0,0,1
"Cumberland","MD-WV",1152,1152,0,0,0,1
"Dallas-Fort Worth-Arlington","TX",243902,164370,358,800,78374,1
"Dalton","GA",1766,1376,0,143,247,1
"Danville","IL",0,0,0,0,0,1
"Danville","VA",497,497,0,0,0,1
"Davenport-Moline-Rock Island","IA-IL",935,935,0,0,0,1
"Dayton","OH",9196,9196,0,0,0,1
"Decatur","AL",375,375,0,0,0,1
"Decatur","IL",0,0,0,0,0,1
