"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX MSA",2158,2028,130,0,0,1
"Albany","GA MSA",6584,6584,0,0,0,1
"Albany-Schenectady-Troy","NY MSA",22113,21394,430,0,289,1
"Albuquerque","NM MSA",11769,11337,0,432,0,1
"Alexandria","LA MSA",3907,3392,0,0,515,1
"Allentown-Bethlehem-Easton","PA MSA",18154,17924,0,230,0,1
"Altoona","PA MSA",588,588,0,0,0,1
"Amarillo","TX MSA",8059,7950,109,0,0,1
"Anchorage","AK MSA",17751,12450,5301,0,0,1
"Anniston","AL MSA",3517,3517,0,0,0,1
"Appleton-Oshkosh-Neenah","WI MSA",18821,16044,416,960,1401,1
"Asheville","NC MSA",22320,19400,486,165,2269,1
"Athens","GA MSA",11085,11085,0,0,0,1
"Atlanta","GA MSA",499232,428158,775,2314,67985,1
"Auburn-Opelika","AL MSA",9510,4119,692,359,4340,1
"Augusta-Aiken","GA-SC MSA",36211,31527,0,0,4684,1
"Austin-San Marcos","TX MSA",91302,67896,543,206,22657,1
"Bakersfield","CA MSA",25178,24169,0,358,651,1
"Bangor","ME MSA",622,622,0,0,0,1
"Barnstable-Yarmouth","MA MSA",11423,11423,0,0,0,1
"Baton Rouge","LA MSA",9494,9494,0,0,0,1
"Beaumont-Port Arthur","TX MSA",5787,5787,0,0,0,1
"Bellingham","WA MSA",10667,8813,416,241,1197,1
"Benton Harbor","MI MSA",1166,1166,0,0,0,1
"Billings","MT MSA",4865,4865,0,0,0,1
"Biloxi-Gulfport-Pascagoula","MS MSA",15446,15446,0,0,0,1
"Binghamton","NY MSA",946,946,0,0,0,1
"Birmingham","AL MSA",54820,53279,0,0,1541,1
"Bismarck","ND MSA",3776,1391,0,0,2385,1
"Bloomington","IN MSA",7669,5179,171,296,2023,1
"Bloomington-Normal","IL MSA",3467,3467,0,0,0,1
"Boise City","ID MSA",55263,51592,520,150,3001,1
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",186598,170483,5234,2131,8750,1
"Brownsville-Harlingen-San Benito","TX MSA",15069,14150,403,353,163,1
"Bryan-College Station","TX MSA",7477,6697,780,0,0,1
"Buffalo-Niagara Falls","NY MSA",19299,18734,266,0,299,1
"Burlington","VT MSA",5035,3215,0,0,1820,1
"Canton-Massillon","OH MSA",10042,9855,0,0,187,1
"Casper","WY MSA",1374,1374,0,0,0,1
"Cedar Rapids","IA MSA",3826,3058,190,578,0,1
"Champaign-Urbana","IL MSA",7689,4311,0,0,3378,1
"Charleston-North Charleston","SC MSA",59364,55342,321,380,3321,1
"Charleston","WV MSA",3344,3088,0,0,256,1
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",161322,154531,0,907,5884,1
"Charlottesville","VA MSA",46495,42495,0,0,4000,1
"Chattanooga","TN-GA MSA",19897,19360,240,50,247,1
"Cheyenne","WY MSA",3316,3316,0,0,0,1
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",364968,309925,2715,7914,44414,1
"Chico-Paradise","CA MSA",11377,11281,96,0,0,1
"Cincinnati-Hamilton","OH-KY- IN CMSA",97915,87116,266,503,10030,1
"Clarksville-Hopkinsville","TN-KY MSA",7425,6145,1280,0,0,1
"Cleveland-Akron","OH CMSA",93893,91171,661,1002,1059,1
"Colorado Springs","CO MSA",34460,33197,150,631,482,1
"Columbia","MO MSA",8393,8248,145,0,0,1
"Columbia","SC MSA",34238,34238,0,0,0,1
"Columbus","GA-AL MSA",12838,12590,248,0,0,1
"Columbus","OH MSA",123831,111910,213,1465,10243,1
"Corpus Christi","TX MSA",6731,6264,116,351,0,1
"Corvallis","Corvallis OR MSA",2994,2994,0,0,0,1
"Cumberland","MD-WV MSA",1102,1102,0,0,0,1
"Dallas-Fort Worth","TX CMSA",461464,416266,1895,0,43303,1
"Danville","VA MSA",2909,2853,0,56,0,1
"Davenport-Moline-Rock Island","IA-IL MSA",4231,3256,266,0,709,1
"Dayton-Springfield","OH MSA",16714,16357,140,217,0,1
"Daytona Beach","FL MSA",74475,71103,2508,208,656,1
"Decatur","Al MSA",4700,4700,0,0,0,1
"Decatur","IL MSA",1333,1048,0,0,285,1
"Denver-Boulder-Greeley","CO CMSA",276481,189658,953,6210,79660,1
"Des Moines","IA MSA",50245,25197,575,1282,23191,1
"Detroit-Ann Arbor-Flint","MI CMSA",196164,178060,7270,558,10276,1
"Dothan","AL MSA",2353,2353,0,0,0,1
"Dover","DE MSA",9198,9198,0,0,0,1
"Dubuque","IA MSA",1332,1332,0,0,0,1
"Duluth-Superior","MN-WI MSA",2511,2287,0,224,0,1
"Eau Claire","WI MSA",1831,1831,0,0,0,1
"El Paso","TX MSA",17896,17771,125,0,0,1
"Elkhart-Goshen","IN MSA",8297,8297,0,0,0,1
"Elmira","NY MSA",474,474,0,0,0,1
"Enid","OK MSA",2795,730,0,0,2065,1
"Erie","PA MSA",2311,2311,0,0,0,1
"Eugene-Springfield","OR MSA",19258,16743,291,0,2224,1
"Evansville-Henderson","IN-KY MSA",14858,14538,0,320,0,1
"Fargo-Moorhead","ND-MN MSA",1128,745,0,383,0,1
"Fayetteville","NC MSA",13650,9382,119,0,4149,1
"Fayetteville-Springdale- Rogers","AR MSA",47581,18989,158,0,28434,1
"Flagstaff","AZ-UT MSA",6915,6778,137,0,0,1
"Florence","AL MSA",1214,1214,0,0,0,1
"Florence","SC MSA",4211,3907,0,0,304,1
"Fort Collins-Loveland","CO MSA",22242,19824,1313,250,855,1
"Fort Myers-Cape Coral","FL MSA",118679,84585,3618,2617,27859,1
"Fort Pierce-Port St. Lucie","FL MSA",62235,57296,684,0,4255,1
"Fort Smith","AR-OK MSA",8422,3533,0,0,4889,1
"Fort Walton Beach","FL MSA",16339,11804,0,204,4331,1
"Fort Wayne","IN MSA",22643,22319,324,0,0,1
"Fresno","CA MSA",40135,38108,683,672,672,1
"Gadsden","AL MSA",1171,1171,0,0,0,1
"Gainesville","FL MSA",9661,8058,0,141,1462,1
"Glens Falls","NY MSA",3349,3349,0,0,0,1
"Goldsboro","NC MSA",3402,3402,0,0,0,1
"Grand Forks","ND-MN MSA",234,234,0,0,0,1
"Grand Junction","CO MSA",9344,9124,220,0,0,1
"Grand Rapids-Muskegon- Holland","MI MSA",58051,55043,377,720,1911,1
"Great Falls","MT MSA",1190,1190,0,0,0,1
"Green Bay","WI MSA",6895,6410,277,0,208,1
"Greensboro--Winston-Salem-- High Point","NC MSA",78821,68180,356,122,10163,1
"Greenville","NC MSA",8424,5166,825,0,2433,1
"Greenville-Spartanburg- Anderson","SC MSA",58382,51733,1653,0,4996,1
"Harrisburg-Lebanon- Carlisle","PA MSA",16560,16560,0,0,0,1
"Hartford","CT MSA",28278,27031,252,0,995,1
"Hattiesburg","MS MSA",1343,1343,0,0,0,1
"Hickory-Morganton-Lenoir","NC MSA",17388,17138,0,0,250,1
"Honolulu","HI MSA",7825,7626,199,0,0,1
"Houma","LA MSA",8880,8880,0,0,0,1
"Houston-Galveston-Brazoria","Houston-Galveston-Brazoria TX CMSA",377660,346454,301,257,30648,1
"Huntington-Ashland","WV-KY- OH MSA",530,530,0,0,0,1
"Huntsville","AL MSA",7497,7282,0,215,0,1
"Indianapolis","IN MSA",145676,142670,1139,296,1571,1
"Iowa City","IA MSA",8670,3823,172,0,4675,1
"Jackson","MI MSA",906,906,0,0,0,1
"Jackson","MS MSA",20870,20870,0,0,0,1
"Jackson","TN MSA",4201,4201,0,0,0,1
"Jacksonville","FL MSA",150063,139203,0,0,10860,1
"Jacksonville","NC MSA",5697,5638,59,0,0,1
"Jamestown","NY MSA",88,88,0,0,0,1
"Janesville-Beloit","WI MSA",3435,2800,460,0,175,1
"Johnson City-Kingsport- Bristol","TN-VA MSA",6916,6856,60,0,0,1
"Johnstown","PA MSA",58,58,0,0,0,1
"Jonesboro","AR MSA",3579,3579,0,0,0,1
"Joplin","MO MSA",1209,1209,0,0,0,1
"Kalamazoo-Battle Creek","MI MSA",8159,8159,0,0,0,1
"Kansas City","MO-KS MSA",95251,86226,5262,3763,0,1
"Killeen-Temple","TX MSA",23526,19287,2438,1801,0,1
"Knoxville","TN MSA",29302,28190,195,354,563,1
"Kokomo","IN MSA",2306,2137,169,0,0,1
"La Crosse","WI-MN MSA",1654,1427,60,167,0,1
"Lafayette","LA MSA",13458,13458,0,0,0,1
"Lafayette","IN MSA",33636,5635,1200,0,26801,1
"Lake Charles","LA MSA",2607,2607,0,0,0,1
"Lakeland-Winter Haven","FL MSA",27299,27299,0,0,0,1
"Lancaster","PA MSA",8665,7670,134,101,760,1
"Lansing-East Lansing","MI MSA",11190,9846,0,0,1344,1
"Laredo","TX MSA",9566,8542,0,98,926,1
"Las Cruces","NM MSA",10720,10720,0,0,0,1
"Las Vegas","NV-AZ MSA",251727,209211,925,386,41205,1
"Lawrence","KS MSA",4526,3050,1376,100,0,1
"Lawton","OK MSA",1286,1286,0,0,0,1
"Lewiston-Auburn","ME MSA",2039,2039,0,0,0,1
"Lexington","KY MSA",24229,23823,294,0,112,1
"Lima","OH MSA",387,387,0,0,0,1
"Lincoln","NE MSA",11021,10187,123,0,711,1
"Little Rock-North Little Rock","AR MSA",28756,28596,160,0,0,1
"Longview-Marshall","TX MSA",2268,2268,0,0,0,1
"Los Angeles-Riverside- Orange County","CA CMSA",611165,529219,2031,2978,76937,1
"Louisville","KY-IN MSA",56677,54789,0,98,1790,1
"Lubbock","TX MSA",10626,10626,0,0,0,1
"Lynchburg","VA MSA",11488,11488,0,0,0,1
"Macon","GA MSA",19096,19096,0,0,0,1
"Madison","WI MSA",35082,29262,1089,873,3858,1
"Mansfield","OH MSA",3208,2773,98,244,93,1
"McAllen-Edinburg-Mission","TX MSA",32693,24025,224,8239,205,1
"Medford-Ashland","OR MSA",9464,8943,333,188,0,1
"Melbourne-Titusville-Palm Bay","FL MSA",48661,47737,0,0,924,1
"Memphis","TN-AR-MS MSA",72757,68773,0,0,3984,1
"Merced","CA MSA",9127,9127,0,0,0,1
"Miami-Fort Lauderdale","FL CMSA",208896,156292,1410,5466,45728,1
"Milwaukee-Racine","WI CMSA",55502,44129,1959,434,8980,1
"Minneapolis-St. Paul","MN-WI MSA",264041,171225,1943,3047,87826,1
"Missoula","MT MSA",4458,4299,0,159,0,1
"Mobile","AL MSA",36965,29266,0,0,7699,1
"Modesto","CA MSA",28458,28259,199,0,0,1
"Monroe","LA MSA",5131,5131,0,0,0,1
"Montgomery","AL MSA",12072,11407,0,0,665,1
"Muncie","IN MSA",2029,2029,0,0,0,1
"Myrtle Beach","SC MSA",20028,19538,165,325,0,1
"Naples","FL MSA",95043,73031,365,4586,17061,1
"Nashville","TN MSA",119157,107898,2450,217,8592,1
"New London-Norwich","CT-RI MSA",8118,7713,405,0,0,1
"New Orleans","LA MSA",38181,36968,394,200,619,1
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",430109,310005,42257,19722,58125,1
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",62275,60343,418,1514,0,1
"Ocala","FL MSA",39106,38916,90,100,0,1
"Odessa-Midland","TX MSA",3144,3144,0,0,0,1
"Oklahoma City","OK MSA",54000,53510,290,200,0,1
"Omaha","NE-IA MSA",35468,26955,189,0,8324,1
"Orlando","FL MSA",238294,175149,353,1739,61053,1
"Owensboro","KY MSA",3906,3906,0,0,0,1
"Panama City","FL MSA",14910,14683,227,0,0,1
"Parkersburg-Marietta","WV-OH MSA",2002,2002,0,0,0,1
"Pensacola","FL MSA",30977,30689,0,288,0,1
"Peoria-Pekin","IL MSA",6203,5308,0,0,895,1
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",156405,141266,7139,1879,6121,1
"Phoenix-Mesa","AZ MSA",408929,399925,933,1763,6308,1
"Pine Bluff","AR MSA",188,188,0,0,0,1
"Pittsburgh","PA MSA",56665,47263,1126,908,7368,1
"Pittsfield","MA MSA",0,0,0,0,0,1
"Pocatello","ID MSA",592,592,0,0,0,1
"Portland","ME MSA",16698,15018,310,750,620,1
"Portland-Salem","OR-WA CMSA",155538,133376,2697,1922,17543,1
"Providence-Fall River- Warwick","RI-MA MSA",37639,35993,614,298,734,1
"Provo-Orem","UT MSA",21248,19920,538,790,0,1
"Pueblo","CO MSA",7324,7324,0,0,0,1
"Punta Gorda","FL MSA",23352,21601,193,1558,0,1
"Raleigh-Durham-Chapel Hill","Hill NC MSA",167644,151682,127,1938,13897,1
"Rapid City","SD MSA",3419,3419,0,0,0,1
"Reading","PA MSA",7355,7266,0,0,89,1
"Redding","CA MSA",14688,13612,0,1076,0,1
"Reno","NV MSA",34055,31065,0,0,2990,1
"Richland-Kennewick-Pasco","WA MSA",13202,11326,0,1126,750,1
"Richmond-Petersburg","VA MSA",63382,63382,0,0,0,1
"Roanoke","VA MSA",12019,6157,334,0,5528,1
"Rochester","MN MSA",12254,10134,447,321,1352,1
"Rochester","NY MSA",21572,20756,0,0,816,1
"Rockford","IL MSA",9635,9035,0,0,600,1
"Rocky Mount","NC MSA",5646,4104,1023,0,519,1
"Sacramento-Yolo","CA CMSA",225658,185511,644,0,39503,1
"Saginaw-Bay City-Midland","MI MSA",2885,2558,0,0,327,1
"St. Cloud","MN MSA",4438,3866,0,0,572,1
"St. Joseph","MO MSA",2079,927,1152,0,0,1
"St. Louis","MO-IL MSA",119381,112167,1693,1277,4244,1
"Salinas","CA MSA",10960,9773,215,972,0,1
"Salt Lake City-Ogden","UT MSA",70401,55865,556,1830,12150,1
"San Angelo","TX MSA",2541,2541,0,0,0,1
"San Antonio","TX MSA",82059,80431,677,0,951,1
"San Diego","CA MSA",203374,155591,1395,6046,40342,1
"San Francisco-Oakland-San Jose","CA CMSA",226519,162384,4222,5471,54442,1
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",31399,22723,0,631,8045,1
"Santa Barbara-Santa Maria- Lompoc","CA MSA",7970,7970,0,0,0,1
"Santa Fe","NM MSA",5436,4647,0,0,789,1
"Sarasota-Bradenton","FL MSA",151154,122580,0,1778,26796,1
"Savannah","GA MSA",21315,19181,485,200,1449,1
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",2896,2756,140,0,0,1
"Seattle-Tacoma-Bremerton","Seattle-Tacoma-Bremerton WA CMSA",202359,171835,4637,4594,21293,1
"Sharon","PA MSA",1323,1073,0,0,250,1
"Sheboygan","WI MSA",353,353,0,0,0,1
"Sherman-Denison","TX MSA",1942,1942,0,0,0,1
"Shreveport-Bossier City","LA MSA",12466,12466,0,0,0,1
"Sioux City","IA-NE MSA",510,302,208,0,0,1
"Sioux Falls","SD MSA",6943,6943,0,0,0,1
"South Bend","IN MSA",8027,8027,0,0,0,1
"Spokane","WA MSA",6539,6539,0,0,0,1
"Springfield","IL MSA",1895,1565,330,0,0,1
"Springfield","MO MSA",29674,24481,193,0,5000,1
"Springfield","MA MSA",6989,6989,0,0,0,1
"State College","PA MSA",4618,2518,0,0,2100,1
"Steubenville-Weirton","OH-WV MSA",110,110,0,0,0,1
"Stockton-Lodi","CA MSA",59907,59907,0,0,0,1
"Sumter","SC MSA",3728,2397,0,0,1331,1
"Syracuse","NY MSA",6359,6255,0,0,104,1
"Tallahassee","FL MSA",19118,18094,253,771,0,1
"Tampa-St. Petersburg- Clearwater","FL MSA",246848,180800,3714,3339,58995,1
"Terre Haute","IN MSA",2187,2187,0,0,0,1
"Texarkana  TX-Texarkana "," AR MSA",1956,1956,0,0,0,1
"Toledo","OH MSA",15588,15427,161,0,0,1
"Topeka","KS MSA",7774,7574,200,0,0,1
"Tucson","AZ MSA",50517,49614,599,0,304,1
"Tulsa","OK MSA",40283,37683,0,2600,0,1
"Tuscaloosa","AL MSA",7048,7048,0,0,0,1
"Tyler","TX MSA",4997,4766,0,0,231,1
"Utica-Rome","NY MSA",525,525,0,0,0,1
"Victoria","TX MSA",1555,1555,0,0,0,1
"Visalia-Tulare-Porterville","CA MSA",24230,15234,69,3628,5299,1
"Waco","TX MSA",4203,3783,420,0,0,1
"Washington-Baltimore","DC-MD- VA-WV CMSA",416614,370236,668,0,45710,1
"Waterloo-Cedar Falls","IA MSA",431,431,0,0,0,1
"Wausau","WI MSA",2409,2409,0,0,0,1
"West Palm Beach-Boca Raton","Raton FL MSA",145208,119626,0,412,25170,1
"Wheeling","WV-OH MSA",138,138,0,0,0,1
"Wichita","KS MSA",19177,17654,823,700,0,1
"Wichita Falls","TX MSA",3110,2872,238,0,0,1
"Wilmington","NC MSA",34385,30866,1185,2093,241,1
"Yakima","WA MSA",2792,1748,779,265,0,1
"York","PA MSA",9174,9094,80,0,0,1
"Youngstown-Warren","OH MSA",7953,7502,280,171,0,1
"Yuba City","CA MSA",9462,9260,202,0,0,1
"Yuma","AZ MSA",9447,8607,0,840,0,1
"Abilene","TX MSA",2223,2223,0,0,0,2
"Albany","GA MSA",4630,4630,0,0,0,2
"Albany-Schenectady-Troy","NY MSA",16649,16070,0,0,579,2
"Albuquerque","NM MSA",50976,41302,0,174,9500,2
"Alexandria","LA MSA",2806,2806,0,0,0,2
"Allentown-Bethlehem-Easton","PA MSA",15221,14915,0,306,0,2
"Altoona","PA MSA",68,68,0,0,0,2
"Amarillo","TX MSA",5476,5476,0,0,0,2
"Anchorage","AK MSA",16049,10645,3449,0,1955,2
"Anniston","AL MSA",3797,3797,0,0,0,2
"Appleton-Oshkosh-Neenah","WI MSA",15180,14410,105,0,665,2
"Asheville","NC MSA",12981,12220,761,0,0,2
"Athens","GA MSA",14673,13575,800,0,298,2
"Atlanta","GA MSA",497862,460497,1484,257,35624,2
"Auburn-Opelika","AL MSA",4465,3379,636,0,450,2
"Augusta-Aiken","GA-SC MSA",25402,25402,0,0,0,2
"Austin-San Marcos","TX MSA",103785,48847,1141,0,53797,2
"Bakersfield","CA MSA",38209,38116,93,0,0,2
"Bangor","ME MSA",732,732,0,0,0,2
"Barnstable-Yarmouth","MA MSA",10024,10024,0,0,0,2
"Baton Rouge","LA MSA",11157,10323,0,0,834,2
"Beaumont-Port Arthur","TX MSA",8141,7991,150,0,0,2
"Bellingham","WA MSA",10996,9552,403,0,1041,2
"Benton Harbor","MI MSA",2171,2171,0,0,0,2
"Billings","MT MSA",3756,3756,0,0,0,2
"Biloxi-Gulfport-Pascagoula","MS MSA",16985,14158,0,407,2420,2
"Binghamton","NY MSA",1131,1131,0,0,0,2
"Birmingham","AL MSA",47241,47241,0,0,0,2
"Bismarck","ND MSA",3036,2419,617,0,0,2
"Bloomington","IN MSA",6189,5643,0,0,546,2
"Bloomington-Normal","IL MSA",8323,5826,0,0,2497,2
"Boise City","ID MSA",50071,47214,390,2467,0,2
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",176193,146492,4390,1327,23984,2
"Brownsville-Harlingen-San Benito","TX MSA",16509,15616,403,327,163,2
"Bryan-College Station","TX MSA",14750,11326,1169,1320,935,2
"Buffalo-Niagara Falls","NY MSA",18299,17517,0,0,782,2
