"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX MSA",2075,1995,80,0,0,1
"Albany","GA MSA",5091,5091,0,0,0,1
"Albany-Schenectady-Troy","NY MSA",12651,12174,187,0,290,1
"Albuquerque","NM MSA",55722,41824,0,0,13898,1
"Alexandria","LA MSA",2997,2997,0,0,0,1
"Allentown-Bethlehem-Easton","PA MSA",17412,16462,0,0,950,1
"Altoona","PA MSA",540,540,0,0,0,1
"Amarillo","TX MSA",6542,6542,0,0,0,1
"Anchorage","AK MSA",15133,9589,5544,0,0,1
"Anniston","AL MSA",1252,1023,0,0,229,1
"Appleton-Oshkosh-Neenah","WI MSA",13450,12045,861,0,544,1
"Asheville","NC MSA",15337,10824,0,453,4060,1
"Athens","GA MSA",10420,9812,608,0,0,1
"Atlanta","GA MSA",514931,426846,490,2526,85069,1
"Auburn-Opelika","AL MSA",12532,4300,482,0,7750,1
"Augusta-Aiken","GA-SC MSA",21583,21583,0,0,0,1
"Austin-San Marcos","TX MSA",105001,97360,612,0,7029,1
"Bakersfield","CA MSA",29622,29622,0,0,0,1
"Bangor","ME MSA",411,411,0,0,0,1
"Barnstable-Yarmouth","MA MSA",16411,16411,0,0,0,1
"Baton Rouge","LA MSA",8307,8307,0,0,0,1
"Beaumont-Port Arthur","TX MSA",3542,3542,0,0,0,1
"Bellingham","WA MSA",12825,9856,211,178,2580,1
"Benton Harbor","MI MSA",1545,1545,0,0,0,1
"Billings","MT MSA",3971,3971,0,0,0,1
"Biloxi-Gulfport-Pascagoula","MS MSA",15099,14977,122,0,0,1
"Binghamton","NY MSA",630,630,0,0,0,1
"Birmingham","AL MSA",42982,42982,0,0,0,1
"Bismarck","ND MSA",726,726,0,0,0,1
"Bloomington","IN MSA",5014,4354,660,0,0,1
"Bloomington-Normal","IL MSA",6082,6082,0,0,0,1
"Boise City","ID MSA",55817,53201,631,156,1829,1
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",173685,135084,2070,300,36231,1
"Brownsville-Harlingen-San Benito","TX MSA",10099,9062,178,504,355,1
"Bryan-College Station","TX MSA",5868,5868,0,0,0,1
"Buffalo-Niagara Falls","NY MSA",13490,12738,285,0,467,1
"Burlington","VT MSA",6528,6192,50,286,0,1
"Canton-Massillon","OH MSA",8396,8396,0,0,0,1
"Casper","WY MSA",1899,1899,0,0,0,1
"Cedar Rapids","IA MSA",5644,4534,171,209,730,1
"Champaign-Urbana","IL MSA",1421,1421,0,0,0,1
"Charleston-North Charleston","SC MSA",54717,53701,0,260,756,1
"Charleston","WV MSA",3641,3394,0,0,247,1
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",232861,192120,1495,1239,38007,1
"Charlottesville","VA MSA",18521,18191,330,0,0,1
"Chattanooga","TN-GA MSA",18675,18042,285,50,298,1
"Cheyenne","WY MSA",1710,1710,0,0,0,1
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",354254,284252,4725,8822,56455,1
"Chico-Paradise","CA MSA",9721,7327,815,1117,462,1
"Cincinnati-Hamilton","OH-KY- IN CMSA",81747,78538,599,425,2185,1
"Clarksville-Hopkinsville","TN-KY MSA",6597,5837,0,140,620,1
"Cleveland-Akron","OH CMSA",85705,82752,506,970,1477,1
"Colorado Springs","CO MSA",62505,45376,208,337,16584,1
"Columbia","MO MSA",6729,6589,140,0,0,1
"Columbia","SC MSA",32887,32752,135,0,0,1
"Columbus","GA-AL MSA",11926,11417,0,509,0,1
"Columbus","OH MSA",92461,77979,911,1633,11938,1
"Corpus Christi","TX MSA",6593,5448,132,383,630,1
"Corvallis","Corvallis OR MSA",6416,3357,367,0,2692,1
"Cumberland","MD-WV MSA",790,790,0,0,0,1
"Dallas-Fort Worth","TX CMSA",465050,424467,1279,584,38720,1
"Danville","VA MSA",2144,2144,0,0,0,1
"Davenport-Moline-Rock Island","IA-IL MSA",3557,3557,0,0,0,1
"Dayton-Springfield","OH MSA",18509,17834,292,383,0,1
"Daytona Beach","FL MSA",41733,34387,646,0,6700,1
"Decatur","Al MSA",2501,2396,0,0,105,1
"Decatur","IL MSA",93,93,0,0,0,1
