"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Hattiesburg","MS MSA",1485,1335,150,0,0
"Hickory-Morganton-Lenoir NC MSA","14817",14817,0,0,0,NA
"Honolulu","HI MSA",40009,19858,199,0,19952
"Houma","LA MSA",5997,5921,76,0,0
"Houston-Galveston-BrazoriaTX CMSA","456327",381934,1107,0,73286,NA
"Huntington-Ashland","WV-KY-OH MSA",182,182,0,0,0
"Huntsville","AL MSA",5661,5561,100,0,0
"Indianapolis","IN MSA",122107,118357,2223,720,807
"Iowa City","IA MSA",4388,4388,0,0,0
"Jackson","MI MSA",1215,1215,0,0,0
"Jackson","MS MSA",26579,25882,0,190,507
"Jackson","TN MSA",6659,6659,0,0,0
"Jacksonville","FL MSA",145294,143570,0,72,1652
"Jacksonville","NC MSA",5308,5308,0,0,0
"Jamestown","NY MSA",88,88,0,0,0
"Janesville-Beloit","WI MSA",2163,1563,0,600,0
"Johnson City-Kingsport-Bristol","TN-VA MSA",8982,7664,0,0,1318
"Johnstown","PA MSA",434,150,0,284,0
"Jonesboro","AR MSA",2794,2794,0,0,0
"Joplin","MO MSA",1754,1754,0,0,0
"Kalamazoo-Battle Creek","MIMSA",12649,11802,0,0,847
"Kansas City","MO-KS MSA",130027,115377,2285,4022,8343
"Killeen-Temple","TX MSA",18124,16657,201,920,346
"Knoxville","TN MSA",31301,29879,220,243,959
"Kokomo","IN MSA",3163,2634,265,264,0
"La Crosse","WI-MN MSA",1581,1461,120,0,0
"Lafayette","LA MSA",15771,15771,0,0,0
"Lafayette","IN MSA",4204,4029,0,175,0
"Lake Charles","LA MSA",7007,6167,0,0,840
"Lakeland-Winter Haven","FL MSA",39713,31974,170,0,7569
"Lancaster","PA MSA",15218,13728,0,0,1490
"Lansing-East Lansing","MI MSA",11861,11487,121,0,253
"Laredo","TX MSA",10126,9222,0,150,754
"Las Cruces","NM MSA",9729,9729,0,0,0
"Las Vegas","NV-AZ MSA",316312,288365,1642,7519,18786
