"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Reno","NV MSA",40567,37820,0,0,2747
"Richland-Kennewick-Pasco WA MSA","12522",10751,0,919,852,NA
"Richmond-Petersburg","VA MSA",71940,68380,154,2073,1333
"Roanoke","VA MSA",8073,7349,92,0,632
"Rochester","MN MSA",11949,10418,234,511,786
"Rochester","NY MSA",18346,16546,0,0,1800
"Rockford","IL MSA",13577,13577,0,0,0
"Rocky Mount","NC MSA",4635,4635,0,0,0
"Sacramento-Yolo","CA CMSA",288864,265656,1767,0,21441
"Saginaw-Bay City-Midland MI MSA","4009",2381,0,300,1328,NA
"St. Cloud","MN MSA",4380,4380,0,0,0
"St. Joseph","MO MSA",1286,1016,130,140,0
"St. Louis","MO-IL MSA",115505,110368,2791,600,1746
"Salinas","CA MSA",15219,13862,0,0,1357
"Salt Lake City-Ogden","UT MSA",112930,92916,1257,928,17829
"San Angelo","TX MSA",2584,2584,0,0,0
"San Antonio","TX MSA",112603,80149,0,0,32454
"San Diego","CA MSA",264494,161667,730,21652,80445
"San Francisco-Oakland-SanJose","CA CMSA",405881,241067,2149,6371,156294
"San Luis Obispo-Atascadero-Paso Robles","CA MSA",27042,26020,774,248,0
"Santa Barbara-Santa Maria-Lompoc","CA MSA",15508,13859,0,0,1649
"Santa Fe","NM MSA",6697,6113,584,0,0
"Sarasota-Bradenton","FL MSA",110880,98657,369,7266,4588
"Savannah","GA MSA",18689,18543,0,0,146
"Scranton--Wilkes-Barre--Hazleton","PA MSA",4243,4243,0,0,0
"Seattle-Tacoma-BremertonWA CMSA","262544",229586,7478,4229,21251,NA
"Sharon","PA MSA",644,644,0,0,0
"Sheboygan","WI MSA",405,405,0,0,0
"Sherman-Denison","TX MSA",2093,2093,0,0,0
"Shreveport-Bossier City","LAMSA",14954,14954,0,0,0
"Sioux City","IA-NE MSA",587,587,0,0,0
"Sioux Falls","SD MSA",5705,5705,0,0,0
"South Bend","IN MSA",8986,8761,225,0,0
"Spokane","WA MSA",12679,12252,427,0,0
"Springfield","IL MSA",5063,4773,290,0,0
"Springfield","MO MSA",18466,17846,126,137,357
"Springfield","MA MSA",5175,4925,250,0,0
"State College","PA MSA",10480,3660,0,0,6820
"Steubenville-Weirton","OH-WVMSA",98,98,0,0,0
"Stockton-Lodi","CA MSA",74411,74411,0,0,0
"Sumter","SC MSA",2603,2501,102,0,0
"Syracuse","NY MSA",5238,4939,0,195,104
"Tallahassee","FL MSA",50826,41739,138,0,8949
"Tampa-St. Petersburg-Clearwater","FL MSA",263974,220996,3022,977,38979
"Terre Haute","IN MSA",1364,1364,0,0,0
"Texarkana","TX-TexarkanaARMSA",1216,1216,0,0,0
"Toledo","OH MSA",21023,18988,465,0,1570
"Topeka","KS MSA",7391,7391,0,0,0
"Tucson","AZ MSA",79055,78058,997,0,0
"Tulsa","OK MSA",43032,42052,258,0,722
"Tuscaloosa","AL MSA",7561,7561,0,0,0
"Tyler","TX MSA",5041,4764,0,0,277
"Utica-Rome","NY MSA",1218,1218,0,0,0
"Victoria","TX MSA",913,913,0,0,0
"Visalia-Tulare-Porterville CA MSA","26483",22483,0,0,4000,NA
"Waco","TX MSA",6796,4776,782,0,1238
"Washington-Baltimore","DC-MD-VA-WV CMSA",358487,310699,123,538,47127
"Waterloo-Cedar Falls","IA MSA",2049,2049,0,0,0
"Wausau","WI MSA",4010,4010,0,0,0
"West Palm Beach-Boca RatonFL MSA","204156",142408,220,297,61231,NA
"Wheeling","WV-OH MSA",211,211,0,0,0
"Wichita","KS MSA",16624,16114,160,350,0
"Wichita Falls","TX MSA",5264,3640,0,1181,443
"Wilmington","NC MSA",52554,39138,0,320,13096
"Yakima","WA MSA",5029,4688,0,341,0
"York","PA MSA",10518,10518,0,0,0
"Youngstown-Warren","OH MSA",5746,5474,0,0,272
"Yuba City","CA MSA",6835,6673,162,0,0
"Yuma","AZ MSA",15460,15460,0,0,0
"Abilene","TX MSA",2006,2006,0,0,0
"Albany","GA MSA",5541,5341,0,0,200
"Albany-Schenectady-Troy","NYMSA",25060,20748,155,0,4157
"Albuquerque","NM MSA",68213,68132,0,81,0
"Alexandria","LA MSA",3255,3255,0,0,0
"Allentown-Bethlehem-Easton PA MSA","22174",21084,0,310,780,NA
"Altoona","PA MSA",1170,1170,0,0,0
"Amarillo","TX MSA",9424,9268,156,0,0
"Anchorage","AK MSA",21097,18537,2066,494,0
"Anniston","AL MSA",1478,1478,0,0,0
"Appleton-Oshkosh-Neenah","WIMSA",19567,18439,779,0,349
"Asheville","NC MSA",21506,21340,0,166,0
"Athens","GA MSA",22969,14515,250,0,8204
"Atlanta","GA MSA",570636,481354,2350,5985,80947
"Auburn-Opelika","AL MSA",7090,4783,236,0,2071
"Augusta-Aiken","GA-SC MSA",30860,30710,0,0,150
"Austin-San Marcos","TX MSA",109670,86510,641,2914,19605
"Bakersfield","CA MSA",58791,56466,2325,0,0
"Bangor","ME MSA",3543,3543,0,0,0
"Barnstable-Yarmouth","MA MSA",12023,12023,0,0,0
"Baton Rouge","LA MSA",13806,13806,0,0,0
"Beaumont-Port Arthur","TX MSA",6050,5454,119,0,477
"Bellingham","WA MSA",20792,18713,422,487,1170
"Benton Harbor","MI MSA",2350,2350,0,0,0
"Billings","MT MSA",5569,5569,0,0,0
"Biloxi-Gulfport-Pascagoula MS MSA","46810",17747,176,777,28110,NA
"Binghamton","NY MSA",847,847,0,0,0
"Birmingham","AL MSA",62142,62142,0,0,0
"Bismarck","ND MSA",8213,7733,0,480,0
"Bloomington","IN MSA",12841,7322,180,0,5339
"Bloomington-Normal","IL MSA",18723,12796,0,146,5781
"Boise City","ID MSA",69196,68604,408,184,0
"Boston-Worcester-LawrenceMA-NH-ME-CT CMSA","189314",166005,8827,3470,11012,NA
"Brownsville-Harlingen-SanBenito","TX MSA",15961,15121,417,203,220
"Bryan-College Station","TX MSA",19217,15125,1339,0,2753
"Buffalo-Niagara Falls","NY MSA",23501,19513,429,250,3309
"Burlington","VT MSA",9426,8663,163,600,0
"Canton-Massillon","OH MSA",21135,20535,345,255,0
"Casper","WY MSA",2833,2833,0,0,0
"Cedar Rapids","IA MSA",10957,8358,0,518,2081
"Champaign-Urbana","IL MSA",6338,6338,0,0,0
"Charleston-NorthCharleston","SC MSA",61968,58878,157,350,2583
"Charleston","WV MSA",3715,3715,0,0,0
"Charlotte-Gastonia-RockHill","NC-SC MSA",241757,224266,649,0,16842
"Charlottesville","VA MSA",16190,15437,412,341,0
"Chattanooga","TN-GA MSA",29025,28236,119,423,247
"Cheyenne","WY MSA",4360,4360,0,0,0
"Chicago-Gary-Kenosha","IL-IN-WI CMSA",579542,515446,4982,8901,50213
"Chico-Paradise","CA MSA",18430,18204,0,226,0
"Cincinnati-Hamilton","OH-KY-IN CMSA",128306,120762,303,1991,5250
"Clarksville-Hopkinsville TN-KY MSA","11189",10525,0,664,0,NA
"Cleveland-Akron","OH CMSA",140915,136788,1531,1366,1230
"Colorado Springs","CO MSA",59480,52264,255,316,6645
"Columbia","MO MSA",18231,16401,1130,0,700
"Columbia","SC MSA",42146,38967,0,456,2723
"Columbus","GA-AL MSA",16669,14900,389,1166,214
"Columbus","OH MSA",177726,160299,1596,6790,9041
"Corpus Christi","TX MSA",8764,8227,129,408,0
"Corvallis OR MSA","4265",4265,0,0,0,NA
"Cumberland","MD-WV MSA",991,991,0,0,0
"Dallas-Fort Worth","TX CMSA",585357,563176,476,574,21131
"Danville","VA MSA",2558,2558,0,0,0
"Davenport-Moline-RockIsland","IA-IL MSA",9799,9012,0,0,787
"Dayton-Springfield","OH MSA",45574,41430,275,2269,1600
"Daytona Beach","FL MSA",93814,80922,2866,0,10026
"Decatur","Al MSA",4389,4389,0,0,0
"Decatur","IL MSA",1516,1516,0,0,0
"Denver-Boulder-Greeley","COCMSA",246732,230586,4415,5969,5762
"Des Moines","IA MSA",52755,51046,879,0,830
"Detroit-Ann Arbor-Flint","MICMSA",265951,242837,754,3098,19262
"Dothan","AL MSA",7661,7661,0,0,0
"Dover","DE MSA",13408,13408,0,0,0
"Dubuque","IA MSA",3753,3562,191,0,0
"Duluth-Superior","MN-WI MSA",6070,5510,325,235,0
"Eau Claire","WI MSA",4864,4864,0,0,0
"El Paso","TX MSA",16825,16615,80,130,0
"Elkhart-Goshen","IN MSA",10429,10154,135,0,140
"Elmira","NY MSA",500,500,0,0,0
"Enid","OK MSA",760,760,0,0,0
"Erie","PA MSA",4601,3870,0,731,0
"Eugene-Springfield","OR MSA",19794,18365,869,560,0
"Evansville-Henderson","IN-KYMSA",17162,16749,263,150,0
"Fargo-Moorhead","ND-MN MSA",4404,2944,0,0,1460
"Fayetteville","NC MSA",17198,14717,0,144,2337
"Fayetteville-Springdale-Rogers","AR MSA",51070,32302,1334,149,17285
"Flagstaff","AZ-UT MSA",7859,6986,465,408,0
"Florence","AL MSA",1604,1604,0,0,0
"Florence","SC MSA",639,639,0,0,0
"Fort Collins-Loveland","CO MSA",37350,31862,643,1545,3300
"Fort Myers-Cape Coral","FL MSA",113540,82075,6318,9749,15398
"Fort Pierce-Port St. Lucie FL MSA","47177",45185,0,858,1134,NA
"Fort Smith","AR-OK MSA",3736,3496,240,0,0
"Fort Walton Beach","FL MSA",16839,15455,0,153,1231
"Fort Wayne","IN MSA",33956,33637,0,319,0
"Fresno","CA MSA",75644,64772,116,381,10375
"Gadsden","AL MSA",1622,1622,0,0,0
"Gainesville","FL MSA",7951,7951,0,0,0
"Glens Falls","NY MSA",5419,4923,496,0,0
"Goldsboro","NC MSA",3591,3591,0,0,0
"Grand Forks","ND-MN MSA",457,457,0,0,0
"Grand Junction","CO MSA",12231,11871,102,0,258
"Grand Rapids-Muskegon-Holland","MI MSA",75668,70857,1180,2949,682
"Great Falls","MT MSA",1916,1661,0,0,255
"Green Bay","WI MSA",14917,12724,686,0,1507
"Greensboro--Winston-Salem--High Point","NC MSA",93668,93135,236,83,214
"Greenville","NC MSA",9329,9204,125,0,0
"Greenville-Spartanburg-Anderson","SC MSA",73067,72194,490,0,383
"Harrisburg-Lebanon-Carlisle","PA MSA",19182,18956,0,0,226
"Hartford","CT MSA",32726,31245,730,0,751
"Hattiesburg","MS MSA",1039,1039,0,0,0
"Hickory-Morganton-Lenoir NC MSA","16893",13835,609,0,2449,NA
"Honolulu","HI MSA",27315,19540,598,0,7177
"Houma","LA MSA",6689,6689,0,0,0
"Houston-Galveston-BrazoriaTX CMSA","468057",399436,0,200,68421,NA
"Huntington-Ashland","WV-KY-OH MSA",674,674,0,0,0
"Huntsville","AL MSA",16608,7916,0,407,8285
"Indianapolis","IN MSA",203256,187962,3205,1505,10584
"Iowa City","IA MSA",13500,9452,0,400,3648
"Jackson","MI MSA",1434,1434,0,0,0
"Jackson","MS MSA",29396,28503,65,321,507
"Jackson","TN MSA",12077,6458,0,248,5371
"Jacksonville","FL MSA",175759,166962,171,0,8626
"Jacksonville","NC MSA",6532,6532,0,0,0
"Jamestown","NY MSA",88,88,0,0,0
"Janesville-Beloit","WI MSA",4615,2790,225,225,1375
"Johnson City-Kingsport-Bristol","TN-VA MSA",12045,10124,360,1082,479
"Johnstown","PA MSA",363,363,0,0,0
"Jonesboro","AR MSA",6086,5720,366,0,0
"Joplin","MO MSA",2189,2189,0,0,0
"Kalamazoo-Battle Creek","MIMSA",21088,19404,235,1259,190
"Kansas City","MO-KS MSA",151363,147950,1269,1260,884
"Killeen-Temple","TX MSA",14978,13116,502,1360,0
"Knoxville","TN MSA",34899,33741,678,182,298
"Kokomo","IN MSA",3842,3842,0,0,0
"La Crosse","WI-MN MSA",4472,3775,252,445,0
"Lafayette","LA MSA",14100,14100,0,0,0
"Lafayette","IN MSA",10125,7445,1080,0,1600
"Lake Charles","LA MSA",8063,7055,0,0,1008
"Lakeland-Winter Haven","FL MSA",40435,39770,665,0,0
"Lancaster","PA MSA",14887,13012,0,0,1875
"Lansing-East Lansing","MI MSA",15049,13738,275,0,1036
"Laredo","TX MSA",11322,10456,0,112,754
"Las Cruces","NM MSA",30981,13166,0,0,17815
"Las Vegas","NV-AZ MSA",331644,286773,1438,722,42711
"Lawrence","KS MSA",9051,7792,1259,0,0
"Lawton","OK MSA",1519,1519,0,0,0
"Lewiston-Auburn","ME MSA",1954,1954,0,0,0
"Lexington","KY MSA",45339,45134,0,0,205
"Lima","OH MSA",595,595,0,0,0
"Lincoln","NE MSA",17824,16678,285,0,861
"Little Rock-North LittleRock","AR MSA",53149,46269,230,0,6650
"Longview-Marshall","TX MSA",1757,1734,23,0,0
"Los Angeles-Riverside-Orange County","CA CMSA",901204,812395,3514,10274,75021
"Louisville","KY-IN MSA",73225,71094,101,1397,633
"Lubbock","TX MSA",16725,12250,2455,530,1490
"Lynchburg","VA MSA",13939,13679,60,200,0
"Macon","GA MSA",27634,19016,1368,676,6574
"Madison","WI MSA",49223,32973,745,1936,13569
"Mansfield","OH MSA",2399,1914,0,485,0
"McAllen-Edinburg-Mission TX MSA","33227",29738,365,621,2503,NA
"Medford-Ashland","OR MSA",22466,21215,163,327,761
"Melbourne-Titusville-PalmBay","FL MSA",86107,70491,200,0,15416
"Memphis","TN-AR-MS MSA",85562,84867,98,0,597
"Merced","CA MSA",21733,21733,0,0,0
"Miami-Fort Lauderdale","FLCMSA",152978,124935,1026,1770,25247
"Milwaukee-Racine","WI CMSA",77353,68339,1398,3472,4144
"Minneapolis-St. Paul","MN-WIMSA",287578,254251,5156,5257,22914
"Missoula","MT MSA",4612,4015,384,213,0
"Mobile","AL MSA",43342,38383,224,0,4735
"Modesto","CA MSA",46265,45984,0,0,281
"Monroe","LA MSA",3594,3594,0,0,0
"Montgomery","AL MSA",19474,17466,0,0,2008
"Muncie","IN MSA",4747,3772,425,0,550
"Myrtle Beach","SC MSA",35733,27573,138,0,8022
"Naples","FL MSA",107548,41916,0,0,65632
"Nashville","TN MSA",162231,155753,648,576,5254
"New London-Norwich","CT-RI MSA",11079,10927,152,0,0
"New Orleans","LA MSA",48179,46942,722,0,515
"New York-Northern NewJersey-Long Island","NY-NJ-CT-PA CMSA",494374,310842,63364,29162,91006
"Norfolk-Virginia Beach-Newport News","VA-NC MSA",87090,84911,277,0,1902
"Ocala","FL MSA",57971,57851,0,120,0
"Odessa-Midland","TX MSA",4476,4476,0,0,0
"Oklahoma City","OK MSA",94164,79164,0,0,15000
"Omaha","NE-IA MSA",50144,46126,430,0,3588
"Orlando","FL MSA",233034,230190,373,160,2311
"Owensboro","KY MSA",4674,4558,116,0,0
"Panama City","FL MSA",47116,12345,0,0,34771
"Parkersburg-Marietta","WV-OHMSA",2325,2325,0,0,0
"Pensacola","FL MSA",41143,41143,0,0,0
"Peoria-Pekin","IL MSA",12685,10885,0,0,1800
"Philadelphia-Wilmington-Atlantic City","PA-NJ-DE-MDCMSA",184562,176176,4653,1696,2037
"Phoenix-Mesa","AZ MSA",574361,560754,799,728,12080
"Pine Bluff","AR MSA",1245,645,0,0,600
"Pittsburgh","PA MSA",69233,62122,1443,1177,4491
"Pittsfield","MA MSA",960,960,0,0,0
"Pocatello","ID MSA",1347,1347,0,0,0
"Portland","ME MSA",17947,16080,576,718,573
"Portland-Salem","OR-WA CMSA",219164,202520,3375,4134,9135
"Providence-Fall River-Warwick","RI-MA MSA",23303,21990,552,761,0
"Provo-Orem","UT MSA",31322,29482,456,472,912
"Pueblo","CO MSA",8932,8778,154,0,0
"Punta Gorda","FL MSA",21291,20065,147,718,361
"Raleigh-Durham-Chapel HillNC MSA","195499",181408,1247,916,11928,NA
"Rapid City","SD MSA",6584,6238,346,0,0
"Reading","PA MSA",7812,7221,0,0,591
"Redding","CA MSA",13326,12514,0,0,812
"Reno","NV MSA",55301,54972,0,0,329
"Richland-Kennewick-Pasco WA MSA","17129",16170,294,239,426,NA
"Richmond-Petersburg","VA MSA",85406,85406,0,0,0
"Roanoke","VA MSA",8044,7530,92,0,422
"Rochester","MN MSA",12151,10813,0,487,851
"Rochester","NY MSA",22922,21732,210,0,980
"Rockford","IL MSA",9722,9082,640,0,0
"Rocky Mount","NC MSA",4794,4524,270,0,0
"Sacramento-Yolo","CA CMSA",333306,317199,0,0,16107
"Saginaw-Bay City-Midland MI MSA","4891",4120,0,443,328,NA
"St. Cloud","MN MSA",7314,6976,0,338,0
"St. Joseph","MO MSA",1839,1539,300,0,0
"St. Louis","MO-IL MSA",159451,138776,2115,2314,16246
"Salinas","CA MSA",24497,24497,0,0,0
"Salt Lake City-Ogden","UT MSA",119532,112384,598,2715,3835
"San Angelo","TX MSA",2756,2756,0,0,0
"San Antonio","TX MSA",104190,103975,215,0,0
"San Diego","CA MSA",302004,194876,6585,786,99757
"San Francisco-Oakland-SanJose","CA CMSA",349573,245061,2391,5558,96563
"San Luis Obispo-Atascadero-Paso Robles","CA MSA",43629,42116,0,1012,501
"Santa Barbara-Santa Maria-Lompoc","CA MSA",22005,20448,225,568,764
"Santa Fe","NM MSA",7192,7192,0,0,0
"Sarasota-Bradenton","FL MSA",127136,113843,316,2798,10179
"Savannah","GA MSA",22400,21314,0,0,1086
"Scranton--Wilkes-Barre--Hazleton","PA MSA",8008,5123,0,0,2885
"Seattle-Tacoma-BremertonWA CMSA","286307",244294,7040,4940,30033,NA
"Sharon","PA MSA",1129,1129,0,0,0
"Sheboygan","WI MSA",847,847,0,0,0
"Sherman-Denison","TX MSA",2840,2609,231,0,0
"Shreveport-Bossier City","LAMSA",12361,12361,0,0,0
"Sioux City","IA-NE MSA",1524,1524,0,0,0
"Sioux Falls","SD MSA",15083,14850,0,233,0
"South Bend","IN MSA",13064,10364,0,0,2700
"Spokane","WA MSA",23407,20493,1006,358,1550
"Springfield","IL MSA",8281,7680,436,165,0
"Springfield","MO MSA",29425,25854,689,0,2882
"Springfield","MA MSA",5814,5734,80,0,0
"State College","PA MSA",7840,7426,0,0,414
"Steubenville-Weirton","OH-WVMSA",724,724,0,0,0
"Stockton-Lodi","CA MSA",91699,87366,0,0,4333
"Sumter","SC MSA",3197,2801,102,0,294
"Syracuse","NY MSA",10505,9692,0,0,813
"Tallahassee","FL MSA",21061,17002,3462,0,597
"Tampa-St. Petersburg-Clearwater","FL MSA",335777,238756,3434,536,93051
"Terre Haute","IN MSA",1515,1515,0,0,0
"Texarkana","TX-TexarkanaARMSA",2055,1663,392,0,0
"Toledo","OH MSA",27665,22538,0,156,4971
"Topeka","KS MSA",9622,8422,0,300,900
"Tucson","AZ MSA",90688,89890,0,798,0
"Tulsa","OK MSA",42669,39502,0,0,3167
"Tuscaloosa","AL MSA",11350,11350,0,0,0
"Tyler","TX MSA",5746,5469,0,0,277
"Utica-Rome","NY MSA",571,571,0,0,0
"Victoria","TX MSA",0,0,0,0,0
"Visalia-Tulare-Porterville CA MSA","21437",20770,401,0,266,NA
"Waco","TX MSA",6240,6000,240,0,0
"Washington-Baltimore","DC-MD-VA-WV CMSA",489206,445916,503,329,42458
"Waterloo-Cedar Falls","IA MSA",4762,4567,195,0,0
"Wausau","WI MSA",9387,7585,492,0,1310
"West Palm Beach-Boca RatonFL MSA","182038",171183,95,0,10760,NA
"Wheeling","WV-OH MSA",265,265,0,0,0
"Wichita","KS MSA",20171,19696,475,0,0
"Wichita Falls","TX MSA",3349,3349,0,0,0
"Wilmington","NC MSA",44738,41564,156,0,3018
"Yakima","WA MSA",3895,3281,614,0,0
"York","PA MSA",15349,14181,508,0,660
"Youngstown-Warren","OH MSA",11488,11216,0,0,272
"Yuba City","CA MSA",8488,8488,0,0,0
"Yuma","AZ MSA",14103,14103,0,0,0
"Abilene","TX MSA",2034,1904,130,0,0
"Albany","GA MSA",8312,6199,567,0,1546
"Albany-Schenectady-Troy","NYMSA",30724,29260,0,0,1464
"Albuquerque","NM MSA",63585,59387,0,626,3572
"Alexandria","LA MSA",6181,5696,0,0,485
"Allentown-Bethlehem-Easton PA MSA","27488",27257,0,231,0,NA
"Altoona","PA MSA",1341,1341,0,0,0
"Amarillo","TX MSA",10476,10384,92,0,0
"Anchorage","AK MSA",38229,19417,15497,3315,0
"Anniston","AL MSA",1311,1311,0,0,0
"Appleton-Oshkosh-Neenah","WIMSA",38079,31262,1311,430,5076
"Asheville","NC MSA",19794,19794,0,0,0
"Athens","GA MSA",22418,18205,0,0,4213
"Atlanta","GA MSA",750498,681545,2386,1586,64981
"Auburn-Opelika","AL MSA",9025,6019,444,276,2286
"Augusta-Aiken","GA-SC MSA",32998,32998,0,0,0
"Austin-San Marcos","TX MSA",89453,87973,1480,0,0
"Bakersfield","CA MSA",65449,65169,107,173,0
"Bangor","ME MSA",7311,6771,420,120,0
"Barnstable-Yarmouth","MA MSA",11669,11669,0,0,0
"Baton Rouge","LA MSA",17734,16834,0,0,900
"Beaumont-Port Arthur","TX MSA",21661,8939,0,0,12722
"Bellingham","WA MSA",23514,20858,458,954,1244
"Benton Harbor","MI MSA",2589,2589,0,0,0
"Billings","MT MSA",12027,12027,0,0,0
"Biloxi-Gulfport-Pascagoula MS MSA","50882",21535,0,0,29347,NA
"Binghamton","NY MSA",948,948,0,0,0
"Birmingham","AL MSA",66456,66456,0,0,0
"Bismarck","ND MSA",15477,14490,0,530,457
"Bloomington","IN MSA",11814,9057,1979,0,778
"Bloomington-Normal","IL MSA",12942,11952,0,0,990
"Boise City","ID MSA",77914,75120,292,1902,600
"Boston-Worcester-LawrenceMA-NH-ME-CT CMSA","244653",196026,8582,4082,35963,NA
"Brownsville-Harlingen-SanBenito","TX MSA",20698,20017,241,215,225
"Bryan-College Station","TX MSA",26516,15574,10942,0,0
"Buffalo-Niagara Falls","NY MSA",27989,27060,200,729,0
"Burlington","VT MSA",6852,5927,109,180,636
"Canton-Massillon","OH MSA",25637,25173,464,0,0
"Casper","WY MSA",2431,2431,0,0,0
"Cedar Rapids","IA MSA",12314,11334,980,0,0
"Champaign-Urbana","IL MSA",10586,9574,231,0,781
"Charleston-NorthCharleston","SC MSA",77393,72837,1978,231,2347
"Charleston","WV MSA",2995,2995,0,0,0
"Charlotte-Gastonia-RockHill","NC-SC MSA",227750,219344,498,1388,6520
"Charlottesville","VA MSA",10292,9380,231,681,0
"Chattanooga","TN-GA MSA",31340,30748,295,50,247
"Cheyenne","WY MSA",4823,4823,0,0,0
"Chicago-Gary-Kenosha","IL-IN-WI CMSA",713702,599043,11720,23734,79205
"Chico-Paradise","CA MSA",15058,15058,0,0,0
"Cincinnati-Hamilton","OH-KY-IN CMSA",162731,155293,580,2978,3880
"Clarksville-Hopkinsville TN-KY MSA","13782",9249,0,260,4273,NA
"Cleveland-Akron","OH CMSA",162094,159523,1150,1421,0
"Colorado Springs","CO MSA",57542,57542,0,0,0
"Columbia","MO MSA",17131,16369,410,352,0
"Columbia","SC MSA",41554,41554,0,0,0
"Columbus","GA-AL MSA",15525,15525,0,0,0
"Columbus","OH MSA",212092,189704,960,6044,15384
"Corpus Christi","TX MSA",11775,10802,138,408,427
"Corvallis OR MSA","4562",4045,517,0,0,NA
"Cumberland","MD-WV MSA",4720,4720,0,0,0
"Dallas-Fort Worth","TX CMSA",650555,583871,195,200,66289
"Danville","VA MSA",3169,3169,0,0,0
"Davenport-Moline-RockIsland","IA-IL MSA",13806,8071,180,0,5555
"Dayton-Springfield","OH MSA",51360,38202,1002,2596,9560
"Daytona Beach","FL MSA",85388,76075,1423,2001,5889
"Decatur","Al MSA",3926,3926,0,0,0
"Decatur","IL MSA",1291,1291,0,0,0
"Denver-Boulder-Greeley","COCMSA",302859,274664,926,939,26330
"Des Moines","IA MSA",58041,48531,192,0,9318
"Detroit-Ann Arbor-Flint","MICMSA",333286,311971,3717,3306,14292
"Dothan","AL MSA",2615,2001,0,246,368
"Dover","DE MSA",15217,15217,0,0,0
"Dubuque","IA MSA",6911,5932,979,0,0
"Duluth-Superior","MN-WI MSA",5072,4805,267,0,0
"Eau Claire","WI MSA",17256,16236,400,620,0
"El Paso","TX MSA",23651,17066,70,4810,1705
"Elkhart-Goshen","IN MSA",14183,13869,0,164,150
"Elmira","NY MSA",809,392,0,0,417
"Enid","OK MSA",693,693,0,0,0
"Erie","PA MSA",4649,4413,0,236,0
"Eugene-Springfield","OR MSA",22625,20341,1456,828,0
"Evansville-Henderson","IN-KYMSA",19749,19161,400,0,188
"Fargo-Moorhead","ND-MN MSA",24617,20270,0,740,3607
"Fayetteville","NC MSA",17371,16380,0,0,991
"Fayetteville-Springdale-Rogers","AR MSA",60305,31411,2021,1117,25756
"Flagstaff","AZ-UT MSA",11970,11970,0,0,0
"Florence","AL MSA",4623,1340,87,0,3196
"Florence","SC MSA",6215,6215,0,0,0
"Fort Collins-Loveland","CO MSA",38094,34230,1256,579,2029
"Fort Myers-Cape Coral","FL MSA",173446,109474,7924,10093,45955
"Fort Pierce-Port St. Lucie FL MSA","104414",90623,0,656,13135,NA
"Fort Smith","AR-OK MSA",6763,6763,0,0,0
"Fort Walton Beach","FL MSA",26752,24575,325,0,1852
"Fort Wayne","IN MSA",43392,43392,0,0,0
"Fresno","CA MSA",81724,81343,0,381,0
"Gadsden","AL MSA",1617,1617,0,0,0
"Gainesville","FL MSA",14509,11899,0,0,2610
"Glens Falls","NY MSA",9694,9438,0,164,92
"Goldsboro","NC MSA",4923,4923,0,0,0
"Grand Forks","ND-MN MSA",3434,1424,0,0,2010
"Grand Junction","CO MSA",17628,17337,0,291,0
"Grand Rapids-Muskegon-Holland","MI MSA",98799,93862,768,270,3899
"Great Falls","MT MSA",1124,1124,0,0,0
"Green Bay","WI MSA",44075,27415,679,410,15571
"Greensboro--Winston-Salem--High Point","NC MSA",112274,103929,288,626,7431
"Greenville","NC MSA",12037,10775,618,0,644
"Greenville-Spartanburg-Anderson","SC MSA",68787,65220,324,423,2820
"Harrisburg-Lebanon-Carlisle","PA MSA",22893,21693,0,1200,0
"Hartford","CT MSA",48550,46559,639,533,819
"Hattiesburg","MS MSA",465,465,0,0,0
"Hickory-Morganton-Lenoir NC MSA","20564",20168,160,0,236,NA
"Honolulu","HI MSA",27460,27064,396,0,0
"Houma","LA MSA",7394,7394,0,0,0
"Houston-Galveston-BrazoriaTX CMSA","513039",470323,674,397,41645,NA
"Huntington-Ashland","WV-KY-OH MSA",976,976,0,0,0
"Huntsville","AL MSA",11934,6619,0,1265,4050
"Indianapolis","IN MSA",217577,207256,4446,817,5058
"Iowa City","IA MSA",14141,13321,820,0,0
"Jackson","MI MSA",2968,1712,514,0,742
"Jackson","MS MSA",38370,36490,0,0,1880
"Jackson","TN MSA",6436,6436,0,0,0
"Jacksonville","FL MSA",232075,226948,200,0,4927
"Jacksonville","NC MSA",8047,8047,0,0,0
"Jamestown","NY MSA",88,88,0,0,0
"Janesville-Beloit","WI MSA",5125,4110,225,615,175
"Johnson City-Kingsport-Bristol","TN-VA MSA",12854,12423,80,0,351
"Johnstown","PA MSA",663,663,0,0,0
"Jonesboro","AR MSA",5163,5005,158,0,0
"Joplin","MO MSA",1822,1822,0,0,0
"Kalamazoo-Battle Creek","MIMSA",17425,15507,1285,538,95
"Kansas City","MO-KS MSA",172647,157014,1237,6268,8128
"Killeen-Temple","TX MSA",16779,14833,140,1806,0
"Knoxville","TN MSA",53158,52318,460,0,380
"Kokomo","IN MSA",5788,5233,256,0,299
"La Crosse","WI-MN MSA",6063,5548,290,225,0
"Lafayette","LA MSA",18197,18197,0,0,0
"Lafayette","IN MSA",13439,11163,1726,0,550
"Lake Charles","LA MSA",10500,10178,174,0,148
"Lakeland-Winter Haven","FL MSA",66725,64417,0,0,2308
"Lancaster","PA MSA",21204,16669,0,220,4315
"Lansing-East Lansing","MI MSA",29103,20775,0,0,8328
"Laredo","TX MSA",12401,11424,0,155,822
"Las Cruces","NM MSA",17191,14061,130,0,3000
"Las Vegas","NV-AZ MSA",334379,306549,101,4317,23412
