"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Abilene","TX",5144,5144,0,0,0,1
"Akron","OH",10745,10145,0,0,600,1
"Albany","GA",3908,3651,147,110,0,1
"Albany-Schenectady-Troy","NY",18967,17742,180,0,1045,1
"Albuquerque","NM",52349,47399,198,87,4665,1
"Alexandria","LA",4373,4373,0,0,0,1
"Allentown-Bethlehem-Easton","PA-NJ",41317,39707,223,169,1218,1
"Altoona","PA",105,105,0,0,0,1
"Amarillo","TX",12475,12475,0,0,0,1
"Ames","IA",1158,1158,0,0,0,1
"Anchorage","AK",8210,5038,2452,720,0,1
"Anderson","IN",4693,4593,100,0,0,1
"Anderson","SC",16527,16331,196,0,0,1
"Ann Arbor","MI",2864,2562,0,0,302,1
"Anniston-Oxford","AL",2811,2811,0,0,0,1
"Appleton","WI",8117,7607,510,0,0,1
"Asheville","NC",49983,47697,303,219,1764,1
"Athens-Clarke County","GA",29016,29016,0,0,0,1
"Atlanta-Sandy Springs-Marietta","GA",622401,488715,1364,3836,128486,1
"Atlantic City","NJ",19415,15466,3949,0,0,1
"Auburn-Opelika","AL",29017,13151,0,0,15866,1
"Augusta-Richmond County","GA-SC",36632,36632,0,0,0,1
"Austin-Round Rock","TX",179382,135844,1364,0,42174,1
"Bakersfield","CA",50108,47508,426,1244,930,1
"Baltimore-Towson","MD",79054,66108,307,684,11955,1
"Bangor","ME",2706,2346,360,0,0,1
"Barnstable Town","MA",14131,11764,365,636,1366,1
"Baton Rouge","LA",47845,30455,112,4400,12878,1
"Battle Creek","MI",838,565,0,0,273,1
"Bay City","MI",380,380,0,0,0,1
"Beaumont-Port Arthur","TX",7707,6795,0,912,0,1
"Bellingham","WA",17184,12398,0,4071,715,1
"Bend","OR",37831,36286,848,697,0,1
"Billings","MT",1112,1112,0,0,0,1
"Binghamton","NY",90,90,0,0,0,1
"Birmingham-Hoover","AL",85884,80562,0,0,5322,1
"Bismarck","ND",1913,1913,0,0,0,1
"Bloomington","IN",4636,4171,198,267,0,1
"Bloomington-Normal","IL",2637,2236,0,0,401,1
"Boise City-Nampa","ID",98619,90798,962,4969,1890,1
"Boston-Cambridge-Quincy","MA-NH",278413,71478,4089,1907,200939,1
"Boulder","CO",9088,5587,231,270,3000,1
"Bowling Green","KY",10150,9693,153,304,0,1
"Bremerton-Silverdale","WA",10065,8769,0,0,1296,1
"Bridgeport-Stamford-Norwalk","CT",34409,32496,0,0,1913,1
