"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"12700","Barnstable Town, MA (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),6617,7447,7513,7783,8006,8183
"12700","Barnstable Town, MA (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),5839,6616,6648,6886,7056,7197
"12700","Barnstable Town, MA (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),26,23,24,25,"(D)","(D)"
"12700","Barnstable Town, MA (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),3,3,3,6,6,7
"12700","Barnstable Town, MA (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),23,20,21,20,"(D)","(D)"
"12700","Barnstable Town, MA (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),7,8,8,10,"(D)","(D)"
"12700","Barnstable Town, MA (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),0,0,"(L)","(L)","(L)","(L)"
"12700","Barnstable Town, MA (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),7,8,"(D)","(D)","(D)","(D)"
"12700","Barnstable Town, MA (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),0,0,"(D)","(D)","(D)","(D)"
"12700","Barnstable Town, MA (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),115,106,113,119,127,131
"12700","Barnstable Town, MA (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),449,470,499,574,636,623
"12700","Barnstable Town, MA (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),204,194,200,154,162,174
"12700","Barnstable Town, MA (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),139,"(D)","(D)","(D)",102,109
"12700","Barnstable Town, MA (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),1,1,1,"(D)","(D)","(D)"
"12700","Barnstable Town, MA (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),9,11,11,13,14,18
"12700","Barnstable Town, MA (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(L)","(L)","(L)","(L)","(D)"
"12700","Barnstable Town, MA (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"12700","Barnstable Town, MA (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)",3,3,4,4,5
"12700","Barnstable Town, MA (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),57,48,41,40,47,47
"12700","Barnstable Town, MA (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(L)","(L)",0,"(D)","(D)"
"12700","Barnstable Town, MA (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),0,0,0,0,0,0
"12700","Barnstable Town, MA (MSA)",22,"       Other transportation equipment manufacturing",200,GDP by Metropolitan Area (millions of current dollars),2,2,2,3,2,2
"12700","Barnstable Town, MA (MSA)",23,"       Furniture and related product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),6,6,7,7,7,8
"12700","Barnstable Town, MA (MSA)",24,"       Miscellaneous manufacturing",200,GDP by Metropolitan Area (millions of current dollars),45,36,46,9,8,9
"12700","Barnstable Town, MA (MSA)",25,"     Nondurable goods",200,GDP by Metropolitan Area (millions of current dollars),65,"(D)","(D)","(D)",60,65
"12700","Barnstable Town, MA (MSA)",26,"       Food product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),26,"(D)","(D)",15,15,16
"12700","Barnstable Town, MA (MSA)",27,"       Textile and textile product mills",200,GDP by Metropolitan Area (millions of current dollars),3,3,5,"(D)",3,2
"12700","Barnstable Town, MA (MSA)",28,"       Apparel manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(D)","(D)","(L)","(D)",2
"12700","Barnstable Town, MA (MSA)",29,"       Paper manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(L)","(L)","(L)"
