"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"28660","Killeen-Temple-Fort Hood, TX (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),7974,8526,9148,9820,11005,12286
"28660","Killeen-Temple-Fort Hood, TX (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),4108,4384,4573,4922,5331,5733
"28660","Killeen-Temple-Fort Hood, TX (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"28660","Killeen-Temple-Fort Hood, TX (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),15,20,23,36,34,41
"28660","Killeen-Temple-Fort Hood, TX (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"28660","Killeen-Temple-Fort Hood, TX (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"28660","Killeen-Temple-Fort Hood, TX (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"28660","Killeen-Temple-Fort Hood, TX (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"28660","Killeen-Temple-Fort Hood, TX (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),1,1,2,4,5,7
"28660","Killeen-Temple-Fort Hood, TX (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),"(D)",42,46,61,61,65
"28660","Killeen-Temple-Fort Hood, TX (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),328,366,405,454,511,505
"28660","Killeen-Temple-Fort Hood, TX (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),627,613,541,635,640,705
