"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),56535,56669,57143,61386,66473,69863
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),50853,50751,51174,54957,59612,62731
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),109,104,112,120,109,129
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),0,0,0,"(L)","(L)","(L)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),1771,"(D)","(D)","(D)","(D)","(D)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),7597,7265,6792,7422,7869,9065
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),6358,5905,5504,5898,6269,7283
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",31,33,"(D)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),75,62,55,69,67,57
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",1396,1631,1680
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),1194,992,901,733,773,925
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),272,183,142,143,169,184
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),539,471,410,375,382,315
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
