"cbsa","src","year","dir","returns","exempt","income"
10900,"Tot Mig-Foreign",405,"in",344,487,6468
10900,"Tot Mig-Foreign",405,"out",221,449,5441
10900,"Tot Mig-Foreign",506,"in",288,471,5385
10900,"Tot Mig-Foreign",506,"out",201,378,9539
10900,"Tot Mig-Foreign",607,"in",357,617,7131
10900,"Tot Mig-Foreign",607,"out",175,347,6176
10900,"Tot Mig-Foreign",708,"in",396,598,9075
10900,"Tot Mig-Foreign",708,"out",183,334,6542
10900,"Tot Mig-Same St",405,"in",11717,21379,517370
10900,"Tot Mig-Same St",405,"out",10351,18350,419286
10900,"Tot Mig-Same St",506,"in",11761,21097,516140
10900,"Tot Mig-Same St",506,"out",10937,19020,450444
10900,"Tot Mig-Same St",607,"in",11209,19577,486795
10900,"Tot Mig-Same St",607,"out",10472,18118,435689
10900,"Tot Mig-Same St",708,"in",11123,19263,472700
10900,"Tot Mig-Same St",708,"out",10758,18273,433198
11020,"Non-Migrants",405,"in",47491,100322,1972946
11020,"Non-Migrants",405,"out",47491,100322,1972946
11020,"Non-Migrants",506,"in",47487,99830,2088255
11020,"Non-Migrants",506,"out",47487,99830,2088255
11020,"Non-Migrants",607,"in",47898,99882,2156607
11020,"Non-Migrants",607,"out",47898,99882,2156607
11020,"Non-Migrants",708,"in",50502,103059,2289779
11020,"Non-Migrants",708,"out",50502,103059,2289779
11020,"Tot Mig-Diff St",405,"in",495,987,18070
11020,"Tot Mig-Diff St",405,"out",720,1239,23915
11020,"Tot Mig-Diff St",506,"in",591,1199,25001
11020,"Tot Mig-Diff St",506,"out",679,1182,27097
11020,"Tot Mig-Diff St",607,"in",557,1133,23353
11020,"Tot Mig-Diff St",607,"out",706,1182,27796
11020,"Tot Mig-Diff St",708,"in",573,1101,22661
11020,"Tot Mig-Diff St",708,"out",672,1120,26999
11020,"Tot Mig-Foreign",405,"in",13,26,230
11020,"Tot Mig-Foreign",405,"out",16,24,258
11020,"Tot Mig-Foreign",506,"in",20,29,450
11020,"Tot Mig-Foreign",506,"out",16,20,257
11020,"Tot Mig-Foreign",607,"in",14,28,253
11020,"Tot Mig-Foreign",607,"out",17,25,211
11020,"Tot Mig-Foreign",708,"in",16,28,296
11020,"Tot Mig-Foreign",708,"out",14,21,630
11020,"Tot Mig-Same St",405,"in",932,1637,30244
11020,"Tot Mig-Same St",405,"out",1013,1725,31808
11020,"Tot Mig-Same St",506,"in",955,1608,29241
11020,"Tot Mig-Same St",506,"out",970,1617,31106
11020,"Tot Mig-Same St",607,"in",941,1612,29876
11020,"Tot Mig-Same St",607,"out",926,1522,29545
11020,"Tot Mig-Same St",708,"in",925,1612,28959
11020,"Tot Mig-Same St",708,"out",1010,1732,33708
11100,"Non-Migrants",405,"in",70718,161475,3327077
11100,"Non-Migrants",405,"out",70718,161475,3327077
11100,"Non-Migrants",506,"in",70777,161537,3513130
11100,"Non-Migrants",506,"out",70777,161537,3513130
11100,"Non-Migrants",607,"in",72063,163805,3696059
11100,"Non-Migrants",607,"out",72063,163805,3696059
11100,"Non-Migrants",708,"in",75307,169202,4013389
11100,"Non-Migrants",708,"out",75307,169202,4013389
11100,"Tot Mig-Diff St",405,"in",1823,3754,69407
11100,"Tot Mig-Diff St",405,"out",1723,3464,61237
11100,"Tot Mig-Diff St",506,"in",1888,4041,75387
11100,"Tot Mig-Diff St",506,"out",1754,3516,64796
11100,"Tot Mig-Diff St",607,"in",1800,3844,74556
11100,"Tot Mig-Diff St",607,"out",1809,3757,75574
11100,"Tot Mig-Diff St",708,"in",1947,4056,77186
11100,"Tot Mig-Diff St",708,"out",1917,3837,81802
11100,"Tot Mig-Foreign",405,"in",82,110,1075
11100,"Tot Mig-Foreign",405,"out",38,63,856
11100,"Tot Mig-Foreign",506,"in",99,121,1142
11100,"Tot Mig-Foreign",506,"out",33,52,1162
11100,"Tot Mig-Foreign",607,"in",103,125,1470
11100,"Tot Mig-Foreign",607,"out",40,61,658
11100,"Tot Mig-Foreign",708,"in",91,121,875
11100,"Tot Mig-Foreign",708,"out",25,29,685
11100,"Tot Mig-Same St",405,"in",6652,13823,209949
11100,"Tot Mig-Same St",405,"out",6351,13206,203775
11100,"Tot Mig-Same St",506,"in",6886,14095,234395
11100,"Tot Mig-Same St",506,"out",6781,13988,222286
11100,"Tot Mig-Same St",607,"in",6498,13117,231671
11100,"Tot Mig-Same St",607,"out",6535,13165,227228
11100,"Tot Mig-Same St",708,"in",6825,13619,240410
11100,"Tot Mig-Same St",708,"out",6810,13730,245078
11180,"Non-Migrants",405,"in",24879,52950,1437782
11180,"Non-Migrants",405,"out",24879,52950,1437782
