"county","pmsa","cntyname","pmsaname","pop2k","afact"
"02110"," ","Juneau Borough AK"," ",30711,1 
"02122"," ","Kenai Peninsula Borough AK"," ",49691,1 
"02130"," ","Ketchikan Gateway Borough AK"," ",14070,1 
"02150"," ","Kodiak Island Borough AK"," ",13913,1 
"02164"," ","Lake and Peninsula Borough AK"," ",1823,1 
"02170"," ","Matanuska-Susitna Borough AK"," ",59322,1 
"02180"," ","Nome Census Area AK"," ",9196,1 
"02185"," ","North Slope Borough AK"," ",7385,1 
"02188"," ","Northwest Arctic Borough AK"," ",7208,1 
"02201"," ","Prince of Wales-Outer Ketchikan Census AK"," ",6146,1 
"02220"," ","Sitka Borough AK"," ",8835,1 
"02232"," ","Skagway-Hoonah-Angoon Census Area AK"," ",3436,1 
"02240"," ","Southeast Fairbanks Census Area AK"," ",6174,1 
"02261"," ","Valdez-Cordova Census Area AK"," ",10195,1 
"02270"," ","Wade Hampton Census Area AK"," ",7028,1 
"02280"," ","Wrangell-Petersburg Census Area AK"," ",6684,1 
"02282"," ","Yakutat Borough"," ",808,1 
"02290"," ","Yukon-Koyukuk Census Area AK"," ",6551,1 
"04001"," ","Apache AZ"," ",69423,1 
"04003"," ","Cochise AZ"," ",117755,1 
"04005"," ","Coconino AZ"," ",116320,1 
"04007"," ","Gila AZ"," ",51335,1 
"04009"," ","Graham AZ"," ",33489,1 
"04011"," ","Greenlee AZ"," ",8547,1 
"04012"," ","La Paz AZ"," ",19715,1 
"04013"," ","Maricopa AZ"," ",3072149,1 
"04015"," ","Mohave AZ"," ",155032,1 
"04017"," ","Navajo AZ"," ",97470,1 
"04019"," ","Pima AZ"," ",843746,1 
"04021"," ","Pinal AZ"," ",179727,1 
"04023"," ","Santa Cruz AZ"," ",38381,1 
"04025"," ","Yavapai AZ"," ",167517,1 
"04027"," ","Yuma AZ"," ",160026,1 
"05001"," ","Arkansas AR"," ",20749,1 
"05003"," ","Ashley AR"," ",24209,1 
"05005"," ","Baxter AR"," ",38386,1 
"05007"," ","Benton AR"," ",153406,1 
"05009"," ","Boone AR"," ",33948,1 
"05011"," ","Bradley AR"," ",12600,1 
"05013"," ","Calhoun AR"," ",5744,1 
"05015"," ","Carroll AR"," ",25357,1 
"05017"," ","Chicot AR"," ",14117,1 
"05019"," ","Clark AR"," ",23546,1 
"05021"," ","Clay AR"," ",17609,1 
"05023"," ","Cleburne AR"," ",24046,1 
"05025"," ","Cleveland AR"," ",8571,1 
"05027"," ","Columbia AR"," ",25603,1 
"05029"," ","Conway AR"," ",20336,1 
"05031"," ","Craighead AR"," ",82148,1 
"05033"," ","Crawford AR"," ",53247,1 
"05035"," ","Crittenden AR"," ",50866,1 
"05037"," ","Cross AR"," ",19526,1 
"05039"," ","Dallas AR"," ",9210,1 
"05041"," ","Desha AR"," ",15341,1 
"05043"," ","Drew AR"," ",18723,1 
"05045"," ","Faulkner AR"," ",86014,1 
"05047"," ","Franklin AR"," ",17771,1 
"05049"," ","Fulton AR"," ",11642,1 
"05051"," ","Garland AR"," ",88068,1 
"05053"," ","Grant AR"," ",16464,1 
"05055"," ","Greene AR"," ",37331,1 
"05057"," ","Hempstead AR"," ",23587,1 
"05059"," ","Hot Spring AR"," ",30353,1 
"05061"," ","Howard AR"," ",14300,1 
"05063"," ","Independence AR"," ",34233,1 
"05065"," ","Izard AR"," ",13249,1 
"05067"," ","Jackson AR"," ",18418,1 
"05069"," ","Jefferson AR"," ",84278,1 
"05071"," ","Johnson AR"," ",22781,1 
"05073"," ","Lafayette AR"," ",8559,1 
"05075"," ","Lawrence AR"," ",17774,1 
"05077"," ","Lee AR"," ",12580,1 
"05079"," ","Lincoln AR"," ",14492,1 
"05081"," ","Little River AR"," ",13628,1 
"05083"," ","Logan AR"," ",22486,1 
"05085"," ","Lonoke AR"," ",52828,1 
"05087"," ","Madison AR"," ",14243,1 
"05089"," ","Marion AR"," ",16140,1 
"05091"," ","Miller AR"," ",40443,1 
"05093"," ","Mississippi AR"," ",51979,1 
"05095"," ","Monroe AR"," ",10254,1 
"05097"," ","Montgomery AR"," ",9245,1 
"05099"," ","Nevada AR"," ",9955,1 
"05101"," ","Newton AR"," ",8608,1 
"05103"," ","Ouachita AR"," ",28790,1 
"05105"," ","Perry AR"," ",10209,1 
"05107"," ","Phillips AR"," ",26445,1 
"05109"," ","Pike AR"," ",11303,1 
"05111"," ","Poinsett AR"," ",25614,1 
"05113"," ","Polk AR"," ",20229,1 
"05115"," ","Pope AR"," ",54469,1 
"05117"," ","Prairie AR"," ",9539,1 
"05119"," ","Pulaski AR"," ",361474,1 
"05121"," ","Randolph AR"," ",18195,1 
"05123"," ","St. Francis AR"," ",29329,1 
"05125"," ","Saline AR"," ",83529,1 
"05127"," ","Scott AR"," ",10996,1 
"05129"," ","Searcy AR"," ",8261,1 
"05131"," ","Sebastian AR"," ",115071,1 
"05133"," ","Sevier AR"," ",15757,1 
"05135"," ","Sharp AR"," ",17119,1 
"05137"," ","Stone AR"," ",11499,1 
"05139"," ","Union AR"," ",45629,1 
"05141"," ","Van Buren AR"," ",16192,1 
"05143"," ","Washington AR"," ",157715,1 
"05145"," ","White AR"," ",67165,1 
"05147"," ","Woodruff AR"," ",8741,1 
"05149"," ","Yell AR"," ",21139,1 
"06001","5775","Alameda CA","Oakland, CA (P)",1443741,1 
"06003"," ","Alpine CA"," ",1208,1 
"06005"," ","Amador CA"," ",35100,1 
"06007"," ","Butte CA"," ",203171,1 
"06009"," ","Calaveras CA"," ",40554,1 
"06011"," ","Colusa CA"," ",18804,1 
"06013","5775","Contra Costa CA","Oakland, CA (P)",948816,1 
"06015"," ","Del Norte CA"," ",27507,1 
"06017","6920","El Dorado CA","Sacramento, CA (P)",156299,1 
"06019"," ","Fresno CA"," ",799407,1 
"06021"," ","Glenn CA"," ",26453,1 
"06023"," ","Humboldt CA"," ",126518,1 
"06025"," ","Imperial CA"," ",142361,1 
"06027"," ","Inyo CA"," ",17945,1 
"06029"," ","Kern CA"," ",661645,1 
"06031"," ","Kings CA"," ",129461,1 
"06033"," ","Lake CA"," ",58309,1 
"06035"," ","Lassen CA"," ",33828,1 
"06037","4480","Los Angeles CA","Los Angeles-Long Beach, CA (P)",9519338,1 
"06039"," ","Madera CA"," ",123109,1 
"06041","7360","Marin CA","San Francisco, CA (P)",247289,1 
"06043"," ","Mariposa CA"," ",17130,1 
"06045"," ","Mendocino CA"," ",86265,1 
"06047"," ","Merced CA"," ",210554,1 
"06049"," ","Modoc CA"," ",9449,1 
"06051"," ","Mono CA"," ",12853,1 
"06053"," ","Monterey CA"," ",401762,1 
"06055","8720","Napa CA","Vallejo-Fairfield-Napa, CA (P)",124279,1 
"06057"," ","Nevada CA"," ",92033,1 
"06059","5945","Orange CA","Orange County, CA (P)",2846289,1 
"06061","6920","Placer CA","Sacramento, CA (P)",248399,1 
"06063"," ","Plumas CA"," ",20824,1 
"06065","6780","Riverside CA","Riverside-San Bernardino, CA (P)",1545387,1 
"06067","6920","Sacramento CA","Sacramento, CA (P)",1223499,1 
"06069"," ","San Benito CA"," ",53234,1 
"06071","6780","San Bernardino CA","Riverside-San Bernardino, CA (P)",1709434,1 
"06073"," ","San Diego CA"," ",2813833,1 
"06075","7360","San Francisco CA","San Francisco, CA (P)",776733,1 
"06077"," ","San Joaquin CA"," ",563598,1 
"06079"," ","San Luis Obispo CA"," ",246681,1 
"06081","7360","San Mateo CA","San Francisco, CA (P)",707161,1 
"06083"," ","Santa Barbara CA"," ",399347,1 
"06085","7400","Santa Clara CA","San Jose, CA (P)",1682585,1 
"06087","7485","Santa Cruz CA","Santa Cruz-Watsonville, CA (P)",255602,1 
"06089"," ","Shasta CA"," ",163256,1 
"06091"," ","Sierra CA"," ",3555,1 
"06093"," ","Siskiyou CA"," ",44301,1 
"06095","8720","Solano CA","Vallejo-Fairfield-Napa, CA (P)",394542,1 
"06097","7500","Sonoma CA","Santa Rosa, CA (P)",458614,1 
"06099"," ","Stanislaus CA"," ",446997,1 
"06101"," ","Sutter CA"," ",78930,1 
"06103"," ","Tehama CA"," ",56039,1 
"06105"," ","Trinity CA"," ",13022,1 
"06107"," ","Tulare CA"," ",368021,1 
"06109"," ","Tuolumne CA"," ",54501,1 
"06111","8735","Ventura CA","Ventura, CA (P)",753197,1 
"06113","9270","Yolo CA","Yolo, CA (P)",168660,1 
"06115"," ","Yuba CA"," ",60219,1 
"08001","2080","Adams CO","Denver, CO (P)",363857,1 
"08003"," ","Alamosa CO"," ",14966,1 
"08005","2080","Arapahoe CO","Denver, CO (P)",487967,1 
"08007"," ","Archuleta CO"," ",9898,1 
"08009"," ","Baca CO"," ",4517,1 
"08011"," ","Bent CO"," ",5998,1 
"08013","1125","Boulder CO","Boulder-Longmont, CO (P)",291288,1 
"08015"," ","Chaffee CO"," ",16242,1 
"08017"," ","Cheyenne CO"," ",2231,1 
"08019"," ","Clear Creek CO"," ",9322,1 
"08021"," ","Conejos CO"," ",8400,1 
"08023"," ","Costilla CO"," ",3663,1 
"08025"," ","Crowley CO"," ",5518,1 
"08027"," ","Custer CO"," ",3503,1 
"08029"," ","Delta CO"," ",27834,1 
"08031","2080","Denver CO","Denver, CO (P)",554636,1 
"08033"," ","Dolores CO"," ",1844,1 
"08035","2080","Douglas CO","Denver, CO (P)",175766,1 
"08037"," ","Eagle CO"," ",41659,1 
"08039"," ","Elbert CO"," ",19872,1 
"08041"," ","El Paso CO"," ",516929,1 
"08043"," ","Fremont CO"," ",46145,1 
"08045"," ","Garfield CO"," ",43791,1 
"08047"," ","Gilpin CO"," ",4757,1 
"08049"," ","Grand CO"," ",12442,1 
"08051"," ","Gunnison CO"," ",13956,1 
"08053"," ","Hinsdale CO"," ",790,1 
"08055"," ","Huerfano CO"," ",7862,1 
"08057"," ","Jackson CO"," ",1577,1 
"08059","2080","Jefferson CO","Denver, CO (P)",527056,1 
"08061"," ","Kiowa CO"," ",1622,1 
"08063"," ","Kit Carson CO"," ",8011,1 
"08065"," ","Lake CO"," ",7812,1 
"08067"," ","La Plata CO"," ",43941,1 
"08069"," ","Larimer CO"," ",251494,1 
"08071"," ","Las Animas CO"," ",15207,1 
"08073"," ","Lincoln CO"," ",6087,1 
"08075"," ","Logan CO"," ",20504,1 
"08077"," ","Mesa CO"," ",116255,1 
"08079"," ","Mineral CO"," ",831,1 
"08081"," ","Moffat CO"," ",13184,1 
"08083"," ","Montezuma CO"," ",23830,1 
"08085"," ","Montrose CO"," ",33432,1 
"08087"," ","Morgan CO"," ",27171,1 
"08089"," ","Otero CO"," ",20311,1 
"08091"," ","Ouray CO"," ",3742,1 
"08093"," ","Park CO"," ",14523,1 
"08095"," ","Phillips CO"," ",4480,1 
"08097"," ","Pitkin CO"," ",14872,1 
"08099"," ","Prowers CO"," ",14483,1 
"08101"," ","Pueblo CO"," ",141472,1 
"08103"," ","Rio Blanco CO"," ",5986,1 
"08105"," ","Rio Grande CO"," ",12413,1 
"08107"," ","Routt CO"," ",19690,1 
"08109"," ","Saguache CO"," ",5917,1 
"08111"," ","San Juan CO"," ",558,1 
"08113"," ","San Miguel CO"," ",6594,1 
"08115"," ","Sedgwick CO"," ",2747,1 
"08117"," ","Summit CO"," ",23548,1 
"08119"," ","Teller CO"," ",20555,1 
"08121"," ","Washington CO"," ",4926,1 
"08123","3060","Weld CO","Greeley, CO (P)",180936,1 
"08125"," ","Yuma CO"," ",9841,1 
"09001","1160","Fairfield CT","Bridgeport, CT (P)",345708,0.392 
"09001","1930","Fairfield CT","Danbury, CT (P)",183303,0.208 
"09001","8040","Fairfield CT","Stamford-Norwalk, CT (P)",353556,0.401 
"09003"," ","Hartford CT"," ",857183,1 
"09005","1930","Litchfield CT","Danbury, CT (P)",34677,0.19 
"09005","8880","Litchfield CT","Waterbury, CT (P)",41784,0.229 
"09005"," ","Litchfield CT"," ",105732,0.58 
"09007","5480","Middlesex CT","New Haven-Meriden, CT (P)",19112,0.123 
"09007"," ","Middlesex CT"," ",135959,0.877 
"09009","1160","New Haven CT","Bridgeport, CT (P)",113771,0.138 
"09009","5480","New Haven CT","New Haven-Meriden, CT (P)",523037,0.635 
"09009","8880","New Haven CT","Waterbury, CT (P)",187200,0.227 
"09011"," ","New London CT"," ",259088,1 
"09013"," ","Tolland CT"," ",136364,1 
"09015","9240","Windham CT","Worcester, MA-CT (P)",8878,0.081 
"09015"," ","Windham CT"," ",100213,0.919 
"10001"," ","Kent DE"," ",126697,1 
"10003","9160","New Castle DE","Wilmington-Newark, DE-MD (P)",500265,1 
"10005"," ","Sussex DE"," ",156638,1 
"11001","8840","District of Columbia DC","Washington, DC-MD-VA-WV (P)",572059,1 
"12001"," ","Alachua FL"," ",217955,1 
"12003"," ","Baker FL"," ",22259,1 
"12005"," ","Bay FL"," ",148217,1 
"12007"," ","Bradford FL"," ",26088,1 
"12009"," ","Brevard FL"," ",476230,1 
"12011","2680","Broward FL","Fort Lauderdale, FL (P)",1623018,1 
"12013"," ","Calhoun FL"," ",13017,1 
"12015"," ","Charlotte FL"," ",141627,1 
"12017"," ","Citrus FL"," ",118085,1 
"12019"," ","Clay FL"," ",140814,1 
"12021"," ","Collier FL"," ",251377,1 
"12023"," ","Columbia FL"," ",56513,1 
"12027"," ","DeSoto FL"," ",32209,1 
"12029"," ","Dixie FL"," ",13827,1 
"12031"," ","Duval FL"," ",778879,1 
"12033"," ","Escambia FL"," ",294410,1 
"12035"," ","Flagler FL"," ",49832,1 
"12037"," ","Franklin FL"," ",11057,1 
"12039"," ","Gadsden FL"," ",45087,1 
"12041"," ","Gilchrist FL"," ",14437,1 
"12043"," ","Glades FL"," ",10576,1 
"12045"," ","Gulf FL"," ",13332,1 
"12047"," ","Hamilton FL"," ",13327,1 
"12049"," ","Hardee FL"," ",26938,1 
"12051"," ","Hendry FL"," ",36210,1 
"12053"," ","Hernando FL"," ",130802,1 
"12055"," ","Highlands FL"," ",87366,1 
"12057"," ","Hillsborough FL"," ",998948,1 
"12059"," ","Holmes FL"," ",18564,1 
"12061"," ","Indian River FL"," ",112947,1 
"12063"," ","Jackson FL"," ",46755,1 
"12065"," ","Jefferson FL"," ",12902,1 
"12067"," ","Lafayette FL"," ",7022,1 
"12069"," ","Lake FL"," ",210528,1 
"12071"," ","Lee FL"," ",440888,1 
"12073"," ","Leon FL"," ",239452,1 
"12075"," ","Levy FL"," ",34450,1 
"12077"," ","Liberty FL"," ",7021,1 
"12079"," ","Madison FL"," ",18733,1 
"12081"," ","Manatee FL"," ",264002,1 
"12083"," ","Marion FL"," ",258916,1 
"12085"," ","Martin FL"," ",126731,1 
"12086","5000","Miami-Dade FL","Miami, FL (P)",2253362,1 
"12087"," ","Monroe FL"," ",79589,1 
"12089"," ","Nassau FL"," ",57663,1 
"12091"," ","Okaloosa FL"," ",170498,1 
"12093"," ","Okeechobee FL"," ",35910,1 
"12095"," ","Orange FL"," ",896344,1 
"12097"," ","Osceola FL"," ",172493,1 
"12099"," ","Palm Beach FL"," ",1131184,1 
"12101"," ","Pasco FL"," ",344765,1 
"12103"," ","Pinellas FL"," ",921482,1 
"12105"," ","Polk FL"," ",483924,1 
"12107"," ","Putnam FL"," ",70423,1 
"12109"," ","St. Johns FL"," ",123135,1 
"12111"," ","St. Lucie FL"," ",192695,1 
"12113"," ","Santa Rosa FL"," ",117743,1 
"12115"," ","Sarasota FL"," ",325957,1 
"12117"," ","Seminole FL"," ",365196,1 
"12119"," ","Sumter FL"," ",53345,1 
"12121"," ","Suwannee FL"," ",34844,1 
"12123"," ","Taylor FL"," ",19256,1 
"12125"," ","Union FL"," ",13442,1 
"12127"," ","Volusia FL"," ",443343,1 
"12129"," ","Wakulla FL"," ",22863,1 
"12131"," ","Walton FL"," ",40601,1 
"12133"," ","Washington FL"," ",20973,1 
"13001"," ","Appling GA"," ",17419,1 
"13003"," ","Atkinson GA"," ",7609,1 
"13005"," ","Bacon GA"," ",10103,1 
"13007"," ","Baker GA"," ",4074,1 
"13009"," ","Baldwin GA"," ",44700,1 
"13011"," ","Banks GA"," ",14422,1 
"13013"," ","Barrow GA"," ",46144,1 
"13015"," ","Bartow GA"," ",76019,1 
"13017"," ","Ben Hill GA"," ",17484,1 
"13019"," ","Berrien GA"," ",16235,1 
"13021"," ","Bibb GA"," ",153887,1 
"13023"," ","Bleckley GA"," ",11666,1 
"13025"," ","Brantley GA"," ",14629,1 
"13027"," ","Brooks GA"," ",16450,1 
"13029"," ","Bryan GA"," ",23417,1 
"13031"," ","Bulloch GA"," ",55983,1 
"13033"," ","Burke GA"," ",22243,1 
"13035"," ","Butts GA"," ",19522,1 
"13037"," ","Calhoun GA"," ",6320,1 
"13039"," ","Camden GA"," ",43664,1 
"13043"," ","Candler GA"," ",9577,1 
"13045"," ","Carroll GA"," ",87268,1 
"13047"," ","Catoosa GA"," ",53282,1 
"13049"," ","Charlton GA"," ",10282,1 
"13051"," ","Chatham GA"," ",232048,1 
"13053"," ","Chattahoochee GA"," ",14882,1 
"13055"," ","Chattooga GA"," ",25470,1 
"13057"," ","Cherokee GA"," ",141903,1 
"13059"," ","Clarke GA"," ",101489,1 
"13061"," ","Clay GA"," ",3357,1 
"13063"," ","Clayton GA"," ",236517,1 
"13065"," ","Clinch GA"," ",6878,1 
"13067"," ","Cobb GA"," ",607751,1 
"13069"," ","Coffee GA"," ",37413,1 
"13071"," ","Colquitt GA"," ",42053,1 
"13073"," ","Columbia GA"," ",89288,1 
"13075"," ","Cook GA"," ",15771,1 
"13077"," ","Coweta GA"," ",89215,1 
"13079"," ","Crawford GA"," ",12495,1 
"13081"," ","Crisp GA"," ",21996,1 
"13083"," ","Dade GA"," ",15154,1 
"13085"," ","Dawson GA"," ",15999,1 
"13087"," ","Decatur GA"," ",28240,1 
"13089"," ","DeKalb GA"," ",665865,1 
"13091"," ","Dodge GA"," ",19171,1 
"13093"," ","Dooly GA"," ",11525,1 
"13095"," ","Dougherty GA"," ",96065,1 
"13097"," ","Douglas GA"," ",92174,1 
"13099"," ","Early GA"," ",12354,1 
"13101"," ","Echols GA"," ",3754,1 
"13103"," ","Effingham GA"," ",37535,1 
"13105"," ","Elbert GA"," ",20511,1 
"13107"," ","Emanuel GA"," ",21837,1 
"13109"," ","Evans GA"," ",10495,1 
"13111"," ","Fannin GA"," ",19798,1 
"13113"," ","Fayette GA"," ",91263,1 
"13115"," ","Floyd GA"," ",90565,1 
"13117"," ","Forsyth GA"," ",98407,1 
"13119"," ","Franklin GA"," ",20285,1 
"13121"," ","Fulton GA"," ",816006,1 
"13123"," ","Gilmer GA"," ",23456,1 
"13125"," ","Glascock GA"," ",2556,1 
"13127"," ","Glynn GA"," ",67568,1 
"13129"," ","Gordon GA"," ",44104,1 
"13131"," ","Grady GA"," ",23659,1 
"13133"," ","Greene GA"," ",14406,1 
"13135"," ","Gwinnett GA"," ",588448,1 
"13137"," ","Habersham GA"," ",35902,1 
"13139"," ","Hall GA"," ",139277,1 
"13141"," ","Hancock GA"," ",10076,1 
"13143"," ","Haralson GA"," ",25690,1 
"13145"," ","Harris GA"," ",23695,1 
"13147"," ","Hart GA"," ",22997,1 
"13149"," ","Heard GA"," ",11012,1 
"13151"," ","Henry GA"," ",119341,1 
"13153"," ","Houston GA"," ",110765,1 
"13155"," ","Irwin GA"," ",9931,1 
"13157"," ","Jackson GA"," ",41589,1 
"13159"," ","Jasper GA"," ",11426,1 
"13161"," ","Jeff Davis GA"," ",12684,1 
"13163"," ","Jefferson GA"," ",17266,1 
"13165"," ","Jenkins GA"," ",8575,1 
"13167"," ","Johnson GA"," ",8560,1 
"13169"," ","Jones GA"," ",23639,1 
"13171"," ","Lamar GA"," ",15912,1 
"13173"," ","Lanier GA"," ",7241,1 
"13175"," ","Laurens GA"," ",44874,1 
"13177"," ","Lee GA"," ",24757,1 
"13179"," ","Liberty GA"," ",61610,1 
"13181"," ","Lincoln GA"," ",8348,1 
"13183"," ","Long GA"," ",10304,1 
"13185"," ","Lowndes GA"," ",92115,1 
"13187"," ","Lumpkin GA"," ",21016,1 
"13189"," ","McDuffie GA"," ",21231,1 
"13191"," ","McIntosh GA"," ",10847,1 
"13193"," ","Macon GA"," ",14074,1 
"13195"," ","Madison GA"," ",25730,1 
"13197"," ","Marion GA"," ",7144,1 
"13199"," ","Meriwether GA"," ",22534,1 
"13201"," ","Miller GA"," ",6383,1 
"13205"," ","Mitchell GA"," ",23932,1 
"13207"," ","Monroe GA"," ",21757,1 
"13209"," ","Montgomery GA"," ",8270,1 
"13211"," ","Morgan GA"," ",15457,1 
"13213"," ","Murray GA"," ",36506,1 
"13215"," ","Muscogee GA"," ",186291,1 
"13217"," ","Newton GA"," ",62001,1 
"13219"," ","Oconee GA"," ",26225,1 
"13221"," ","Oglethorpe GA"," ",12635,1 
"13223"," ","Paulding GA"," ",81678,1 
"13225"," ","Peach GA"," ",23668,1 
"13227"," ","Pickens GA"," ",22983,1 
"13229"," ","Pierce GA"," ",15636,1 
"13231"," ","Pike GA"," ",13688,1 
"13233"," ","Polk GA"," ",38127,1 
"13235"," ","Pulaski GA"," ",9588,1 
"13237"," ","Putnam GA"," ",18812,1 
"13239"," ","Quitman GA"," ",2598,1 
"13241"," ","Rabun GA"," ",15050,1 
"13243"," ","Randolph GA"," ",7791,1 
"13245"," ","Richmond GA"," ",199775,1 
"13247"," ","Rockdale GA"," ",70111,1 
"13249"," ","Schley GA"," ",3766,1 
"13251"," ","Screven GA"," ",15374,1 
"13253"," ","Seminole GA"," ",9369,1 
"13255"," ","Spalding GA"," ",58417,1 
"13257"," ","Stephens GA"," ",25435,1 
"13259"," ","Stewart GA"," ",5252,1 
"13261"," ","Sumter GA"," ",33200,1 
"13263"," ","Talbot GA"," ",6498,1 
"13265"," ","Taliaferro GA"," ",2077,1 
"13267"," ","Tattnall GA"," ",22305,1 
"13269"," ","Taylor GA"," ",8815,1 
"13271"," ","Telfair GA"," ",11794,1 
"13273"," ","Terrell GA"," ",10970,1 
"13275"," ","Thomas GA"," ",42737,1 
"13277"," ","Tift GA"," ",38407,1 
"13279"," ","Toombs GA"," ",26067,1 
"13281"," ","Towns GA"," ",9319,1 
"13283"," ","Treutlen GA"," ",6854,1 
"13285"," ","Troup GA"," ",58779,1 
"13287"," ","Turner GA"," ",9504,1 
"13289"," ","Twiggs GA"," ",10590,1 
"13291"," ","Union GA"," ",17289,1 
"13293"," ","Upson GA"," ",27597,1 
"13295"," ","Walker GA"," ",61053,1 
"13297"," ","Walton GA"," ",60687,1 
"13299"," ","Ware GA"," ",35483,1 
"13301"," ","Warren GA"," ",6336,1 
"13303"," ","Washington GA"," ",21176,1 
"13305"," ","Wayne GA"," ",26565,1 
"13307"," ","Webster GA"," ",2390,1 
"13309"," ","Wheeler GA"," ",6179,1 
"13311"," ","White GA"," ",19944,1 
"13313"," ","Whitfield GA"," ",83525,1 
"13315"," ","Wilcox GA"," ",8577,1 
"13317"," ","Wilkes GA"," ",10687,1 
"13319"," ","Wilkinson GA"," ",10220,1 
"13321"," ","Worth GA"," ",21967,1 
"15001"," ","Hawaii HI"," ",148677,1 
"15003"," ","Honolulu HI"," ",876156,1 
"15005"," ","Kalawao HI"," ",147,1 
"15007"," ","Kauai HI"," ",58463,1 
"15009"," ","Maui HI"," ",128094,1 
"16001"," ","Ada ID"," ",300904,1 
"16003"," ","Adams ID"," ",3476,1 
"16005"," ","Bannock ID"," ",75565,1 
"16007"," ","Bear Lake ID"," ",6411,1 
"16009"," ","Benewah ID"," ",9171,1 
"16011"," ","Bingham ID"," ",41735,1 
"16013"," ","Blaine ID"," ",18991,1 
"16015"," ","Boise ID"," ",6670,1 
"16017"," ","Bonner ID"," ",36835,1 
"16019"," ","Bonneville ID"," ",82522,1 
"16021"," ","Boundary ID"," ",9871,1 
"16023"," ","Butte ID"," ",2899,1 
"16025"," ","Camas ID"," ",991,1 
"16027"," ","Canyon ID"," ",131441,1 
"16029"," ","Caribou ID"," ",7304,1 
"16031"," ","Cassia ID"," ",21416,1 
"16033"," ","Clark ID"," ",1022,1 
"16035"," ","Clearwater ID"," ",8930,1 
"16037"," ","Custer ID"," ",4342,1 
"16039"," ","Elmore ID"," ",29130,1 
"16041"," ","Franklin ID"," ",11329,1 
"16043"," ","Fremont ID"," ",11819,1 
"16045"," ","Gem ID"," ",15181,1 
"16047"," ","Gooding ID"," ",14155,1 
"16049"," ","Idaho ID"," ",15511,1 
"16051"," ","Jefferson ID"," ",19155,1 
"16053"," ","Jerome ID"," ",18342,1 
"16055"," ","Kootenai ID"," ",108685,1 
"16057"," ","Latah ID"," ",34935,1 
"16059"," ","Lemhi ID"," ",7806,1 
"16061"," ","Lewis ID"," ",3747,1 
"16063"," ","Lincoln ID"," ",4044,1 
"16065"," ","Madison ID"," ",27467,1 
"16067"," ","Minidoka ID"," ",20174,1 
"16069"," ","Nez Perce ID"," ",37410,1 
"16071"," ","Oneida ID"," ",4125,1 
"16073"," ","Owyhee ID"," ",10644,1 
"16075"," ","Payette ID"," ",20578,1 
"16077"," ","Power ID"," ",7538,1 
"16079"," ","Shoshone ID"," ",13771,1 
"16081"," ","Teton ID"," ",5999,1 
"16083"," ","Twin Falls ID"," ",64284,1 
"16085"," ","Valley ID"," ",7651,1 
"16087"," ","Washington ID"," ",9977,1 
"17001"," ","Adams IL"," ",68277,1 
"17003"," ","Alexander IL"," ",9590,1 
"17005"," ","Bond IL"," ",17633,1 
"17007"," ","Boone IL"," ",41786,1 
"17009"," ","Brown IL"," ",6950,1 
"17011"," ","Bureau IL"," ",35503,1 
"17013"," ","Calhoun IL"," ",5084,1 
"17015"," ","Carroll IL"," ",16674,1 
"17017"," ","Cass IL"," ",13695,1 
"17019"," ","Champaign IL"," ",179669,1 
"17021"," ","Christian IL"," ",35372,1 
"17023"," ","Clark IL"," ",17008,1 
"17025"," ","Clay IL"," ",14560,1 
"17027"," ","Clinton IL"," ",35535,1 
"17029"," ","Coles IL"," ",53196,1 
"17031","1600","Cook IL","Chicago, IL (P)",5376741,1 
"17033"," ","Crawford IL"," ",20452,1 
"17035"," ","Cumberland IL"," ",11253,1 
"17037","1600","DeKalb IL","Chicago, IL (P)",88969,1 
"17039"," ","De Witt IL"," ",16798,1 
"17041"," ","Douglas IL"," ",19922,1 
"17043","1600","DuPage IL","Chicago, IL (P)",904161,1 
"17045"," ","Edgar IL"," ",19704,1 
"17047"," ","Edwards IL"," ",6971,1 
"17049"," ","Effingham IL"," ",34264,1 
"17051"," ","Fayette IL"," ",21802,1 
"17053"," ","Ford IL"," ",14241,1 
"17055"," ","Franklin IL"," ",39018,1 
"17057"," ","Fulton IL"," ",38250,1 
"17059"," ","Gallatin IL"," ",6445,1 
"17061"," ","Greene IL"," ",14761,1 
"17063","1600","Grundy IL","Chicago, IL (P)",37535,1 
"17065"," ","Hamilton IL"," ",8621,1 
"17067"," ","Hancock IL"," ",20121,1 
"17069"," ","Hardin IL"," ",4800,1 
"17071"," ","Henderson IL"," ",8213,1 
"17073"," ","Henry IL"," ",51020,1 
"17075"," ","Iroquois IL"," ",31334,1 
"17077"," ","Jackson IL"," ",59612,1 
"17079"," ","Jasper IL"," ",10117,1 
"17081"," ","Jefferson IL"," ",40045,1 
"17083"," ","Jersey IL"," ",21668,1 
"17085"," ","Jo Daviess IL"," ",22289,1 
"17087"," ","Johnson IL"," ",12878,1 
"17089","1600","Kane IL","Chicago, IL (P)",404119,1 
"17091","3740","Kankakee IL","Kankakee, IL (P)",103833,1 
"17093","1600","Kendall IL","Chicago, IL (P)",54544,1 
"17095"," ","Knox IL"," ",55836,1 
"17097","1600","Lake IL","Chicago, IL (P)",644356,1 
"17099"," ","La Salle IL"," ",111509,1 
"17101"," ","Lawrence IL"," ",15452,1 
"17103"," ","Lee IL"," ",36062,1 
