"state","county","group","lat","long"
1,1,"01.001.1",32.707386,-86.413116
1,1,"01.001.1",32.409937,-86.411172
1,1,"01.001.1",32.405441,-86.459552
1,1,"01.001.1",32.344438,-86.496774
1,1,"01.001.1",32.361345,-86.595335
1,1,"01.001.1",32.406474,-86.619812
1,1,"01.001.1",32.353375,-86.684379
1,1,"01.001.1",32.404813,-86.720954
1,1,"01.001.1",32.394601,-86.778365
1,1,"01.001.1",32.340728,-86.773163
1,1,"01.001.1",32.307574,-86.810802
1,1,"01.001.1",32.340803,-86.814912
1,1,"01.001.1",32.409725,-86.846149
1,1,"01.001.1",32.424725,-86.824394
1,1,"01.001.1",32.437937,-86.866605
1,1,"01.001.1",32.537004,-86.906813
1,1,"01.001.1",32.664158,-86.916956
1,1,"01.001.1",32.661732,-86.71339
1,1,"01.001.1",32.705694,-86.714219
1,1,"01.001.1",32.707386,-86.413116
1,3,"01.003.1",31.316779,-87.799281
1,3,"01.003.1",31.297346,-87.765152
1,3,"01.003.1",31.302002,-87.714047
1,3,"01.003.1",31.244458,-87.61589
1,3,"01.003.1",30.997457,-87.598928
1,3,"01.003.1",30.854355,-87.62538
1,3,"01.003.1",30.847961,-87.627323
1,3,"01.003.1",30.846494,-87.626075
1,3,"01.003.1",30.832632,-87.610982
1,3,"01.003.1",30.787125,-87.554838
1,3,"01.003.1",30.743489,-87.532607
1,3,"01.003.1",30.726313,-87.505153
1,3,"01.003.1",30.720353,-87.496772
1,3,"01.003.1",30.675165,-87.406958
1,3,"01.003.1",30.5734742888333,-87.4126181275156
1,3,"01.003.1",30.527068,-87.446586
1,3,"01.003.1",30.480496,-87.435578
1,3,"01.003.1",30.450597,-87.396877
1,3,"01.003.1",30.433407,-87.368191
1,3,"01.003.1",30.409198,-87.426177
1,3,"01.003.1",30.406498,-87.429578
1,3,"01.003.1",30.403198,-87.431778
1,3,"01.003.1",30.360299,-87.451978
1,3,"01.003.1",30.3314,-87.475579
1,3,"01.003.1",30.3309,-87.491879
1,3,"01.003.1",30.328957,-87.49998
1,3,"01.003.1",30.3125,-87.50578
1,3,"01.003.1",30.308901,-87.50468
1,3,"01.003.1",30.307301,-87.50278
1,3,"01.003.1",30.305001,-87.494879
1,3,"01.003.1",30.304801,-87.483679
1,3,"01.003.1",30.300201,-87.452378
1,3,"01.003.1",30.280435,-87.518324
1,3,"01.003.1",30.221132,-88.028401
1,3,"01.003.1",30.261469,-87.936041
1,3,"01.003.1",30.23859,-87.879343
1,3,"01.003.1",30.277292,-87.755263
1,3,"01.003.1",30.40938,-87.906343
1,3,"01.003.1",30.487357,-87.933355
