"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Hickory-Morganton-Lenoir","NC MSA",177,95,6,0,76,5
"Honolulu","HI MSA",229,123,6,0,100,14
"Houma","LA MSA",69,69,0,0,0,0
"Houston-Galveston-Brazoria TX CMSA","4740",3337,0,4,1399,79,NA
"Huntington-Ashland","WV-KY- OH MSA",5,5,0,0,0,0
"Huntsville","AL MSA",295,127,0,8,160,11
"Indianapolis","IN MSA",1420,1151,32,21,216,19
"Iowa City","IA MSA",102,46,0,4,52,5
"Jackson","MI MSA",9,9,0,0,0,0
"Jackson","MS MSA",254,236,2,4,12,2
"Jackson","TN MSA",208,68,0,4,136,17
"Jacksonville","FL MSA",1139,1009,2,0,128,4
"Jacksonville","NC MSA",70,70,0,0,0,0
"Jamestown","NY MSA",1,1,0,0,0,0
"Janesville-Beloit","WI MSA",49,19,2,3,25,2
"Johnson City-Kingsport- Bristol","TN-VA MSA",114,94,2,12,6,1
"Johnstown","PA MSA",3,3,0,0,0,0
"Jonesboro","AR MSA",62,58,4,0,0,0
"Joplin","MO MSA",25,25,0,0,0,0
"Kalamazoo-Battle Creek","MI MSA",140,120,2,12,6,1
"Kansas City","MO-KS MSA",1038,990,14,17,17,2
"Killeen-Temple","TX MSA",148,108,8,32,0,0
"Knoxville","TN MSA",291,268,12,3,8,1
"Kokomo","IN MSA",23,23,0,0,0,0
"La Crosse","WI-MN MSA",37,26,4,7,0,0
"Lafayette","LA MSA",114,114,0,0,0,0
"Lafayette","IN MSA",87,51,12,0,24,1
"Lake Charles","LA MSA",86,74,0,0,12,1
"Lakeland-Winter Haven","FL MSA",460,448,12,0,0,0
"Lancaster","PA MSA",133,93,0,0,40,4
"Lansing-East Lansing","MI MSA",119,93,4,0,22,2
"Laredo","TX MSA",167,144,0,3,20,2
"Las Cruces","NM MSA",543,89,0,0,454,43
"Las Vegas","NV-AZ MSA",3218,2365,16,14,823,87
"Lawrence","KS MSA",64,52,12,0,0,0
"Lawton","OK MSA",12,12,0,0,0,0
"Lewiston-Auburn","ME MSA",11,11,0,0,0,0
"Lexington","KY MSA",367,362,0,0,5,1
"Lima","OH MSA",4,4,0,0,0,0
"Lincoln","NE MSA",143,121,4,0,18,1
"Little Rock-North Little Rock","AR MSA",480,318,6,0,156,6
"Longview-Marshall","TX MSA",18,16,2,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",5344,4428,36,111,769,56
