"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX",21,21,0,0,0,0
"Akron","OH",313,238,10,11,54,6
"Albany","GA",64,56,8,0,0,0
"Albany-Schenectady-Troy","NY",279,190,4,0,85,10
"Albuquerque","NM",603,600,0,3,0,0
"Alexandria","LA",37,37,0,0,0,0
"Allentown-Bethlehem-Easton","PA-NJ",479,442,20,6,11,2
"Altoona","PA",18,18,0,0,0,0
"Amarillo","TX",95,95,0,0,0,0
"Ames","IA",30,27,0,3,0,0
"Anchorage","AK",497,105,272,0,120,13
"Anderson","IN",38,38,0,0,0,0
"Anderson","SC",111,111,0,0,0,0
"Ann Arbor","MI",207,198,0,3,6,1
"Anniston-Oxford","AL",17,17,0,0,0,0
"Appleton","WI",113,101,12,0,0,0
"Asheville","NC",346,272,16,23,35,4
"Athens-Clarke County","GA",195,134,0,0,61,2
"Atlanta-Sandy Springs-Marietta","GA",7250,5076,26,16,2132,59
"Atlantic City","NJ",194,185,4,0,5,1
"Auburn-Opelika","AL",59,53,6,0,0,0
"Augusta-Richmond County","GA-SC",275,275,0,0,0,0
"Austin-Round Rock","TX",1404,1306,18,31,49,4
"Bakersfield","CA",525,517,4,4,0,0
"Baltimore-Towson","MD",726,641,0,0,85,4
"Bangor","ME",63,45,2,16,0,0
"Barnstable Town","MA",112,95,2,15,0,0
"Baton Rouge","LA",573,518,0,3,52,9
"Battle Creek","MI",23,23,0,0,0,0
"Bay City","MI",8,8,0,0,0,0
"Beaumont-Port Arthur","TX",62,42,4,0,16,2
"Bellingham","WA",191,138,4,6,43,2
"Bend","OR",378,222,26,22,108,9
"Billings","MT",55,55,0,0,0,0
"Binghamton","NY",18,12,0,0,6,1
"Birmingham-Hoover","AL",795,593,2,0,200,13
"Bismarck","ND",86,68,2,16,0,0
"Blacksburg-Christiansburg-Radford","VA",95,69,0,0,26,3
"Bloomington","IN",98,61,14,4,19,2
"Bloomington-Normal","IL",209,79,0,8,122,7
"Boise City-Nampa","ID",801,695,10,64,32,2
"Boston-Cambridge-Quincy","MA-NH",1306,653,44,40,569,53
"Boulder","CO",120,110,10,0,0,0
"Bowling Green","KY",79,79,0,0,0,0
"Bremerton-Silverdale","WA",151,144,2,0,5,1
"Bridgeport-Stamford-Norwalk","CT",175,125,6,16,28,2
"Brownsville-Harlingen","TX",433,279,4,4,146,11
"Brunswick","GA",86,75,6,0,5,1
"Buffalo-Niagara Falls","NY",177,169,8,0,0,0
"Burlington","NC",150,102,0,6,42,4
"Burlington-South Burlington","VT",112,57,8,7,40,2
"Canton-Massillon","OH",118,109,0,4,5,1
"Cape Coral-Fort Myers","FL",1882,1168,110,112,492,26
"Carson City","NV",18,12,6,0,0,0
"Casper","WY",17,17,0,0,0,0
"Cedar Rapids","IA",128,118,4,0,6,1
"Champaign-Urbana","IL",43,43,0,0,0,0
"Charleston","WV",39,39,0,0,0,0
"Charleston-North Charleston","SC",938,774,0,6,158,9
"Charlotte-Gastonia-Concord","NC-SC",1931,1670,18,16,227,16
"Charlottesville","VA",165,118,4,3,40,2
"Chattanooga","TN-GA",275,246,8,4,17,2
"Cheyenne","WY",64,47,2,15,0,0
"Chicago-Naperville-Joliet","IL-IN-WI",4130,3116,98,228,688,56
"Cincinnati-Middletown","OH-KY-IN",1047,970,16,11,50,7
"Clarksville","TN-KY",255,194,6,20,35,1
"Cleveland","TN",61,59,2,0,0,0
"Cleveland-Elyria-Mentor","OH",681,659,6,16,0,0
"Coeur d""Alene","ID",196,184,12,0,0,0
"College Station-Bryan","TX",246,99,0,3,144,9
"Colorado Springs","CO",705,705,0,0,0,0
"Columbia","MO",245,227,14,4,0,0
"Columbia","SC",794,532,0,0,262,17
"Columbus","GA-AL",145,129,0,0,16,2
"Columbus","IN",26,26,0,0,0,0
"Columbus","OH",1298,988,8,60,242,22
"Corpus Christi","TX",166,141,2,0,23,3
"Corvallis","OR",23,23,0,0,0,0
"Cumberland","MD-WV",23,21,2,0,0,0
"Dallas-Fort Worth-Arlington","TX",5364,3880,22,31,1431,46
"Dalton","GA",69,64,0,0,5,1
"Danville","IL",1,1,0,0,0,0
"Danville","VA",30,25,0,0,5,1
"Davenport-Moline-Rock Island","IA-IL",81,81,0,0,0,0
"Decatur","AL",40,40,0,0,0,0
"Decatur","IL",6,6,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach","FL",741,467,0,0,274,10
"Denver-Aurora","CO",1761,1603,10,7,141,17
"Des Moines","IA",499,455,0,0,44,3
"Detroit-Warren-Livonia","MI",1760,1509,22,32,197,19
"Dothan","AL",29,29,0,0,0,0
"Dover","DE",195,195,0,0,0,0
"Dubuque","IA",44,38,6,0,0,0
"Duluth","MN-WI",118,110,4,4,0,0
"Durham","NC",379,344,2,33,0,0
"Eau Claire","WI",112,103,4,0,5,1
"El Centro","CA",130,124,0,0,6,1
"El Paso","TX",445,325,0,120,0,0
"Elizabethtown","KY",63,61,2,0,0,0
"Elkhart-Goshen","IN",115,106,0,4,5,1
"Elmira","NY",10,5,0,0,5,1
"Erie","PA",55,41,8,0,6,1
"Eugene-Springfield","OR",162,106,4,8,44,6
"Evansville","IN-KY",133,125,4,4,0,0
"Fairbanks","AK",42,25,6,11,0,0
"Fargo","ND-MN",483,212,0,0,271,12
"Farmington","NM",35,33,2,0,0,0
"Fayetteville","NC",202,190,0,0,12,1
"Fayetteville-Springdale-Rogers","AR-MO",760,289,6,11,454,41
"Flagstaff","AZ",59,59,0,0,0,0
"Flint","MI",207,207,0,0,0,0
"Florence","SC",24,24,0,0,0,0
"Fond du Lac","WI",19,15,4,0,0,0
"Fort Collins-Loveland","CO",314,255,10,19,30,3
"Fort Smith","AR-OK",71,61,10,0,0,0
"Fort Walton Beach-Crestview-Destin","FL",160,135,0,0,25,2
"Fort Wayne","IN",295,187,0,0,108,5
"Fresno","CA",605,386,4,0,215,14
"Gadsden","AL",10,10,0,0,0,0
"Gainesville","FL",171,116,0,3,52,3
"Gainesville","GA",165,160,2,3,0,0
"Glens Falls","NY",76,72,0,4,0,0
"Goldsboro","NC",41,41,0,0,0,0
"Grand Forks","ND-MN",52,12,0,4,36,1
"Grand Junction","CO",238,134,8,0,96,13
"Grand Rapids-Wyoming","MI",397,379,10,3,5,1
"Great Falls","MT",10,10,0,0,0,0
"Greeley","CO",416,390,0,15,11,2
"Green Bay","WI",177,144,10,0,23,2
"Greensboro-High Point","NC",710,337,4,3,366,22
"Greenville","NC",166,114,20,0,32,4
"Greenville","SC",392,381,6,0,5,1
"Gulfport-Biloxi","MS",126,106,12,8,0,0
"Hagerstown-Martinsburg","MD-WV",305,294,2,4,5,1
"Hanford-Corcoran","CA",88,73,2,6,7,1
"Harrisburg-Carlisle","PA",150,140,2,3,5,1
"Harrisonburg","VA",56,56,0,0,0,0
"Hartford-West Hartford-East Hartford","CT",374,281,8,0,85,7
"Hattiesburg","MS",5,5,0,0,0,0
"Hickory-Lenoir-Morganton","NC",194,148,6,12,28,5
"Hinesville-Fort Stewart","GA",38,34,4,0,0,0
