"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Hickory-Morganton-Lenoir","NC MSA",337,141,0,0,196,14
"Honolulu","HI MSA",103,103,0,0,0,0
"Houma","LA MSA",57,57,0,0,0,0
"Houston-Galveston-Brazoria TX CMSA","3668",2393,0,4,1271,41,NA
"Huntington-Ashland","WV-KY- OH MSA",13,5,0,0,8,1
"Huntsville","AL MSA",74,74,0,0,0,0
"Indianapolis","IN MSA",994,843,26,0,125,14
"Iowa City","IA MSA",33,19,2,0,12,2
"Jackson","MI MSA",2,2,0,0,0,0
"Jackson","MS MSA",245,152,0,0,93,10
"Jackson","TN MSA",34,32,2,0,0,0
"Jacksonville","FL MSA",1815,634,2,0,1179,55
"Jacksonville","NC MSA",57,52,2,3,0,0
"Jamestown","NY MSA",1,1,0,0,0,0
"Janesville-Beloit","WI MSA",37,14,4,3,16,2
"Johnson City-Kingsport- Bristol","TN-VA MSA",77,70,2,0,5,1
"Johnstown","PA MSA",1,1,0,0,0,0
"Jonesboro","AR MSA",19,17,2,0,0,0
"Joplin","MO MSA",41,41,0,0,0,0
"Kalamazoo-Battle Creek","MI MSA",73,65,0,0,8,1
"Kansas City","MO-KS MSA",1321,613,24,12,672,81
"Killeen-Temple","TX MSA",205,133,4,68,0,0
"Knoxville","TN MSA",388,240,18,0,130,6
"Kokomo","IN MSA",28,28,0,0,0,0
"La Crosse","WI-MN MSA",10,10,0,0,0,0
"Lafayette","LA MSA",75,75,0,0,0,0
"Lafayette","IN MSA",137,38,0,0,99,3
"Lake Charles","LA MSA",131,51,2,0,78,11
"Lakeland-Winter Haven","FL MSA",295,295,0,0,0,0
"Lancaster","PA MSA",79,55,0,0,24,1
"Lansing-East Lansing","MI MSA",56,56,0,0,0,0
"Laredo","TX MSA",131,106,0,3,22,1
"Las Cruces","NM MSA",84,68,0,0,16,1
"Las Vegas","NV-AZ MSA",2527,1642,2,3,880,91
"Lawrence","KS MSA",140,21,26,0,93,6
"Lawton","OK MSA",10,10,0,0,0,0
"Lewiston-Auburn","ME MSA",8,6,2,0,0,0
"Lexington","KY MSA",175,147,12,16,0,0
"Lima","OH MSA",2,2,0,0,0,0
"Lincoln","NE MSA",85,57,2,0,26,3
"Little Rock-North Little Rock","AR MSA",215,209,0,0,6,1
"Longview-Marshall","TX MSA",6,6,0,0,0,0
"Los Angeles-Riverside- Orange County","CA CMSA",6298,3514,36,59,2689,104
"Louisville","KY-IN MSA",344,332,0,0,12,2
"Lubbock","TX MSA",117,51,2,0,64,5
"Lynchburg","VA MSA",88,88,0,0,0,0
"Macon","GA MSA",323,319,4,0,0,0
"Madison","WI MSA",280,145,10,9,116,9
"Mansfield","OH MSA",11,2,2,0,7,1
"McAllen-Edinburg-Mission","TX MSA",416,365,6,34,11,2
"Medford-Ashland","OR MSA",145,102,2,12,29,4
"Melbourne-Titusville-Palm Bay","FL MSA",312,265,2,0,45,2
"Memphis","TN-AR-MS MSA",722,374,0,0,348,30
"Merced","CA MSA",62,62,0,0,0,0
"Miami-Fort Lauderdale","FL CMSA",2645,1419,20,52,1154,94
"Milwaukee-Racine","WI CMSA",357,279,14,12,52,8
"Minneapolis-St. Paul","MN-WI MSA",1031,836,18,7,170,12
"Missoula","MT MSA",11,11,0,0,0,0
"Mobile","AL MSA",292,276,0,0,16,2
"Modesto","CA MSA",246,246,0,0,0,0
"Monroe","LA MSA",26,18,8,0,0,0
"Montgomery","AL MSA",325,101,0,0,224,15
"Muncie","IN MSA",13,13,0,0,0,0
"Myrtle Beach","SC MSA",205,148,6,4,47,5
"Naples","FL MSA",469,246,0,4,219,13
"Nashville","TN MSA",922,773,6,30,113,5
"New London-Norwich","CT-RI MSA",51,51,0,0,0,0
"New Orleans","LA MSA",504,233,6,0,265,23
"New York-Northern New Jersey-Long Island","NY-NJ- CT-PA CMSA",3268,1983,160,110,1015,48
"Norfolk-Virginia Beach- Newport News","VA-NC MSA",530,501,0,8,21,2
"Ocala","FL MSA",198,196,2,0,0,0
"Odessa-Midland","TX MSA",18,18,0,0,0,0
"Oklahoma City","OK MSA",287,271,16,0,0,0
"Omaha","NE-IA MSA",234,234,0,0,0,0
"Orlando","FL MSA",1318,1257,4,0,57,4
"Owensboro","KY MSA",53,53,0,0,0,0
"Panama City","FL MSA",41,39,2,0,0,0
"Parkersburg-Marietta","WV-OH MSA",4,4,0,0,0,0
"Pensacola","FL MSA",168,166,2,0,0,0
"Peoria-Pekin","IL MSA",66,56,2,8,0,0
"Philadelphia-Wilmington- Atlantic City","PA-NJ-DE-MD CMSA",1297,1139,62,4,92,13
"Phoenix-Mesa","AZ MSA",2837,2606,6,51,174,12
"Pine Bluff","AR MSA",3,3,0,0,0,0
"Pittsburgh","PA MSA",276,238,0,22,16,2
"Pittsfield","MA MSA",1,1,0,0,0,0
"Pocatello","ID MSA",8,8,0,0,0,0
"Portland","ME MSA",83,76,0,7,0,0
"Portland-Salem","OR-WA CMSA",1187,924,26,56,181,11
"Providence-Fall River- Warwick","RI-MA MSA",188,156,6,12,14,2
"Provo-Orem","UT MSA",225,166,6,20,33,2
"Pueblo","CO MSA",82,78,4,0,0,0
"Punta Gorda","FL MSA",110,96,2,7,5,1
"Raleigh-Durham-Chapel Hill NC MSA","1487",1098,10,0,379,24,NA
"Rapid City","SD MSA",27,22,0,0,5,1
"Reading","PA MSA",46,46,0,0,0,0
"Redding","CA MSA",71,69,2,0,0,0
"Reno","NV MSA",675,281,2,0,392,39
"Richland-Kennewick-Pasco","WA MSA",66,61,0,0,5,1
"Richmond-Petersburg","VA MSA",422,416,0,0,6,1
"Roanoke","VA MSA",93,83,10,0,0,0
"Rochester","MN MSA",67,45,6,3,13,1
"Rochester","NY MSA",128,98,0,15,15,3
"Rockford","IL MSA",92,76,0,16,0,0
"Rocky Mount","NC MSA",52,41,2,0,9,1
"Sacramento-Yolo","CA CMSA",1244,1128,2,4,110,7
"Saginaw-Bay City-Midland","MI MSA",28,19,4,0,5,1
"St. Cloud","MN MSA",26,26,0,0,0,0
"St. Joseph","MO MSA",2,2,0,0,0,0
"St. Louis","MO-IL MSA",691,541,14,22,114,5
"Salinas","CA MSA",91,91,0,0,0,0
"Salt Lake City-Ogden","UT MSA",545,457,2,46,40,2
"San Angelo","TX MSA",22,22,0,0,0,0
"San Antonio","TX MSA",919,647,4,0,268,18
"San Diego","CA MSA",1919,745,2,24,1148,15
"San Francisco-Oakland-San Jose","CA CMSA",2415,1538,60,23,794,35
"San Luis Obispo-Atascadero- Paso Robles","CA MSA",164,141,0,0,23,3
"Santa Barbara-Santa Maria- Lompoc","CA MSA",57,37,0,7,13,2
"Santa Fe","NM MSA",30,30,0,0,0,0
"Sarasota-Bradenton","FL MSA",812,540,0,16,256,26
"Savannah","GA MSA",115,102,0,8,5,1
"Scranton--Wilkes-Barre-- Hazleton","PA MSA",21,21,0,0,0,0
"Seattle-Tacoma-Bremerton WA CMSA","2384",1221,44,34,1085,47,NA
"Sharon","PA MSA",6,6,0,0,0,0
"Sheboygan","WI MSA",3,3,0,0,0,0
"Sherman-Denison","TX MSA",5,5,0,0,0,0
"Shreveport-Bossier City","LA MSA",79,76,0,3,0,0
"Sioux City","IA-NE MSA",7,5,2,0,0,0
"Sioux Falls","SD MSA",66,62,4,0,0,0
"South Bend","IN MSA",48,46,2,0,0,0
"Spokane","WA MSA",63,63,0,0,0,0
"Springfield","IL MSA",24,24,0,0,0,0
"Springfield","MO MSA",143,115,4,4,20,2
"Springfield","MA MSA",22,22,0,0,0,0
"State College","PA MSA",26,21,2,3,0,0
"Steubenville-Weirton","OH-WV MSA",3,3,0,0,0,0
"Stockton-Lodi","CA MSA",561,561,0,0,0,0
"Sumter","SC MSA",22,20,2,0,0,0
"Syracuse","NY MSA",29,29,0,0,0,0
"Tallahassee","FL MSA",82,69,2,0,11,2
"Tampa-St. Petersburg- Clearwater","FL MSA",1411,1338,34,4,35,5
"Terre Haute","IN MSA",11,11,0,0,0,0
"Texarkana","TX-TexarkanaAR MSA",13,13,0,0,0,0
"Toledo","OH MSA",128,104,8,0,16,1
"Topeka","KS MSA",39,39,0,0,0,0
"Tucson","AZ MSA",426,424,2,0,0,0
"Tulsa","OK MSA",198,193,0,0,5,1
"Tuscaloosa","AL MSA",74,62,0,0,12,1
"Tyler","TX MSA",30,25,0,0,5,1
"Utica-Rome","NY MSA",4,4,0,0,0,0
"Victoria","TX MSA",6,6,0,0,0,0
"Visalia-Tulare-Porterville","CA MSA",122,122,0,0,0,0
"Waco","TX MSA",193,43,24,0,126,1
"Washington-Baltimore","DC-MD- VA-WV CMSA",3589,2920,2,3,664,25
"Waterloo-Cedar Falls","IA MSA",6,4,2,0,0,0
"Wausau","WI MSA",15,15,0,0,0,0
"West Palm Beach-Boca Raton FL MSA","701",681,0,4,16,1,NA
"Wheeling","WV-OH MSA",2,2,0,0,0,0
"Wichita","KS MSA",121,111,10,0,0,0
"Wichita Falls","TX MSA",154,14,0,140,0,0
"Wilmington","NC MSA",411,235,0,0,176,8
"Yakima","WA MSA",11,11,0,0,0,0
"York","PA MSA",82,82,0,0,0,0
"Youngstown-Warren","OH MSA",66,60,2,4,0,0
"Yuba City","CA MSA",16,16,0,0,0,0
"Yuma","AZ MSA",85,85,0,0,0,0
