"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf","Monthly_Coverage_Percent"
"Abilene","TX",29,29,0,0,0,0,91
"Akron","OH",62,59,0,3,0,0,69
"Albany","GA",30,23,2,0,5,1,84
"Albany-Schenectady-Troy","NY",47,43,4,0,0,0,59
"Albuquerque","NM",278,244,0,4,30,2,100
"Alexandria","LA",36,36,0,0,0,0,97
"Allentown-Bethlehem-Easton","PA-NJ",173,154,0,3,16,3,100
"Altoona","PA",0,0,0,0,0,0,7
"Amarillo","TX",44,27,0,0,17,2,79
"Ames","IA",9,9,0,0,0,0,92
"Anchorage","AK",26,12,2,4,8,1,100
"Anderson","IN",9,9,0,0,0,0,73
"Anderson","SC",74,74,0,0,0,0,90
"Ann Arbor","MI",12,12,0,0,0,0,72
"Anniston-Oxford","AL",13,13,0,0,0,0,78
"Appleton","WI",38,22,0,0,16,1,79
"Asheville","NC",147,132,0,3,12,2,88
"Athens-Clarke County","GA",67,67,0,0,0,0,73
"Atlanta-Sandy Springs-Marietta","GA",1824,1555,6,13,250,13,100
"Atlantic City-Hammonton","NJ",68,52,2,3,11,1,100
"Auburn-Opelika","AL",92,77,0,0,15,1,100
"Augusta-Richmond County","GA-SC",105,105,0,0,0,0,80
"Austin-Round Rock","TX",1502,864,20,11,607,20,100
"Bakersfield","CA",176,145,2,29,0,0,90
"Baltimore-Towson","MD",316,272,0,0,44,3,100
"Bangor","ME",13,13,0,0,0,0,49
"Barnstable Town","MA",22,22,0,0,0,0,88
"Baton Rouge","LA",387,217,0,0,170,12,94
"Battle Creek","MI",3,3,0,0,0,0,55
"Bay City","MI",1,1,0,0,0,0,21
"Beaumont-Port Arthur","TX",198,34,4,0,160,1,76
"Bellingham","WA",44,29,0,0,15,1,69
"Bend","OR",72,62,0,10,0,0,100
"Billings","MT",30,30,0,0,0,0,90
"Binghamton","NY",5,5,0,0,0,0,18
"Birmingham-Hoover","AL",355,251,0,0,104,7,100
"Bismarck","ND",96,57,0,4,35,2,98
"Bloomington","IN",40,30,10,0,0,0,86
"Bloomington-Normal","IL",24,19,0,0,5,1,84
"Boise City-Nampa","ID",381,327,2,52,0,0,100
"Boston-Cambridge-Quincy","MA-NH",843,255,22,26,540,26,100
"Boulder","CO",25,15,0,0,10,2,78
"Bowling Green","KY",47,43,0,4,0,0,99
"Bradenton-Sarasota-Venice","FL",296,210,0,15,71,7,100
"Bremerton-Silverdale","WA",43,43,0,0,0,0,84
"Bridgeport-Stamford-Norwalk","CT",105,58,2,0,45,3,90
"Brownsville-Harlingen","TX",114,106,8,0,0,0,86
"Brunswick","GA",39,39,0,0,0,0,80
"Buffalo-Niagara Falls","NY",48,48,0,0,0,0,78
"Burlington","NC",116,68,0,0,48,2,92
"Burlington-South Burlington","VT",31,24,2,0,5,1,82
"Canton-Massillon","OH",27,20,2,0,5,1,82
"Cape Coral-Fort Myers","FL",100,90,2,0,8,1,100
"Carson City","NV",5,5,0,0,0,0,100
"Casper","WY",6,6,0,0,0,0,86
"Cedar Rapids","IA",111,75,6,30,0,0,86
"Champaign-Urbana","IL",35,27,0,0,8,1,66
"Charleston","WV",13,13,0,0,0,0,43
"Charleston-North Charleston-Summerville","SC",667,357,6,0,304,14,100
"Charlottesville","VA",58,58,0,0,0,0,66
"Chattanooga","TN-GA",138,121,2,0,15,1,82
"Cheyenne","WY",17,15,2,0,0,0,100
"Chicago-Naperville-Joliet","IL-IN-WI",1424,718,16,40,650,24,100
"Cincinnati-Middletown","OH-KY-IN",412,339,10,7,56,9,100
"Clarksville","TN-KY",273,79,2,0,192,14,54
"Cleveland","TN",36,26,2,8,0,0,81
"Cleveland-Elyria-Mentor","OH",203,198,0,0,5,1,100
"Coeur dAlene","ID",62,62,0,0,0,0,97
"College Station-Bryan","TX",95,52,0,0,43,6,98
"Colorado Springs","CO",180,170,0,0,10,1,100
"Columbia","MO",80,40,8,3,29,1,100
"Columbia","SC",360,299,0,6,55,3,100
"Columbus","GA-AL",73,53,0,0,20,2,88
"Columbus","IN",20,20,0,0,0,0,99
"Columbus","OH",326,170,2,3,151,2,100
"Corpus Christi","TX",311,95,0,0,216,9,89
"Corvallis","OR",5,5,0,0,0,0,69
"Cumberland","MD-WV",7,7,0,0,0,0,20
"Dallas-Fort Worth-Arlington","TX",3304,1612,44,8,1640,33,100
"Dalton","GA",37,26,2,3,6,1,88
"Danville","IL",0,0,0,0,0,0,11
"Danville","VA",13,8,0,0,5,1,81
"Davenport-Moline-Rock Island","IA-IL",43,27,0,16,0,0,18
"Decatur","AL",15,15,0,0,0,0,77
"Decatur","IL",8,8,0,0,0,0,67
"Deltona-Daytona Beach-Ormond Beach","FL",163,134,0,0,29,2,100
"Des Moines-West Des Moines","IA",206,182,0,0,24,1,100
