"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",14,14,0,0,0,0
"Albany","GA MSA",36,36,0,0,0,0
"Albany-Schenectady-Troy","NY MSA",226,138,0,0,88,9
"Albuquerque","NM MSA",351,351,0,0,0,0
"Alexandria","LA MSA",26,26,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",208,151,2,7,48,2
"Altoona","PA MSA",1,1,0,0,0,0
"Amarillo","TX MSA",43,43,0,0,0,0
"Anchorage","AK MSA",133,79,50,4,0,0
"Anniston","AL MSA",18,13,0,0,5,1
"Appleton-Oshkosh-Neenah","WI MSA",257,127,20,0,110,9
"Asheville","NC MSA",109,94,8,7,0,0
"Athens","GA MSA",75,75,0,0,0,0
"Atlanta","GA MSA",4024,3831,10,35,148,7
"Auburn-Opelika","AL MSA",28,17,2,3,6,1
"Augusta-Aiken","GA-SC MSA",197,197,0,0,0,0
"Austin-San Marcos","TX MSA",1884,657,28,20,1179,66
"Bakersfield","CA MSA",216,210,2,4,0,0
"Bangor","ME MSA",15,15,0,0,0,0
"Barnstable-Yarmouth","MA MSA",90,90,0,0,0,0
"Baton Rouge","LA MSA",114,90,0,0,24,3
"Beaumont-Port Arthur","TX MSA",53,53,0,0,0,0
"Bellingham","WA MSA",121,81,6,4,30,2
"Benton Harbor","MI MSA",8,8,0,0,0,0
"Billings","MT MSA",34,32,2,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",200,186,6,8,0,0
"Binghamton","NY MSA",5,5,0,0,0,0
"Birmingham","AL MSA",477,349,0,0,128,10
"Bismarck","ND MSA",57,41,12,4,0,0
"Bloomington","IN MSA",60,50,10,0,0,0
"Bloomington-Normal","IL MSA",90,46,0,0,44,2
"Boise City","ID MSA",489,453,0,12,24,3
"Boston-Worcester-Lawrence MA-NH-ME-CT CMSA","1392",1168,72,38,114,12,NA
"Brownsville-Harlingen-San Benito","TX MSA",174,137,6,23,8,1
"Bryan-College Station","TX MSA",58,55,0,3,0,0
"Buffalo-Niagara Falls","NY MSA",131,116,2,0,13,1
"Burlington","VT MSA",68,56,0,7,5,1
"Canton-Massillon","OH MSA",94,88,6,0,0,0
"Casper","WY MSA",11,11,0,0,0,0
"Cedar Rapids","IA MSA",141,77,4,0,60,4
"Champaign-Urbana","IL MSA",39,39,0,0,0,0
"Charleston-North Charleston","SC MSA",462,340,40,4,78,4
"Charleston","WV MSA",32,32,0,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1599,983,8,51,557,39
"Charlottesville","VA MSA",94,94,0,0,0,0
"Chattanooga","TN-GA MSA",181,162,2,12,5,1
"Cheyenne","WY MSA",16,16,0,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",3917,2750,58,165,944,80
"Chico-Paradise","CA MSA",91,91,0,0,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",1065,758,10,30,267,24
"Clarksville-Hopkinsville","TN-KY MSA",101,81,0,4,16,2
"Cleveland-Akron","OH CMSA",1496,753,22,35,686,44
"Colorado Springs","CO MSA",650,470,0,0,180,9
"Columbia","MO MSA",117,109,8,0,0,0
"Columbia","SC MSA",291,291,0,0,0,0
"Columbus","GA-AL MSA",130,114,0,0,16,2
"Columbus","OH MSA",1416,714,6,59,637,57
"Corpus Christi","TX MSA",75,50,0,16,9,1
"Corvallis OR MSA","16",16,0,0,0,0,NA
"Cumberland","MD-WV MSA",2,2,0,0,0,0
"Dallas-Fort Worth","TX CMSA",3882,3043,16,20,803,42
"Danville","VA MSA",76,25,0,3,48,7
"Davenport-Moline-Rock Island","IA-IL MSA",38,38,0,0,0,0
"Dayton-Springfield","OH MSA",209,161,6,32,10,1
"Daytona Beach","FL MSA",340,326,8,6,0,0
"Decatur","Al MSA",41,36,0,0,5,1
"Decatur","IL MSA",12,10,2,0,0,0
"Denver-Boulder-Greeley","CO CMSA",2669,1745,54,33,837,42
"Des Moines","IA MSA",224,183,18,8,15,3
"Detroit-Ann Arbor-Flint","MI CMSA",2333,1853,36,55,389,37
"Dothan","AL MSA",250,32,0,0,218,20
"Dover","DE MSA",81,81,0,0,0,0
"Dubuque","IA MSA",20,18,2,0,0,0
"Duluth-Superior","MN-WI MSA",109,88,0,0,21,1
"Eau Claire","WI MSA",141,98,6,0,37,1
"El Paso","TX MSA",309,253,22,8,26,3
