"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",24,24,0,0,0,0
"Albany","GA MSA",153,48,8,0,97,2
"Albany-Schenectady-Troy","NY MSA",186,130,4,0,52,3
"Albuquerque","NM MSA",543,538,0,0,5,1
"Alexandria","LA MSA",28,28,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",257,182,0,6,69,3
"Altoona","PA MSA",5,5,0,0,0,0
"Amarillo","TX MSA",49,49,0,0,0,0
"Anchorage","AK MSA",89,83,6,0,0,0
"Anniston","AL MSA",25,15,0,0,10,2
"Appleton-Oshkosh-Neenah","WI MSA",196,148,18,0,30,3
"Asheville","NC MSA",160,96,2,0,62,7
"Athens","GA MSA",83,81,2,0,0,0
"Atlanta","GA MSA",6009,5012,12,89,896,47
"Augusta-Aiken","GA-SC MSA",207,196,0,3,8,1
"Austin-San Marcos","TX MSA",1509,857,6,8,638,34
"Bakersfield","CA MSA",246,238,2,6,0,0
"Bangor","ME MSA",9,9,0,0,0,0
"Barnstable-Yarmouth","MA MSA",114,111,0,3,0,0
"Baton Rouge","LA MSA",329,140,0,0,189,18
"Beaumont-Port Arthur","TX MSA",35,35,0,0,0,0
"Bellingham","WA MSA",94,85,4,0,5,1
"Benton Harbor","MI MSA",8,8,0,0,0,0
"Billings","MT MSA",57,57,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",199,197,2,0,0,0
"Binghamton","NY MSA",13,13,0,0,0,0
"Birmingham","AL MSA",512,474,0,3,35,2
"Bismarck","ND MSA",48,46,2,0,0,0
"Bloomington","IN MSA",69,47,4,8,10,2
"Bloomington-Normal","IL MSA",95,83,4,8,0,0
"Boise City","ID MSA",561,492,14,39,16,1
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",1658,1238,54,28,338,18
"Brownsville-Harlingen-San Benito","TX MSA",259,245,14,0,0,0
"Bryan-College Station","TX MSA",134,98,18,0,18,3
"Buffalo-Niagara Falls","NY MSA",133,102,0,0,31,2
"Burlington","VT MSA",57,57,0,0,0,0
"Canton-Massillon","OH MSA",111,105,6,0,0,0
"Casper","WY MSA",9,9,0,0,0,0
"Cedar Rapids","IA MSA",247,91,14,16,126,14
"Champaign-Urbana","IL MSA",32,30,2,0,0,0
"Charleston-North Charleston","SC MSA",497,360,14,3,120,5
"Charleston","WV MSA",45,37,0,0,8,1
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",2786,1793,8,19,966,63
"Charlottesville","VA MSA",123,111,6,0,6,1
"Chattanooga","TN-GA MSA",232,214,10,3,5,1
"Cheyenne","WY MSA",47,47,0,0,0,0
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",3459,2899,50,119,391,30
"Chico-Paradise","CA MSA",64,64,0,0,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",1197,978,16,20,183,11
"Clarksville-Hopkinsville","TN-KY MSA",125,107,2,0,16,2
"Cleveland-Akron","OH CMSA",1112,904,14,31,163,13
"Colorado Springs","CO MSA",484,476,0,8,0,0
"Columbia","MO MSA",128,112,16,0,0,0
"Columbia","SC MSA",633,397,0,0,236,24
"Columbus","GA-AL MSA",103,103,0,0,0,0
"Columbus","OH MSA",1637,830,2,110,695,42
"Corpus Christi","TX MSA",116,94,2,4,16,1
"Cumberland","MD-WV MSA",14,14,0,0,0,0
"Dallas-Fort Worth","TX CMSA",3573,3274,18,10,271,16
"Danville","VA MSA",32,30,2,0,0,0
"Davenport-Moline-Rock Island","IA-IL MSA",65,59,6,0,0,0
"Dayton-Springfield","OH MSA",275,191,4,8,72,4
"Daytona Beach","FL MSA",493,428,0,3,62,2
"Decatur","Al MSA",44,39,0,0,5,1
"Decatur","IL MSA",80,18,0,0,62,1
"Denver-Boulder-Greeley","CO CMSA",3009,2021,34,29,925,75
"Des Moines","IA MSA",291,278,0,3,10,2
"Detroit-Ann Arbor-Flint","MI CMSA",2532,2167,34,47,284,24
"Dothan","AL MSA",25,25,0,0,0,0
"Dover","DE MSA",79,79,0,0,0,0
"Dubuque","IA MSA",32,26,2,4,0,0
"Duluth-Superior","MN-WI MSA",54,45,4,0,5,1
"Eau Claire","WI MSA",95,77,6,12,0,0
"El Paso","TX MSA",282,246,0,0,36,1
"Elkhart-Goshen","IN MSA",94,94,0,0,0,0
"Elmira","NY MSA",5,5,0,0,0,0
"Enid","OK MSA",4,4,0,0,0,0
"Erie","PA MSA",42,42,0,0,0,0
"Eugene-Springfield","OR MSA",101,99,2,0,0,0
"Evansville-Henderson","IN-KY MSA",359,136,2,0,221,14
"Fargo-Moorhead","ND-MN MSA",60,33,0,0,27,3
"Fayetteville","NC MSA",90,90,0,0,0,0
