"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Abilene","TX MSA",18,16,2,0,0,0
"Albany","GA MSA",70,48,22,0,0,0
"Albany-Schenectady-Troy","NY MSA",201,137,0,4,60,3
"Albuquerque","NM MSA",404,392,0,12,0,0
"Alexandria","LA MSA",24,24,0,0,0,0
"Allentown-Bethlehem-Easton","PA MSA",184,169,0,15,0,0
"Altoona","PA MSA",2,2,0,0,0,0
"Amarillo","TX MSA",45,45,0,0,0,0
"Anchorage","AK MSA",67,45,16,0,6,1
"Anniston","AL MSA",18,18,0,0,0,0
"Appleton-Oshkosh-Neenah","WI MSA",185,85,8,0,92,11
"Asheville","NC MSA",642,112,8,20,502,23
"Athens","GA MSA",140,140,0,0,0,0
"Atlanta","GA MSA",4690,3424,8,24,1234,23
"Auburn-Opelika","AL MSA",22,18,4,0,0,0
"Augusta-Aiken","GA-SC MSA",452,240,2,0,210,8
"Austin-San Marcos","TX MSA",1177,518,160,21,478,25
"Bakersfield","CA MSA",264,262,2,0,0,0
"Bangor","ME MSA",29,21,0,8,0,0
"Barnstable-Yarmouth","MA MSA",95,95,0,0,0,0
"Baton Rouge","LA MSA",317,100,0,0,217,6
"Beaumont-Port Arthur","TX MSA",37,37,0,0,0,0
"Bellingham","WA MSA",107,70,4,3,30,2
"Benton Harbor","MI MSA",10,10,0,0,0,0
"Billings","MT MSA",24,24,0,0,0,0
"Biloxi-Gulfport-Pascagoula","MS MSA",109,109,0,0,0,0
"Binghamton","NY MSA",8,8,0,0,0,0
"Birmingham","AL MSA",332,332,0,0,0,0
"Bismarck","ND MSA",12,12,0,0,0,0
"Bloomington","IN MSA",46,32,14,0,0,0
"Bloomington-Normal","IL MSA",99,49,0,4,46,7
"Boise City","ID MSA",670,395,6,23,246,22
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",1353,840,50,91,372,37
"Brownsville-Harlingen-San Benito","TX MSA",199,184,6,4,5,1
"Bryan-College Station","TX MSA",248,45,0,0,203,2
"Buffalo-Niagara Falls","NY MSA",236,205,14,0,17,3
"Burlington","VT MSA",35,27,2,6,0,0
"Canton-Massillon","OH MSA",67,65,2,0,0,0
"Casper","WY MSA",10,10,0,0,0,0
"Cedar Rapids","IA MSA",57,39,6,0,12,1
"Champaign-Urbana","IL MSA",75,30,0,0,45,3
"Charleston-North Charleston","SC MSA",320,292,0,15,13,1
"Charleston","WV MSA",22,22,0,0,0,0
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",1876,1617,8,8,243,18
"Charlottesville","VA MSA",163,73,4,0,86,1
"Chattanooga","TN-GA MSA",248,184,4,3,57,4
"Cheyenne","WY MSA",47,41,0,0,6,1
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",3526,2331,48,98,1049,63
"Chico-Paradise","CA MSA",60,60,0,0,0,0
"Cincinnati-Hamilton","OH-KY- IN CMSA",883,702,24,16,141,13
"Clarksville-Hopkinsville","TN-KY MSA",96,68,0,4,24,3
"Cleveland-Akron","OH CMSA",635,554,4,11,66,7
