"City","State","Total","Units_1","Units_2","Units_3-4","Units_5-Inf","Units_Stucture_5-Inf"
"Hickory-Morganton","NC MSA",138,136,2,0,0,0
"Honolulu","HI MSA",121,121,0,0,0,0
"Houma","LA MSA",250,70,0,0,180,8
"Houston-Galveston-Brazoria TX CMSA","4637",2996,24,4,1613,90,NA
"Huntington-Ashland","WV-KY-OH MSA",1,1,0,0,0,0
"Huntsville","AL MSA",561,95,4,16,446,26
"Indianapolis","IN MSA",1262,1197,44,3,18,3
"Iowa City","IA MSA",51,47,0,4,0,0
"Jackson","MI MSA",10,10,0,0,0,0
"Jackson","MS MSA",290,268,0,0,22,3
"Jackson","TN MSA",32,32,0,0,0,0
"Jacksonville","FL MSA",1539,1185,2,0,352,23
"Jacksonville","NC MSA",78,78,0,0,0,0
"Jamestown","NY MSA",1,1,0,0,0,0
"Janesville-Beloit","WI MSA",46,34,2,4,6,1
"Johnson City-Kingsport-Bristol","TN-VA MSA",131,98,0,16,17,3
"Johnstown","PA MSA",7,7,0,0,0,0
"Jonesboro","AR MSA",94,42,4,0,48,4
"Joplin","MO MSA",13,13,0,0,0,0
"Kalamazoo-Battle Creek","MI MSA",140,106,4,4,26,2
"Kansas City","MO-KS MSA",1409,1005,30,34,340,20
"Killeen-Temple","TX MSA",177,137,16,24,0,0
"Knoxville","TN MSA",338,320,4,8,6,1
"Kokomo","IN MSA",44,33,6,0,5,1
"La Crosse","WI-MN MSA",38,30,8,0,0,0
"Lafayette","IN MSA",340,80,0,0,260,16
"Lafayette","LA MSA",154,120,0,3,31,1
"Lake Charles","LA MSA",109,105,4,0,0,0
"Lakeland-Winter Haven","FL MSA",668,636,4,0,28,3
"Lancaster","PA MSA",132,108,0,0,24,2
"Lansing-East Lansing","MI MSA",141,132,0,0,9,1
"Laredo","TX MSA",167,134,2,6,25,2
"Las Cruces","NM MSA",121,121,0,0,0,0
"Las Vegas","NV-AZ MSA",3806,2820,30,250,706,50
"Lawrence","KS MSA",48,36,12,0,0,0
"Lawton","OK MSA",12,12,0,0,0,0
"Lewiston-Auburn","ME MSA",44,44,0,0,0,0
"Lexington","KY MSA",458,429,20,0,9,1
"Lima","OH MSA",4,4,0,0,0,0
"Lincoln","NE MSA",184,148,8,0,28,2
"Little Rock-North Little Rock","AR MSA",270,251,4,15,0,0
"Longview-Marshall","TX MSA",22,22,0,0,0,0
"Los Angeles-Riverside-Orange County CA CMSA","5672",4164,94,178,1236,60,NA
"Louisville","KY-IN MSA",807,614,2,12,179,9
"Lubbock","TX MSA",422,92,126,0,204,10
"Lynchburg","VA MSA",132,118,0,0,14,1
"Macon","GA MSA",485,163,10,0,312,18
"Madison","WI MSA",450,208,18,44,180,5
"Mansfield","OH MSA",45,36,6,3,0,0
"McAllen-Edinburg-Mission","TX MSA",570,497,12,34,27,4
"Medford-Ashland","OR MSA",198,174,0,24,0,0
"Melbourne-Titusville-Palm Bay","FL MSA",566,505,0,0,61,4
"Memphis","TN-AR-MS MSA",875,831,8,8,28,2
"Merced","CA MSA",270,198,0,0,72,9
"Miami-Fort Lauderdale FL CMSA","1862",845,36,3,978,29,NA
"Milwaukee-Racine WI CMSA","682",375,38,4,265,7,NA
"Minneapolis-St. Paul","MN-WI MSA",2760,1984,42,118,616,37
"Missoula","MT MSA",110,39,16,10,45,4
"Mobile","AL MSA",440,421,2,0,17,3
"Modesto","CA MSA",347,347,0,0,0,0
"Monroe","LA MSA",73,73,0,0,0,0
"Montgomery","AL MSA",127,122,0,0,5,1
"Muncie","IN MSA",26,24,2,0,0,0
"Myrtle Beach","SC MSA",434,301,2,8,123,5
"Naples","FL MSA",360,245,0,40,75,7
"Nashville","TN MSA",1040,961,14,0,65,6
"New London-Norwich","CT-RI MSA",100,92,2,0,6,1
"New Orleans","LA MSA",458,442,16,0,0,0
"New York-Northern New Jersey-Long Island NY-NJ-CT-","4632",2415,576,420,1221,78,NA
"Norfolk-Virginia Beach-Newport News","VA-NC MSA",647,588,10,3,46,5
"Ocala","FL MSA",472,456,10,6,0,0
"Odessa-Midland","TX MSA",45,45,0,0,0,0
"Oklahoma City","OK MSA",529,509,12,0,8,1
"Omaha","NE-IA MSA",658,464,30,0,164,8
"Orlando","FL MSA",2129,1813,20,0,296,8
"Owensboro","KY MSA",51,43,4,4,0,0
"Panama City","FL MSA",86,83,0,3,0,0
"Parkersburg-Marietta","WV-OH MSA",15,15,0,0,0,0
"Pensacola","FL MSA",450,323,14,0,113,6
"Peoria-Pekin","IL MSA",84,66,18,0,0,0
"Philadelphia-Wilmington-Atlantic City PA-NJ-DE-MD","1774",1561,34,30,149,18,NA
"Phoenix-Mesa","AZ MSA",4778,4236,20,16,506,30
"Pine Bluff","AR MSA",9,9,0,0,0,0
"Pittsburgh","PA MSA",504,454,12,14,24,4
"Pittsfield","MA MSA",4,4,0,0,0,0
"Pocatello","ID MSA",26,26,0,0,0,0
"Portland","ME MSA",122,108,6,3,5,1
"Portland-Salem OR-WA CMSA","1555",974,58,27,496,36,NA
"Providence-Fall River-Warwick","RI-MA MSA",276,226,8,3,39,4
"Provo-Orem","UT MSA",599,284,8,9,298,16
"Pueblo","CO MSA",109,109,0,0,0,0
"Punta Gorda","FL MSA",262,194,2,37,29,2
"Raleigh-Durham-Chapel Hill","NC MSA",1247,1183,18,22,24,2
"Rapid City","SD MSA",38,38,0,0,0,0
"Reading","PA MSA",147,81,4,12,50,5
"Redding","CA MSA",96,96,0,0,0,0
"Reno","NV MSA",578,338,0,0,240,12
"Richland-Kennewick-Pasco","WA MSA",204,177,2,4,21,2
"Richmond-Petersburg","VA MSA",442,417,0,18,7,1
"Roanoke","VA MSA",116,111,0,0,5,1
"Rochester","MN MSA",174,104,0,4,66,3
"Rochester","NY MSA",211,209,2,0,0,0
"Rockford","IL MSA",274,158,16,100,0,0
"Rocky Mount","NC MSA",40,40,0,0,0,0
"Sacramento-Yolo CA CMSA","1584",1572,12,0,0,0,NA
"Saginaw-Bay City-Midland","MI MSA",41,41,0,0,0,0
"Salinas","CA MSA",126,94,0,0,32,4
"Salt Lake City-Ogden","UT MSA",1016,905,6,36,69,8
"San Angelo","TX MSA",24,24,0,0,0,0
"San Antonio","TX MSA",1008,864,4,7,133,10
"San Diego","CA MSA",1590,739,36,87,728,51
"San Francisco-Oakland-San Jose CA CMSA","1992",1389,14,52,537,36,NA
"San Luis Obispo-Atascadero-Paso Robles","CA MSA",144,133,4,7,0,0
"Santa Barbara-Santa Maria-Lompoc","CA MSA",130,93,4,11,22,3
"Santa Fe","NM MSA",43,43,0,0,0,0
"Sarasota-Bradenton","FL MSA",773,586,6,48,133,8
"Savannah","GA MSA",171,166,0,0,5,1
